date,open,high,low,close,volume,adj_close,fetched_at
2023-06-22,350.0,381.1,350.0,381.1,1694,381.1,2026-09-03T19:34:03.410784+00:00
2023-06-25,388.7,419.2,388.7,419.2,5728,419.2,2026-09-03T19:34:03.410784+00:00
2023-06-26,420.0,461.1,420.0,461.1,4364,461.1,2026-09-03T19:34:03.410784+00:00
2023-06-27,470.3,507.2,470.3,507.2,24091,507.2,2026-09-03T19:34:03.410784+00:00
2023-06-28,517.0,557.9,517.0,557.9,1523712,557.9,2026-09-03T19:34:03.410784+00:00
2023-07-02,569.0,574.0,548.0,549.0,762109,549.0,2026-09-03T19:34:03.410784+00:00
2023-07-03,548.0,549.0,530.0,532.0,443519,532.0,2026-09-03T19:34:03.410784+00:00
2023-07-04,542.6,542.6,520.4,529.0,214583,529.0,2026-09-03T19:34:03.410784+00:00
2023-07-05,535.0,535.0,505.0,508.8,270713,508.8,2026-09-03T19:34:03.410784+00:00
2023-07-06,515.0,518.0,491.0,497.0,308562,497.0,2026-09-03T19:34:03.410784+00:00
2023-07-09,500.0,512.8,492.0,498.0,371250,498.0,2026-09-03T19:34:03.410784+00:00
2023-07-10,500.0,510.0,488.1,489.8,504920,489.8,2026-09-03T19:34:03.410784+00:00
2023-07-11,495.0,502.0,488.0,490.0,258735,490.0,2026-09-03T19:34:03.410784+00:00
2023-07-12,490.0,503.0,485.2,496.2,186206,496.2,2026-09-03T19:34:03.410784+00:00
2023-07-13,500.0,514.0,498.0,507.0,318517,507.0,2026-09-03T19:34:03.410784+00:00
2023-07-16,507.0,514.9,504.0,507.0,308820,507.0,2026-09-03T19:34:03.410784+00:00
2023-07-17,517.1,517.1,502.0,516.0,212261,516.0,2026-09-03T19:34:03.410784+00:00
2023-07-18,516.2,525.0,513.0,513.6,301695,513.6,2026-09-03T19:34:03.410784+00:00
2023-07-19,516.0,516.0,508.6,510.0,164408,510.0,2026-09-03T19:34:03.410784+00:00
2023-07-20,499.8,515.0,499.8,504.9,173777,504.9,2026-09-03T19:34:03.410784+00:00
2023-07-23,507.0,516.0,504.0,510.8,206880,510.8,2026-09-03T19:34:03.410784+00:00
2023-07-24,508.0,513.0,500.1,500.4,193182,500.4,2026-09-03T19:34:03.410784+00:00
2023-07-25,500.4,504.0,490.4,491.8,123003,491.8,2026-09-03T19:34:03.410784+00:00
2023-07-26,498.0,499.0,485.0,487.1,142367,487.1,2026-09-03T19:34:03.410784+00:00
2023-07-27,490.0,492.0,478.0,478.0,173200,478.0,2026-09-03T19:34:03.410784+00:00
2023-07-30,478.0,485.0,468.0,470.0,115672,470.0,2026-09-03T19:34:03.410784+00:00
2023-07-31,473.9,481.0,468.6,474.0,96879,474.0,2026-09-03T19:34:03.410784+00:00
2023-08-01,468.8,480.0,462.1,466.0,110535,466.0,2026-09-03T19:34:03.410784+00:00
2023-08-02,466.0,468.8,458.7,467.4,88138,467.4,2026-09-03T19:34:03.410784+00:00
2023-08-03,473.0,474.9,464.0,468.0,72155,468.0,2026-09-03T19:34:03.410784+00:00
2023-08-06,458.7,472.6,451.0,458.0,99712,458.0,2026-09-03T19:34:03.410784+00:00
2023-08-07,458.0,467.0,450.0,454.0,68555,454.0,2026-09-03T19:34:03.410784+00:00
2023-08-08,450.2,458.0,442.0,445.0,61829,445.0,2026-09-03T19:34:03.410784+00:00
2023-08-09,450.0,465.0,438.5,463.9,119634,463.9,2026-09-03T19:34:03.410784+00:00
2023-08-10,466.0,468.0,457.0,457.0,79935,457.0,2026-09-03T19:34:03.410784+00:00
2023-08-13,457.0,466.0,454.2,462.0,88083,462.0,2026-09-03T19:34:03.410784+00:00
2023-08-14,466.0,468.9,453.0,453.2,58115,453.2,2026-09-03T19:34:03.410784+00:00
