date,open,high,low,close,volume,adj_close,fetched_at
2025-11-05,10.0,10.0,9.28,9.7,3020,9.7,2026-09-03T19:37:11.029364+00:00
2025-11-06,9.51,9.8,9.33,9.5,7500,9.5,2026-09-03T19:37:11.029364+00:00
2025-11-09,9.31,9.32,9.13,9.17,3290,9.17,2026-09-03T19:37:11.029364+00:00
2025-11-10,9.1,9.2,8.99,9.0,8200,9.0,2026-09-03T19:37:11.029364+00:00
2025-11-11,9.0,9.45,9.0,9.45,7820,9.45,2026-09-03T19:37:11.029364+00:00
2025-11-12,9.35,9.35,8.99,9.02,3300,9.02,2026-09-03T19:37:11.029364+00:00
2025-11-13,9.0,9.1,9.0,9.1,600,9.1,2026-09-03T19:37:11.029364+00:00
2025-11-16,8.92,9.28,8.89,8.89,7870,8.89,2026-09-03T19:37:11.029364+00:00
2025-11-17,8.8,9.1,8.8,9.1,3000,9.1,2026-09-03T19:37:11.029364+00:00
2025-11-18,8.93,9.1,8.93,9.1,1800,9.1,2026-09-03T19:37:11.029364+00:00
2025-11-19,8.95,9.3,8.93,9.3,12800,9.3,2026-09-03T19:37:11.029364+00:00
2025-11-20,9.14,9.25,9.01,9.25,1810,9.25,2026-09-03T19:37:11.029364+00:00
2025-11-23,9.07,9.15,9.0,9.01,7100,9.01,2026-09-03T19:37:11.029364+00:00
2025-11-24,8.95,9.3,8.92,9.3,3800,9.3,2026-09-03T19:37:11.029364+00:00
2025-11-25,9.13,9.31,9.13,9.15,1410,9.15,2026-09-03T19:37:11.029364+00:00
2025-11-26,9.0,9.15,9.0,9.11,1500,9.11,2026-09-03T19:37:11.029364+00:00
2025-11-27,9.0,9.2,9.0,9.15,4100,9.15,2026-09-03T19:37:11.029364+00:00
2025-11-30,9.02,9.2,9.02,9.07,2400,9.07,2026-09-03T19:37:11.029364+00:00
2025-12-01,9.0,9.2,9.0,9.07,5800,9.07,2026-09-03T19:37:11.029364+00:00
2025-12-02,9.0,9.4,9.0,9.09,3500,9.09,2026-09-03T19:37:11.029364+00:00
2025-12-03,8.91,9.3,8.91,9.3,2400,9.3,2026-09-03T19:37:11.029364+00:00
2025-12-07,9.12,9.21,8.97,9.02,2200,9.02,2026-09-03T19:37:11.029364+00:00
2025-12-08,8.94,9.02,8.85,8.91,2700,8.91,2026-09-03T19:37:11.029364+00:00
2025-12-09,8.74,9.1,8.74,9.0,4800,9.0,2026-09-03T19:37:11.029364+00:00
2025-12-10,9.0,9.18,8.92,9.18,3130,9.18,2026-09-03T19:37:11.029364+00:00
2025-12-11,9.01,9.15,9.01,9.02,2800,9.02,2026-09-03T19:37:11.029364+00:00
2025-12-14,8.85,9.02,8.85,8.97,2550,8.97,2026-09-03T19:37:11.029364+00:00
2025-12-15,8.85,9.05,8.85,8.94,2050,8.94,2026-09-03T19:37:11.029364+00:00
2025-12-16,9.07,9.15,9.0,9.0,4100,9.0,2026-09-03T19:37:11.029364+00:00
2025-12-17,8.85,9.3,8.85,9.3,9000,9.3,2026-09-03T19:37:11.029364+00:00
2025-12-18,9.12,9.2,9.0,9.1,1200,9.1,2026-09-03T19:37:11.029364+00:00
2025-12-21,9.28,9.28,8.94,8.99,2100,8.99,2026-09-03T19:37:11.029364+00:00
2025-12-22,8.83,9.18,8.83,8.96,3650,8.96,2026-09-03T19:37:11.029364+00:00
2025-12-23,8.8,8.96,8.8,8.91,5430,8.91,2026-09-03T19:37:11.029364+00:00
2025-12-24,8.76,9.25,8.76,9.25,6500,9.25,2026-09-03T19:37:11.029364+00:00
2025-12-28,9.1,9.4,9.05,9.38,15470,9.38,2026-09-03T19:37:11.029364+00:00
2025-12-29,9.2,9.3,9.2,9.25,2400,9.25,2026-09-03T19:37:11.029364+00:00
2025-12-31,9.1,9.29,9.1,9.29,507620,9.29,2026-09-03T19:37:11.029364+00:00
2026-01-01,9.11,9.11,9.11,9.11,2000,9.11,2026-09-03T19:37:11.029364+00:00
2026-01-04,9.0,9.2,9.0,9.05,4200,9.05,2026-09-03T19:37:11.029364+00:00
2026-01-05,9.0,9.18,9.0,9.1,2550,9.1,2026-09-03T19:37:11.029364+00:00
2026-01-06,8.92,9.2,8.92,9.2,4700,9.2,2026-09-03T19:37:11.029364+00:00
2026-01-07,9.2,9.22,9.2,9.22,1250,9.22,2026-09-03T19:37:11.029364+00:00
2026-01-08,9.05,9.06,9.05,9.06,900,9.06,2026-09-03T19:37:11.029364+00:00
2026-01-12,8.93,9.11,8.93,9.0,4000,9.0,2026-09-03T19:37:11.029364+00:00
2026-01-13,8.82,9.25,8.82,9.15,4100,9.15,2026-09-03T19:37:11.029364+00:00
2026-01-14,8.98,9.0,8.98,9.0,2400,9.0,2026-09-03T19:37:11.029364+00:00
2026-01-18,8.97,9.22,8.97,9.22,3900,9.22,2026-09-03T19:37:11.029364+00:00
2026-01-20,9.05,9.77,8.9,9.77,20350,9.77,2026-09-03T19:37:11.029364+00:00
2026-01-21,9.94,9.94,9.33,9.33,5650,9.33,2026-09-03T19:37:11.029364+00:00
2026-01-22,9.15,9.33,9.0,9.3,3400,9.3,2026-09-03T19:37:11.029364+00:00
2026-01-25,9.4,9.77,9.02,9.61,13600,9.61,2026-09-03T19:37:11.029364+00:00
2026-01-26,9.42,9.47,9.24,9.4,2500,9.4,2026-09-03T19:37:11.029364+00:00
2026-01-27,9.4,9.59,9.4,9.41,3600,9.41,2026-09-03T19:37:11.029364+00:00
2026-01-28,9.24,9.4,9.24,9.24,1000,9.24,2026-09-03T19:37:11.029364+00:00
2026-01-29,9.24,9.59,9.23,9.4,8450,9.4,2026-09-03T19:37:11.029364+00:00
2026-02-01,9.25,9.62,9.07,9.43,17000,9.43,2026-09-03T19:37:11.029364+00:00
2026-02-02,9.25,9.4,9.07,9.35,6400,9.35,2026-09-03T19:37:11.029364+00:00
2026-02-03,9.17,10.28,9.17,10.28,104600,10.28,2026-09-03T19:37:11.029364+00:00
2026-02-04,10.08,10.17,9.61,9.71,34550,9.71,2026-09-03T19:37:11.029364+00:00
2026-02-05,9.53,10.55,9.53,9.82,10211440,9.82,2026-09-03T19:37:11.029364+00:00
2026-02-08,9.63,9.85,9.63,9.69,6090,9.69,2026-09-03T19:37:11.029364+00:00
2026-02-09,9.52,9.72,9.52,9.72,3140,9.72,2026-09-03T19:37:11.029364+00:00
2026-02-10,9.6,9.72,9.55,9.55,1100,9.55,2026-09-03T19:37:11.029364+00:00
2026-02-11,9.55,9.55,9.4,9.4,1300,9.4,2026-09-03T19:37:11.029364+00:00
2026-02-12,9.23,9.41,9.23,9.25,2380,9.25,2026-09-03T19:37:11.029364+00:00
2026-02-16,9.07,9.26,9.07,9.26,1900,9.26,2026-09-03T19:37:11.029364+00:00
2026-02-17,9.08,9.61,9.08,9.61,5709,9.61,2026-09-03T19:37:11.029364+00:00
2026-02-22,9.43,9.43,9.3,9.3,699,9.3,2026-09-03T19:37:11.029364+00:00
2026-02-23,9.29,9.29,9.12,9.17,1710,9.17,2026-09-03T19:37:11.029364+00:00
2026-02-24,8.99,9.15,8.99,9.15,1000,9.15,2026-09-03T19:37:11.029364+00:00
2026-02-25,9.0,9.33,9.0,9.15,1730,9.15,2026-09-03T19:37:11.029364+00:00
2026-02-26,8.97,9.08,8.97,9.08,1410,9.08,2026-09-03T19:37:11.029364+00:00
2026-03-01,9.26,9.26,9.09,9.09,300,9.09,2026-09-03T19:37:11.029364+00:00
2026-03-03,9.2,9.2,9.02,9.18,800,9.18,2026-09-03T19:37:11.029364+00:00
2026-03-10,9.36,9.5,9.18,9.45,2520,9.45,2026-09-03T19:37:11.029364+00:00
2026-03-11,9.45,9.5,9.45,9.5,13800,9.5,2026-09-03T19:37:11.029364+00:00
2026-03-12,9.5,9.54,9.35,9.54,1200,9.54,2026-09-03T19:37:11.029364+00:00
2026-03-15,9.35,9.5,9.31,9.38,8190,9.38,2026-09-03T19:37:11.029364+00:00
2026-03-16,9.2,9.25,9.2,9.25,700,9.25,2026-09-03T19:37:11.029364+00:00
2026-03-17,9.2,9.48,9.2,9.48,2300,9.48,2026-09-03T19:37:11.029364+00:00
2026-03-19,9.32,9.51,9.32,9.34,1700,9.34,2026-09-03T19:37:11.029364+00:00
2026-03-22,9.28,9.64,9.28,9.45,3420,9.45,2026-09-03T19:37:11.029364+00:00
2026-03-23,9.35,9.91,9.35,9.91,5630,9.91,2026-09-03T19:37:11.029364+00:00
2026-03-24,9.72,9.8,9.72,9.72,100800,9.72,2026-09-03T19:37:11.029364+00:00
2026-03-25,9.53,9.79,9.53,9.79,53700,9.79,2026-09-03T19:37:11.029364+00:00
