date,open,high,low,close,volume,adj_close,fetched_at
2024-01-08,309.2,340.1,309.2,340.1,30866,340.1,2026-09-03T19:36:53.784853+00:00
2024-01-09,346.9,374.1,346.9,374.1,10699,374.1,2026-09-03T19:36:53.784853+00:00
2024-01-10,381.5,411.5,381.5,411.5,17004,411.5,2026-09-03T19:36:53.784853+00:00
2024-01-11,419.7,452.6,419.7,452.6,37445,452.6,2026-09-03T19:36:53.784853+00:00
2024-01-14,461.6,497.8,461.6,497.8,45684,497.8,2026-09-03T19:36:53.784853+00:00
2024-01-16,507.7,547.5,507.7,547.5,70340,547.5,2026-09-03T19:36:53.784853+00:00
2024-01-17,558.4,602.2,558.4,602.2,1093487,602.2,2026-09-03T19:36:53.784853+00:00
2024-01-18,614.2,661.5,558.0,653.0,3044702,653.0,2026-09-03T19:36:53.784853+00:00
2024-01-21,666.0,709.0,663.0,681.0,827738,681.0,2026-09-03T19:36:53.784853+00:00
2024-01-22,667.4,675.0,641.0,646.0,1196355,646.0,2026-09-03T19:36:53.784853+00:00
2024-01-23,645.0,681.0,635.0,659.9,841022,659.9,2026-09-03T19:36:53.784853+00:00
2024-01-24,660.0,674.0,655.0,657.0,379833,657.0,2026-09-03T19:36:53.784853+00:00
2024-01-25,657.0,661.0,645.1,646.8,439859,646.8,2026-09-03T19:36:53.784853+00:00
2024-01-28,650.0,659.6,635.1,645.0,521843,645.0,2026-09-03T19:36:53.784853+00:00
2024-01-29,645.0,684.0,645.0,669.0,900511,669.0,2026-09-03T19:36:53.784853+00:00
2024-01-30,682.3,721.0,675.8,709.6,1070172,709.6,2026-09-03T19:36:53.784853+00:00
2024-01-31,723.0,728.0,698.0,714.6,889868,714.6,2026-09-03T19:36:53.784853+00:00
2024-02-01,720.0,722.1,695.0,695.1,769799,695.1,2026-09-03T19:36:53.784853+00:00
2024-02-04,695.1,700.0,680.0,688.1,486325,688.1,2026-09-03T19:36:53.784853+00:00
2024-02-05,690.0,700.0,685.1,685.5,269982,685.5,2026-09-03T19:36:53.784853+00:00
2024-02-06,685.5,708.0,685.5,704.9,481428,704.9,2026-09-03T19:36:53.784853+00:00
2024-02-07,700.0,714.0,695.2,696.1,354258,696.1,2026-09-03T19:36:53.784853+00:00
2024-02-08,698.0,709.0,688.0,689.0,273200,689.0,2026-09-03T19:36:53.784853+00:00
2024-02-11,702.7,731.0,691.0,694.9,887170,694.9,2026-09-03T19:36:53.784853+00:00
2024-02-12,703.0,704.0,690.0,692.1,331525,692.1,2026-09-03T19:36:53.784853+00:00
2024-02-13,692.1,692.1,672.0,672.0,478560,672.0,2026-09-03T19:36:53.784853+00:00
2024-02-14,680.0,680.0,666.5,668.1,256176,668.1,2026-09-03T19:36:53.784853+00:00
2024-02-15,670.0,674.0,654.8,655.7,345592,655.7,2026-09-03T19:36:53.784853+00:00
2024-02-18,655.0,666.0,640.1,645.1,632757,645.1,2026-09-03T19:36:53.784853+00:00
2024-02-20,621.0,652.5,620.0,650.0,493093,650.0,2026-09-03T19:36:53.784853+00:00
2024-02-21,650.0,662.9,633.1,633.2,173537,633.2,2026-09-03T19:36:53.784853+00:00
2024-02-22,633.2,637.9,617.6,624.0,237439,624.0,2026-09-03T19:36:53.784853+00:00
2024-02-25,624.0,632.0,607.5,607.6,179714,607.6,2026-09-03T19:36:53.784853+00:00
2024-02-26,604.9,616.8,604.9,616.0,126929,616.0,2026-09-03T19:36:53.784853+00:00
2024-02-27,616.0,620.0,606.0,610.0,104494,610.0,2026-09-03T19:36:53.784853+00:00
2024-02-28,609.0,620.0,609.0,615.0,131080,615.0,2026-09-03T19:36:53.784853+00:00
2024-02-29,615.0,620.0,604.9,605.4,131730,605.4,2026-09-03T19:36:53.784853+00:00
2024-03-03,605.4,613.0,595.2,595.6,138436,595.6,2026-09-03T19:36:53.784853+00:00
2024-03-04,607.5,652.0,607.5,622.0,46976,622.0,2026-09-03T19:36:53.784853+00:00
2024-03-05,630.0,633.9,610.0,613.5,206392,613.5,2026-09-03T19:36:53.784853+00:00
2024-03-06,613.0,631.0,608.1,624.9,209585,624.9,2026-09-03T19:36:53.784853+00:00
