date,open,high,low,close,volume,adj_close,fetched_at
2019-05-22,160.0,160.0,144.0,144.0,8556,144.0,2026-09-03T19:35:05.487869+00:00
2019-05-23,145.0,145.0,130.0,130.0,3400,130.0,2026-09-03T19:35:05.487869+00:00
2019-05-26,124.0,134.0,117.0,134.0,54300,134.0,2026-09-03T19:35:05.487869+00:00
2019-05-27,132.0,132.0,123.0,131.0,8888,131.0,2026-09-03T19:35:05.487869+00:00
2019-05-28,131.0,133.0,128.0,133.0,11700,133.0,2026-09-03T19:35:05.487869+00:00
2019-05-29,131.0,146.0,131.0,146.0,18950,146.0,2026-09-03T19:35:05.487869+00:00
2019-05-30,148.0,160.0,148.0,160.0,16414,160.0,2026-09-03T19:35:05.487869+00:00
2019-06-02,163.0,168.0,147.0,152.0,36836,152.0,2026-09-03T19:35:05.487869+00:00
2019-06-03,152.0,155.0,144.0,155.0,14610,155.0,2026-09-03T19:35:05.487869+00:00
2019-06-04,156.0,157.0,149.0,149.0,6100,149.0,2026-09-03T19:35:05.487869+00:00
2019-06-06,151.0,154.0,148.0,149.0,3810,149.0,2026-09-03T19:35:05.487869+00:00
2019-06-10,150.0,154.0,146.0,147.0,9085,147.0,2026-09-03T19:35:05.487869+00:00
2019-06-11,149.0,155.0,147.0,148.0,5020,148.0,2026-09-03T19:35:05.487869+00:00
2019-06-12,147.0,155.0,144.0,148.0,3430,148.0,2026-09-03T19:35:05.487869+00:00
2019-06-13,146.0,150.0,145.0,146.0,4250,146.0,2026-09-03T19:35:05.487869+00:00
2019-06-16,148.0,152.0,145.0,152.0,3470,152.0,2026-09-03T19:35:05.487869+00:00
2019-06-17,149.0,152.0,143.0,148.0,3990,148.0,2026-09-03T19:35:05.487869+00:00
2019-06-18,146.0,146.0,142.0,146.0,1190,146.0,2026-09-03T19:35:05.487869+00:00
2019-06-19,144.0,153.0,144.0,144.0,810,144.0,2026-09-03T19:35:05.487869+00:00
2019-06-20,146.0,148.0,142.0,146.0,1580,146.0,2026-09-03T19:35:05.487869+00:00
2019-06-23,148.0,148.0,143.0,143.0,800,143.0,2026-09-03T19:35:05.487869+00:00
2019-06-24,141.0,144.0,141.0,142.0,1270,142.0,2026-09-03T19:35:05.487869+00:00
2019-06-25,140.0,144.0,140.0,142.0,866,142.0,2026-09-03T19:35:05.487869+00:00
2019-06-26,140.0,146.0,140.0,146.0,1950,146.0,2026-09-03T19:35:05.487869+00:00
2019-06-27,144.0,148.0,143.0,144.0,2020,144.0,2026-09-03T19:35:05.487869+00:00
2019-06-30,142.0,145.0,142.0,142.0,3730,142.0,2026-09-03T19:35:05.487869+00:00
2019-07-01,141.0,144.0,139.0,141.0,6390,141.0,2026-09-03T19:35:05.487869+00:00
2019-07-02,139.0,143.0,139.0,141.0,721,141.0,2026-09-03T19:35:05.487869+00:00
2019-07-03,139.0,142.0,139.0,140.0,1100,140.0,2026-09-03T19:35:05.487869+00:00
2019-07-04,140.0,142.0,139.0,140.0,1410,140.0,2026-09-03T19:35:05.487869+00:00
2019-07-07,142.0,142.0,139.0,140.0,1340,140.0,2026-09-03T19:35:05.487869+00:00
2019-07-08,142.0,150.0,139.0,140.0,1830,140.0,2026-09-03T19:35:05.487869+00:00
2019-07-09,140.0,142.0,139.0,141.0,2186,141.0,2026-09-03T19:35:05.487869+00:00
2019-07-10,140.0,142.0,139.0,140.0,1615,140.0,2026-09-03T19:35:05.487869+00:00
2019-07-11,140.0,140.0,139.0,139.0,1720,139.0,2026-09-03T19:35:05.487869+00:00
2019-07-14,140.0,140.0,138.0,139.0,1200,139.0,2026-09-03T19:35:05.487869+00:00
2019-07-15,139.0,141.0,138.0,139.0,3030,139.0,2026-09-03T19:35:05.487869+00:00
2019-07-16,139.0,142.0,139.0,139.0,1340,139.0,2026-09-03T19:35:05.487869+00:00
2019-07-17,138.0,141.0,138.0,140.0,2630,140.0,2026-09-03T19:35:05.487869+00:00
2019-07-18,140.0,143.0,140.0,142.0,680,142.0,2026-09-03T19:35:05.487869+00:00
2019-07-21,144.0,145.0,144.0,145.0,40,145.0,2026-09-03T19:35:05.487869+00:00
2019-07-22,143.0,143.0,139.0,143.0,1450,143.0,2026-09-03T19:35:05.487869+00:00
2019-07-23,141.0,141.0,138.0,139.0,1230,139.0,2026-09-03T19:35:05.487869+00:00
2019-07-24,140.0,142.0,138.0,138.0,2060,138.0,2026-09-03T19:35:05.487869+00:00
2019-07-25,138.0,140.0,138.0,138.0,1335,138.0,2026-09-03T19:35:05.487869+00:00
2019-07-28,136.0,138.0,131.0,136.0,11417,136.0,2026-09-03T19:35:05.487869+00:00
2019-07-29,138.0,138.0,134.0,134.0,3748,134.0,2026-09-03T19:35:05.487869+00:00
2019-07-30,132.0,138.0,132.0,135.0,1610,135.0,2026-09-03T19:35:05.487869+00:00
2019-07-31,133.0,138.0,133.0,136.0,990,136.0,2026-09-03T19:35:05.487869+00:00
2019-08-01,136.0,142.0,136.0,140.0,830,140.0,2026-09-03T19:35:05.487869+00:00
2019-08-04,140.0,140.0,134.0,136.0,730,136.0,2026-09-03T19:35:05.487869+00:00
2019-08-05,137.0,138.0,134.0,137.0,650,137.0,2026-09-03T19:35:05.487869+00:00
2019-08-06,135.0,136.0,133.0,134.0,690,134.0,2026-09-03T19:35:05.487869+00:00
2019-08-07,132.0,136.0,131.0,131.0,3450,131.0,2026-09-03T19:35:05.487869+00:00
2019-08-08,130.0,134.0,130.0,133.0,1900,133.0,2026-09-03T19:35:05.487869+00:00
2019-08-11,132.0,132.0,130.0,132.0,1080,132.0,2026-09-03T19:35:05.487869+00:00
2019-08-12,130.0,132.0,130.0,130.0,1385,130.0,2026-09-03T19:35:05.487869+00:00
2019-08-13,128.0,132.0,127.0,128.0,1320,128.0,2026-09-03T19:35:05.487869+00:00
2019-08-14,127.0,132.0,127.0,131.0,1030,131.0,2026-09-03T19:35:05.487869+00:00
2019-08-15,129.0,130.0,128.0,129.0,896,129.0,2026-09-03T19:35:05.487869+00:00
2019-08-18,129.0,131.0,126.0,127.0,760,127.0,2026-09-03T19:35:05.487869+00:00
2019-08-19,125.0,130.0,125.0,128.0,1510,128.0,2026-09-03T19:35:05.487869+00:00
2019-08-20,128.0,128.0,125.0,127.0,720,127.0,2026-09-03T19:35:05.487869+00:00
2019-08-21,125.0,128.0,123.0,126.0,2420,126.0,2026-09-03T19:35:05.487869+00:00
2019-08-22,124.0,126.0,124.0,125.0,1470,125.0,2026-09-03T19:35:05.487869+00:00
2019-08-25,123.0,123.0,121.0,123.0,390,123.0,2026-09-03T19:35:05.487869+00:00
2019-08-26,121.0,125.0,121.0,124.0,3150,124.0,2026-09-03T19:35:05.487869+00:00
2019-08-27,122.0,126.0,122.0,124.0,640,124.0,2026-09-03T19:35:05.487869+00:00
2019-08-28,124.0,125.0,122.0,122.0,1440,122.0,2026-09-03T19:35:05.487869+00:00
2019-08-29,120.0,123.0,120.0,123.0,950,123.0,2026-09-03T19:35:05.487869+00:00
2019-09-01,121.0,121.0,117.0,119.0,750,119.0,2026-09-03T19:35:05.487869+00:00
2019-09-02,117.0,118.0,116.0,116.0,700,116.0,2026-09-03T19:35:05.487869+00:00
2019-09-03,114.0,118.0,114.0,116.0,730,116.0,2026-09-03T19:35:05.487869+00:00
2019-09-04,114.0,121.0,114.0,119.0,640,119.0,2026-09-03T19:35:05.487869+00:00
2019-09-05,120.0,125.0,118.0,119.0,820,119.0,2026-09-03T19:35:05.487869+00:00
2019-09-08,117.0,117.0,113.0,114.0,890,114.0,2026-09-03T19:35:05.487869+00:00
2019-09-09,112.0,120.0,112.0,119.0,490,119.0,2026-09-03T19:35:05.487869+00:00
2019-09-10,121.0,127.0,121.0,127.0,50,127.0,2026-09-03T19:35:05.487869+00:00
2019-09-11,125.0,125.0,123.0,123.0,20,123.0,2026-09-03T19:35:05.487869+00:00
2019-09-12,121.0,121.0,112.0,115.0,3310,115.0,2026-09-03T19:35:05.487869+00:00
2019-09-15,113.0,113.0,107.0,108.0,1840,108.0,2026-09-03T19:35:05.487869+00:00
2019-09-16,106.0,109.0,105.0,105.0,2030,105.0,2026-09-03T19:35:05.487869+00:00
2019-09-17,106.0,112.0,106.0,112.0,986,112.0,2026-09-03T19:35:05.487869+00:00
2019-09-18,112.0,112.0,108.0,112.0,840,112.0,2026-09-03T19:35:05.487869+00:00
2019-09-19,110.0,114.0,110.0,112.0,360,112.0,2026-09-03T19:35:05.487869+00:00
2019-09-22,108.0,112.0,106.0,112.0,240,112.0,2026-09-03T19:35:05.487869+00:00
2019-09-23,112.0,114.0,109.0,109.0,190,109.0,2026-09-03T19:35:05.487869+00:00
2019-09-24,108.0,109.0,102.0,106.0,1370,106.0,2026-09-03T19:35:05.487869+00:00
2019-09-25,104.0,106.0,104.0,106.0,310,106.0,2026-09-03T19:35:05.487869+00:00
2019-09-26,104.0,112.0,102.0,112.0,460,112.0,2026-09-03T19:35:05.487869+00:00
2019-09-29,110.0,110.0,103.0,103.0,310,103.0,2026-09-03T19:35:05.487869+00:00
2019-09-30,102.0,109.0,102.0,104.0,850,104.0,2026-09-03T19:35:05.487869+00:00
2019-10-01,105.0,108.0,105.0,107.0,460,107.0,2026-09-03T19:35:05.487869+00:00
2019-10-02,106.0,106.0,106.0,106.0,90,106.0,2026-09-03T19:35:05.487869+00:00
2019-10-10,106.0,106.0,105.0,106.0,40,106.0,2026-09-03T19:35:05.487869+00:00
2019-10-14,104.0,104.0,104.0,104.0,140,104.0,2026-09-03T19:35:05.487869+00:00
2019-10-15,104.0,105.0,104.0,105.0,670,105.0,2026-09-03T19:35:05.487869+00:00
2019-10-16,104.0,107.0,104.0,107.0,80,107.0,2026-09-03T19:35:05.487869+00:00
2019-10-17,107.0,107.0,105.0,105.0,740,105.0,2026-09-03T19:35:05.487869+00:00
2019-10-21,103.0,105.0,102.0,103.0,270,103.0,2026-09-03T19:35:05.487869+00:00
2019-10-22,105.0,105.0,103.0,103.0,690,103.0,2026-09-03T19:35:05.487869+00:00
2019-10-23,103.0,103.0,101.0,102.0,50,102.0,2026-09-03T19:35:05.487869+00:00
2019-10-24,102.0,105.0,102.0,105.0,220,105.0,2026-09-03T19:35:05.487869+00:00
2019-10-31,105.0,106.0,103.0,103.0,920,103.0,2026-09-03T19:35:05.487869+00:00
2019-11-03,101.0,102.0,101.0,102.0,430,102.0,2026-09-03T19:35:05.487869+00:00
2019-11-04,102.0,104.0,101.0,104.0,580,104.0,2026-09-03T19:35:05.487869+00:00
2019-11-05,102.0,104.0,101.0,102.0,490,102.0,2026-09-03T19:35:05.487869+00:00
2019-11-06,101.0,103.0,101.0,103.0,190,103.0,2026-09-03T19:35:05.487869+00:00
2019-11-07,101.0,102.0,100.0,101.0,650,101.0,2026-09-03T19:35:05.487869+00:00
2019-11-10,101.0,103.0,101.0,103.0,165,103.0,2026-09-03T19:35:05.487869+00:00
2019-11-11,101.0,102.0,100.0,101.0,240,101.0,2026-09-03T19:35:05.487869+00:00
2019-11-12,101.0,103.0,99.0,102.0,1510,102.0,2026-09-03T19:35:05.487869+00:00
2019-11-13,102.0,102.0,100.0,102.0,490,102.0,2026-09-03T19:35:05.487869+00:00
2019-11-14,102.0,102.0,100.0,100.0,1940,100.0,2026-09-03T19:35:05.487869+00:00
2019-11-17,100.0,100.0,99.0,99.0,260,99.0,2026-09-03T19:35:05.487869+00:00
