date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,120.0,122.0,122.0,122.0,17,122.0,2026-09-03T19:33:54.529918+00:00
2012-09-10,122.0,123.0,121.0,123.0,113,123.0,2026-09-03T19:33:54.529918+00:00
2012-09-11,123.0,127.0,125.0,127.0,562,127.0,2026-09-03T19:33:54.529918+00:00
2012-09-12,127.0,134.0,129.0,131.0,1517,131.0,2026-09-03T19:33:54.529918+00:00
2012-09-13,131.0,132.0,131.0,132.0,192,132.0,2026-09-03T19:33:54.529918+00:00
2012-09-16,132.0,130.0,128.0,128.0,744,128.0,2026-09-03T19:33:54.529918+00:00
2012-09-17,128.0,128.0,126.0,128.0,455,128.0,2026-09-03T19:33:54.529918+00:00
2012-09-19,128.0,128.0,128.0,128.0,300,128.0,2026-09-03T19:33:54.529918+00:00
2012-09-20,128.0,128.0,126.0,128.0,68,128.0,2026-09-03T19:33:54.529918+00:00
2012-09-23,128.0,130.0,130.0,130.0,136,130.0,2026-09-03T19:33:54.529918+00:00
2012-09-26,130.0,128.0,128.0,128.0,54,128.0,2026-09-03T19:33:54.529918+00:00
2012-09-30,123.0,121.0,121.0,121.0,200,121.0,2026-09-03T19:33:54.529918+00:00
2012-10-01,121.0,123.0,122.0,122.0,538,122.0,2026-09-03T19:33:54.529918+00:00
2012-10-01,121.0,123.0,122.0,122.0,538,122.0,2026-09-03T19:33:54.529918+00:00
2012-10-02,122.0,125.0,121.0,125.0,652,125.0,2026-09-03T19:33:54.529918+00:00
2012-10-03,125.0,126.0,122.0,122.0,863,122.0,2026-09-03T19:33:54.529918+00:00
2012-10-04,122.0,124.0,122.0,124.0,416,124.0,2026-09-03T19:33:54.529918+00:00
2012-10-07,124.0,124.0,123.0,124.0,179,124.0,2026-09-03T19:33:54.529918+00:00
2012-10-08,124.0,124.0,124.0,124.0,400,124.0,2026-09-03T19:33:54.529918+00:00
2012-10-09,124.0,125.0,123.0,125.0,259,125.0,2026-09-03T19:33:54.529918+00:00
2012-10-11,125.0,127.0,127.0,127.0,20,127.0,2026-09-03T19:33:54.529918+00:00
2012-10-14,127.0,129.0,125.0,125.0,458,125.0,2026-09-03T19:33:54.529918+00:00
2012-10-30,125.0,125.0,123.0,125.0,11962,125.0,2026-09-03T19:33:54.529918+00:00
2012-10-31,125.0,128.0,127.0,128.0,419,128.0,2026-09-03T19:33:54.529918+00:00
2012-11-01,128.0,130.0,128.0,130.0,68,130.0,2026-09-03T19:33:54.529918+00:00
2012-11-04,130.0,130.0,130.0,130.0,62,130.0,2026-09-03T19:33:54.529918+00:00
2012-11-05,130.0,132.0,132.0,132.0,430,132.0,2026-09-03T19:33:54.529918+00:00
2012-11-06,132.0,139.0,134.0,138.0,646,138.0,2026-09-03T19:33:54.529918+00:00
2012-11-07,138.0,139.0,136.0,139.0,2005,139.0,2026-09-03T19:33:54.529918+00:00
2012-11-08,139.0,141.0,141.0,141.0,200,141.0,2026-09-03T19:33:54.529918+00:00
2012-11-11,141.0,140.0,134.0,134.0,967,134.0,2026-09-03T19:33:54.529918+00:00
2012-11-12,134.0,132.0,130.0,130.0,980,130.0,2026-09-03T19:33:54.529918+00:00
2012-11-18,130.0,134.0,132.0,134.0,306,134.0,2026-09-03T19:33:54.529918+00:00
2012-11-20,134.0,136.0,134.0,134.0,411,134.0,2026-09-03T19:33:54.529918+00:00
2012-11-21,134.0,132.0,132.0,132.0,300,132.0,2026-09-03T19:33:54.529918+00:00
2012-11-22,132.0,132.0,130.0,132.0,1236,132.0,2026-09-03T19:33:54.529918+00:00
2012-11-25,132.0,133.0,133.0,133.0,4609,133.0,2026-09-03T19:33:54.529918+00:00
2012-11-26,133.0,135.0,133.0,135.0,341,135.0,2026-09-03T19:33:54.529918+00:00
2012-11-27,135.0,138.0,136.0,136.0,945,136.0,2026-09-03T19:33:54.529918+00:00
2012-11-28,136.0,134.0,132.0,134.0,1651,134.0,2026-09-03T19:33:54.529918+00:00
2012-11-29,134.0,135.0,135.0,135.0,124,135.0,2026-09-03T19:33:54.529918+00:00
2012-12-02,135.0,139.0,137.0,139.0,1525,139.0,2026-09-03T19:33:54.529918+00:00
2012-12-03,139.0,137.0,130.0,130.0,1199,130.0,2026-09-03T19:33:54.529918+00:00
2012-12-04,130.0,137.0,132.0,137.0,1033,137.0,2026-09-03T19:33:54.529918+00:00
2012-12-05,137.0,139.0,137.0,139.0,276,139.0,2026-09-03T19:33:54.529918+00:00
2012-12-06,139.0,137.0,137.0,137.0,176,137.0,2026-09-03T19:33:54.529918+00:00
2012-12-12,137.0,135.0,135.0,135.0,100,135.0,2026-09-03T19:33:54.529918+00:00
2012-12-24,135.0,133.0,130.0,132.0,1710,132.0,2026-09-03T19:33:54.529918+00:00
2012-12-26,132.0,133.0,131.0,131.0,215,131.0,2026-09-03T19:33:54.529918+00:00
2012-12-27,131.0,132.0,127.0,129.0,2189,129.0,2026-09-03T19:33:54.529918+00:00
2012-12-31,129.0,133.0,129.0,133.0,3004,133.0,2026-09-03T19:33:54.529918+00:00
2013-01-01,133.0,134.0,132.0,132.0,1517,132.0,2026-09-03T19:33:54.529918+00:00
2013-01-02,132.0,132.0,132.0,132.0,150,132.0,2026-09-03T19:33:54.529918+00:00
