date,open,high,low,close,volume,adj_close,fetched_at
2025-03-09,1000.0,1100.0,1000.0,1100.0,925,1100.0,2026-09-03T19:36:58.530899+00:00
2025-03-10,1078.0,1078.0,1045.0,1046.1,325,1046.1,2026-09-03T19:36:58.530899+00:00
2025-03-11,1045.5,1046.0,1045.1,1045.1,450,1045.1,2026-09-03T19:36:58.530899+00:00
2025-03-12,1040.6,1045.0,1040.6,1043.5,225,1043.5,2026-09-03T19:36:58.530899+00:00
2025-03-16,1036.8,1060.0,1036.8,1060.0,704,1060.0,2026-09-03T19:36:58.530899+00:00
2025-03-17,1050.0,1060.0,1050.0,1060.0,424,1060.0,2026-09-03T19:36:58.530899+00:00
2025-03-18,1060.0,1065.0,1051.1,1056.3,186,1056.3,2026-09-03T19:36:58.530899+00:00
2025-03-19,1040.1,1050.1,1040.1,1050.1,150,1050.1,2026-09-03T19:36:58.530899+00:00
2025-03-20,1040.8,1065.0,1040.8,1047.3,225,1047.3,2026-09-03T19:36:58.530899+00:00
2025-03-23,1047.0,1088.0,1045.1,1088.0,225,1088.0,2026-09-03T19:36:58.530899+00:00
2025-03-24,1067.0,1071.0,1050.3,1060.0,276,1060.0,2026-09-03T19:36:58.530899+00:00
2025-03-25,1060.0,1060.0,1055.2,1056.6,99,1056.6,2026-09-03T19:36:58.530899+00:00
2025-03-26,1054.0,1070.0,1052.0,1068.18,250,1068.18,2026-09-03T19:36:58.530899+00:00
2025-03-27,1048.1,1053.0,1048.1,1051.0,100,1051.0,2026-09-03T19:36:58.530899+00:00
2025-03-30,1046.0,1072.0,1046.0,1050.8,265,1050.8,2026-09-03T19:36:58.530899+00:00
2025-04-01,1044.1,1071.8,1044.1,1070.26,225,1070.26,2026-09-03T19:36:58.530899+00:00
2025-04-02,1056.4,1070.0,1056.4,1070.0,195,1070.0,2026-09-03T19:36:58.530899+00:00
2025-04-03,1069.0,1070.0,1069.0,1070.0,184,1070.0,2026-09-03T19:36:58.530899+00:00
