date,open,high,low,close,volume,adj_close,fetched_at
2023-06-04,378.2,407.9,378.2,407.9,20616,407.9,2026-09-03T19:33:40.036857+00:00
2023-06-05,416.0,448.0,416.0,423.0,231972,423.0,2026-09-03T19:33:40.036857+00:00
2023-06-06,430.0,454.0,419.0,449.0,147524,449.0,2026-09-03T19:33:40.036857+00:00
2023-06-07,449.0,465.0,442.0,445.0,124690,445.0,2026-09-03T19:33:40.036857+00:00
2023-06-08,440.0,480.0,436.1,474.0,221698,474.0,2026-09-03T19:33:40.036857+00:00
2023-06-11,474.0,489.8,467.0,482.0,224765,482.0,2026-09-03T19:33:40.036857+00:00
2023-06-12,485.0,486.0,468.2,476.9,146034,476.9,2026-09-03T19:33:40.036857+00:00
2023-06-13,470.2,514.0,470.1,499.8,325937,499.8,2026-09-03T19:33:40.036857+00:00
2023-06-14,500.0,512.0,490.0,493.2,265587,493.2,2026-09-03T19:33:40.036857+00:00
2023-06-15,493.0,519.9,489.0,519.0,230873,519.0,2026-09-03T19:33:40.036857+00:00
2023-06-18,529.1,570.0,517.0,569.0,309962,569.0,2026-09-03T19:33:40.036857+00:00
2023-06-19,580.2,580.2,545.0,550.0,308316,550.0,2026-09-03T19:33:40.036857+00:00
2023-06-20,554.0,566.0,535.1,540.0,229378,540.0,2026-09-03T19:33:40.036857+00:00
2023-06-21,540.0,560.0,532.0,547.0,233430,547.0,2026-09-03T19:33:40.036857+00:00
2023-06-22,557.9,564.8,544.6,561.0,237721,561.0,2026-09-03T19:33:40.036857+00:00
2023-06-25,572.0,605.1,567.0,599.0,363061,599.0,2026-09-03T19:33:40.036857+00:00
2023-06-26,610.0,613.0,585.0,587.0,260362,587.0,2026-09-03T19:33:40.036857+00:00
2023-06-27,598.0,599.0,580.0,594.0,223434,594.0,2026-09-03T19:33:40.036857+00:00
2023-06-28,605.8,615.0,583.0,599.0,288869,599.0,2026-09-03T19:33:40.036857+00:00
2023-07-02,593.0,610.0,587.0,588.0,245565,588.0,2026-09-03T19:33:40.036857+00:00
2023-07-03,586.0,603.0,581.1,583.0,222577,583.0,2026-09-03T19:33:40.036857+00:00
2023-07-04,594.6,596.0,569.5,584.0,123500,584.0,2026-09-03T19:33:40.036857+00:00
2023-07-05,589.8,590.0,555.1,559.0,119710,559.0,2026-09-03T19:33:40.036857+00:00
2023-07-06,557.0,578.0,550.1,567.0,98660,567.0,2026-09-03T19:33:40.036857+00:00
2023-07-09,570.0,583.4,565.0,578.9,99338,578.9,2026-09-03T19:33:40.036857+00:00
2023-07-10,589.9,590.0,571.0,571.3,93115,571.3,2026-09-03T19:33:40.036857+00:00
2023-07-11,570.0,579.0,565.0,565.1,64715,565.1,2026-09-03T19:33:40.036857+00:00
2023-07-12,560.0,575.0,560.0,570.0,59393,570.0,2026-09-03T19:33:40.036857+00:00
2023-07-13,580.0,581.0,556.0,558.0,113923,558.0,2026-09-03T19:33:40.036857+00:00
2023-07-16,565.0,570.0,557.0,560.0,66579,560.0,2026-09-03T19:33:40.036857+00:00
2023-07-17,559.1,583.6,559.0,582.0,88764,582.0,2026-09-03T19:33:40.036857+00:00
2023-07-18,585.0,600.0,580.0,584.2,115654,584.2,2026-09-03T19:33:40.036857+00:00
2023-07-19,577.3,593.5,576.4,585.0,87188,585.0,2026-09-03T19:33:40.036857+00:00
2023-07-20,583.3,583.9,570.1,570.1,53172,570.1,2026-09-03T19:33:40.036857+00:00
2023-07-23,575.0,594.0,570.0,583.5,70056,583.5,2026-09-03T19:33:40.036857+00:00
2023-07-24,580.0,588.0,570.0,570.6,92375,570.6,2026-09-03T19:33:40.036857+00:00
2023-07-25,571.3,579.0,562.0,562.1,50756,562.1,2026-09-03T19:33:40.036857+00:00
2023-07-26,556.0,570.0,552.0,561.9,57641,561.9,2026-09-03T19:33:40.036857+00:00
2023-07-27,552.0,566.9,551.5,554.5,56285,554.5,2026-09-03T19:33:40.036857+00:00
2023-07-30,560.0,564.0,537.4,540.0,91300,540.0,2026-09-03T19:33:40.036857+00:00
2023-07-31,532.0,554.4,532.0,545.0,41177,545.0,2026-09-03T19:33:40.036857+00:00
2023-08-01,545.0,549.5,526.0,526.0,38778,526.0,2026-09-03T19:33:40.036857+00:00
2023-08-02,520.0,535.0,520.0,532.9,30211,532.9,2026-09-03T19:33:40.036857+00:00
2023-08-03,532.0,539.9,528.0,532.0,35462,532.0,2026-09-03T19:33:40.036857+00:00
2023-08-06,530.0,530.1,514.0,519.0,36670,519.0,2026-09-03T19:33:40.036857+00:00
2023-08-07,510.0,528.0,509.0,514.5,35987,514.5,2026-09-03T19:33:40.036857+00:00
2023-08-08,515.0,521.0,499.0,501.5,43319,501.5,2026-09-03T19:33:40.036857+00:00
2023-08-09,493.3,528.0,493.3,522.0,52552,522.0,2026-09-03T19:33:40.036857+00:00
2023-08-10,522.0,537.0,512.0,527.0,47580,527.0,2026-09-03T19:33:40.036857+00:00
2023-08-13,530.0,534.9,521.2,532.5,47779,532.5,2026-09-03T19:33:40.036857+00:00
2023-08-14,540.0,540.0,525.0,527.0,48626,527.0,2026-09-03T19:33:40.036857+00:00
2023-08-15,521.0,529.0,515.0,517.0,21324,517.0,2026-09-03T19:33:40.036857+00:00
2023-08-16,513.0,517.0,506.7,509.5,27759,509.5,2026-09-03T19:33:40.036857+00:00
2023-08-17,519.6,523.9,509.1,512.0,21983,512.0,2026-09-03T19:33:40.036857+00:00
2023-08-20,510.0,515.0,501.1,501.1,27468,501.1,2026-09-03T19:33:40.036857+00:00
2023-08-21,505.0,515.0,496.0,501.6,18569,501.6,2026-09-03T19:33:40.036857+00:00
2023-08-22,501.0,515.0,495.1,510.0,18325,510.0,2026-09-03T19:33:40.036857+00:00
2023-08-23,516.0,525.0,513.0,520.0,24445,520.0,2026-09-03T19:33:40.036857+00:00
2023-08-24,525.8,528.0,502.3,504.0,25731,504.0,2026-09-03T19:33:40.036857+00:00
2023-08-27,504.0,505.0,495.0,503.9,29562,503.9,2026-09-03T19:33:40.036857+00:00
2023-08-28,500.0,515.0,499.5,500.0,31449,500.0,2026-09-03T19:33:40.036857+00:00
2023-08-29,493.0,510.0,493.0,497.0,17877,497.0,2026-09-03T19:33:40.036857+00:00
2023-08-30,498.5,500.0,496.0,496.0,10629,496.0,2026-09-03T19:33:40.036857+00:00
2023-09-03,494.0,499.9,481.0,482.0,25592,482.0,2026-09-03T19:33:40.036857+00:00
2023-09-04,491.6,507.9,480.4,486.0,15270,486.0,2026-09-03T19:33:40.036857+00:00
2023-09-05,486.0,491.0,482.0,483.1,4118,483.1,2026-09-03T19:33:40.036857+00:00
2023-09-07,475.0,478.0,473.0,473.0,24315,473.0,2026-09-03T19:33:40.036857+00:00
2023-09-10,480.0,480.0,476.0,476.2,9661,476.2,2026-09-03T19:33:40.036857+00:00
2023-09-11,480.0,500.0,480.0,496.0,30663,496.0,2026-09-03T19:33:40.036857+00:00
2023-09-12,500.0,505.9,485.0,486.0,22885,486.0,2026-09-03T19:33:40.036857+00:00
2023-09-13,494.9,518.0,490.0,518.0,37023,518.0,2026-09-03T19:33:40.036857+00:00
2023-09-17,515.0,518.0,491.2,495.0,40060,495.0,2026-09-03T19:33:40.036857+00:00
2023-09-18,488.0,509.0,488.0,507.0,18695,507.0,2026-09-03T19:33:40.036857+00:00
2023-09-19,510.0,510.0,499.0,504.0,12105,504.0,2026-09-03T19:33:40.036857+00:00
2023-09-21,513.0,527.0,510.0,520.9,47669,520.9,2026-09-03T19:33:40.036857+00:00
2023-09-24,512.0,525.0,506.1,512.0,20905,512.0,2026-09-03T19:33:40.036857+00:00
2023-09-25,509.0,521.9,504.0,509.0,18142,509.0,2026-09-03T19:33:40.036857+00:00
2023-09-26,517.9,520.0,506.0,512.1,30863,512.1,2026-09-03T19:33:40.036857+00:00
2023-09-27,511.0,517.8,504.1,506.2,21606,506.2,2026-09-03T19:33:40.036857+00:00
2023-10-01,498.0,505.9,495.2,496.0,15018,496.0,2026-09-03T19:33:40.036857+00:00
2023-10-02,496.0,504.9,495.0,500.1,23310,500.1,2026-09-03T19:33:40.036857+00:00
2023-10-03,500.0,504.0,495.2,495.3,10938,495.3,2026-09-03T19:33:40.036857+00:00
2023-10-04,492.2,505.0,492.1,504.0,21017,504.0,2026-09-03T19:33:40.036857+00:00
2023-10-05,497.1,500.5,496.1,497.0,8654,497.0,2026-09-03T19:33:40.036857+00:00
2023-10-08,498.0,498.0,482.0,483.0,30379,483.0,2026-09-03T19:33:40.036857+00:00
2023-10-09,478.0,491.9,477.2,483.0,14598,483.0,2026-09-03T19:33:40.036857+00:00
2023-10-10,477.0,490.0,471.0,476.0,17917,476.0,2026-09-03T19:33:40.036857+00:00
2023-10-11,466.5,489.6,466.5,480.0,8663,480.0,2026-09-03T19:33:40.036857+00:00
2023-10-12,475.0,480.0,466.0,467.1,16555,467.1,2026-09-03T19:33:40.036857+00:00
2023-10-16,470.0,470.0,457.0,465.0,13573,465.0,2026-09-03T19:33:40.036857+00:00
2023-10-17,469.0,475.0,463.0,469.0,11602,469.0,2026-09-03T19:33:40.036857+00:00
2023-10-18,472.0,487.5,469.9,484.0,16770,484.0,2026-09-03T19:33:40.036857+00:00
2023-10-19,485.0,489.4,474.0,475.0,11682,475.0,2026-09-03T19:33:40.036857+00:00
2023-10-29,471.0,471.0,465.0,468.7,15145,468.7,2026-09-03T19:33:40.036857+00:00
2023-10-30,460.3,477.0,460.0,477.0,12998,477.0,2026-09-03T19:33:40.036857+00:00
2023-10-31,473.0,473.0,465.0,472.0,5888,472.0,2026-09-03T19:33:40.036857+00:00
2023-11-01,472.0,474.0,460.0,460.0,7922,460.0,2026-09-03T19:33:40.036857+00:00
2023-11-02,460.0,462.0,453.1,457.5,13221,457.5,2026-09-03T19:33:40.036857+00:00
2023-11-05,455.0,456.0,441.0,447.5,12408,447.5,2026-09-03T19:33:40.036857+00:00
2023-11-06,456.0,466.0,441.0,460.0,12059,460.0,2026-09-03T19:33:40.036857+00:00
2023-11-07,460.0,473.8,458.6,462.0,6368,462.0,2026-09-03T19:33:40.036857+00:00
2023-11-08,471.2,471.2,457.0,462.0,4479,462.0,2026-09-03T19:33:40.036857+00:00
2023-11-09,470.0,470.0,451.0,455.0,10197,455.0,2026-09-03T19:33:40.036857+00:00
2023-11-20,464.1,465.0,451.2,458.0,12308,458.0,2026-09-03T19:33:40.036857+00:00
2023-11-21,453.0,453.5,440.0,450.0,17577,450.0,2026-09-03T19:33:40.036857+00:00
2023-11-22,441.0,455.0,433.2,451.5,19678,451.5,2026-09-03T19:33:40.036857+00:00
2023-11-23,460.0,472.0,441.8,469.0,24127,469.0,2026-09-03T19:33:40.036857+00:00
2023-11-26,465.0,505.0,465.0,504.0,51235,504.0,2026-09-03T19:33:40.036857+00:00
2023-11-27,514.0,514.0,494.1,499.0,32344,499.0,2026-09-03T19:33:40.036857+00:00
2023-11-28,499.0,503.0,490.0,499.8,13582,499.8,2026-09-03T19:33:40.036857+00:00
2023-11-29,502.0,503.0,483.1,486.9,22503,486.9,2026-09-03T19:33:40.036857+00:00
