date,open,high,low,close,volume,adj_close,fetched_at
2019-07-08,312.0,343.2,312.0,343.2,70,343.2,2026-09-03T19:35:09.316540+00:00
2019-07-09,360.0,377.0,360.0,377.0,2030,377.0,2026-09-03T19:35:09.316540+00:00
2019-07-10,395.0,414.0,395.0,414.0,1170,414.0,2026-09-03T19:35:09.316540+00:00
2019-07-11,434.0,442.0,395.0,396.0,33978,396.0,2026-09-03T19:35:09.316540+00:00
2019-07-14,396.0,398.0,378.0,386.0,9560,386.0,2026-09-03T19:35:09.316540+00:00
2019-07-15,384.0,399.0,384.0,393.0,6312,393.0,2026-09-03T19:35:09.316540+00:00
2019-07-16,393.0,400.0,391.0,400.0,3470,400.0,2026-09-03T19:35:09.316540+00:00
2019-07-17,398.0,398.0,394.0,395.0,3115,395.0,2026-09-03T19:35:09.316540+00:00
2019-07-18,395.0,400.0,390.0,393.0,3580,393.0,2026-09-03T19:35:09.316540+00:00
2019-07-21,391.0,394.0,389.0,393.0,4220,393.0,2026-09-03T19:35:09.316540+00:00
2019-07-22,393.0,394.0,388.0,392.0,2380,392.0,2026-09-03T19:35:09.316540+00:00
2019-07-23,399.0,400.0,391.0,394.0,4115,394.0,2026-09-03T19:35:09.316540+00:00
2019-07-24,394.0,405.0,394.0,404.0,8278,404.0,2026-09-03T19:35:09.316540+00:00
2019-07-25,404.0,404.0,393.0,399.0,4425,399.0,2026-09-03T19:35:09.316540+00:00
2019-07-28,405.0,413.0,399.0,411.0,7960,411.0,2026-09-03T19:35:09.316540+00:00
2019-07-29,416.0,440.0,410.0,440.0,7883,440.0,2026-09-03T19:35:09.316540+00:00
2019-07-30,448.0,466.0,440.0,461.0,16362,461.0,2026-09-03T19:35:09.316540+00:00
2019-07-31,465.0,503.0,451.0,500.0,16916,500.0,2026-09-03T19:35:09.316540+00:00
2019-08-01,510.0,550.0,487.0,533.0,17210,533.0,2026-09-03T19:35:09.316540+00:00
2019-08-04,543.0,551.0,491.0,507.0,14349,507.0,2026-09-03T19:35:09.316540+00:00
2019-08-05,510.0,513.0,467.0,471.0,10930,471.0,2026-09-03T19:35:09.316540+00:00
2019-08-06,462.0,470.0,439.0,468.0,5996,468.0,2026-09-03T19:35:09.316540+00:00
2019-08-07,459.0,502.0,437.0,490.0,8803,490.0,2026-09-03T19:35:09.316540+00:00
2019-08-08,485.0,485.0,464.0,477.0,3480,477.0,2026-09-03T19:35:09.316540+00:00
2019-08-11,474.0,486.0,456.0,474.0,2700,474.0,2026-09-03T19:35:09.316540+00:00
2019-08-12,474.0,495.0,470.0,480.0,5140,480.0,2026-09-03T19:35:09.316540+00:00
2019-08-13,480.0,490.0,475.0,481.0,4465,481.0,2026-09-03T19:35:09.316540+00:00
