date,open,high,low,close,volume,adj_close,fetched_at
2021-07-29,914.0,989.1,890.0,989.1,100,989.1,2026-09-03T19:35:35.499677+00:00
2021-08-01,1007.7,1088.0,1007.7,1088.0,210,1088.0,2026-09-03T19:35:35.499677+00:00
2021-08-02,1109.7,1131.8,1109.7,1131.8,132,1131.8,2026-09-03T19:35:35.499677+00:00
2021-08-03,1154.4,1244.9,1154.4,1244.9,220,1244.9,2026-09-03T19:35:35.499677+00:00
2021-08-04,1248.8,1369.3,1248.8,1369.3,160,1369.3,2026-09-03T19:35:35.499677+00:00
2021-08-05,1396.6,1506.2,1396.6,1506.2,145,1506.2,2026-09-03T19:35:35.499677+00:00
2021-08-08,1511.7,1656.8,1511.7,1656.8,308,1656.8,2026-09-03T19:35:35.499677+00:00
2021-08-09,1688.8,1822.4,1688.8,1822.4,240,1822.4,2026-09-03T19:35:35.499677+00:00
2021-08-10,1858.8,2004.6,1858.8,2004.6,250,2004.6,2026-09-03T19:35:35.499677+00:00
2021-08-11,2044.6,2205.0,2044.6,2205.0,250,2205.0,2026-09-03T19:35:35.499677+00:00
2021-08-12,2249.1,2425.5,2249.1,2425.5,320,2425.5,2026-09-03T19:35:35.499677+00:00
2021-08-15,2451.8,2668.0,2451.8,2668.0,540,2668.0,2026-09-03T19:35:35.499677+00:00
2021-08-16,2721.3,2934.8,2721.3,2934.8,200,2934.8,2026-09-03T19:35:35.499677+00:00
2021-08-17,2993.4,3228.2,2993.4,3228.2,280,3228.2,2026-09-03T19:35:35.499677+00:00
2021-08-18,3292.7,3551.0,3292.7,3551.0,294,3551.0,2026-09-03T19:35:35.499677+00:00
2021-08-19,3622.0,3906.1,3622.0,3906.1,548,3906.1,2026-09-03T19:35:35.499677+00:00
2021-08-24,3984.2,4296.7,3984.2,4296.7,959,4296.7,2026-09-03T19:35:35.499677+00:00
2021-08-25,4382.6,4726.3,4382.6,4726.3,2881,4726.3,2026-09-03T19:35:35.499677+00:00
2021-08-26,4820.8,5198.9,4820.8,5198.9,39086,5198.9,2026-09-03T19:35:35.499677+00:00
2021-08-29,5302.8,5516.9,4802.0,5079.0,145451,5079.0,2026-09-03T19:35:35.499677+00:00
2021-08-31,5079.0,5079.0,4825.0,4836.0,56195,4836.0,2026-09-03T19:35:35.499677+00:00
2021-09-01,4800.0,5089.0,4770.1,4921.0,31824,4921.0,2026-09-03T19:35:35.499677+00:00
2021-09-02,5000.0,5000.0,4790.1,4800.0,22335,4800.0,2026-09-03T19:35:35.499677+00:00
2021-09-05,4800.0,4800.0,4533.1,4549.0,31477,4549.0,2026-09-03T19:35:35.499677+00:00
2021-09-06,4500.0,4946.0,4470.0,4900.0,21268,4900.0,2026-09-03T19:35:35.499677+00:00
2021-09-07,4998.0,4998.0,4680.0,4755.0,11413,4755.0,2026-09-03T19:35:35.499677+00:00
2021-09-08,4850.0,4850.0,4610.0,4660.0,9190,4660.0,2026-09-03T19:35:35.499677+00:00
2021-09-09,4600.0,4680.0,4590.0,4599.0,13102,4599.0,2026-09-03T19:35:35.499677+00:00
2021-09-12,4580.0,4775.0,4580.0,4745.2,16737,4745.2,2026-09-03T19:35:35.499677+00:00
2021-09-13,4750.0,4798.0,4650.0,4652.0,9952,4652.0,2026-09-03T19:35:35.499677+00:00
2021-09-14,4614.0,4650.0,4580.0,4591.0,9328,4591.0,2026-09-03T19:35:35.499677+00:00
2021-09-15,4526.0,4580.0,4499.0,4510.0,12100,4510.0,2026-09-03T19:35:35.499677+00:00
2021-09-16,4500.0,4510.0,4360.0,4386.0,17454,4386.0,2026-09-03T19:35:35.499677+00:00
