date,open,high,low,close,volume,adj_close,fetched_at
2019-01-17,256.0,256.0,243.0,243.0,70,243.0,2026-09-03T19:34:57.215683+00:00
2019-01-23,231.0,231.0,231.0,231.0,500,231.0,2026-09-03T19:34:57.215683+00:00
2019-01-29,220.0,220.0,220.0,220.0,20,220.0,2026-09-03T19:34:57.215683+00:00
2019-02-07,209.0,209.0,201.0,201.0,60,201.0,2026-09-03T19:34:57.215683+00:00
2019-02-10,191.0,191.0,191.0,191.0,20,191.0,2026-09-03T19:34:57.215683+00:00
2019-02-26,182.0,182.0,176.0,176.0,60,176.0,2026-09-03T19:34:57.215683+00:00
2019-03-03,168.0,168.0,168.0,168.0,10,168.0,2026-09-03T19:34:57.215683+00:00
2019-03-05,160.0,160.0,160.0,160.0,20,160.0,2026-09-03T19:34:57.215683+00:00
2019-04-09,152.0,152.0,147.0,147.0,50,147.0,2026-09-03T19:34:57.215683+00:00
2019-05-13,140.0,140.0,140.0,140.0,20,140.0,2026-09-03T19:34:57.215683+00:00
2019-05-14,133.0,133.0,133.0,133.0,50,133.0,2026-09-03T19:34:57.215683+00:00
2019-05-23,127.0,127.0,123.0,123.0,70,123.0,2026-09-03T19:34:57.215683+00:00
2019-05-26,117.0,117.0,111.0,111.0,210,111.0,2026-09-03T19:34:57.215683+00:00
2019-05-28,106.0,106.0,104.0,104.0,20,104.0,2026-09-03T19:34:57.215683+00:00
2019-05-29,99.0,99.0,94.0,94.0,2505,94.0,2026-09-03T19:34:57.215683+00:00
2019-05-30,95.0,98.0,93.0,94.0,4586,94.0,2026-09-03T19:34:57.215683+00:00
2019-06-02,95.0,95.0,91.0,95.0,1100,95.0,2026-09-03T19:34:57.215683+00:00
2019-06-03,94.0,94.0,94.0,94.0,20,94.0,2026-09-03T19:34:57.215683+00:00
2019-06-04,93.0,93.0,88.0,88.0,1800,88.0,2026-09-03T19:34:57.215683+00:00
2019-06-06,89.0,92.0,89.0,92.0,1820,92.0,2026-09-03T19:34:57.215683+00:00
2019-06-11,91.0,96.0,91.0,94.0,3610,94.0,2026-09-03T19:34:57.215683+00:00
2019-06-12,93.0,93.0,87.0,90.0,790,90.0,2026-09-03T19:34:57.215683+00:00
2019-06-13,89.0,89.0,85.0,87.0,600,87.0,2026-09-03T19:34:57.215683+00:00
2019-06-16,86.0,86.0,84.0,86.0,660,86.0,2026-09-03T19:34:57.215683+00:00
2019-06-17,85.0,85.0,83.0,84.0,480,84.0,2026-09-03T19:34:57.215683+00:00
2019-06-18,83.0,84.0,83.0,84.0,480,84.0,2026-09-03T19:34:57.215683+00:00
2019-06-19,83.0,85.0,83.0,84.0,260,84.0,2026-09-03T19:34:57.215683+00:00
2019-06-20,80.0,85.0,80.0,84.0,470,84.0,2026-09-03T19:34:57.215683+00:00
2019-06-23,83.0,84.0,82.0,83.0,640,83.0,2026-09-03T19:34:57.215683+00:00
2019-06-24,82.0,83.0,80.0,83.0,760,83.0,2026-09-03T19:34:57.215683+00:00
2019-06-25,82.0,83.0,81.0,83.0,390,83.0,2026-09-03T19:34:57.215683+00:00
2019-06-26,82.0,83.0,81.0,82.0,760,82.0,2026-09-03T19:34:57.215683+00:00
2019-06-27,81.0,84.0,81.0,83.0,480,83.0,2026-09-03T19:34:57.215683+00:00
2019-06-30,79.0,82.0,79.0,81.0,860,81.0,2026-09-03T19:34:57.215683+00:00
2019-07-01,80.0,81.0,79.0,80.0,950,80.0,2026-09-03T19:34:57.215683+00:00
2019-07-02,81.0,81.0,79.0,80.0,530,80.0,2026-09-03T19:34:57.215683+00:00
2019-07-03,79.0,80.0,78.0,78.0,1030,78.0,2026-09-03T19:34:57.215683+00:00
2019-07-04,78.0,79.0,78.0,79.0,130,79.0,2026-09-03T19:34:57.215683+00:00
2019-07-07,78.0,80.0,78.0,79.0,180,79.0,2026-09-03T19:34:57.215683+00:00
2019-07-08,78.0,79.0,78.0,78.0,250,78.0,2026-09-03T19:34:57.215683+00:00
2019-07-09,77.0,81.0,77.0,79.0,420,79.0,2026-09-03T19:34:57.215683+00:00
2019-07-10,78.0,79.0,78.0,79.0,220,79.0,2026-09-03T19:34:57.215683+00:00
2019-07-11,79.0,79.0,76.0,76.0,1050,76.0,2026-09-03T19:34:57.215683+00:00
2019-07-14,75.0,77.0,75.0,77.0,290,77.0,2026-09-03T19:34:57.215683+00:00
2019-07-15,77.0,78.0,77.0,78.0,100,78.0,2026-09-03T19:34:57.215683+00:00
2019-07-16,77.0,79.0,77.0,77.0,370,77.0,2026-09-03T19:34:57.215683+00:00
2019-07-17,78.0,80.0,78.0,79.0,450,79.0,2026-09-03T19:34:57.215683+00:00
2019-07-18,80.0,80.0,77.0,77.0,170,77.0,2026-09-03T19:34:57.215683+00:00
2019-07-21,78.0,79.0,77.0,79.0,270,79.0,2026-09-03T19:34:57.215683+00:00
2019-07-22,79.0,79.0,77.0,79.0,520,79.0,2026-09-03T19:34:57.215683+00:00
2019-07-23,79.0,80.0,78.0,78.0,280,78.0,2026-09-03T19:34:57.215683+00:00
