date,open,high,low,close,volume,adj_close,fetched_at
2015-12-10,0.0,419.0,381.0,419.0,590,419.0,2026-09-03T19:34:27.543008+00:00
2015-12-17,419.0,460.0,427.0,460.0,100,460.0,2026-09-03T19:34:27.543008+00:00
2016-03-23,460.0,492.0,483.0,492.0,190,492.0,2026-09-03T19:34:27.543008+00:00
2016-03-24,492.0,541.0,516.0,541.0,440,541.0,2026-09-03T19:34:27.543008+00:00
2016-03-27,541.0,568.0,568.0,568.0,30,568.0,2026-09-03T19:34:27.543008+00:00
2016-03-28,568.0,596.0,596.0,596.0,50,596.0,2026-09-03T19:34:27.543008+00:00
2016-03-31,518.0,528.0,528.0,528.0,10,528.0,2026-09-03T19:34:27.543008+00:00
2016-05-03,528.0,538.0,538.0,538.0,10,538.0,2026-09-03T19:34:27.543008+00:00
2016-05-10,538.0,548.0,548.0,548.0,10,548.0,2026-09-03T19:34:27.543008+00:00
2016-05-15,548.0,558.0,558.0,558.0,10,558.0,2026-09-03T19:34:27.543008+00:00
2016-05-18,558.0,585.0,585.0,585.0,10,585.0,2026-09-03T19:34:27.543008+00:00
2016-05-31,585.0,607.0,596.0,607.0,20,607.0,2026-09-03T19:34:27.543008+00:00
2016-06-09,607.0,619.0,619.0,619.0,10,619.0,2026-09-03T19:34:27.543008+00:00
2016-06-20,619.0,649.0,649.0,649.0,10,649.0,2026-09-03T19:34:27.543008+00:00
2016-06-26,649.0,661.0,661.0,661.0,10,661.0,2026-09-03T19:34:27.543008+00:00
2016-07-05,661.0,694.0,694.0,694.0,10,694.0,2026-09-03T19:34:27.543008+00:00
2016-07-14,694.0,707.0,707.0,707.0,10,707.0,2026-09-03T19:34:27.543008+00:00
2016-07-17,707.0,777.0,721.0,777.0,1125,777.0,2026-09-03T19:34:27.543008+00:00
2016-07-18,777.0,792.0,792.0,792.0,10,792.0,2026-09-03T19:34:27.543008+00:00
2016-07-19,792.0,807.0,807.0,807.0,10,807.0,2026-09-03T19:34:27.543008+00:00
2016-07-20,807.0,847.0,847.0,847.0,10,847.0,2026-09-03T19:34:27.543008+00:00
2016-07-27,847.0,863.0,863.0,863.0,10,863.0,2026-09-03T19:34:27.543008+00:00
2016-07-28,863.0,906.0,906.0,906.0,10,906.0,2026-09-03T19:34:27.543008+00:00
2016-08-07,906.0,942.0,924.0,942.0,20,942.0,2026-09-03T19:34:27.543008+00:00
2016-08-08,942.0,1008.0,989.0,1008.0,20,1008.0,2026-09-03T19:34:27.543008+00:00
2016-08-09,1008.0,1058.0,1058.0,1058.0,10,1058.0,2026-09-03T19:34:27.543008+00:00
2016-08-14,1058.0,1110.0,1110.0,1110.0,20,1110.0,2026-09-03T19:34:27.543008+00:00
2016-08-16,1110.0,1150.0,1150.0,1150.0,10,1150.0,2026-09-03T19:34:27.543008+00:00
2016-08-21,1150.0,1173.0,1173.0,1173.0,10,1173.0,2026-09-03T19:34:27.543008+00:00
2016-08-28,1173.0,1219.0,1196.0,1219.0,20,1219.0,2026-09-03T19:34:27.543008+00:00
2016-08-31,1219.0,1267.0,1243.0,1267.0,20,1267.0,2026-09-03T19:34:27.543008+00:00
2016-09-03,1267.0,1330.0,1330.0,1330.0,40,1330.0,2026-09-03T19:34:27.543008+00:00
2016-09-04,1267.0,1330.0,1330.0,1330.0,40,1330.0,2026-09-03T19:34:27.543008+00:00
2016-09-08,1330.0,1356.0,1356.0,1356.0,10,1356.0,2026-09-03T19:34:27.543008+00:00
2016-09-11,1356.0,1383.0,1383.0,1383.0,10,1383.0,2026-09-03T19:34:27.543008+00:00
2016-09-14,1383.0,1410.0,1410.0,1410.0,10,1410.0,2026-09-03T19:34:27.543008+00:00
2016-09-18,1410.0,1480.0,1480.0,1480.0,20,1480.0,2026-09-03T19:34:27.543008+00:00
2016-09-20,1480.0,1509.0,1509.0,1509.0,10,1509.0,2026-09-03T19:34:27.543008+00:00
2016-09-22,1509.0,1584.0,1584.0,1584.0,10,1584.0,2026-09-03T19:34:27.543008+00:00
2016-09-25,1584.0,1615.0,1615.0,1615.0,10,1615.0,2026-09-03T19:34:27.543008+00:00
2016-09-28,1615.0,1712.0,1647.0,1712.0,30,1712.0,2026-09-03T19:34:27.543008+00:00
2016-10-03,1712.0,1780.0,1746.0,1780.0,20,1780.0,2026-09-03T19:34:27.543008+00:00
2016-10-05,1780.0,1906.0,1869.0,1906.0,20,1906.0,2026-09-03T19:34:27.543008+00:00
2016-10-16,1906.0,1944.0,1944.0,1944.0,10,1944.0,2026-09-03T19:34:27.543008+00:00
2016-10-17,1944.0,1982.0,1982.0,1982.0,10,1982.0,2026-09-03T19:34:27.543008+00:00
2016-10-19,1982.0,2061.0,2021.0,2061.0,20,2061.0,2026-09-03T19:34:27.543008+00:00
2016-10-24,2061.0,2144.0,2102.0,2144.0,20,2144.0,2026-09-03T19:34:27.543008+00:00
2016-10-25,2144.0,2229.0,2186.0,2229.0,20,2229.0,2026-09-03T19:34:27.543008+00:00
2016-10-26,2229.0,2451.0,2273.0,2451.0,80,2451.0,2026-09-03T19:34:27.543008+00:00
2016-10-27,2451.0,2696.0,2500.0,2696.0,420,2696.0,2026-09-03T19:34:27.543008+00:00
2016-11-03,2696.0,2965.0,2749.0,2965.0,490,2965.0,2026-09-03T19:34:27.543008+00:00
2016-11-07,2965.0,3055.0,2802.0,3050.0,1620,3050.0,2026-09-03T19:34:27.543008+00:00
2016-11-08,3050.0,3100.0,2901.0,3060.0,1355,3060.0,2026-09-03T19:34:27.543008+00:00
2016-11-09,3060.0,3060.0,2906.0,2906.0,620,2906.0,2026-09-03T19:34:27.543008+00:00
2016-11-10,2906.0,3000.0,2860.0,2899.0,560,2899.0,2026-09-03T19:34:27.543008+00:00
2016-11-13,2899.0,2998.0,2850.0,2905.0,750,2905.0,2026-09-03T19:34:27.543008+00:00
2016-11-14,2905.0,2910.0,2865.0,2868.0,420,2868.0,2026-09-03T19:34:27.543008+00:00
2016-11-15,2868.0,2900.0,2820.0,2840.0,200,2840.0,2026-09-03T19:34:27.543008+00:00
2016-11-16,2840.0,2840.0,2740.0,2740.0,450,2740.0,2026-09-03T19:34:27.543008+00:00
2016-11-17,2740.0,2686.0,2600.0,2600.0,120,2600.0,2026-09-03T19:34:27.543008+00:00
2016-11-20,2600.0,2548.0,2411.0,2411.0,130,2411.0,2026-09-03T19:34:27.543008+00:00
2016-11-21,2411.0,2363.0,2200.0,2290.0,320,2290.0,2026-09-03T19:34:27.543008+00:00
2016-11-22,2290.0,2280.0,2157.0,2163.0,680,2163.0,2026-09-03T19:34:27.543008+00:00
2016-11-23,2163.0,2200.0,2066.0,2066.0,860,2066.0,2026-09-03T19:34:27.543008+00:00
2016-11-24,2066.0,2150.0,2027.0,2027.0,310,2027.0,2026-09-03T19:34:27.543008+00:00
2016-11-27,2027.0,2050.0,1851.0,1851.0,690,1851.0,2026-09-03T19:34:27.543008+00:00
2016-11-28,1851.0,1887.0,1666.0,1887.0,580,1887.0,2026-09-03T19:34:27.543008+00:00
2016-11-29,1887.0,1960.0,1780.0,1960.0,1595,1960.0,2026-09-03T19:34:27.543008+00:00
2016-11-30,1633.0,1665.0,1665.0,1665.0,50,1665.0,2026-09-03T19:34:27.543008+00:00
2016-12-01,1665.0,1735.0,1698.0,1735.0,200,1735.0,2026-09-03T19:34:27.543008+00:00
2016-12-04,1735.0,1744.0,1710.0,1744.0,30,1744.0,2026-09-03T19:34:27.543008+00:00
2016-12-05,1744.0,1786.0,1750.0,1786.0,110,1786.0,2026-09-03T19:34:27.543008+00:00
2016-12-06,1786.0,1755.0,1686.0,1686.0,160,1686.0,2026-09-03T19:34:27.543008+00:00
2016-12-07,1686.0,1686.0,1686.0,1686.0,10,1686.0,2026-09-03T19:34:27.543008+00:00
2016-12-08,1686.0,1788.0,1719.0,1788.0,40,1788.0,2026-09-03T19:34:27.543008+00:00
2016-12-11,1788.0,1823.0,1787.0,1787.0,30,1787.0,2026-09-03T19:34:27.543008+00:00
2016-12-12,1787.0,1765.0,1752.0,1765.0,30,1765.0,2026-09-03T19:34:27.543008+00:00
2016-12-14,1765.0,1735.0,1731.0,1735.0,200,1735.0,2026-09-03T19:34:27.543008+00:00
2016-12-18,1735.0,1720.0,1701.0,1720.0,30,1720.0,2026-09-03T19:34:27.543008+00:00
2016-12-19,1720.0,1690.0,1690.0,1690.0,10,1690.0,2026-09-03T19:34:27.543008+00:00
2016-12-20,1690.0,1715.0,1658.0,1691.0,160,1691.0,2026-09-03T19:34:27.543008+00:00
2016-12-21,1691.0,1661.0,1630.0,1630.0,210,1630.0,2026-09-03T19:34:27.543008+00:00
2016-12-22,1630.0,1645.0,1635.0,1645.0,20,1645.0,2026-09-03T19:34:27.543008+00:00
2016-12-26,1645.0,1809.0,1677.0,1809.0,1390,1809.0,2026-09-03T19:34:27.543008+00:00
2016-12-27,1809.0,1815.0,1741.0,1815.0,210,1815.0,2026-09-03T19:34:27.543008+00:00
2016-12-28,1815.0,1888.0,1813.0,1813.0,110,1813.0,2026-09-03T19:34:27.543008+00:00
2016-12-29,1813.0,1849.0,1813.0,1813.0,110,1813.0,2026-09-03T19:34:27.543008+00:00
2017-01-01,1813.0,1849.0,1849.0,1849.0,10,1849.0,2026-09-03T19:34:27.543008+00:00
2017-01-02,1849.0,1868.0,1850.0,1868.0,80,1868.0,2026-09-03T19:34:27.543008+00:00
2017-01-03,1868.0,1831.0,1795.0,1795.0,80,1795.0,2026-09-03T19:34:27.543008+00:00
2017-01-04,1795.0,1800.0,1761.0,1764.0,50,1764.0,2026-09-03T19:34:27.543008+00:00
2017-01-05,1764.0,1745.0,1745.0,1745.0,30,1745.0,2026-09-03T19:34:27.543008+00:00
2017-01-08,1745.0,1779.0,1713.0,1779.0,130,1779.0,2026-09-03T19:34:27.543008+00:00
2017-01-09,1779.0,1780.0,1780.0,1780.0,40,1780.0,2026-09-03T19:34:27.543008+00:00
2017-01-10,1780.0,1851.0,1815.0,1815.0,280,1815.0,2026-09-03T19:34:27.543008+00:00
2017-01-11,1815.0,1800.0,1800.0,1800.0,10,1800.0,2026-09-03T19:34:27.543008+00:00
2017-01-12,1800.0,1764.0,1730.0,1730.0,220,1730.0,2026-09-03T19:34:27.543008+00:00
2017-01-15,1730.0,1734.0,1696.0,1734.0,60,1734.0,2026-09-03T19:34:27.543008+00:00
2017-01-16,1734.0,1734.0,1700.0,1721.0,30,1721.0,2026-09-03T19:34:27.543008+00:00
2017-01-18,1721.0,1860.0,1755.0,1860.0,70,1860.0,2026-09-03T19:34:27.543008+00:00
2017-01-19,1860.0,1835.0,1805.0,1813.0,170,1813.0,2026-09-03T19:34:27.543008+00:00
2017-01-22,1813.0,1888.0,1830.0,1870.0,282,1870.0,2026-09-03T19:34:27.543008+00:00
2017-01-23,1870.0,1836.0,1836.0,1836.0,10,1836.0,2026-09-03T19:34:27.543008+00:00
2017-01-24,1836.0,1849.0,1802.0,1815.0,210,1815.0,2026-09-03T19:34:27.543008+00:00
2017-01-25,1815.0,1785.0,1751.0,1751.0,88,1751.0,2026-09-03T19:34:27.543008+00:00
2017-01-26,1751.0,1716.0,1651.0,1660.0,280,1660.0,2026-09-03T19:34:27.543008+00:00
2017-01-30,1660.0,1628.0,1495.0,1495.0,70,1495.0,2026-09-03T19:34:27.543008+00:00
2017-01-31,1495.0,1495.0,1437.0,1437.0,260,1437.0,2026-09-03T19:34:27.543008+00:00
2017-02-02,1437.0,1580.0,1465.0,1549.0,120,1549.0,2026-09-03T19:34:27.543008+00:00
2017-02-06,1549.0,1575.0,1575.0,1575.0,30,1575.0,2026-09-03T19:34:27.543008+00:00
2017-02-07,1575.0,1606.0,1575.0,1581.0,90,1581.0,2026-09-03T19:34:27.543008+00:00
2017-02-08,1581.0,1583.0,1551.0,1559.0,120,1559.0,2026-09-03T19:34:27.543008+00:00
2017-02-09,1559.0,1528.0,1490.0,1490.0,130,1490.0,2026-09-03T19:34:27.543008+00:00
2017-02-12,1490.0,1480.0,1445.0,1446.0,160,1446.0,2026-09-03T19:34:27.543008+00:00
2017-02-13,1446.0,1419.0,1346.0,1346.0,113,1346.0,2026-09-03T19:34:27.543008+00:00
2017-02-14,1346.0,1405.0,1360.0,1405.0,40,1405.0,2026-09-03T19:34:27.543008+00:00
2017-02-15,1405.0,1530.0,1433.0,1530.0,180,1530.0,2026-09-03T19:34:27.543008+00:00
2017-02-16,1530.0,1501.0,1501.0,1501.0,10,1501.0,2026-09-03T19:34:27.543008+00:00
2017-02-19,1501.0,1476.0,1476.0,1476.0,10,1476.0,2026-09-03T19:34:27.543008+00:00
2017-02-21,1476.0,1505.0,1505.0,1505.0,10,1505.0,2026-09-03T19:34:27.543008+00:00
2017-02-23,1505.0,1475.0,1446.0,1474.0,60,1474.0,2026-09-03T19:34:27.543008+00:00
2017-02-26,1474.0,1473.0,1445.0,1473.0,20,1473.0,2026-09-03T19:34:27.543008+00:00
2017-02-28,1473.0,1504.0,1473.0,1504.0,80,1504.0,2026-09-03T19:34:27.543008+00:00
2017-03-01,1504.0,1625.0,1475.0,1625.0,210,1625.0,2026-09-03T19:34:27.543008+00:00
2017-03-02,1625.0,1703.0,1630.0,1703.0,410,1703.0,2026-09-03T19:34:27.543008+00:00
2017-03-05,1703.0,1735.0,1690.0,1735.0,180,1735.0,2026-09-03T19:34:27.543008+00:00
2017-03-06,1735.0,1740.0,1740.0,1740.0,20,1740.0,2026-09-03T19:34:27.543008+00:00
2017-03-07,1740.0,1774.0,1770.0,1774.0,20,1774.0,2026-09-03T19:34:27.543008+00:00
