date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,242.0,242.0,238.0,239.0,548,239.0,2026-09-03T19:33:20.307829+00:00
2012-09-10,239.0,238.0,236.0,238.0,890,238.0,2026-09-03T19:33:20.307829+00:00
2012-09-11,238.0,241.0,238.0,238.0,411,238.0,2026-09-03T19:33:20.307829+00:00
2012-09-12,238.0,238.0,234.0,238.0,2213,238.0,2026-09-03T19:33:20.307829+00:00
2012-09-13,238.0,246.0,236.0,240.0,789,240.0,2026-09-03T19:33:20.307829+00:00
2012-09-16,240.0,243.0,239.0,243.0,2508,243.0,2026-09-03T19:33:20.307829+00:00
2012-09-17,243.0,246.0,243.0,244.0,1517,244.0,2026-09-03T19:33:20.307829+00:00
2012-09-18,244.0,251.0,244.0,244.0,3860,244.0,2026-09-03T19:33:20.307829+00:00
2012-09-19,244.0,243.0,240.0,243.0,798,243.0,2026-09-03T19:33:20.307829+00:00
2012-09-20,243.0,240.0,235.0,240.0,1810,240.0,2026-09-03T19:33:20.307829+00:00
2012-09-23,240.0,240.0,232.0,234.0,759,234.0,2026-09-03T19:33:20.307829+00:00
2012-09-24,234.0,231.0,230.0,230.0,645,230.0,2026-09-03T19:33:20.307829+00:00
2012-09-25,230.0,235.0,234.0,235.0,1757,235.0,2026-09-03T19:33:20.307829+00:00
2012-09-26,235.0,237.0,235.0,237.0,1937,237.0,2026-09-03T19:33:20.307829+00:00
2012-09-30,235.0,235.0,231.0,234.0,995,234.0,2026-09-03T19:33:20.307829+00:00
2012-10-01,234.0,236.0,230.0,233.0,4663,233.0,2026-09-03T19:33:20.307829+00:00
2012-10-01,234.0,236.0,230.0,233.0,4663,233.0,2026-09-03T19:33:20.307829+00:00
2012-10-02,233.0,236.0,234.0,236.0,3342,236.0,2026-09-03T19:33:20.307829+00:00
2012-10-03,236.0,238.0,234.0,236.0,5770,236.0,2026-09-03T19:33:20.307829+00:00
2012-10-04,236.0,235.0,232.0,234.0,1394,234.0,2026-09-03T19:33:20.307829+00:00
2012-10-07,234.0,237.0,230.0,230.0,5071,230.0,2026-09-03T19:33:20.307829+00:00
2012-10-08,230.0,238.0,234.0,235.0,1184,235.0,2026-09-03T19:33:20.307829+00:00
2012-10-09,235.0,242.0,235.0,241.0,1488,241.0,2026-09-03T19:33:20.307829+00:00
2012-10-10,241.0,239.0,237.0,237.0,686,237.0,2026-09-03T19:33:20.307829+00:00
2012-10-11,237.0,235.0,234.0,235.0,885,235.0,2026-09-03T19:33:20.307829+00:00
2012-10-14,235.0,236.0,233.0,235.0,1783,235.0,2026-09-03T19:33:20.307829+00:00
2012-10-15,235.0,235.0,231.0,233.0,1604,233.0,2026-09-03T19:33:20.307829+00:00
2012-10-17,233.0,239.0,233.0,239.0,2220,239.0,2026-09-03T19:33:20.307829+00:00
2012-10-18,239.0,243.0,242.0,243.0,343,243.0,2026-09-03T19:33:20.307829+00:00
2012-10-30,243.0,253.0,246.0,252.0,2870,252.0,2026-09-03T19:33:20.307829+00:00
2012-10-31,252.0,262.0,249.0,250.0,2623,250.0,2026-09-03T19:33:20.307829+00:00
2012-11-01,250.0,252.0,250.0,250.0,1899,250.0,2026-09-03T19:33:20.307829+00:00
2012-11-04,250.0,255.0,250.0,254.0,2200,254.0,2026-09-03T19:33:20.307829+00:00
2012-11-05,254.0,263.0,255.0,259.0,6450,259.0,2026-09-03T19:33:20.307829+00:00
2012-11-06,259.0,265.0,255.0,265.0,4812,265.0,2026-09-03T19:33:20.307829+00:00
2012-11-07,265.0,282.0,267.0,273.0,5445,273.0,2026-09-03T19:33:20.307829+00:00
2012-11-08,273.0,283.0,268.0,275.0,6912,275.0,2026-09-03T19:33:20.307829+00:00
2012-11-11,275.0,275.0,260.0,260.0,4820,260.0,2026-09-03T19:33:20.307829+00:00
2012-11-12,260.0,272.0,253.0,269.0,6807,269.0,2026-09-03T19:33:20.307829+00:00
2012-11-18,269.0,295.0,270.0,283.0,6896,283.0,2026-09-03T19:33:20.307829+00:00
2012-11-20,283.0,295.0,282.0,290.0,8997,290.0,2026-09-03T19:33:20.307829+00:00
2012-11-21,290.0,286.0,276.0,284.0,11514,284.0,2026-09-03T19:33:20.307829+00:00
2012-11-22,284.0,282.0,272.0,280.0,3878,280.0,2026-09-03T19:33:20.307829+00:00
2012-11-25,280.0,285.0,273.0,275.0,6951,275.0,2026-09-03T19:33:20.307829+00:00
2012-11-26,275.0,275.0,265.0,273.0,2945,273.0,2026-09-03T19:33:20.307829+00:00
2012-11-27,273.0,275.0,268.0,275.0,3154,275.0,2026-09-03T19:33:20.307829+00:00
2012-11-28,275.0,272.0,267.0,270.0,1192,270.0,2026-09-03T19:33:20.307829+00:00
2012-11-29,270.0,267.0,266.0,266.0,151,266.0,2026-09-03T19:33:20.307829+00:00
2012-12-02,266.0,261.0,250.0,251.0,3820,251.0,2026-09-03T19:33:20.307829+00:00
2012-12-03,251.0,250.0,240.0,240.0,3129,240.0,2026-09-03T19:33:20.307829+00:00
2012-12-04,240.0,262.0,244.0,257.0,3130,257.0,2026-09-03T19:33:20.307829+00:00
2012-12-05,257.0,268.0,258.0,268.0,3014,268.0,2026-09-03T19:33:20.307829+00:00
2012-12-06,268.0,263.0,255.0,263.0,1999,263.0,2026-09-03T19:33:20.307829+00:00
2012-12-09,263.0,265.0,255.0,255.0,777,255.0,2026-09-03T19:33:20.307829+00:00
2012-12-10,255.0,255.0,245.0,254.0,1029,254.0,2026-09-03T19:33:20.307829+00:00
2012-12-11,254.0,264.0,252.0,252.0,868,252.0,2026-09-03T19:33:20.307829+00:00
2012-12-12,252.0,257.0,253.0,257.0,1919,257.0,2026-09-03T19:33:20.307829+00:00
2012-12-13,257.0,255.0,253.0,254.0,438,254.0,2026-09-03T19:33:20.307829+00:00
2012-12-16,254.0,270.0,259.0,270.0,3546,270.0,2026-09-03T19:33:20.307829+00:00
2012-12-17,270.0,280.0,264.0,264.0,4049,264.0,2026-09-03T19:33:20.307829+00:00
2012-12-18,264.0,269.0,257.0,265.0,3676,265.0,2026-09-03T19:33:20.307829+00:00
2012-12-19,265.0,275.0,260.0,266.0,4054,266.0,2026-09-03T19:33:20.307829+00:00
2012-12-20,266.0,279.0,266.0,276.0,12985,276.0,2026-09-03T19:33:20.307829+00:00
2012-12-23,276.0,280.0,275.0,275.0,2928,275.0,2026-09-03T19:33:20.307829+00:00
2012-12-24,275.0,285.0,280.0,280.0,4799,280.0,2026-09-03T19:33:20.307829+00:00
2012-12-26,280.0,295.0,284.0,290.0,11941,290.0,2026-09-03T19:33:20.307829+00:00
