date,open,high,low,close,volume,adj_close,fetched_at
2023-08-21,479.0,526.9,479.0,526.9,1102,526.9,2026-09-03T19:36:39.158214+00:00
2023-08-22,537.4,579.5,537.4,579.5,970,579.5,2026-09-03T19:36:39.158214+00:00
2023-08-23,591.0,637.4,591.0,637.4,640,637.4,2026-09-03T19:36:39.158214+00:00
2023-08-24,650.1,701.1,650.1,701.1,2578,701.1,2026-09-03T19:36:39.158214+00:00
2023-08-27,715.1,771.2,715.1,771.2,2509,771.2,2026-09-03T19:36:39.158214+00:00
2023-08-28,786.6,848.3,786.6,848.3,1991,848.3,2026-09-03T19:36:39.158214+00:00
2023-08-29,848.3,933.1,848.3,933.1,16318,933.1,2026-09-03T19:36:39.158214+00:00
2023-08-30,950.0,969.0,862.4,882.0,14491,882.0,2026-09-03T19:36:39.158214+00:00
2023-09-03,865.0,865.0,794.0,808.0,8735,808.0,2026-09-03T19:36:39.158214+00:00
2023-09-04,792.0,836.4,780.0,836.0,4450,836.0,2026-09-03T19:36:39.158214+00:00
2023-09-05,820.0,830.0,804.0,830.0,1376,830.0,2026-09-03T19:36:39.158214+00:00
2023-09-07,814.6,823.1,800.6,822.0,3308,822.0,2026-09-03T19:36:39.158214+00:00
2023-09-10,806.1,868.5,794.0,805.0,3756,805.0,2026-09-03T19:36:39.158214+00:00
2023-09-11,811.0,819.9,780.2,814.0,1750,814.0,2026-09-03T19:36:39.158214+00:00
2023-09-12,805.0,812.0,793.0,806.0,2980,806.0,2026-09-03T19:36:39.158214+00:00
2023-09-13,791.4,839.0,791.4,834.0,1925,834.0,2026-09-03T19:36:39.158214+00:00
2023-09-17,817.4,822.0,796.3,814.9,1340,814.9,2026-09-03T19:36:39.158214+00:00
2023-09-18,801.1,829.8,800.0,813.0,2667,813.0,2026-09-03T19:36:39.158214+00:00
2023-09-19,796.9,828.8,796.9,799.1,1596,799.1,2026-09-03T19:36:39.158214+00:00
2023-09-21,815.0,839.0,815.0,833.0,4760,833.0,2026-09-03T19:36:39.158214+00:00
2023-09-24,840.0,864.0,818.0,833.0,3728,833.0,2026-09-03T19:36:39.158214+00:00
2023-09-25,818.1,849.0,818.0,849.0,2420,849.0,2026-09-03T19:36:39.158214+00:00
2023-09-26,833.0,876.0,816.5,859.0,3308,859.0,2026-09-03T19:36:39.158214+00:00
2023-09-27,842.0,844.9,820.0,834.0,927,834.0,2026-09-03T19:36:39.158214+00:00
2023-10-01,820.0,828.0,805.0,805.1,847,805.1,2026-09-03T19:36:39.158214+00:00
2023-10-02,806.5,820.0,796.0,815.0,1385,815.0,2026-09-03T19:36:39.158214+00:00
2023-10-03,801.1,812.0,797.5,812.0,876,812.0,2026-09-03T19:36:39.158214+00:00
2023-10-04,802.0,815.9,801.2,810.0,1395,810.0,2026-09-03T19:36:39.158214+00:00
2023-10-05,795.4,810.0,795.4,807.0,783,807.0,2026-09-03T19:36:39.158214+00:00
2023-10-08,791.7,796.0,786.1,786.1,840,786.1,2026-09-03T19:36:39.158214+00:00
2023-10-09,780.2,791.0,780.0,789.0,1003,789.0,2026-09-03T19:36:39.158214+00:00
2023-10-10,780.1,780.1,770.0,780.0,1619,780.0,2026-09-03T19:36:39.158214+00:00
2023-10-11,779.0,788.4,772.0,788.4,590,788.4,2026-09-03T19:36:39.158214+00:00
2023-10-12,773.0,774.0,760.0,774.0,770,774.0,2026-09-03T19:36:39.158214+00:00
2023-10-16,770.0,770.0,735.2,736.0,1236,736.0,2026-09-03T19:36:39.158214+00:00
2023-10-17,750.7,750.7,736.0,747.0,520,747.0,2026-09-03T19:36:39.158214+00:00
2023-10-18,747.0,775.0,747.0,774.7,310,774.7,2026-09-03T19:36:39.158214+00:00
2023-10-19,759.4,766.0,750.0,750.0,490,750.0,2026-09-03T19:36:39.158214+00:00
2023-10-29,749.0,760.0,740.0,747.0,800,747.0,2026-09-03T19:36:39.158214+00:00
2023-10-30,736.0,774.9,736.0,774.9,1320,774.9,2026-09-03T19:36:39.158214+00:00
2023-10-31,759.5,759.5,740.2,746.0,2454,746.0,2026-09-03T19:36:39.158214+00:00
2023-11-01,737.0,750.0,737.0,748.7,510,748.7,2026-09-03T19:36:39.158214+00:00
2023-11-02,738.0,749.9,736.0,743.0,772,743.0,2026-09-03T19:36:39.158214+00:00
2023-11-05,729.0,733.0,722.0,733.0,440,733.0,2026-09-03T19:36:39.158214+00:00
2023-11-06,744.0,747.9,721.0,740.0,1746,740.0,2026-09-03T19:36:39.158214+00:00
2023-11-07,752.9,754.0,740.0,745.0,474,745.0,2026-09-03T19:36:39.158214+00:00
2023-11-08,750.0,755.0,740.0,755.0,170,755.0,2026-09-03T19:36:39.158214+00:00
2023-11-09,742.0,742.0,731.2,740.0,472,740.0,2026-09-03T19:36:39.158214+00:00
2023-11-20,740.5,750.0,726.1,738.0,310,738.0,2026-09-03T19:36:39.158214+00:00
2023-11-21,725.1,730.0,724.3,724.3,233,724.3,2026-09-03T19:36:39.158214+00:00
2023-11-22,725.0,751.0,725.0,736.0,110,736.0,2026-09-03T19:36:39.158214+00:00
2023-11-23,725.0,763.4,725.0,763.4,560,763.4,2026-09-03T19:36:39.158214+00:00
2023-11-26,750.0,775.0,748.2,773.9,600,773.9,2026-09-03T19:36:39.158214+00:00
2023-11-27,773.5,819.0,773.5,800.0,2127,800.0,2026-09-03T19:36:39.158214+00:00
2023-11-28,805.0,805.0,775.0,804.0,1030,804.0,2026-09-03T19:36:39.158214+00:00
2023-11-29,791.0,791.0,775.3,788.0,460,788.0,2026-09-03T19:36:39.158214+00:00
2023-11-30,772.5,773.9,744.0,744.0,740,744.0,2026-09-03T19:36:39.158214+00:00
2023-12-03,744.0,754.5,738.1,754.5,160,754.5,2026-09-03T19:36:39.158214+00:00
2023-12-04,740.0,770.0,740.0,768.9,200,768.9,2026-09-03T19:36:39.158214+00:00
2023-12-05,753.6,761.0,747.0,761.0,360,761.0,2026-09-03T19:36:39.158214+00:00
2023-12-06,751.0,751.0,750.1,750.1,140,750.1,2026-09-03T19:36:39.158214+00:00
2023-12-07,735.1,765.0,735.1,765.0,650,765.0,2026-09-03T19:36:39.158214+00:00
2023-12-10,780.3,811.0,780.3,811.0,70,811.0,2026-09-03T19:36:39.158214+00:00
2023-12-11,827.2,827.2,773.2,793.0,1087,793.0,2026-09-03T19:36:39.158214+00:00
2023-12-12,800.0,824.9,787.0,824.0,845,824.0,2026-09-03T19:36:39.158214+00:00
2023-12-13,824.0,824.0,777.1,777.1,2810,777.1,2026-09-03T19:36:39.158214+00:00
2023-12-14,789.0,820.0,781.1,783.1,2175,783.1,2026-09-03T19:36:39.158214+00:00
2023-12-17,783.1,825.0,783.1,825.0,1900,825.0,2026-09-03T19:36:39.158214+00:00
2023-12-18,840.0,841.4,800.1,823.0,1810,823.0,2026-09-03T19:36:39.158214+00:00
2023-12-19,810.1,810.1,795.3,808.0,630,808.0,2026-09-03T19:36:39.158214+00:00
2023-12-20,801.0,824.0,800.0,823.9,1769,823.9,2026-09-03T19:36:39.158214+00:00
2023-12-21,840.3,906.2,812.5,893.0,4625,893.0,2026-09-03T19:36:39.158214+00:00
2023-12-24,878.0,966.4,861.0,918.0,4616,918.0,2026-09-03T19:36:39.158214+00:00
2023-12-27,920.0,920.0,857.5,907.0,1620,907.0,2026-09-03T19:36:39.158214+00:00
2023-12-28,893.0,894.0,861.0,869.9,1290,869.9,2026-09-03T19:36:39.158214+00:00
2024-01-01,887.0,903.0,843.0,864.9,3642,864.9,2026-09-03T19:36:39.158214+00:00
2024-01-02,850.0,850.1,825.0,844.0,1850,844.0,2026-09-03T19:36:39.158214+00:00
2024-01-03,844.0,909.8,835.0,909.8,3313,909.8,2026-09-03T19:36:39.158214+00:00
2024-01-04,892.0,900.0,875.0,895.0,915,895.0,2026-09-03T19:36:39.158214+00:00
2024-01-07,900.0,905.0,867.1,878.0,3580,878.0,2026-09-03T19:36:39.158214+00:00
2024-01-08,881.0,915.0,872.0,891.1,1110,891.1,2026-09-03T19:36:39.158214+00:00
2024-01-09,908.9,927.0,886.1,886.1,2164,886.1,2026-09-03T19:36:39.158214+00:00
2024-01-10,903.8,903.8,878.0,898.0,1554,898.0,2026-09-03T19:36:39.158214+00:00
2024-01-11,904.0,908.8,891.0,899.0,1145,899.0,2026-09-03T19:36:39.158214+00:00
2024-01-14,916.0,952.6,916.0,926.0,2828,926.0,2026-09-03T19:36:39.158214+00:00
2024-01-16,930.0,957.7,922.0,953.0,2067,953.0,2026-09-03T19:36:39.158214+00:00
2024-01-17,936.0,936.0,897.0,911.5,1515,911.5,2026-09-03T19:36:39.158214+00:00
2024-01-18,894.0,929.0,876.2,904.2,2494,904.2,2026-09-03T19:36:39.158214+00:00
2024-01-21,888.0,905.0,875.2,890.0,1480,890.0,2026-09-03T19:36:39.158214+00:00
2024-01-22,890.0,890.0,848.0,861.9,2212,861.9,2026-09-03T19:36:39.158214+00:00
2024-01-23,847.3,888.0,844.8,852.1,460,852.1,2026-09-03T19:36:39.158214+00:00
2024-01-24,868.0,885.8,839.3,850.0,1589,850.0,2026-09-03T19:36:39.158214+00:00
2024-01-25,846.0,850.0,831.0,850.0,1122,850.0,2026-09-03T19:36:39.158214+00:00
2024-01-28,860.0,867.0,840.2,864.0,500,864.0,2026-09-03T19:36:39.158214+00:00
2024-01-29,850.0,871.0,850.0,869.9,1567,869.9,2026-09-03T19:36:39.158214+00:00
2024-01-30,855.0,889.7,855.0,876.0,800,876.0,2026-09-03T19:36:39.158214+00:00
2024-01-31,885.0,888.0,855.0,855.0,995,855.0,2026-09-03T19:36:39.158214+00:00
2024-02-01,840.0,865.0,827.0,827.0,1800,827.0,2026-09-03T19:36:39.158214+00:00
2024-02-04,827.0,860.0,827.0,840.9,383,840.9,2026-09-03T19:36:39.158214+00:00
2024-02-05,850.0,900.0,849.7,900.0,1397,900.0,2026-09-03T19:36:39.158214+00:00
2024-02-06,883.0,899.0,880.0,899.0,740,899.0,2026-09-03T19:36:39.158214+00:00
2024-02-07,882.0,901.0,872.0,880.0,2788,880.0,2026-09-03T19:36:39.158214+00:00
2024-02-08,897.5,911.0,893.0,909.9,2850,909.9,2026-09-03T19:36:39.158214+00:00
2024-02-11,928.0,1000.8,913.1,1000.8,9868,1000.8,2026-09-03T19:36:39.158214+00:00
2024-02-12,1020.8,1100.8,1020.8,1100.8,1560,1100.8,2026-09-03T19:36:39.158214+00:00
2024-02-13,1120.0,1210.0,1030.0,1100.0,12534,1100.0,2026-09-03T19:36:39.158214+00:00
2024-02-14,1078.0,1078.0,1035.5,1047.0,7550,1047.0,2026-09-03T19:36:39.158214+00:00
2024-02-15,1029.0,1052.1,1021.0,1035.0,2765,1035.0,2026-09-03T19:36:39.158214+00:00
2024-02-18,1030.0,1111.0,1015.0,1081.0,6423,1081.0,2026-09-03T19:36:39.158214+00:00
2024-02-20,1059.5,1102.6,1059.5,1090.0,1980,1090.0,2026-09-03T19:36:39.158214+00:00
2024-02-21,1080.0,1100.0,1052.0,1052.0,1867,1052.0,2026-09-03T19:36:39.158214+00:00
2024-02-22,1065.0,1070.0,1005.0,1005.0,960,1005.0,2026-09-03T19:36:39.158214+00:00
2024-02-25,985.1,1004.0,950.1,988.0,3083,988.0,2026-09-03T19:36:39.158214+00:00
2024-02-26,1007.7,1007.7,935.0,984.0,2528,984.0,2026-09-03T19:36:39.158214+00:00
2024-02-27,980.0,998.0,975.0,998.0,160,998.0,2026-09-03T19:36:39.158214+00:00
2024-02-28,980.1,993.0,945.7,983.5,1294,983.5,2026-09-03T19:36:39.158214+00:00
2024-02-29,968.0,970.0,931.0,931.0,1397,931.0,2026-09-03T19:36:39.158214+00:00
2024-03-03,949.6,949.6,915.0,933.6,465,933.6,2026-09-03T19:36:39.158214+00:00
2024-03-04,952.2,971.2,952.2,971.2,20,971.2,2026-09-03T19:36:39.158214+00:00
2024-03-05,972.0,994.0,950.0,950.0,795,950.0,2026-09-03T19:36:39.158214+00:00
2024-03-06,942.1,1014.9,942.1,965.0,653,965.0,2026-09-03T19:36:39.158214+00:00
2024-03-07,970.0,1005.0,950.0,1004.0,1580,1004.0,2026-09-03T19:36:39.158214+00:00
2024-03-10,1024.0,1060.0,1004.0,1005.0,1620,1005.0,2026-09-03T19:36:39.158214+00:00
2024-03-12,1025.0,1065.9,1003.7,1041.0,960,1041.0,2026-09-03T19:36:39.158214+00:00
2024-03-13,1059.9,1059.9,1015.0,1029.9,1790,1029.9,2026-09-03T19:36:39.158214+00:00
2024-03-14,1029.5,1049.0,1000.0,1045.0,1265,1045.0,2026-09-03T19:36:39.158214+00:00
2024-03-17,1040.0,1045.0,994.0,1030.0,2070,1030.0,2026-09-03T19:36:39.158214+00:00
2024-03-18,1040.0,1040.0,1008.0,1025.4,520,1025.4,2026-09-03T19:36:39.158214+00:00
2024-03-19,1026.0,1046.5,1020.0,1027.0,1818,1027.0,2026-09-03T19:36:39.158214+00:00
2024-03-20,1045.0,1050.0,1025.0,1030.0,2604,1030.0,2026-09-03T19:36:39.158214+00:00
2024-03-21,1050.6,1060.0,1018.0,1039.0,1270,1039.0,2026-09-03T19:36:39.158214+00:00
2024-03-25,1059.7,1079.0,1016.2,1049.0,360,1049.0,2026-09-03T19:36:39.158214+00:00
2024-03-26,1032.0,1052.0,1015.1,1052.0,290,1052.0,2026-09-03T19:36:39.158214+00:00
2024-03-27,1031.0,1031.0,1008.0,1020.0,550,1020.0,2026-09-03T19:36:39.158214+00:00
2024-03-28,1020.0,1040.0,999.6,1000.0,1497,1000.0,2026-09-03T19:36:39.158214+00:00
2024-03-31,1020.0,1024.0,990.0,1000.0,990,1000.0,2026-09-03T19:36:39.158214+00:00
2024-04-01,1020.0,1040.0,994.0,1003.0,401,1003.0,2026-09-03T19:36:39.158214+00:00
2024-04-02,1020.0,1043.4,1004.5,1019.0,525,1019.0,2026-09-03T19:36:39.158214+00:00
2024-04-03,1000.0,1035.0,999.0,999.0,1280,999.0,2026-09-03T19:36:39.158214+00:00
