date,open,high,low,close,volume,adj_close,fetched_at
2022-07-27,10.0,10.0,9.0,9.0,10250,9.0,2026-09-03T19:36:00.471544+00:00
2022-07-28,8.85,9.02,8.7,9.01,16091,9.01,2026-09-03T19:36:00.471544+00:00
2022-07-29,8.89,8.96,8.89,8.96,3300,8.96,2026-09-03T19:36:00.471544+00:00
2022-07-31,8.94,9.1,8.93,9.0,10900,9.0,2026-09-03T19:36:00.471544+00:00
2022-08-01,9.0,9.0,8.7,8.92,6020,8.92,2026-09-03T19:36:00.471544+00:00
2022-08-02,8.75,9.0,8.75,8.91,23970,8.91,2026-09-03T19:36:00.471544+00:00
2022-08-03,8.74,9.09,8.74,8.92,9350,8.92,2026-09-03T19:36:00.471544+00:00
2022-08-04,8.75,9.09,8.75,9.09,10890,9.09,2026-09-03T19:36:00.471544+00:00
2022-08-05,8.95,8.95,8.86,8.86,2300,8.86,2026-09-03T19:36:00.471544+00:00
2022-08-07,8.7,8.92,8.7,8.92,6350,8.92,2026-09-03T19:36:00.471544+00:00
2022-08-08,9.09,9.09,8.72,8.8,5870,8.8,2026-09-03T19:36:00.471544+00:00
2022-08-09,8.63,8.83,8.63,8.8,6550,8.8,2026-09-03T19:36:00.471544+00:00
2022-08-10,8.63,8.81,8.63,8.71,4950,8.71,2026-09-03T19:36:00.471544+00:00
2022-08-11,8.54,9.02,8.54,8.85,2100,8.85,2026-09-03T19:36:00.471544+00:00
2022-08-14,8.68,8.86,8.68,8.7,3300,8.7,2026-09-03T19:36:00.471544+00:00
2022-08-15,8.68,8.89,8.6,8.8,11010,8.8,2026-09-03T19:36:00.471544+00:00
2022-08-16,8.63,8.82,8.63,8.71,3300,8.71,2026-09-03T19:36:00.471544+00:00
2022-08-17,8.54,8.71,8.54,8.66,3490,8.66,2026-09-03T19:36:00.471544+00:00
2022-08-18,8.66,8.83,8.56,8.6,3950,8.6,2026-09-03T19:36:00.471544+00:00
2022-08-21,8.43,8.7,8.43,8.5,4950,8.5,2026-09-03T19:36:00.471544+00:00
2022-08-22,8.33,8.67,8.33,8.41,4950,8.41,2026-09-03T19:36:00.471544+00:00
2022-08-23,8.25,8.73,8.25,8.6,3600,8.6,2026-09-03T19:36:00.471544+00:00
2022-08-24,8.43,9.11,8.43,8.94,5400,8.94,2026-09-03T19:36:00.471544+00:00
2022-08-25,8.94,9.0,8.48,8.65,7000,8.65,2026-09-03T19:36:00.471544+00:00
2022-08-26,8.48,8.5,8.48,8.49,1300,8.49,2026-09-03T19:36:00.471544+00:00
2022-08-28,8.33,8.64,8.33,8.51,9950,8.51,2026-09-03T19:36:00.471544+00:00
2022-08-29,8.39,8.61,8.18,8.55,15350,8.55,2026-09-03T19:36:00.471544+00:00
2022-08-30,8.39,8.52,8.24,8.51,2700,8.51,2026-09-03T19:36:00.471544+00:00
2022-08-31,8.5,8.5,8.4,8.43,2800,8.43,2026-09-03T19:36:00.471544+00:00
2022-09-01,8.59,8.59,8.4,8.41,4900,8.41,2026-09-03T19:36:00.471544+00:00
2022-09-02,8.27,8.55,8.27,8.38,1400,8.38,2026-09-03T19:36:00.471544+00:00
2022-09-04,8.25,8.43,8.25,8.3,3700,8.3,2026-09-03T19:36:00.471544+00:00
2022-09-05,8.3,8.48,8.3,8.33,2750,8.33,2026-09-03T19:36:00.471544+00:00
2022-09-06,8.17,8.36,8.17,8.36,4000,8.36,2026-09-03T19:36:00.471544+00:00
2022-09-07,8.3,8.37,8.21,8.26,3050,8.26,2026-09-03T19:36:00.471544+00:00
2022-09-08,8.15,8.4,8.15,8.3,11210,8.3,2026-09-03T19:36:00.471544+00:00
2022-09-11,8.15,8.39,8.15,8.36,1900,8.36,2026-09-03T19:36:00.471544+00:00
2022-09-12,8.2,8.4,8.18,8.32,2700,8.32,2026-09-03T19:36:00.471544+00:00
2022-09-13,8.32,8.48,8.2,8.25,4650,8.25,2026-09-03T19:36:00.471544+00:00
2022-09-14,8.18,8.44,8.18,8.3,3750,8.3,2026-09-03T19:36:00.471544+00:00
2022-09-15,8.25,8.3,8.25,8.26,3650,8.26,2026-09-03T19:36:00.471544+00:00
2022-09-16,8.15,8.33,8.15,8.21,10800,8.21,2026-09-03T19:36:00.471544+00:00
2022-09-18,8.17,8.24,8.17,8.24,2500,8.24,2026-09-03T19:36:00.471544+00:00
2022-09-20,8.17,8.4,8.14,8.24,9795,8.24,2026-09-03T19:36:00.471544+00:00
2022-09-21,8.09,8.2,8.09,8.18,3600,8.18,2026-09-03T19:36:00.471544+00:00
2022-09-22,8.02,8.29,8.02,8.29,6000,8.29,2026-09-03T19:36:00.471544+00:00
2022-09-25,8.13,8.13,7.46,7.71,1500,7.71,2026-09-03T19:36:00.471544+00:00
2022-09-27,7.8,7.95,7.8,7.85,1100,7.85,2026-09-03T19:36:00.471544+00:00
2022-09-28,7.85,7.86,7.85,7.86,1500,7.86,2026-09-03T19:36:00.471544+00:00
