date,open,high,low,close,volume,adj_close,fetched_at
2023-03-23,134.4,139.7,134.4,139.7,207,139.7,2026-09-03T19:36:21.702017+00:00
2023-03-26,137.7,148.1,137.7,148.1,123,148.1,2026-09-03T19:36:21.702017+00:00
2023-03-27,151.0,162.9,151.0,162.9,94,162.9,2026-09-03T19:36:21.702017+00:00
2023-03-28,166.1,166.1,166.1,166.1,20,166.1,2026-09-03T19:36:21.702017+00:00
2023-03-29,169.4,182.7,169.4,182.7,60,182.7,2026-09-03T19:36:21.702017+00:00
2023-03-30,186.3,193.8,186.3,193.8,52,193.8,2026-09-03T19:36:21.702017+00:00
2023-04-02,197.6,213.1,197.6,213.1,161,213.1,2026-09-03T19:36:21.702017+00:00
2023-04-03,217.3,234.4,217.3,234.4,200,234.4,2026-09-03T19:36:21.702017+00:00
2023-04-04,230.1,257.8,230.1,257.8,110,257.8,2026-09-03T19:36:21.702017+00:00
2023-04-05,257.7,283.5,257.7,283.5,180,283.5,2026-09-03T19:36:21.702017+00:00
2023-04-06,289.1,311.8,289.1,311.8,290,311.8,2026-09-03T19:36:21.702017+00:00
2023-04-09,318.0,342.9,318.0,342.9,531,342.9,2026-09-03T19:36:21.702017+00:00
2023-04-10,349.7,377.1,349.7,377.1,523,377.1,2026-09-03T19:36:21.702017+00:00
2023-04-11,384.6,414.8,384.6,414.8,837,414.8,2026-09-03T19:36:21.702017+00:00
2023-04-12,414.7,456.2,414.7,456.2,800,456.2,2026-09-03T19:36:21.702017+00:00
2023-04-13,456.2,501.8,456.2,501.8,1004,501.8,2026-09-03T19:36:21.702017+00:00
2023-04-16,511.8,551.9,511.8,551.9,1135,551.9,2026-09-03T19:36:21.702017+00:00
2023-04-17,562.9,607.0,562.9,607.0,1152,607.0,2026-09-03T19:36:21.702017+00:00
2023-04-18,619.1,667.7,619.1,667.7,926,667.7,2026-09-03T19:36:21.702017+00:00
2023-04-19,681.0,734.4,681.0,734.4,755,734.4,2026-09-03T19:36:21.702017+00:00
2023-04-20,749.0,807.8,749.0,807.8,930,807.8,2026-09-03T19:36:21.702017+00:00
2023-04-23,823.9,888.5,823.9,888.5,5264,888.5,2026-09-03T19:36:21.702017+00:00
2023-04-24,906.2,970.0,801.5,803.0,105636,803.0,2026-09-03T19:36:21.702017+00:00
2023-04-25,787.0,803.0,760.0,788.0,38487,788.0,2026-09-03T19:36:21.702017+00:00
2023-04-26,778.0,806.0,775.0,797.0,11752,797.0,2026-09-03T19:36:21.702017+00:00
2023-04-27,785.0,799.0,781.1,792.8,11680,792.8,2026-09-03T19:36:21.702017+00:00
2023-04-30,780.0,798.0,770.0,770.1,12357,770.1,2026-09-03T19:36:21.702017+00:00
2023-05-02,770.0,777.0,760.0,764.0,9070,764.0,2026-09-03T19:36:21.702017+00:00
2023-05-03,760.0,760.1,745.0,750.0,8778,750.0,2026-09-03T19:36:21.702017+00:00
2023-05-04,737.5,750.0,733.0,740.0,11644,740.0,2026-09-03T19:36:21.702017+00:00
2023-05-07,740.0,740.0,712.6,713.0,6248,713.0,2026-09-03T19:36:21.702017+00:00
2023-05-08,708.1,720.0,687.0,688.0,15068,688.0,2026-09-03T19:36:21.702017+00:00
2023-05-09,675.0,730.3,675.0,720.0,12141,720.0,2026-09-03T19:36:21.702017+00:00
2023-05-10,720.0,734.4,706.0,717.0,6461,717.0,2026-09-03T19:36:21.702017+00:00
2023-05-11,710.0,715.0,700.0,705.0,5943,705.0,2026-09-03T19:36:21.702017+00:00
2023-05-14,718.1,729.0,701.0,704.0,10259,704.0,2026-09-03T19:36:21.702017+00:00
2023-05-15,701.0,716.0,697.0,709.0,6026,709.0,2026-09-03T19:36:21.702017+00:00
2023-05-16,710.0,729.0,708.5,713.0,4463,713.0,2026-09-03T19:36:21.702017+00:00
2023-05-17,713.5,731.0,708.0,725.6,6195,725.6,2026-09-03T19:36:21.702017+00:00
2023-05-18,714.0,760.0,714.0,753.0,12698,753.0,2026-09-03T19:36:21.702017+00:00
2023-05-21,764.0,782.0,740.0,757.0,17187,757.0,2026-09-03T19:36:21.702017+00:00
2023-05-22,750.0,770.0,742.4,760.0,11152,760.0,2026-09-03T19:36:21.702017+00:00
2023-05-23,760.0,790.5,760.0,778.0,12048,778.0,2026-09-03T19:36:21.702017+00:00
2023-05-24,780.0,795.0,761.2,788.0,14646,788.0,2026-09-03T19:36:21.702017+00:00
2023-05-28,780.0,803.0,765.0,774.0,22687,774.0,2026-09-03T19:36:21.702017+00:00
2023-05-30,760.3,775.0,741.7,742.0,17905,742.0,2026-09-03T19:36:21.702017+00:00
2023-05-31,745.0,760.0,722.2,730.0,17037,730.0,2026-09-03T19:36:21.702017+00:00
2023-06-01,730.0,745.0,725.1,737.0,9651,737.0,2026-09-03T19:36:21.702017+00:00
2023-06-04,740.0,774.0,740.0,772.0,15002,772.0,2026-09-03T19:36:21.702017+00:00
2023-06-05,779.0,782.0,750.0,755.0,10517,755.0,2026-09-03T19:36:21.702017+00:00
2023-06-06,750.0,783.0,746.0,775.0,11947,775.0,2026-09-03T19:36:21.702017+00:00
2023-06-07,775.0,800.7,771.0,773.5,11293,773.5,2026-09-03T19:36:21.702017+00:00
2023-06-08,768.0,790.0,768.0,768.0,12864,768.0,2026-09-03T19:36:21.702017+00:00
2023-06-11,775.0,786.0,770.1,774.0,10107,774.0,2026-09-03T19:36:21.702017+00:00
2023-06-12,772.0,851.4,772.0,851.4,57674,851.4,2026-09-03T19:36:21.702017+00:00
2023-06-13,868.4,927.0,865.0,915.0,46445,915.0,2026-09-03T19:36:21.702017+00:00
2023-06-14,900.0,931.0,878.0,899.9,34409,899.9,2026-09-03T19:36:21.702017+00:00
2023-06-15,917.8,937.0,865.3,915.0,43934,915.0,2026-09-03T19:36:21.702017+00:00
