date,open,high,low,close,volume,adj_close,fetched_at
2021-04-19,10.0,10.0,9.81,9.97,9400,9.97,2026-09-03T19:35:30.147548+00:00
2021-04-20,9.95,10.0,9.8,9.96,17400,9.96,2026-09-03T19:35:30.147548+00:00
2021-04-21,9.77,10.04,9.77,9.9,12650,9.9,2026-09-03T19:35:30.147548+00:00
2021-04-22,9.71,10.08,9.71,9.92,10300,9.92,2026-09-03T19:35:30.147548+00:00
2021-04-25,9.73,9.9,9.61,9.8,15260,9.8,2026-09-03T19:35:30.147548+00:00
2021-04-26,9.62,9.89,9.62,9.89,23200,9.89,2026-09-03T19:35:30.147548+00:00
2021-04-27,9.89,9.89,9.7,9.85,13860,9.85,2026-09-03T19:35:30.147548+00:00
2021-04-28,9.69,10.0,9.69,10.0,12800,10.0,2026-09-03T19:35:30.147548+00:00
2021-04-29,9.81,9.94,9.72,9.91,14112,9.91,2026-09-03T19:35:30.147548+00:00
2021-05-02,9.42,9.94,9.42,9.82,30160,9.82,2026-09-03T19:35:30.147548+00:00
2021-05-03,9.8,9.89,9.8,9.84,20218,9.84,2026-09-03T19:35:30.147548+00:00
2021-05-04,9.83,9.99,9.8,9.97,16960,9.97,2026-09-03T19:35:30.147548+00:00
2021-05-05,9.8,9.95,9.78,9.9,16010,9.9,2026-09-03T19:35:30.147548+00:00
2021-05-06,9.8,9.9,9.76,9.89,15800,9.89,2026-09-03T19:35:30.147548+00:00
2021-05-09,9.7,9.84,9.7,9.83,10090,9.83,2026-09-03T19:35:30.147548+00:00
2021-05-10,9.75,9.9,9.75,9.83,24600,9.83,2026-09-03T19:35:30.147548+00:00
2021-05-11,9.89,9.93,9.75,9.92,21910,9.92,2026-09-03T19:35:30.147548+00:00
2021-05-12,9.82,10.0,9.82,9.99,27980,9.99,2026-09-03T19:35:30.147548+00:00
2021-05-13,9.8,10.0,9.8,9.93,15204,9.93,2026-09-03T19:35:30.147548+00:00
2021-05-16,9.74,9.96,9.74,9.89,29500,9.89,2026-09-03T19:35:30.147548+00:00
2021-05-17,9.8,10.04,9.8,9.92,37360,9.92,2026-09-03T19:35:30.147548+00:00
2021-05-18,9.92,9.97,9.92,9.95,23020,9.95,2026-09-03T19:35:30.147548+00:00
2021-05-19,9.89,10.04,9.89,10.04,32318,10.04,2026-09-03T19:35:30.147548+00:00
2021-05-20,10.0,10.01,9.84,9.89,62100,9.89,2026-09-03T19:35:30.147548+00:00
2021-05-23,9.85,10.05,9.85,9.85,69000,9.85,2026-09-03T19:35:30.147548+00:00
2021-05-24,9.8,9.98,9.66,9.93,26790,9.93,2026-09-03T19:35:30.147548+00:00
2021-05-25,10.0,10.1,9.89,9.95,23671,9.95,2026-09-03T19:35:30.147548+00:00
2021-05-27,9.8,9.99,9.8,9.97,24550,9.97,2026-09-03T19:35:30.147548+00:00
2021-05-30,9.95,10.18,9.91,10.08,69334,10.08,2026-09-03T19:35:30.147548+00:00
2021-05-31,9.95,10.29,9.95,10.12,68540,10.12,2026-09-03T19:35:30.147548+00:00
2021-06-01,10.12,10.25,10.1,10.16,91250,10.16,2026-09-03T19:35:30.147548+00:00
2021-06-02,10.2,10.2,9.96,10.2,35230,10.2,2026-09-03T19:35:30.147548+00:00
2021-06-03,10.0,10.25,10.0,10.2,69410,10.2,2026-09-03T19:35:30.147548+00:00
2021-06-06,10.2,10.2,10.12,10.2,47100,10.2,2026-09-03T19:35:30.147548+00:00
2021-06-07,10.2,10.3,10.1,10.2,57890,10.2,2026-09-03T19:35:30.147548+00:00
2021-06-08,10.0,10.32,10.0,10.25,82399,10.25,2026-09-03T19:35:30.147548+00:00
2021-06-09,10.05,10.3,10.05,10.25,39728,10.25,2026-09-03T19:35:30.147548+00:00
