date,open,high,low,close,volume,adj_close,fetched_at
2026-05-26,300.0,327.7,300.0,327.7,40,327.7,2026-09-03T19:37:30.176096+00:00
2026-05-27,326.7,376.8,326.7,376.8,60,376.8,2026-09-03T19:37:30.176096+00:00
2026-06-01,375.3,433.3,375.3,433.3,150,433.3,2026-09-03T19:37:30.176096+00:00
2026-06-02,446.2,498.2,446.2,498.2,130,498.2,2026-09-03T19:37:30.176096+00:00
2026-06-03,497.1,572.9,497.1,572.9,200,572.9,2026-09-03T19:37:30.176096+00:00
2026-06-04,601.5,658.8,601.5,658.8,170,658.8,2026-09-03T19:37:30.176096+00:00
2026-06-05,691.7,757.6,691.7,757.6,440,757.6,2026-09-03T19:37:30.176096+00:00
2026-06-08,780.3,871.2,780.3,871.2,990,871.2,2026-09-03T19:37:30.176096+00:00
2026-06-09,914.7,1001.8,914.7,1001.8,3380,1001.8,2026-09-03T19:37:30.176096+00:00
2026-06-10,1051.8,1152.0,1051.8,1152.0,12420,1152.0,2026-09-03T19:37:30.176096+00:00
2026-06-11,1200.0,1324.8,1134.0,1193.2,110575,1193.2,2026-09-03T19:37:30.176096+00:00
2026-06-12,1252.8,1252.8,1050.3,1066.0,66840,1066.0,2026-09-03T19:37:30.176096+00:00
2026-06-15,1066.0,1166.0,1000.1,1073.0,36390,1073.0,2026-09-03T19:37:30.176096+00:00
2026-06-16,1041.0,1080.0,1015.4,1035.0,33110,1035.0,2026-09-03T19:37:30.176096+00:00
2026-06-17,984.4,1035.0,984.4,1008.0,31840,1008.0,2026-09-03T19:37:30.176096+00:00
2026-06-18,995.0,1028.9,984.0,1010.0,26798,1010.0,2026-09-03T19:37:30.176096+00:00
2026-06-19,989.1,1009.0,986.4,998.0,15157,998.0,2026-09-03T19:37:30.176096+00:00
2026-06-22,986.2,1014.0,968.2,985.7,22983,985.7,2026-09-03T19:37:30.176096+00:00
2026-06-23,936.5,1010.0,930.1,930.1,21145,930.1,2026-09-03T19:37:30.176096+00:00
2026-06-24,930.0,956.0,855.0,899.9,30181,899.9,2026-09-03T19:37:30.176096+00:00
2026-06-25,876.0,930.0,875.0,930.0,18194,930.0,2026-09-03T19:37:30.176096+00:00
2026-06-26,950.0,950.0,889.9,914.0,14555,914.0,2026-09-03T19:37:30.176096+00:00
2026-06-29,890.1,892.0,870.0,880.0,13740,880.0,2026-09-03T19:37:30.176096+00:00
2026-06-30,836.0,890.0,836.0,843.1,12498,843.1,2026-09-03T19:37:30.176096+00:00
2026-07-01,830.0,889.0,821.0,862.0,16525,862.0,2026-09-03T19:37:30.176096+00:00
2026-07-02,866.0,884.0,847.0,862.0,12345,862.0,2026-09-03T19:37:30.176096+00:00
2026-07-03,905.1,905.1,853.7,865.0,15475,865.0,2026-09-03T19:37:30.176096+00:00
2026-07-06,855.0,880.0,841.0,869.9,13938,869.9,2026-09-03T19:37:30.176096+00:00
2026-07-07,846.5,889.9,846.5,885.0,15086,885.0,2026-09-03T19:37:30.176096+00:00
2026-07-08,880.0,889.0,870.0,889.0,17680,889.0,2026-09-03T19:37:30.176096+00:00
2026-07-09,884.0,894.5,870.0,892.9,10580,892.9,2026-09-03T19:37:30.176096+00:00
2026-07-10,892.9,904.0,880.0,897.9,6756,897.9,2026-09-03T19:37:30.176096+00:00
2026-07-13,896.0,897.0,875.1,885.0,14721,885.0,2026-09-03T19:37:30.176096+00:00
2026-07-14,870.0,905.0,870.0,902.0,14147,902.0,2026-09-03T19:37:30.176096+00:00
2026-07-15,902.0,929.9,902.0,925.3,6883,925.3,2026-09-03T19:37:30.176096+00:00
2026-07-16,920.0,947.6,901.0,916.0,14177,916.0,2026-09-03T19:37:30.176096+00:00
2026-07-17,920.0,1030.0,920.0,998.0,24893,998.0,2026-09-03T19:37:30.176096+00:00
2026-07-20,998.0,1008.0,970.0,999.1,13133,999.1,2026-09-03T19:37:30.176096+00:00
2026-07-21,997.0,1017.0,970.0,992.0,11513,992.0,2026-09-03T19:37:30.176096+00:00
2026-07-22,942.4,989.0,942.4,960.0,5111,960.0,2026-09-03T19:37:30.176096+00:00
2026-07-23,930.0,999.0,930.0,992.0,17900,992.0,2026-09-03T19:37:30.176096+00:00
2026-07-24,990.0,1045.0,965.0,990.0,31107,990.0,2026-09-03T19:37:30.176096+00:00
2026-07-27,960.4,989.9,912.0,920.0,14408,920.0,2026-09-03T19:37:30.176096+00:00
2026-07-28,900.0,1041.0,900.0,944.0,17005,944.0,2026-09-03T19:37:30.176096+00:00
2026-07-29,930.0,1061.0,898.7,1061.0,25608,1061.0,2026-09-03T19:37:30.176096+00:00
2026-07-30,1008.0,1008.0,901.9,902.0,31485,902.0,2026-09-03T19:37:30.176096+00:00
2026-07-31,890.0,890.0,849.0,870.0,51259,870.0,2026-09-03T19:37:30.176096+00:00
2026-08-03,870.0,885.0,850.1,860.0,10196,860.0,2026-09-03T19:37:30.176096+00:00
2026-08-04,817.0,875.0,817.0,834.0,13309,834.0,2026-09-03T19:37:30.176096+00:00
2026-08-05,826.0,856.0,815.0,843.0,12729,843.0,2026-09-03T19:37:30.176096+00:00
2026-08-06,830.4,858.6,818.0,818.0,10504,818.0,2026-09-03T19:37:30.176096+00:00
2026-08-07,810.0,830.0,802.0,816.0,6987,816.0,2026-09-03T19:37:30.176096+00:00
2026-08-10,803.0,812.0,800.0,806.2,8628,806.2,2026-09-03T19:37:30.176096+00:00
2026-08-11,806.2,820.1,800.0,805.3,9077,805.3,2026-09-03T19:37:30.176096+00:00
2026-08-12,823.7,823.7,800.1,800.1,6691,800.1,2026-09-03T19:37:30.176096+00:00
2026-08-13,772.6,815.0,772.6,808.0,6003,808.0,2026-09-03T19:37:30.176096+00:00
2026-08-14,800.0,818.5,800.0,810.0,4369,810.0,2026-09-03T19:37:30.176096+00:00
2026-08-17,805.0,805.0,793.0,798.0,4629,798.0,2026-09-03T19:37:30.176096+00:00
2026-08-18,800.0,809.9,778.0,786.1,8969,786.1,2026-09-03T19:37:30.176096+00:00
2026-08-19,788.0,800.0,776.1,785.0,6170,785.0,2026-09-03T19:37:30.176096+00:00
2026-08-20,772.1,786.9,772.1,785.0,4591,785.0,2026-09-03T19:37:30.176096+00:00
2026-08-21,795.0,795.0,772.0,773.0,5444,773.0,2026-09-03T19:37:30.176096+00:00
2026-08-24,779.9,779.9,730.0,737.0,11826,737.0,2026-09-03T19:37:30.176096+00:00
2026-08-25,737.0,778.0,730.0,778.0,9385,778.0,2026-09-03T19:37:30.176096+00:00
2026-08-26,815.1,815.1,741.0,803.0,11605,803.0,2026-09-03T19:37:30.176096+00:00
2026-08-27,779.0,785.0,744.1,760.0,8615,760.0,2026-09-03T19:37:30.176096+00:00
2026-08-31,750.0,751.0,735.1,741.0,3933,741.0,2026-09-03T19:37:30.176096+00:00
2026-09-01,739.0,763.0,725.1,730.3,5561,730.3,2026-09-03T19:37:30.176096+00:00
2026-09-02,701.0,744.0,701.0,738.0,4756,738.0,2026-09-03T19:37:30.176096+00:00
2026-09-03,738.0,750.5,730.0,740.1,6607,740.1,2026-09-03T19:37:30.176096+00:00
