date,open,high,low,close,volume,adj_close,fetched_at
2017-01-26,214.0,222.0,202.0,220.0,2348,220.0,2026-09-03T19:34:39.584604+00:00
2017-01-30,220.0,216.0,208.0,208.0,560,208.0,2026-09-03T19:34:39.584604+00:00
2017-01-31,208.0,218.0,204.0,214.0,356,214.0,2026-09-03T19:34:39.584604+00:00
2017-02-01,214.0,227.0,210.0,223.0,1996,223.0,2026-09-03T19:34:39.584604+00:00
2017-02-02,223.0,225.0,215.0,220.0,3092,220.0,2026-09-03T19:34:39.584604+00:00
2017-02-05,220.0,220.0,213.0,214.0,1358,214.0,2026-09-03T19:34:39.584604+00:00
2017-02-06,214.0,216.0,208.0,213.0,890,213.0,2026-09-03T19:34:39.584604+00:00
2017-02-07,213.0,210.0,202.0,209.0,1627,209.0,2026-09-03T19:34:39.584604+00:00
2017-02-08,209.0,211.0,206.0,210.0,1766,210.0,2026-09-03T19:34:39.584604+00:00
2017-02-09,210.0,211.0,202.0,208.0,1154,208.0,2026-09-03T19:34:39.584604+00:00
2017-02-12,208.0,212.0,202.0,202.0,580,202.0,2026-09-03T19:34:39.584604+00:00
2017-02-13,202.0,206.0,199.0,203.0,1420,203.0,2026-09-03T19:34:39.584604+00:00
2017-02-14,203.0,206.0,200.0,200.0,1334,200.0,2026-09-03T19:34:39.584604+00:00
2017-02-15,200.0,205.0,200.0,203.0,1630,203.0,2026-09-03T19:34:39.584604+00:00
2017-02-16,203.0,223.0,200.0,209.0,2553,209.0,2026-09-03T19:34:39.584604+00:00
2017-02-19,209.0,222.0,204.0,210.0,684,210.0,2026-09-03T19:34:39.584604+00:00
2017-02-20,210.0,218.0,203.0,207.0,1308,207.0,2026-09-03T19:34:39.584604+00:00
2017-02-21,207.0,214.0,207.0,208.0,948,208.0,2026-09-03T19:34:39.584604+00:00
2017-02-22,208.0,210.0,208.0,209.0,552,209.0,2026-09-03T19:34:39.584604+00:00
2017-02-23,209.0,215.0,209.0,215.0,526,215.0,2026-09-03T19:34:39.584604+00:00
2017-02-26,215.0,217.0,211.0,212.0,694,212.0,2026-09-03T19:34:39.584604+00:00
2017-02-28,212.0,218.0,206.0,212.0,835,212.0,2026-09-03T19:34:39.584604+00:00
