date,open,high,low,close,volume,adj_close,fetched_at
2014-02-06,378.0,399.0,385.0,399.0,30,399.0,2026-09-03T19:34:20.898816+00:00
2014-02-10,399.0,399.0,399.0,399.0,10,399.0,2026-09-03T19:34:20.898816+00:00
2014-02-11,399.0,414.0,406.0,414.0,43,414.0,2026-09-03T19:34:20.898816+00:00
2014-02-12,414.0,455.0,422.0,455.0,80,455.0,2026-09-03T19:34:20.898816+00:00
2014-02-13,455.0,473.0,464.0,473.0,43,473.0,2026-09-03T19:34:20.898816+00:00
2014-02-16,473.0,520.0,482.0,520.0,276,520.0,2026-09-03T19:34:20.898816+00:00
2014-02-17,520.0,572.0,530.0,572.0,70,572.0,2026-09-03T19:34:20.898816+00:00
2014-02-18,572.0,629.0,583.0,629.0,90,629.0,2026-09-03T19:34:20.898816+00:00
2014-02-20,629.0,691.0,660.0,691.0,65,691.0,2026-09-03T19:34:20.898816+00:00
2014-02-23,691.0,760.0,704.0,760.0,854,760.0,2026-09-03T19:34:20.898816+00:00
2014-02-24,760.0,836.0,775.0,836.0,2829,836.0,2026-09-03T19:34:20.898816+00:00
2014-02-25,836.0,919.0,770.0,918.0,10245,918.0,2026-09-03T19:34:20.898816+00:00
2014-02-26,918.0,920.0,855.0,856.0,3820,856.0,2026-09-03T19:34:20.898816+00:00
2014-03-03,856.0,840.0,780.0,813.0,3330,813.0,2026-09-03T19:34:20.898816+00:00
2014-03-04,813.0,800.0,780.0,797.0,5326,797.0,2026-09-03T19:34:20.898816+00:00
2014-03-05,797.0,806.0,785.0,795.0,1518,795.0,2026-09-03T19:34:20.898816+00:00
2014-03-06,795.0,800.0,775.0,775.0,616,775.0,2026-09-03T19:34:20.898816+00:00
2014-03-09,775.0,780.0,756.0,780.0,1834,780.0,2026-09-03T19:34:20.898816+00:00
2014-03-10,780.0,775.0,730.0,765.0,2660,765.0,2026-09-03T19:34:20.898816+00:00
2014-03-11,765.0,760.0,740.0,750.0,1294,750.0,2026-09-03T19:34:20.898816+00:00
2014-03-12,750.0,745.0,725.0,738.0,1136,738.0,2026-09-03T19:34:20.898816+00:00
2014-03-13,738.0,750.0,730.0,750.0,1177,750.0,2026-09-03T19:34:20.898816+00:00
2014-03-17,750.0,745.0,701.0,705.0,1250,705.0,2026-09-03T19:34:20.898816+00:00
2014-03-18,705.0,709.0,681.0,681.0,2024,681.0,2026-09-03T19:34:20.898816+00:00
2014-03-19,681.0,690.0,667.0,681.0,1156,681.0,2026-09-03T19:34:20.898816+00:00
2014-03-20,681.0,690.0,670.0,690.0,800,690.0,2026-09-03T19:34:20.898816+00:00
2014-03-23,690.0,695.0,660.0,680.0,896,680.0,2026-09-03T19:34:20.898816+00:00
2014-03-24,680.0,673.0,654.0,666.0,392,666.0,2026-09-03T19:34:20.898816+00:00
2014-03-25,666.0,686.0,660.0,675.0,1075,675.0,2026-09-03T19:34:20.898816+00:00
2014-03-26,675.0,689.0,650.0,679.0,1839,679.0,2026-09-03T19:34:20.898816+00:00
2014-03-27,679.0,693.0,672.0,693.0,2719,693.0,2026-09-03T19:34:20.898816+00:00
2014-03-31,693.0,710.0,686.0,710.0,857,710.0,2026-09-03T19:34:20.898816+00:00
2014-04-01,710.0,720.0,710.0,710.0,756,710.0,2026-09-03T19:34:20.898816+00:00
2014-04-02,710.0,720.0,700.0,701.0,230,701.0,2026-09-03T19:34:20.898816+00:00
2014-04-03,701.0,701.0,680.0,680.0,492,680.0,2026-09-03T19:34:20.898816+00:00
2014-04-06,680.0,685.0,680.0,681.0,249,681.0,2026-09-03T19:34:20.898816+00:00
2014-04-07,681.0,710.0,684.0,700.0,2708,700.0,2026-09-03T19:34:20.898816+00:00
2014-04-09,700.0,705.0,687.0,705.0,834,705.0,2026-09-03T19:34:20.898816+00:00
2014-04-10,705.0,715.0,690.0,704.0,478,704.0,2026-09-03T19:34:20.898816+00:00
2014-04-13,704.0,705.0,700.0,701.0,274,701.0,2026-09-03T19:34:20.898816+00:00
2014-04-15,701.0,726.0,700.0,712.0,1348,712.0,2026-09-03T19:34:20.898816+00:00
2014-04-16,712.0,723.0,710.0,715.0,240,715.0,2026-09-03T19:34:20.898816+00:00
2014-04-17,715.0,715.0,709.0,710.0,731,710.0,2026-09-03T19:34:20.898816+00:00
2014-04-20,710.0,710.0,708.0,710.0,263,710.0,2026-09-03T19:34:20.898816+00:00
2014-04-21,710.0,710.0,685.0,685.0,1684,685.0,2026-09-03T19:34:20.898816+00:00
2014-04-22,685.0,698.0,659.0,698.0,308,698.0,2026-09-03T19:34:20.898816+00:00
2014-04-23,698.0,700.0,673.0,675.0,2295,675.0,2026-09-03T19:34:20.898816+00:00
2014-04-27,675.0,688.0,675.0,681.0,422,681.0,2026-09-03T19:34:20.898816+00:00
2014-04-28,681.0,725.0,685.0,702.0,517,702.0,2026-09-03T19:34:20.898816+00:00
2014-04-29,702.0,699.0,688.0,699.0,30,699.0,2026-09-03T19:34:20.898816+00:00
2014-04-30,699.0,686.0,679.0,685.0,783,685.0,2026-09-03T19:34:20.898816+00:00
2014-05-04,685.0,740.0,680.0,733.0,4493,733.0,2026-09-03T19:34:20.898816+00:00
2014-05-05,733.0,804.0,732.0,760.0,2079,760.0,2026-09-03T19:34:20.898816+00:00
2014-05-06,760.0,760.0,731.0,736.0,640,736.0,2026-09-03T19:34:20.898816+00:00
2014-05-07,736.0,732.0,722.0,731.0,452,731.0,2026-09-03T19:34:20.898816+00:00
2014-05-08,731.0,730.0,701.0,701.0,2847,701.0,2026-09-03T19:34:20.898816+00:00
2014-05-11,701.0,710.0,697.0,699.0,130,699.0,2026-09-03T19:34:20.898816+00:00
2014-05-12,699.0,720.0,695.0,720.0,957,720.0,2026-09-03T19:34:20.898816+00:00
2014-05-13,720.0,770.0,710.0,770.0,2680,770.0,2026-09-03T19:34:20.898816+00:00
2014-05-15,770.0,780.0,770.0,770.0,670,770.0,2026-09-03T19:34:20.898816+00:00
2014-05-18,770.0,755.0,707.0,708.0,493,708.0,2026-09-03T19:34:20.898816+00:00
2014-05-19,708.0,722.0,707.0,712.0,1023,712.0,2026-09-03T19:34:20.898816+00:00
2014-05-20,712.0,722.0,700.0,711.0,1484,711.0,2026-09-03T19:34:20.898816+00:00
2014-05-21,711.0,715.0,700.0,711.0,3508,711.0,2026-09-03T19:34:20.898816+00:00
2014-05-22,711.0,720.0,710.0,711.0,1060,711.0,2026-09-03T19:34:20.898816+00:00
2014-05-25,711.0,720.0,705.0,718.0,550,718.0,2026-09-03T19:34:20.898816+00:00
2014-05-26,718.0,755.0,722.0,730.0,1458,730.0,2026-09-03T19:34:20.898816+00:00
2014-05-27,730.0,729.0,711.0,718.0,1292,718.0,2026-09-03T19:34:20.898816+00:00
2014-05-28,718.0,725.0,713.0,720.0,200,720.0,2026-09-03T19:34:20.898816+00:00
2014-06-01,720.0,720.0,710.0,720.0,577,720.0,2026-09-03T19:34:20.898816+00:00
2014-06-02,720.0,715.0,710.0,710.0,190,710.0,2026-09-03T19:34:20.898816+00:00
2014-06-03,710.0,730.0,685.0,730.0,1235,730.0,2026-09-03T19:34:20.898816+00:00
2014-06-04,730.0,716.0,686.0,695.0,1458,695.0,2026-09-03T19:34:20.898816+00:00
2014-06-05,695.0,695.0,670.0,686.0,459,686.0,2026-09-03T19:34:20.898816+00:00
2014-06-08,686.0,680.0,680.0,680.0,10,680.0,2026-09-03T19:34:20.898816+00:00
2014-06-09,680.0,695.0,671.0,695.0,835,695.0,2026-09-03T19:34:20.898816+00:00
2014-06-10,695.0,708.0,690.0,694.0,1272,694.0,2026-09-03T19:34:20.898816+00:00
2014-06-11,694.0,700.0,690.0,700.0,962,700.0,2026-09-03T19:34:20.898816+00:00
2014-06-12,700.0,701.0,687.0,691.0,620,691.0,2026-09-03T19:34:20.898816+00:00
2014-06-15,691.0,703.0,690.0,703.0,174,703.0,2026-09-03T19:34:20.898816+00:00
2014-06-16,703.0,710.0,696.0,696.0,101,696.0,2026-09-03T19:34:20.898816+00:00
2014-06-17,696.0,708.0,696.0,708.0,100,708.0,2026-09-03T19:34:20.898816+00:00
2014-06-18,708.0,695.0,681.0,681.0,83,681.0,2026-09-03T19:34:20.898816+00:00
2014-06-19,681.0,681.0,675.0,678.0,267,678.0,2026-09-03T19:34:20.898816+00:00
2014-06-23,678.0,670.0,670.0,670.0,164,670.0,2026-09-03T19:34:20.898816+00:00
2014-06-24,670.0,736.0,659.0,736.0,309,736.0,2026-09-03T19:34:20.898816+00:00
2014-06-30,736.0,722.0,680.0,700.0,1932,700.0,2026-09-03T19:34:20.898816+00:00
2014-07-01,700.0,743.0,700.0,721.0,2062,721.0,2026-09-03T19:34:20.898816+00:00
2014-07-02,721.0,740.0,730.0,730.0,1655,730.0,2026-09-03T19:34:20.898816+00:00
2014-07-03,730.0,744.0,720.0,730.0,967,730.0,2026-09-03T19:34:20.898816+00:00
2014-07-06,730.0,745.0,725.0,745.0,976,745.0,2026-09-03T19:34:20.898816+00:00
2014-07-07,745.0,745.0,721.0,725.0,509,725.0,2026-09-03T19:34:20.898816+00:00
2014-07-08,725.0,720.0,700.0,710.0,718,710.0,2026-09-03T19:34:20.898816+00:00
2014-07-09,710.0,710.0,695.0,695.0,148,695.0,2026-09-03T19:34:20.898816+00:00
2014-07-10,695.0,728.0,696.0,728.0,853,728.0,2026-09-03T19:34:20.898816+00:00
2014-07-13,728.0,756.0,728.0,744.0,603,744.0,2026-09-03T19:34:20.898816+00:00
2014-07-14,744.0,730.0,702.0,712.0,1010,712.0,2026-09-03T19:34:20.898816+00:00
2014-07-15,712.0,730.0,700.0,720.0,3585,720.0,2026-09-03T19:34:20.898816+00:00
2014-07-16,720.0,748.0,720.0,740.0,476,740.0,2026-09-03T19:34:20.898816+00:00
2014-07-17,740.0,745.0,739.0,745.0,1016,745.0,2026-09-03T19:34:20.898816+00:00
2014-07-20,745.0,819.0,750.0,819.0,8950,819.0,2026-09-03T19:34:20.898816+00:00
2014-07-21,819.0,900.0,835.0,900.0,7496,900.0,2026-09-03T19:34:20.898816+00:00
2014-07-22,900.0,973.0,871.0,900.0,5325,900.0,2026-09-03T19:34:20.898816+00:00
2014-07-23,900.0,900.0,868.0,870.0,735,870.0,2026-09-03T19:34:20.898816+00:00
2014-07-24,870.0,880.0,860.0,860.0,884,860.0,2026-09-03T19:34:20.898816+00:00
2014-07-27,860.0,845.0,840.0,845.0,172,845.0,2026-09-03T19:34:20.898816+00:00
2014-07-28,845.0,829.0,813.0,813.0,30,813.0,2026-09-03T19:34:20.898816+00:00
2014-07-30,813.0,800.0,790.0,792.0,2786,792.0,2026-09-03T19:34:20.898816+00:00
2014-07-31,792.0,800.0,790.0,800.0,1098,800.0,2026-09-03T19:34:20.898816+00:00
2014-08-03,800.0,790.0,775.0,780.0,300,780.0,2026-09-03T19:34:20.898816+00:00
2014-08-04,780.0,780.0,771.0,780.0,443,780.0,2026-09-03T19:34:20.898816+00:00
2014-08-05,780.0,800.0,770.0,770.0,317,770.0,2026-09-03T19:34:20.898816+00:00
2014-08-06,770.0,800.0,770.0,790.0,1406,790.0,2026-09-03T19:34:20.898816+00:00
2014-08-07,790.0,803.0,776.0,803.0,308,803.0,2026-09-03T19:34:20.898816+00:00
2014-08-12,803.0,787.0,787.0,787.0,60,787.0,2026-09-03T19:34:20.898816+00:00
2014-08-13,787.0,800.0,772.0,800.0,788,800.0,2026-09-03T19:34:20.898816+00:00
2014-08-14,800.0,795.0,775.0,775.0,352,775.0,2026-09-03T19:34:20.898816+00:00
2014-08-18,775.0,774.0,750.0,770.0,333,770.0,2026-09-03T19:34:20.898816+00:00
2014-08-19,770.0,760.0,751.0,751.0,815,751.0,2026-09-03T19:34:20.898816+00:00
2014-08-20,751.0,740.0,715.0,715.0,462,715.0,2026-09-03T19:34:20.898816+00:00
2014-08-21,715.0,720.0,700.0,707.0,981,707.0,2026-09-03T19:34:20.898816+00:00
2014-08-24,707.0,702.0,688.0,701.0,132,701.0,2026-09-03T19:34:20.898816+00:00
2014-08-25,701.0,700.0,661.0,661.0,120,661.0,2026-09-03T19:34:20.898816+00:00
2014-08-26,661.0,680.0,670.0,680.0,70,680.0,2026-09-03T19:34:20.898816+00:00
2014-08-27,680.0,702.0,690.0,690.0,923,690.0,2026-09-03T19:34:20.898816+00:00
2014-08-28,690.0,714.0,677.0,714.0,1571,714.0,2026-09-03T19:34:20.898816+00:00
2014-09-01,714.0,700.0,700.0,700.0,100,700.0,2026-09-03T19:34:20.898816+00:00
2014-09-03,700.0,700.0,690.0,690.0,594,690.0,2026-09-03T19:34:20.898816+00:00
2014-09-04,690.0,677.0,666.0,670.0,286,670.0,2026-09-03T19:34:20.898816+00:00
2014-09-07,670.0,657.0,632.0,632.0,284,632.0,2026-09-03T19:34:20.898816+00:00
2014-09-09,632.0,640.0,630.0,640.0,384,640.0,2026-09-03T19:34:20.898816+00:00
2014-09-10,640.0,683.0,647.0,683.0,579,683.0,2026-09-03T19:34:20.898816+00:00
2014-09-11,683.0,680.0,670.0,670.0,615,670.0,2026-09-03T19:34:20.898816+00:00
2014-09-14,670.0,657.0,657.0,657.0,50,657.0,2026-09-03T19:34:20.898816+00:00
2014-09-16,657.0,655.0,644.0,655.0,627,655.0,2026-09-03T19:34:20.898816+00:00
2014-09-17,655.0,663.0,650.0,663.0,985,663.0,2026-09-03T19:34:20.898816+00:00
2014-09-18,663.0,654.0,640.0,644.0,620,644.0,2026-09-03T19:34:20.898816+00:00
2014-09-22,644.0,635.0,624.0,630.0,162,630.0,2026-09-03T19:34:20.898816+00:00
2014-09-23,630.0,642.0,625.0,630.0,318,630.0,2026-09-03T19:34:20.898816+00:00
2014-09-24,630.0,631.0,620.0,620.0,668,620.0,2026-09-03T19:34:20.898816+00:00
2014-09-28,620.0,622.0,620.0,622.0,30,622.0,2026-09-03T19:34:20.898816+00:00
