date,open,high,low,close,volume,adj_close,fetched_at
2017-09-26,216.0,218.0,214.0,218.0,10633,218.0,2026-09-03T19:34:09.256426+00:00
2017-10-03,218.0,218.0,213.0,217.0,2751,217.0,2026-09-03T19:34:09.256426+00:00
2017-10-04,217.0,222.0,215.0,215.0,6871,215.0,2026-09-03T19:34:09.256426+00:00
2017-10-08,215.0,212.0,203.0,211.0,12008,211.0,2026-09-03T19:34:09.256426+00:00
2017-10-09,211.0,212.0,204.0,206.0,7255,206.0,2026-09-03T19:34:09.256426+00:00
2017-10-10,206.0,211.0,205.0,207.0,5882,207.0,2026-09-03T19:34:09.256426+00:00
2017-10-11,207.0,210.0,204.0,207.0,5223,207.0,2026-09-03T19:34:09.256426+00:00
2017-10-12,207.0,209.0,207.0,209.0,2728,209.0,2026-09-03T19:34:09.256426+00:00
2017-10-15,209.0,213.0,207.0,208.0,4111,208.0,2026-09-03T19:34:09.256426+00:00
2017-10-16,208.0,217.0,208.0,217.0,6763,217.0,2026-09-03T19:34:09.256426+00:00
2017-10-17,217.0,221.0,212.0,213.0,3147,213.0,2026-09-03T19:34:09.256426+00:00
2017-10-18,213.0,217.0,211.0,217.0,10641,217.0,2026-09-03T19:34:09.256426+00:00
2017-10-22,217.0,223.0,217.0,218.0,4750,218.0,2026-09-03T19:34:09.256426+00:00
2017-10-23,218.0,216.0,214.0,216.0,8048,216.0,2026-09-03T19:34:09.256426+00:00
2017-10-24,216.0,217.0,212.0,217.0,8416,217.0,2026-09-03T19:34:09.256426+00:00
2017-10-25,217.0,215.0,212.0,213.0,2494,213.0,2026-09-03T19:34:09.256426+00:00
2017-10-29,213.0,215.0,211.0,211.0,4124,211.0,2026-09-03T19:34:09.256426+00:00
2017-10-30,211.0,213.0,208.0,211.0,5957,211.0,2026-09-03T19:34:09.256426+00:00
2017-10-31,211.0,212.0,209.0,210.0,1228,210.0,2026-09-03T19:34:09.256426+00:00
2017-11-01,210.0,209.0,206.0,208.0,8997,208.0,2026-09-03T19:34:09.256426+00:00
2017-11-02,208.0,209.0,206.0,208.0,6568,208.0,2026-09-03T19:34:09.256426+00:00
2017-11-05,208.0,208.0,203.0,205.0,11845,205.0,2026-09-03T19:34:09.256426+00:00
2017-11-06,205.0,209.0,200.0,202.0,16064,202.0,2026-09-03T19:34:09.256426+00:00
2017-11-07,202.0,207.0,201.0,202.0,7720,202.0,2026-09-03T19:34:09.256426+00:00
2017-11-08,202.0,203.0,200.0,200.0,10537,200.0,2026-09-03T19:34:09.256426+00:00
2017-11-09,200.0,204.0,197.0,200.0,12107,200.0,2026-09-03T19:34:09.256426+00:00
2017-11-12,200.0,205.0,200.0,205.0,6391,205.0,2026-09-03T19:34:09.256426+00:00
2017-11-13,205.0,206.0,200.0,203.0,3313,203.0,2026-09-03T19:34:09.256426+00:00
2017-11-14,203.0,205.0,202.0,205.0,13191,205.0,2026-09-03T19:34:09.256426+00:00
2017-11-15,205.0,206.0,201.0,202.0,4215,202.0,2026-09-03T19:34:09.256426+00:00
2017-11-16,202.0,202.0,199.0,199.0,7950,199.0,2026-09-03T19:34:09.256426+00:00
2017-11-19,199.0,197.0,195.0,195.0,6493,195.0,2026-09-03T19:34:09.256426+00:00
2017-11-20,195.0,197.0,195.0,195.0,3732,195.0,2026-09-03T19:34:09.256426+00:00
2017-11-21,195.0,197.0,192.0,192.0,7785,192.0,2026-09-03T19:34:09.256426+00:00
2017-11-22,192.0,195.0,190.0,195.0,16639,195.0,2026-09-03T19:34:09.256426+00:00
2017-11-23,195.0,196.0,191.0,194.0,10125,194.0,2026-09-03T19:34:09.256426+00:00
2017-11-26,194.0,199.0,193.0,199.0,7093,199.0,2026-09-03T19:34:09.256426+00:00
2017-11-27,199.0,198.0,192.0,192.0,13620,192.0,2026-09-03T19:34:09.256426+00:00
2017-11-28,192.0,196.0,193.0,195.0,4445,195.0,2026-09-03T19:34:09.256426+00:00
2017-11-29,195.0,201.0,193.0,193.0,12044,193.0,2026-09-03T19:34:09.256426+00:00
2017-11-30,193.0,196.0,191.0,193.0,11202,193.0,2026-09-03T19:34:09.256426+00:00
2017-12-04,193.0,197.0,193.0,196.0,4879,196.0,2026-09-03T19:34:09.256426+00:00
2017-12-05,196.0,198.0,193.0,194.0,3183,194.0,2026-09-03T19:34:09.256426+00:00
2017-12-06,194.0,199.0,194.0,199.0,6643,199.0,2026-09-03T19:34:09.256426+00:00
2017-12-10,199.0,202.0,191.0,194.0,19133,194.0,2026-09-03T19:34:09.256426+00:00
2017-12-11,194.0,195.0,192.0,193.0,7804,193.0,2026-09-03T19:34:09.256426+00:00
2017-12-12,193.0,194.0,190.0,194.0,13955,194.0,2026-09-03T19:34:09.256426+00:00
2017-12-13,194.0,195.0,191.0,192.0,2131,192.0,2026-09-03T19:34:09.256426+00:00
2017-12-14,192.0,193.0,189.0,193.0,5148,193.0,2026-09-03T19:34:09.256426+00:00
2017-12-17,193.0,196.0,191.0,195.0,10321,195.0,2026-09-03T19:34:09.256426+00:00
2017-12-18,195.0,194.0,191.0,191.0,6507,191.0,2026-09-03T19:34:09.256426+00:00
2017-12-19,191.0,192.0,189.0,190.0,14384,190.0,2026-09-03T19:34:09.256426+00:00
2017-12-20,190.0,191.0,187.0,190.0,1704,190.0,2026-09-03T19:34:09.256426+00:00
2017-12-21,190.0,193.0,187.0,190.0,6024,190.0,2026-09-03T19:34:09.256426+00:00
2017-12-24,190.0,189.0,185.0,185.0,3509,185.0,2026-09-03T19:34:09.256426+00:00
2017-12-26,185.0,188.0,183.0,185.0,17861,185.0,2026-09-03T19:34:09.256426+00:00
2017-12-27,185.0,185.0,177.0,177.0,17070,177.0,2026-09-03T19:34:09.256426+00:00
2017-12-28,177.0,178.0,173.0,174.0,12381,174.0,2026-09-03T19:34:09.256426+00:00
2017-12-31,174.0,177.0,172.0,177.0,6510,177.0,2026-09-03T19:34:09.256426+00:00
2018-01-01,177.0,183.0,172.0,182.0,14498,182.0,2026-09-03T19:34:09.256426+00:00
2018-01-02,182.0,183.0,176.0,179.0,9568,179.0,2026-09-03T19:34:09.256426+00:00
2018-01-03,179.0,179.0,174.0,177.0,6772,177.0,2026-09-03T19:34:09.256426+00:00
2018-01-04,177.0,179.0,174.0,175.0,7766,175.0,2026-09-03T19:34:09.256426+00:00
2018-01-07,175.0,176.0,173.0,174.0,11665,174.0,2026-09-03T19:34:09.256426+00:00
2018-01-08,174.0,180.0,176.0,179.0,8284,179.0,2026-09-03T19:34:09.256426+00:00
2018-01-09,179.0,182.0,177.0,178.0,8927,178.0,2026-09-03T19:34:09.256426+00:00
2018-01-10,178.0,179.0,174.0,179.0,12521,179.0,2026-09-03T19:34:09.256426+00:00
2018-01-14,179.0,179.0,173.0,175.0,12179,175.0,2026-09-03T19:34:09.256426+00:00
2018-01-16,175.0,175.0,168.0,175.0,51856,175.0,2026-09-03T19:34:09.256426+00:00
2018-01-17,165.0,168.0,156.0,161.0,12215,161.0,2026-09-03T19:34:09.256426+00:00
