date,open,high,low,close,volume,adj_close,fetched_at
2017-09-26,212.0,215.0,210.0,212.0,2972,212.0,2026-09-03T19:34:00.270580+00:00
2017-10-03,212.0,217.0,213.0,213.0,909,213.0,2026-09-03T19:34:00.270580+00:00
2017-10-04,213.0,213.0,208.0,208.0,2312,208.0,2026-09-03T19:34:00.270580+00:00
2017-10-08,208.0,207.0,200.0,204.0,9664,204.0,2026-09-03T19:34:00.270580+00:00
2017-10-09,204.0,208.0,200.0,205.0,8312,205.0,2026-09-03T19:34:00.270580+00:00
2017-10-10,205.0,209.0,202.0,209.0,4627,209.0,2026-09-03T19:34:00.270580+00:00
2017-10-11,209.0,213.0,208.0,208.0,8138,208.0,2026-09-03T19:34:00.270580+00:00
2017-10-12,208.0,209.0,206.0,208.0,2985,208.0,2026-09-03T19:34:00.270580+00:00
2017-10-15,208.0,212.0,207.0,212.0,4951,212.0,2026-09-03T19:34:00.270580+00:00
2017-10-16,212.0,218.0,206.0,217.0,16004,217.0,2026-09-03T19:34:00.270580+00:00
2017-10-17,217.0,218.0,210.0,215.0,21769,215.0,2026-09-03T19:34:00.270580+00:00
2017-10-18,215.0,218.0,213.0,218.0,5821,218.0,2026-09-03T19:34:00.270580+00:00
2017-10-22,218.0,220.0,214.0,216.0,4072,216.0,2026-09-03T19:34:00.270580+00:00
2017-10-23,216.0,219.0,213.0,214.0,7241,214.0,2026-09-03T19:34:00.270580+00:00
2017-10-24,214.0,218.0,211.0,214.0,5290,214.0,2026-09-03T19:34:00.270580+00:00
2017-10-25,214.0,214.0,211.0,212.0,6070,212.0,2026-09-03T19:34:00.270580+00:00
2017-10-29,212.0,213.0,208.0,213.0,11218,213.0,2026-09-03T19:34:00.270580+00:00
2017-10-30,213.0,211.0,207.0,208.0,16480,208.0,2026-09-03T19:34:00.270580+00:00
2017-10-31,208.0,212.0,208.0,212.0,9957,212.0,2026-09-03T19:34:00.270580+00:00
2017-11-01,212.0,210.0,206.0,206.0,12386,206.0,2026-09-03T19:34:00.270580+00:00
