date,open,high,low,close,volume,adj_close,fetched_at
2020-11-26,204.0,209.0,204.0,206.0,13760,206.0,2026-09-03T19:35:21.478349+00:00
2020-11-29,205.0,208.0,203.0,207.0,28977,207.0,2026-09-03T19:35:21.478349+00:00
2020-11-30,206.0,215.0,206.0,215.0,21701,215.0,2026-09-03T19:35:21.478349+00:00
2020-12-01,210.0,223.0,209.0,216.0,26536,216.0,2026-09-03T19:35:21.478349+00:00
2020-12-02,220.0,226.0,211.0,222.0,67591,222.0,2026-09-03T19:35:21.478349+00:00
2020-12-03,218.0,230.0,218.0,225.0,67823,225.0,2026-09-03T19:35:21.478349+00:00
2020-12-06,221.0,226.0,209.0,210.0,25052,210.0,2026-09-03T19:35:21.478349+00:00
2020-12-07,210.0,223.0,208.0,217.0,15265,217.0,2026-09-03T19:35:21.478349+00:00
2020-12-08,215.0,227.0,213.0,213.0,19720,213.0,2026-09-03T19:35:21.478349+00:00
2020-12-09,217.0,231.0,210.0,220.0,39063,220.0,2026-09-03T19:35:21.478349+00:00
2020-12-10,218.0,242.0,218.0,242.0,113061,242.0,2026-09-03T19:35:21.478349+00:00
2020-12-13,254.0,260.0,237.0,242.0,53662,242.0,2026-09-03T19:35:21.478349+00:00
2020-12-14,242.0,244.0,226.0,228.0,39121,228.0,2026-09-03T19:35:21.478349+00:00
2020-12-15,217.0,238.0,217.0,229.0,34220,229.0,2026-09-03T19:35:21.478349+00:00
2020-12-16,225.0,241.0,223.0,226.0,15920,226.0,2026-09-03T19:35:21.478349+00:00
2020-12-17,222.0,230.0,219.0,221.0,16988,221.0,2026-09-03T19:35:21.478349+00:00
2020-12-20,217.0,218.0,205.0,207.0,24828,207.0,2026-09-03T19:35:21.478349+00:00
2020-12-21,200.0,218.0,200.0,217.0,19468,217.0,2026-09-03T19:35:21.478349+00:00
2020-12-22,215.0,232.0,213.0,220.0,22415,220.0,2026-09-03T19:35:21.478349+00:00
2020-12-23,231.0,231.0,215.0,217.0,10820,217.0,2026-09-03T19:35:21.478349+00:00
2020-12-24,214.0,220.0,210.0,217.0,8078,217.0,2026-09-03T19:35:21.478349+00:00
2020-12-27,213.0,221.0,210.0,214.0,8650,214.0,2026-09-03T19:35:21.478349+00:00
2020-12-28,211.0,215.0,210.0,210.0,7730,210.0,2026-09-03T19:35:21.478349+00:00
2020-12-29,211.0,220.0,207.0,213.0,15765,213.0,2026-09-03T19:35:21.478349+00:00
2020-12-30,210.0,213.0,208.0,212.0,6310,212.0,2026-09-03T19:35:21.478349+00:00
2020-12-31,208.0,215.0,208.0,212.0,6815,212.0,2026-09-03T19:35:21.478349+00:00
2021-01-03,208.0,218.0,208.0,218.0,11740,218.0,2026-09-03T19:35:21.478349+00:00
2021-01-04,214.0,218.0,209.0,212.0,6260,212.0,2026-09-03T19:35:21.478349+00:00
2021-01-05,209.0,222.0,209.0,217.0,9746,217.0,2026-09-03T19:35:21.478349+00:00
2021-01-06,217.0,218.0,210.0,212.0,15752,212.0,2026-09-03T19:35:21.478349+00:00
2021-01-07,212.0,222.0,212.0,220.0,17538,220.0,2026-09-03T19:35:21.478349+00:00
2021-01-10,218.0,222.0,213.0,220.0,7826,220.0,2026-09-03T19:35:21.478349+00:00
2021-01-11,231.0,231.0,215.0,219.0,7230,219.0,2026-09-03T19:35:21.478349+00:00
2021-01-12,215.0,220.0,213.0,217.0,13080,217.0,2026-09-03T19:35:21.478349+00:00
