date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,999.0,1058.0,995.0,1037.0,3130,1037.0,2026-09-03T19:33:41.592666+00:00
2012-09-10,1037.0,1140.0,1050.0,1140.0,690,1140.0,2026-09-03T19:33:41.592666+00:00
2012-09-11,1140.0,1183.0,1078.0,1183.0,740,1183.0,2026-09-03T19:33:41.592666+00:00
2012-09-12,1183.0,1206.0,1200.0,1200.0,1180,1200.0,2026-09-03T19:33:41.592666+00:00
2012-09-13,1200.0,1272.0,1180.0,1180.0,1820,1180.0,2026-09-03T19:33:41.592666+00:00
2012-09-16,1180.0,1248.0,1181.0,1248.0,240,1248.0,2026-09-03T19:33:41.592666+00:00
2012-09-17,1248.0,1224.0,1190.0,1191.0,600,1191.0,2026-09-03T19:33:41.592666+00:00
2012-09-18,1191.0,1238.0,1199.0,1213.0,460,1213.0,2026-09-03T19:33:41.592666+00:00
2012-09-19,1213.0,1249.0,1200.0,1200.0,770,1200.0,2026-09-03T19:33:41.592666+00:00
2012-09-20,1200.0,1201.0,1181.0,1201.0,1210,1201.0,2026-09-03T19:33:41.592666+00:00
2012-09-23,1201.0,1195.0,1180.0,1190.0,240,1190.0,2026-09-03T19:33:41.592666+00:00
2012-09-24,1190.0,1210.0,1170.0,1210.0,710,1210.0,2026-09-03T19:33:41.592666+00:00
2012-09-25,1210.0,1210.0,1186.0,1210.0,1400,1210.0,2026-09-03T19:33:41.592666+00:00
2012-09-26,1210.0,1210.0,1210.0,1210.0,230,1210.0,2026-09-03T19:33:41.592666+00:00
2012-09-30,1230.0,1224.0,1206.0,1224.0,600,1224.0,2026-09-03T19:33:41.592666+00:00
2012-10-01,1224.0,1323.0,1225.0,1322.0,770,1322.0,2026-09-03T19:33:41.592666+00:00
2012-10-01,1224.0,1323.0,1225.0,1322.0,770,1322.0,2026-09-03T19:33:41.592666+00:00
2012-10-02,1322.0,1343.0,1293.0,1343.0,440,1343.0,2026-09-03T19:33:41.592666+00:00
2012-10-03,1343.0,1317.0,1219.0,1291.0,1100,1291.0,2026-09-03T19:33:41.592666+00:00
2012-10-04,1291.0,1291.0,1230.0,1291.0,3500,1291.0,2026-09-03T19:33:41.592666+00:00
2012-10-07,1291.0,1310.0,1290.0,1310.0,1330,1310.0,2026-09-03T19:33:41.592666+00:00
2012-10-09,1310.0,1284.0,1235.0,1255.0,1670,1255.0,2026-09-03T19:33:41.592666+00:00
2012-10-10,1255.0,1299.0,1250.0,1299.0,190,1299.0,2026-09-03T19:33:41.592666+00:00
2012-10-11,1299.0,1324.0,1299.0,1299.0,120,1299.0,2026-09-03T19:33:41.592666+00:00
2012-10-14,1299.0,1299.0,1274.0,1299.0,40,1299.0,2026-09-03T19:33:41.592666+00:00
2012-10-15,1299.0,1274.0,1230.0,1230.0,520,1230.0,2026-09-03T19:33:41.592666+00:00
2012-10-18,1230.0,1250.0,1225.0,1225.0,20,1225.0,2026-09-03T19:33:41.592666+00:00
2012-10-30,1225.0,1253.0,1205.0,1253.0,80,1253.0,2026-09-03T19:33:41.592666+00:00
2012-10-31,1253.0,1300.0,1278.0,1300.0,20,1300.0,2026-09-03T19:33:41.592666+00:00
2012-11-01,1300.0,1320.0,1294.0,1294.0,140,1294.0,2026-09-03T19:33:41.592666+00:00
2012-11-05,1294.0,1320.0,1305.0,1320.0,60,1320.0,2026-09-03T19:33:41.592666+00:00
2012-11-06,1320.0,1340.0,1320.0,1320.0,40,1320.0,2026-09-03T19:33:41.592666+00:00
2012-11-08,1320.0,1339.0,1315.0,1339.0,20,1339.0,2026-09-03T19:33:41.592666+00:00
2012-11-11,1339.0,1320.0,1313.0,1320.0,140,1320.0,2026-09-03T19:33:41.592666+00:00
2012-11-18,1320.0,1380.0,1320.0,1380.0,160,1380.0,2026-09-03T19:33:41.592666+00:00
2012-11-20,1380.0,1406.0,1406.0,1406.0,20,1406.0,2026-09-03T19:33:41.592666+00:00
2012-11-21,1406.0,1450.0,1393.0,1393.0,1060,1393.0,2026-09-03T19:33:41.592666+00:00
2012-11-22,1393.0,1415.0,1395.0,1415.0,30,1415.0,2026-09-03T19:33:41.592666+00:00
2012-11-25,1415.0,1399.0,1399.0,1399.0,40,1399.0,2026-09-03T19:33:41.592666+00:00
2012-12-03,1399.0,1372.0,1268.0,1340.0,190,1340.0,2026-09-03T19:33:41.592666+00:00
2012-12-04,1340.0,1385.0,1314.0,1382.0,380,1382.0,2026-09-03T19:33:41.592666+00:00
2012-12-05,1382.0,1382.0,1355.0,1355.0,670,1355.0,2026-09-03T19:33:41.592666+00:00
2012-12-06,1355.0,1328.0,1276.0,1280.0,540,1280.0,2026-09-03T19:33:41.592666+00:00
2012-12-09,1280.0,1326.0,1300.0,1326.0,600,1326.0,2026-09-03T19:33:41.592666+00:00
2012-12-10,1326.0,1360.0,1300.0,1360.0,1080,1360.0,2026-09-03T19:33:41.592666+00:00
2012-12-11,1360.0,1410.0,1355.0,1355.0,1940,1355.0,2026-09-03T19:33:41.592666+00:00
2012-12-12,1355.0,1380.0,1346.0,1375.0,1000,1375.0,2026-09-03T19:33:41.592666+00:00
2012-12-13,1375.0,1410.0,1375.0,1410.0,2120,1410.0,2026-09-03T19:33:41.592666+00:00
2013-01-02,1410.0,887.0,887.0,887.0,10,887.0,2026-09-03T19:33:41.592666+00:00
2013-01-03,887.0,958.0,904.0,958.0,290,958.0,2026-09-03T19:33:41.592666+00:00
2013-01-06,958.0,996.0,977.0,996.0,40,996.0,2026-09-03T19:33:41.592666+00:00
2013-01-07,996.0,1035.0,1015.0,1035.0,110,1035.0,2026-09-03T19:33:41.592666+00:00
2013-01-08,1035.0,1055.0,1055.0,1055.0,10,1055.0,2026-09-03T19:33:41.592666+00:00
2013-01-09,1055.0,1070.0,1070.0,1070.0,10,1070.0,2026-09-03T19:33:41.592666+00:00
2013-01-10,1070.0,1156.0,1091.0,1156.0,50,1156.0,2026-09-03T19:33:41.592666+00:00
2013-01-13,1156.0,1179.0,1179.0,1179.0,10,1179.0,2026-09-03T19:33:41.592666+00:00
2013-01-15,1179.0,1190.0,1180.0,1180.0,240,1180.0,2026-09-03T19:33:41.592666+00:00
2013-02-03,1180.0,1157.0,1134.0,1134.0,30,1134.0,2026-09-03T19:33:41.592666+00:00
2013-02-12,1134.0,1112.0,1055.0,1055.0,260,1055.0,2026-09-03T19:33:41.592666+00:00
2013-02-13,1055.0,1034.0,994.0,994.0,90,994.0,2026-09-03T19:33:41.592666+00:00
2013-02-14,994.0,990.0,937.0,937.0,450,937.0,2026-09-03T19:33:41.592666+00:00
2013-02-17,937.0,974.0,955.0,974.0,1070,974.0,2026-09-03T19:33:41.592666+00:00
2013-02-19,974.0,993.0,993.0,993.0,110,993.0,2026-09-03T19:33:41.592666+00:00
2013-02-20,993.0,993.0,974.0,974.0,560,974.0,2026-09-03T19:33:41.592666+00:00
2013-02-21,974.0,993.0,960.0,993.0,140,993.0,2026-09-03T19:33:41.592666+00:00
2013-02-24,993.0,999.0,993.0,999.0,190,999.0,2026-09-03T19:33:41.592666+00:00
2013-02-25,999.0,980.0,980.0,980.0,100,980.0,2026-09-03T19:33:41.592666+00:00
2013-02-26,980.0,980.0,950.0,950.0,300,950.0,2026-09-03T19:33:41.592666+00:00
2013-02-27,950.0,960.0,950.0,960.0,736,960.0,2026-09-03T19:33:41.592666+00:00
2013-02-28,960.0,979.0,979.0,979.0,10,979.0,2026-09-03T19:33:41.592666+00:00
2013-03-03,979.0,962.0,962.0,962.0,16,962.0,2026-09-03T19:33:41.592666+00:00
2013-03-05,962.0,962.0,950.0,960.0,430,960.0,2026-09-03T19:33:41.592666+00:00
2013-03-06,960.0,979.0,975.0,979.0,620,979.0,2026-09-03T19:33:41.592666+00:00
2013-03-07,979.0,970.0,955.0,970.0,670,970.0,2026-09-03T19:33:41.592666+00:00
2013-03-11,970.0,989.0,982.0,982.0,630,982.0,2026-09-03T19:33:41.592666+00:00
2013-03-13,982.0,1030.0,981.0,1010.0,982,1010.0,2026-09-03T19:33:41.592666+00:00
2013-03-14,1010.0,1050.0,1030.0,1035.0,800,1035.0,2026-09-03T19:33:41.592666+00:00
2013-03-17,1035.0,1020.0,1000.0,1020.0,2052,1020.0,2026-09-03T19:33:41.592666+00:00
2013-03-18,1020.0,1011.0,991.0,995.0,450,995.0,2026-09-03T19:33:41.592666+00:00
2013-03-25,995.0,990.0,980.0,980.0,130,980.0,2026-09-03T19:33:41.592666+00:00
2013-03-28,980.0,993.0,975.0,980.0,1366,980.0,2026-09-03T19:33:41.592666+00:00
2013-03-31,980.0,1000.0,961.0,1000.0,810,1000.0,2026-09-03T19:33:41.592666+00:00
2013-04-01,1000.0,1000.0,1000.0,1000.0,100,1000.0,2026-09-03T19:33:41.592666+00:00
2013-04-02,1000.0,1000.0,1000.0,1000.0,1000,1000.0,2026-09-03T19:33:41.592666+00:00
2013-04-03,1000.0,1013.0,1010.0,1013.0,150,1013.0,2026-09-03T19:33:41.592666+00:00
2013-04-04,1013.0,1020.0,1020.0,1020.0,10,1020.0,2026-09-03T19:33:41.592666+00:00
2013-04-07,1020.0,1000.0,1000.0,1000.0,300,1000.0,2026-09-03T19:33:41.592666+00:00
2013-04-08,1000.0,1025.0,1020.0,1025.0,149,1025.0,2026-09-03T19:33:41.592666+00:00
2013-04-09,1025.0,1008.0,1005.0,1008.0,220,1008.0,2026-09-03T19:33:41.592666+00:00
2013-04-11,1008.0,1030.0,1020.0,1030.0,166,1030.0,2026-09-03T19:33:41.592666+00:00
2013-04-15,1030.0,1030.0,1010.0,1030.0,36,1030.0,2026-09-03T19:33:41.592666+00:00
2013-04-16,1030.0,1030.0,1025.0,1030.0,178,1030.0,2026-09-03T19:33:41.592666+00:00
2013-04-17,1030.0,1045.0,980.0,1045.0,1052,1045.0,2026-09-03T19:33:41.592666+00:00
2013-04-18,1045.0,1040.0,1031.0,1031.0,133,1031.0,2026-09-03T19:33:41.592666+00:00
2013-04-21,1031.0,1020.0,1015.0,1020.0,690,1020.0,2026-09-03T19:33:41.592666+00:00
2013-04-22,1020.0,1000.0,1000.0,1000.0,231,1000.0,2026-09-03T19:33:41.592666+00:00
2013-04-23,1000.0,1000.0,980.0,999.0,898,999.0,2026-09-03T19:33:41.592666+00:00
