date,open,high,low,close,volume,adj_close,fetched_at
2014-10-14,100.0,307.0,307.0,307.0,41,307.0,2026-09-03T19:34:23.107013+00:00
2014-10-27,307.0,337.0,313.0,337.0,320,337.0,2026-09-03T19:34:23.107013+00:00
2014-11-02,337.0,353.0,353.0,353.0,20,353.0,2026-09-03T19:34:23.107013+00:00
2014-11-03,353.0,367.0,360.0,367.0,30,367.0,2026-09-03T19:34:23.107013+00:00
2014-11-11,367.0,395.0,374.0,395.0,40,395.0,2026-09-03T19:34:23.107013+00:00
2014-11-17,395.0,405.0,405.0,405.0,10,405.0,2026-09-03T19:34:23.107013+00:00
2014-11-18,405.0,445.0,413.0,445.0,163,445.0,2026-09-03T19:34:23.107013+00:00
2014-11-19,445.0,489.0,453.0,489.0,51,489.0,2026-09-03T19:34:23.107013+00:00
2014-11-20,489.0,527.0,498.0,527.0,120,527.0,2026-09-03T19:34:23.107013+00:00
2014-11-23,527.0,579.0,537.0,579.0,51,579.0,2026-09-03T19:34:23.107013+00:00
2014-11-24,579.0,636.0,590.0,636.0,152,636.0,2026-09-03T19:34:23.107013+00:00
2014-11-25,636.0,699.0,648.0,699.0,3404,699.0,2026-09-03T19:34:23.107013+00:00
2014-11-30,699.0,730.0,638.0,659.0,8526,659.0,2026-09-03T19:34:23.107013+00:00
2014-12-01,659.0,654.0,618.0,623.0,3619,623.0,2026-09-03T19:34:23.107013+00:00
2014-12-02,623.0,620.0,593.0,596.0,1721,596.0,2026-09-03T19:34:23.107013+00:00
2014-12-03,596.0,600.0,585.0,585.0,1176,585.0,2026-09-03T19:34:23.107013+00:00
2014-12-04,585.0,607.0,589.0,590.0,938,590.0,2026-09-03T19:34:23.107013+00:00
2014-12-07,590.0,600.0,585.0,600.0,639,600.0,2026-09-03T19:34:23.107013+00:00
2014-12-08,600.0,610.0,580.0,581.0,672,581.0,2026-09-03T19:34:23.107013+00:00
2014-12-09,581.0,585.0,566.0,580.0,718,580.0,2026-09-03T19:34:23.107013+00:00
2014-12-10,580.0,595.0,578.0,580.0,1625,580.0,2026-09-03T19:34:23.107013+00:00
2014-12-11,580.0,590.0,578.0,590.0,824,590.0,2026-09-03T19:34:23.107013+00:00
2014-12-14,590.0,624.0,598.0,615.0,1044,615.0,2026-09-03T19:34:23.107013+00:00
2014-12-15,615.0,620.0,600.0,620.0,913,620.0,2026-09-03T19:34:23.107013+00:00
2014-12-16,620.0,620.0,582.0,598.0,567,598.0,2026-09-03T19:34:23.107013+00:00
2014-12-17,598.0,620.0,595.0,600.0,1116,600.0,2026-09-03T19:34:23.107013+00:00
2014-12-18,600.0,600.0,581.0,600.0,154,600.0,2026-09-03T19:34:23.107013+00:00
