date,open,high,low,close,volume,adj_close,fetched_at
2023-08-28,176.4,185.9,176.0,181.2,402504,181.2,2026-09-03T19:33:19.560907+00:00
2023-08-29,183.2,183.2,179.1,179.8,67426,179.8,2026-09-03T19:33:19.560907+00:00
2023-08-30,179.6,186.6,179.6,185.0,164989,185.0,2026-09-03T19:33:19.560907+00:00
2023-09-03,188.5,188.5,182.2,185.0,109626,185.0,2026-09-03T19:33:19.560907+00:00
2023-09-04,184.9,185.1,182.1,184.3,106927,184.3,2026-09-03T19:33:19.560907+00:00
2023-09-05,183.0,187.3,181.0,187.3,109337,187.3,2026-09-03T19:33:19.560907+00:00
2023-09-07,184.0,187.0,182.3,184.0,50946,184.0,2026-09-03T19:33:19.560907+00:00
2023-09-10,182.2,186.9,182.2,185.6,77644,185.6,2026-09-03T19:33:19.560907+00:00
2023-09-11,186.5,190.0,173.0,188.3,120957,188.3,2026-09-03T19:33:19.560907+00:00
2023-09-12,188.0,194.8,185.7,194.8,86438,194.8,2026-09-03T19:33:19.560907+00:00
2023-09-13,191.0,194.4,190.2,193.0,185280,193.0,2026-09-03T19:33:19.560907+00:00
2023-09-17,196.8,196.8,185.0,188.0,119719,188.0,2026-09-03T19:33:19.560907+00:00
2023-09-18,184.4,187.0,183.0,185.8,15843,185.8,2026-09-03T19:33:19.560907+00:00
2023-09-19,186.0,190.0,184.1,187.8,48520,187.8,2026-09-03T19:33:19.560907+00:00
2023-09-21,189.0,193.0,188.0,190.0,188333,190.0,2026-09-03T19:33:19.560907+00:00
2023-09-24,193.7,194.8,188.2,193.0,114561,193.0,2026-09-03T19:33:19.560907+00:00
2023-09-25,195.2,195.2,188.0,189.2,65925,189.2,2026-09-03T19:33:19.560907+00:00
2023-09-26,190.0,191.7,186.5,188.5,89724,188.5,2026-09-03T19:33:19.560907+00:00
2023-09-27,191.0,192.0,186.0,189.9,81053,189.9,2026-09-03T19:33:19.560907+00:00
2023-10-01,190.0,190.0,183.5,185.8,62912,185.8,2026-09-03T19:33:19.560907+00:00
2023-10-02,185.0,189.0,183.6,187.1,63673,187.1,2026-09-03T19:33:19.560907+00:00
2023-10-03,184.0,187.0,184.0,186.1,30862,186.1,2026-09-03T19:33:19.560907+00:00
2023-10-04,185.0,187.9,185.0,186.9,41074,186.9,2026-09-03T19:33:19.560907+00:00
