date,open,high,low,close,volume,adj_close,fetched_at
2020-09-14,10.0,10.0,9.25,9.28,27250,9.28,2026-09-03T19:35:20.444853+00:00
2020-09-15,9.15,9.44,9.15,9.44,35700,9.44,2026-09-03T19:35:20.444853+00:00
2020-09-16,9.26,9.28,9.26,9.26,4300,9.26,2026-09-03T19:35:20.444853+00:00
2020-09-17,9.09,9.35,9.09,9.35,8600,9.35,2026-09-03T19:35:20.444853+00:00
2020-09-20,9.17,9.17,8.48,9.01,6080,9.01,2026-09-03T19:35:20.444853+00:00
2020-09-21,9.01,9.04,8.84,8.94,22450,8.94,2026-09-03T19:35:20.444853+00:00
2020-09-22,9.0,9.13,8.85,9.13,12950,9.13,2026-09-03T19:35:20.444853+00:00
2020-09-23,8.95,9.1,8.95,8.97,18000,8.97,2026-09-03T19:35:20.444853+00:00
2020-09-24,9.0,9.0,8.8,9.0,21150,9.0,2026-09-03T19:35:20.444853+00:00
2020-09-27,8.85,9.0,8.85,9.0,257300,9.0,2026-09-03T19:35:20.444853+00:00
2020-09-28,8.83,8.86,8.83,8.85,6710,8.85,2026-09-03T19:35:20.444853+00:00
2020-09-29,8.7,8.92,8.7,8.8,7300,8.8,2026-09-03T19:35:20.444853+00:00
2020-09-30,8.7,8.91,8.7,8.91,10050,8.91,2026-09-03T19:35:20.444853+00:00
2020-10-01,8.89,8.95,8.83,8.95,15010,8.95,2026-09-03T19:35:20.444853+00:00
2020-10-04,8.81,8.95,8.63,8.75,21150,8.75,2026-09-03T19:35:20.444853+00:00
2020-10-05,8.6,8.92,8.59,8.92,35750,8.92,2026-09-03T19:35:20.444853+00:00
2020-10-06,8.76,9.09,8.6,9.0,21000,9.0,2026-09-03T19:35:20.444853+00:00
2020-10-07,8.82,9.0,8.65,8.85,7050,8.85,2026-09-03T19:35:20.444853+00:00
2020-10-08,8.85,8.86,8.85,8.86,2000,8.86,2026-09-03T19:35:20.444853+00:00
2020-10-11,8.8,8.8,8.7,8.72,4100,8.72,2026-09-03T19:35:20.444853+00:00
2020-10-12,8.72,8.75,8.68,8.71,4450,8.71,2026-09-03T19:35:20.444853+00:00
2020-10-13,8.71,9.0,8.71,9.0,6710,9.0,2026-09-03T19:35:20.444853+00:00
2020-10-14,8.83,8.85,8.83,8.85,7310,8.85,2026-09-03T19:35:20.444853+00:00
2020-10-15,8.85,9.1,8.85,9.1,14000,9.1,2026-09-03T19:35:20.444853+00:00
2020-10-18,9.1,9.1,8.76,9.0,12600,9.0,2026-09-03T19:35:20.444853+00:00
2020-10-19,8.82,8.99,8.82,8.9,2750,8.9,2026-09-03T19:35:20.444853+00:00
2020-10-20,8.9,8.98,8.81,8.98,7500,8.98,2026-09-03T19:35:20.444853+00:00
2020-10-21,8.83,9.0,8.83,8.96,2200,8.96,2026-09-03T19:35:20.444853+00:00
2020-10-22,8.81,9.05,8.81,9.05,3700,9.05,2026-09-03T19:35:20.444853+00:00
2020-10-28,8.95,9.23,8.95,9.15,25650,9.15,2026-09-03T19:35:20.444853+00:00
2020-10-29,8.97,9.15,8.97,9.0,6600,9.0,2026-09-03T19:35:20.444853+00:00
2020-11-01,8.82,9.0,8.82,8.92,8000,8.92,2026-09-03T19:35:20.444853+00:00
2020-11-02,8.78,9.01,8.77,9.01,5800,9.01,2026-09-03T19:35:20.444853+00:00
2020-11-03,9.0,9.25,9.0,9.21,33700,9.21,2026-09-03T19:35:20.444853+00:00
2020-11-04,9.15,9.25,9.15,9.25,4100,9.25,2026-09-03T19:35:20.444853+00:00
2020-11-05,9.07,9.4,9.07,9.1,16300,9.1,2026-09-03T19:35:20.444853+00:00
2020-11-08,9.24,9.84,9.17,9.8,94500,9.8,2026-09-03T19:35:20.444853+00:00
