date,open,high,low,close,volume,adj_close,fetched_at
2023-09-21,10.0,10.0,9.99,10.0,500,10.0,2026-09-03T19:36:39.849127+00:00
2023-09-26,9.81,9.81,9.62,9.62,200,9.62,2026-09-03T19:36:39.849127+00:00
2023-09-27,9.43,9.43,8.65,8.65,5775,8.65,2026-09-03T19:36:39.849127+00:00
2023-10-01,8.48,8.48,7.86,7.94,9040,7.94,2026-09-03T19:36:39.849127+00:00
2023-10-02,7.9,8.05,7.66,7.86,7000,7.86,2026-09-03T19:36:39.849127+00:00
2023-10-03,7.71,7.73,7.56,7.62,5600,7.62,2026-09-03T19:36:39.849127+00:00
2023-10-04,7.47,7.74,7.36,7.64,4225,7.64,2026-09-03T19:36:39.849127+00:00
2023-10-05,7.49,7.65,7.36,7.55,4070,7.55,2026-09-03T19:36:39.849127+00:00
2023-10-08,7.45,7.62,7.42,7.53,5360,7.53,2026-09-03T19:36:39.849127+00:00
2023-10-09,7.53,7.79,7.53,7.79,1800,7.79,2026-09-03T19:36:39.849127+00:00
2023-10-10,7.64,7.85,7.64,7.85,2050,7.85,2026-09-03T19:36:39.849127+00:00
2023-10-11,7.85,7.86,7.7,7.7,4450,7.7,2026-09-03T19:36:39.849127+00:00
2023-10-12,7.61,7.75,7.61,7.71,2500,7.71,2026-09-03T19:36:39.849127+00:00
2023-10-16,7.56,7.85,7.56,7.7,3200,7.7,2026-09-03T19:36:39.849127+00:00
2023-10-17,7.69,7.69,7.61,7.61,4575,7.61,2026-09-03T19:36:39.849127+00:00
2023-10-18,7.55,7.76,7.55,7.61,1925,7.61,2026-09-03T19:36:39.849127+00:00
2023-10-19,7.46,7.66,7.46,7.65,1700,7.65,2026-09-03T19:36:39.849127+00:00
2023-10-29,7.52,7.65,7.41,7.5,2200,7.5,2026-09-03T19:36:39.849127+00:00
2023-10-30,7.35,7.54,7.3,7.51,2300,7.51,2026-09-03T19:36:39.849127+00:00
2023-10-31,7.4,7.67,7.4,7.67,2100,7.67,2026-09-03T19:36:39.849127+00:00
2023-11-01,7.52,7.67,7.52,7.67,2200,7.67,2026-09-03T19:36:39.849127+00:00
2023-11-02,7.52,7.52,7.45,7.46,500,7.46,2026-09-03T19:36:39.849127+00:00
2023-11-05,7.33,7.33,7.23,7.33,1600,7.33,2026-09-03T19:36:39.849127+00:00
2023-11-06,7.21,7.33,7.12,7.22,2915,7.22,2026-09-03T19:36:39.849127+00:00
2023-11-07,7.13,7.33,7.13,7.23,1160,7.23,2026-09-03T19:36:39.849127+00:00
2023-11-08,7.15,7.28,7.15,7.27,1400,7.27,2026-09-03T19:36:39.849127+00:00
2023-11-09,7.2,7.23,7.09,7.23,500,7.23,2026-09-03T19:36:39.849127+00:00
2023-11-20,7.11,7.3,7.11,7.3,700,7.3,2026-09-03T19:36:39.849127+00:00
2023-11-21,7.17,7.3,7.17,7.3,525,7.3,2026-09-03T19:36:39.849127+00:00
2023-11-22,7.3,7.37,7.19,7.37,3800,7.37,2026-09-03T19:36:39.849127+00:00
2023-11-23,7.25,7.51,7.25,7.51,2150,7.51,2026-09-03T19:36:39.849127+00:00
2023-11-26,7.36,7.54,7.36,7.4,2400,7.4,2026-09-03T19:36:39.849127+00:00
2023-11-27,7.3,7.38,7.3,7.38,1950,7.38,2026-09-03T19:36:39.849127+00:00
2023-11-28,7.38,7.38,7.3,7.34,1000,7.34,2026-09-03T19:36:39.849127+00:00
2023-11-29,7.34,7.5,7.33,7.39,885,7.39,2026-09-03T19:36:39.849127+00:00
2023-11-30,7.39,7.65,7.32,7.65,5700,7.65,2026-09-03T19:36:39.849127+00:00
2023-12-03,7.51,7.6,7.5,7.5,10400,7.5,2026-09-03T19:36:39.849127+00:00
2023-12-04,7.6,7.7,7.4,7.7,2700,7.7,2026-09-03T19:36:39.849127+00:00
2023-12-05,7.56,7.69,7.56,7.63,1700,7.63,2026-09-03T19:36:39.849127+00:00
2023-12-06,7.6,7.62,7.45,7.48,4100,7.48,2026-09-03T19:36:39.849127+00:00
2023-12-07,7.35,7.51,7.35,7.48,1700,7.48,2026-09-03T19:36:39.849127+00:00
2023-12-11,7.45,7.67,7.45,7.54,2180,7.54,2026-09-03T19:36:39.849127+00:00
2023-12-12,7.55,7.72,7.55,7.72,2100,7.72,2026-09-03T19:36:39.849127+00:00
2023-12-13,7.63,7.83,7.63,7.83,2350,7.83,2026-09-03T19:36:39.849127+00:00
2023-12-14,7.72,7.78,7.72,7.78,2900,7.78,2026-09-03T19:36:39.849127+00:00
2023-12-17,7.78,7.99,7.78,7.86,3300,7.86,2026-09-03T19:36:39.849127+00:00
2023-12-18,7.8,8.3,7.8,8.14,9835,8.14,2026-09-03T19:36:39.849127+00:00
2023-12-19,7.98,8.1,7.98,8.03,800,8.03,2026-09-03T19:36:39.849127+00:00
2023-12-20,7.93,8.16,7.93,8.03,4760,8.03,2026-09-03T19:36:39.849127+00:00
2023-12-21,7.92,8.07,7.92,7.95,2950,7.95,2026-09-03T19:36:39.849127+00:00
2023-12-24,7.95,8.16,7.94,8.16,5620,8.16,2026-09-03T19:36:39.849127+00:00
2023-12-27,8.16,8.43,8.0,8.17,4300,8.17,2026-09-03T19:36:39.849127+00:00
2023-12-28,8.1,8.26,8.1,8.25,3650,8.25,2026-09-03T19:36:39.849127+00:00
2024-01-01,8.1,8.12,8.1,8.12,2590,8.12,2026-09-03T19:36:39.849127+00:00
2024-01-02,8.07,8.22,8.06,8.06,3180,8.06,2026-09-03T19:36:39.849127+00:00
2024-01-03,7.9,8.15,7.9,8.02,3300,8.02,2026-09-03T19:36:39.849127+00:00
2024-01-04,7.9,8.18,7.9,8.18,4520,8.18,2026-09-03T19:36:39.849127+00:00
2024-01-07,8.18,8.35,8.03,8.35,6215,8.35,2026-09-03T19:36:39.849127+00:00
2024-01-08,8.19,8.65,8.03,8.5,14975,8.5,2026-09-03T19:36:39.849127+00:00
2024-01-09,8.33,8.4,8.21,8.4,3400,8.4,2026-09-03T19:36:39.849127+00:00
2024-01-10,8.24,8.56,8.24,8.32,2300,8.32,2026-09-03T19:36:39.849127+00:00
2024-01-11,8.32,8.48,8.32,8.36,2850,8.36,2026-09-03T19:36:39.849127+00:00
2024-01-14,8.2,8.46,8.2,8.46,2565,8.46,2026-09-03T19:36:39.849127+00:00
2024-01-16,8.3,8.3,8.04,8.3,3500,8.3,2026-09-03T19:36:39.849127+00:00
2024-01-17,8.14,8.4,8.14,8.4,3600,8.4,2026-09-03T19:36:39.849127+00:00
2024-01-18,8.24,8.28,8.24,8.28,4505,8.28,2026-09-03T19:36:39.849127+00:00
