date,open,high,low,close,volume,adj_close,fetched_at
2025-11-04,317.7,349.4,317.7,349.4,110,349.4,2026-09-03T19:37:09.596907+00:00
2025-11-05,356.3,384.3,356.3,384.3,190,384.3,2026-09-03T19:37:09.596907+00:00
2025-11-06,391.9,422.7,391.9,422.7,330,422.7,2026-09-03T19:37:09.596907+00:00
2025-11-09,431.1,464.9,431.1,464.9,610,464.9,2026-09-03T19:37:09.596907+00:00
2025-11-10,474.1,511.3,474.1,511.3,1180,511.3,2026-09-03T19:37:09.596907+00:00
2025-11-11,515.0,562.4,515.0,562.4,5830,562.4,2026-09-03T19:37:09.596907+00:00
2025-11-12,573.6,596.7,511.0,516.2,125480,516.2,2026-09-03T19:37:09.596907+00:00
2025-11-13,506.0,567.8,500.0,567.8,40560,567.8,2026-09-03T19:37:09.596907+00:00
2025-11-16,560.0,590.5,523.9,543.0,78776,543.0,2026-09-03T19:37:09.596907+00:00
2025-11-17,546.0,597.3,536.5,583.0,62515,583.0,2026-09-03T19:37:09.596907+00:00
2025-11-18,583.0,641.3,560.1,641.3,40588,641.3,2026-09-03T19:37:09.596907+00:00
2025-11-19,654.1,705.4,628.2,705.4,61386,705.4,2026-09-03T19:37:09.596907+00:00
2025-11-20,691.3,730.0,665.0,708.7,70596,708.7,2026-09-03T19:37:09.596907+00:00
2025-11-23,694.6,703.2,664.0,703.2,61699,703.2,2026-09-03T19:37:09.596907+00:00
2025-11-24,689.2,702.9,662.5,672.0,79607,672.0,2026-09-03T19:37:09.596907+00:00
2025-11-25,672.0,673.2,644.0,673.2,57419,673.2,2026-09-03T19:37:09.596907+00:00
2025-11-26,686.6,686.6,653.0,675.0,48447,675.0,2026-09-03T19:37:09.596907+00:00
2025-11-27,661.5,677.0,653.1,670.0,44648,670.0,2026-09-03T19:37:09.596907+00:00
2025-11-30,657.0,672.0,655.0,672.0,45883,672.0,2026-09-03T19:37:09.596907+00:00
2025-12-01,658.6,688.0,658.6,670.0,70380,670.0,2026-09-03T19:37:09.596907+00:00
2025-12-02,656.6,737.0,656.6,737.0,107010,737.0,2026-09-03T19:37:09.596907+00:00
2025-12-03,722.3,805.0,722.3,774.0,97629,774.0,2026-09-03T19:37:09.596907+00:00
2025-12-07,760.0,766.0,716.4,720.0,92934,720.0,2026-09-03T19:37:09.596907+00:00
2025-12-08,705.6,760.0,705.6,725.0,33327,725.0,2026-09-03T19:37:09.596907+00:00
2025-12-09,710.5,744.0,710.5,728.0,28643,728.0,2026-09-03T19:37:09.596907+00:00
2025-12-10,715.0,746.0,695.0,695.3,46274,695.3,2026-09-03T19:37:09.596907+00:00
2025-12-11,687.0,707.0,680.0,689.9,29864,689.9,2026-09-03T19:37:09.596907+00:00
2025-12-14,680.0,700.0,671.2,683.0,23232,683.0,2026-09-03T19:37:09.596907+00:00
2025-12-15,683.0,714.9,670.8,709.0,44099,709.0,2026-09-03T19:37:09.596907+00:00
2025-12-16,710.0,726.0,706.0,707.0,35862,707.0,2026-09-03T19:37:09.596907+00:00
2025-12-17,700.0,718.0,690.1,699.0,22832,699.0,2026-09-03T19:37:09.596907+00:00
2025-12-18,686.0,712.0,686.0,697.9,29522,697.9,2026-09-03T19:37:09.596907+00:00
