date,open,high,low,close,volume,adj_close,fetched_at
2023-05-07,278.1,294.9,251.0,255.0,73692,255.0,2026-09-03T19:36:26.395565+00:00
2023-05-08,255.0,270.3,237.0,256.1,24595,256.1,2026-09-03T19:36:26.395565+00:00
2023-05-09,251.1,261.1,247.0,258.3,10970,258.3,2026-09-03T19:36:26.395565+00:00
2023-05-10,253.2,255.0,246.2,253.0,9415,253.0,2026-09-03T19:36:26.395565+00:00
2023-05-11,253.0,253.0,243.1,249.9,7708,249.9,2026-09-03T19:36:26.395565+00:00
2023-05-14,245.0,246.0,235.0,238.7,13746,238.7,2026-09-03T19:36:26.395565+00:00
2023-05-15,234.2,249.0,230.0,240.0,14233,240.0,2026-09-03T19:36:26.395565+00:00
2023-05-16,236.0,244.0,232.0,243.0,8788,243.0,2026-09-03T19:36:26.395565+00:00
2023-05-17,239.0,250.2,239.0,249.8,10005,249.8,2026-09-03T19:36:26.395565+00:00
2023-05-18,250.0,263.0,244.0,258.0,14308,258.0,2026-09-03T19:36:26.395565+00:00
2023-05-21,252.9,260.9,245.1,251.0,15445,251.0,2026-09-03T19:36:26.395565+00:00
2023-05-22,246.0,255.0,243.1,250.0,6560,250.0,2026-09-03T19:36:26.395565+00:00
2023-05-23,250.0,263.0,250.0,261.2,10517,261.2,2026-09-03T19:36:26.395565+00:00
2023-05-24,261.0,265.0,254.1,258.7,10570,258.7,2026-09-03T19:36:26.395565+00:00
2023-05-28,258.0,263.0,247.0,254.9,17735,254.9,2026-09-03T19:36:26.395565+00:00
2023-05-30,249.9,252.0,241.8,249.9,6643,249.9,2026-09-03T19:36:26.395565+00:00
2023-05-31,245.0,249.9,238.2,240.0,6030,240.0,2026-09-03T19:36:26.395565+00:00
2023-06-01,240.0,246.5,235.6,241.0,7970,241.0,2026-09-03T19:36:26.395565+00:00
2023-06-04,241.0,259.7,241.0,255.0,7010,255.0,2026-09-03T19:36:26.395565+00:00
2023-06-05,250.1,265.2,250.1,261.0,18629,261.0,2026-09-03T19:36:26.395565+00:00
2023-06-06,256.1,273.0,256.1,272.5,13624,272.5,2026-09-03T19:36:26.395565+00:00
2023-06-07,271.0,291.0,271.0,282.0,27982,282.0,2026-09-03T19:36:26.395565+00:00
2023-06-08,282.0,291.3,274.1,290.1,29302,290.1,2026-09-03T19:36:26.395565+00:00
2023-06-11,285.0,316.0,285.0,314.0,24922,314.0,2026-09-03T19:36:26.395565+00:00
2023-06-12,313.0,333.3,307.0,323.0,31893,323.0,2026-09-03T19:36:26.395565+00:00
2023-06-13,316.6,323.0,311.0,321.0,21335,321.0,2026-09-03T19:36:26.395565+00:00
2023-06-14,320.0,333.5,312.0,319.9,26479,319.9,2026-09-03T19:36:26.395565+00:00
2023-06-15,314.0,330.0,313.0,330.0,25769,330.0,2026-09-03T19:36:26.395565+00:00
2023-06-18,324.0,330.0,317.0,320.8,13336,320.8,2026-09-03T19:36:26.395565+00:00
2023-06-19,320.0,351.0,318.0,350.0,38594,350.0,2026-09-03T19:36:26.395565+00:00
2023-06-20,350.0,350.0,321.0,330.0,11641,330.0,2026-09-03T19:36:26.395565+00:00
2023-06-21,329.0,333.0,316.2,320.0,16412,320.0,2026-09-03T19:36:26.395565+00:00
2023-06-22,320.0,326.4,303.0,317.0,15147,317.0,2026-09-03T19:36:26.395565+00:00
2023-06-25,310.7,320.0,291.0,310.0,25017,310.0,2026-09-03T19:36:26.395565+00:00
2023-06-26,310.0,316.2,299.0,302.0,7946,302.0,2026-09-03T19:36:26.395565+00:00
2023-06-27,302.0,330.0,284.2,315.5,20301,315.5,2026-09-03T19:36:26.395565+00:00
2023-06-28,310.0,319.2,296.5,297.0,14835,297.0,2026-09-03T19:36:26.395565+00:00
