date,open,high,low,close,volume,adj_close,fetched_at
2023-10-11,373.2,410.5,373.2,410.5,120801,410.5,2026-09-03T19:36:44.652202+00:00
2023-10-12,418.7,451.5,402.0,440.1,53234,440.1,2026-09-03T19:36:44.652202+00:00
2023-10-16,431.3,431.3,396.1,407.5,71195,407.5,2026-09-03T19:36:44.652202+00:00
2023-10-17,407.5,432.0,407.5,429.6,40342,429.6,2026-09-03T19:36:44.652202+00:00
2023-10-18,425.0,460.0,416.5,450.1,24712,450.1,2026-09-03T19:36:44.652202+00:00
2023-10-19,450.1,457.0,441.1,446.8,32579,446.8,2026-09-03T19:36:44.652202+00:00
2023-10-29,437.9,437.9,421.1,431.5,22589,431.5,2026-09-03T19:36:44.652202+00:00
2023-10-30,423.1,454.0,423.1,441.5,20413,441.5,2026-09-03T19:36:44.652202+00:00
2023-10-31,440.0,445.2,433.1,442.0,10300,442.0,2026-09-03T19:36:44.652202+00:00
2023-11-01,435.0,448.8,435.0,438.0,12368,438.0,2026-09-03T19:36:44.652202+00:00
2023-11-02,431.0,436.0,431.0,434.0,9660,434.0,2026-09-03T19:36:44.652202+00:00
2023-11-05,435.0,435.0,415.0,424.8,16710,424.8,2026-09-03T19:36:44.652202+00:00
2023-11-06,420.0,439.0,417.6,427.0,12244,427.0,2026-09-03T19:36:44.652202+00:00
2023-11-07,420.1,445.0,420.1,431.1,14060,431.1,2026-09-03T19:36:44.652202+00:00
2023-11-08,439.5,468.0,439.0,460.0,36200,460.0,2026-09-03T19:36:44.652202+00:00
2023-11-09,463.0,465.0,446.7,452.0,17631,452.0,2026-09-03T19:36:44.652202+00:00
2023-11-20,445.0,474.0,443.0,462.0,26462,462.0,2026-09-03T19:36:44.652202+00:00
2023-11-21,459.0,464.8,446.0,462.0,15340,462.0,2026-09-03T19:36:44.652202+00:00
2023-11-22,452.9,492.0,452.9,484.5,21333,484.5,2026-09-03T19:36:44.652202+00:00
2023-11-23,475.0,520.0,471.0,515.0,24561,515.0,2026-09-03T19:36:44.652202+00:00
2023-11-26,510.0,534.0,501.0,531.0,28973,531.0,2026-09-03T19:36:44.652202+00:00
2023-11-27,520.4,530.0,497.1,515.2,54021,515.2,2026-09-03T19:36:44.652202+00:00
2023-11-28,505.0,525.0,504.9,514.0,18057,514.0,2026-09-03T19:36:44.652202+00:00
2023-11-29,520.0,545.0,503.9,523.0,16010,523.0,2026-09-03T19:36:44.652202+00:00
2023-11-30,533.4,533.4,499.8,501.2,22157,501.2,2026-09-03T19:36:44.652202+00:00
2023-12-03,500.0,508.0,492.0,500.0,12907,500.0,2026-09-03T19:36:44.652202+00:00
2023-12-04,495.0,515.0,493.0,506.0,17551,506.0,2026-09-03T19:36:44.652202+00:00
2023-12-05,500.0,510.0,485.2,486.0,29374,486.0,2026-09-03T19:36:44.652202+00:00
2023-12-06,495.0,504.0,481.0,485.0,15690,485.0,2026-09-03T19:36:44.652202+00:00
2023-12-07,475.3,512.0,475.3,507.0,31801,507.0,2026-09-03T19:36:44.652202+00:00
2023-12-10,510.0,530.0,510.0,516.0,4610,516.0,2026-09-03T19:36:44.652202+00:00
2023-12-11,526.0,536.5,506.0,513.5,39771,513.5,2026-09-03T19:36:44.652202+00:00
2023-12-12,510.0,535.3,506.0,529.5,57697,529.5,2026-09-03T19:36:44.652202+00:00
2023-12-13,539.0,573.0,522.0,554.1,48659,554.1,2026-09-03T19:36:44.652202+00:00
2023-12-14,544.0,575.2,544.0,555.0,19222,555.0,2026-09-03T19:36:44.652202+00:00
2023-12-17,544.0,575.0,534.0,575.0,25631,575.0,2026-09-03T19:36:44.652202+00:00
2023-12-18,570.0,579.0,550.0,553.0,46249,553.0,2026-09-03T19:36:44.652202+00:00
2023-12-19,550.1,572.0,545.0,568.9,37834,568.9,2026-09-03T19:36:44.652202+00:00
2023-12-20,580.2,605.0,563.0,592.0,53369,592.0,2026-09-03T19:36:44.652202+00:00
2023-12-21,581.0,651.2,581.0,651.0,71420,651.0,2026-09-03T19:36:44.652202+00:00
2023-12-24,651.0,716.1,642.1,687.0,69213,687.0,2026-09-03T19:36:44.652202+00:00
2023-12-27,700.7,701.0,661.2,685.0,53036,685.0,2026-09-03T19:36:44.652202+00:00
2023-12-28,685.0,707.0,666.2,704.9,54518,704.9,2026-09-03T19:36:44.652202+00:00
2024-01-01,704.9,747.6,686.0,701.0,40322,701.0,2026-09-03T19:36:44.652202+00:00
2024-01-02,687.0,707.8,670.1,707.8,71934,707.8,2026-09-03T19:36:44.652202+00:00
2024-01-03,695.0,720.1,673.0,720.1,35844,720.1,2026-09-03T19:36:44.652202+00:00
2024-01-04,720.0,775.0,706.0,775.0,76502,775.0,2026-09-03T19:36:44.652202+00:00
2024-01-07,782.0,805.8,745.0,795.6,46744,795.6,2026-09-03T19:36:44.652202+00:00
2024-01-08,779.7,786.4,762.3,777.0,39975,777.0,2026-09-03T19:36:44.652202+00:00
2024-01-09,782.0,782.0,736.0,736.0,77066,736.0,2026-09-03T19:36:44.652202+00:00
2024-01-10,722.0,752.0,715.0,728.4,26029,728.4,2026-09-03T19:36:44.652202+00:00
2024-01-11,728.4,742.9,707.0,721.0,29185,721.0,2026-09-03T19:36:44.652202+00:00
2024-01-14,715.0,746.0,715.0,736.0,25615,736.0,2026-09-03T19:36:44.652202+00:00
2024-01-16,746.0,759.9,721.7,750.0,31796,750.0,2026-09-03T19:36:44.652202+00:00
2024-01-17,765.0,765.0,719.1,736.0,27012,736.0,2026-09-03T19:36:44.652202+00:00
2024-01-18,722.0,729.0,708.0,715.0,20185,715.0,2026-09-03T19:36:44.652202+00:00
2024-01-21,722.0,749.9,709.0,709.4,13505,709.4,2026-09-03T19:36:44.652202+00:00
2024-01-22,700.1,720.0,690.1,710.0,14210,710.0,2026-09-03T19:36:44.652202+00:00
2024-01-23,696.0,722.0,689.0,700.0,13159,700.0,2026-09-03T19:36:44.652202+00:00
2024-01-24,687.1,714.0,685.0,700.0,20819,700.0,2026-09-03T19:36:44.652202+00:00
2024-01-25,686.0,699.0,680.0,699.0,13068,699.0,2026-09-03T19:36:44.652202+00:00
2024-01-28,700.0,710.0,683.0,701.0,8004,701.0,2026-09-03T19:36:44.652202+00:00
2024-01-29,689.0,715.0,689.0,704.9,9685,704.9,2026-09-03T19:36:44.652202+00:00
2024-01-30,692.0,734.0,692.0,707.0,12962,707.0,2026-09-03T19:36:44.652202+00:00
2024-01-31,700.0,721.0,696.0,696.0,15063,696.0,2026-09-03T19:36:44.652202+00:00
2024-02-01,688.0,696.0,682.1,684.0,10476,684.0,2026-09-03T19:36:44.652202+00:00
2024-02-04,690.0,691.5,671.1,673.0,8927,673.0,2026-09-03T19:36:44.652202+00:00
2024-02-05,670.0,689.0,670.0,683.0,5566,683.0,2026-09-03T19:36:44.652202+00:00
2024-02-06,685.0,700.0,670.0,689.0,6864,689.0,2026-09-03T19:36:44.652202+00:00
