date,open,high,low,close,volume,adj_close,fetched_at
2024-08-13,1303.9,1406.2,1303.9,1406.2,1391,1406.2,2026-09-03T19:34:26.821797+00:00
2024-08-14,1434.3,1546.8,1434.3,1546.8,5416,1546.8,2026-09-03T19:34:26.821797+00:00
2024-08-15,1577.7,1701.4,1577.7,1682.5,63003,1682.5,2026-09-03T19:34:26.821797+00:00
2024-08-18,1716.0,1716.0,1555.0,1555.0,20531,1555.0,2026-09-03T19:34:26.821797+00:00
2024-08-21,1555.0,1580.0,1445.0,1462.0,17465,1462.0,2026-09-03T19:34:26.821797+00:00
2024-08-22,1435.0,1485.0,1433.0,1465.0,8512,1465.0,2026-09-03T19:34:26.821797+00:00
2024-08-25,1465.0,1599.0,1425.0,1480.0,12980,1480.0,2026-09-03T19:34:26.821797+00:00
2024-08-27,1470.0,1498.0,1425.0,1430.0,6109,1430.0,2026-09-03T19:34:26.821797+00:00
2024-08-28,1450.0,1487.0,1400.0,1405.0,5524,1405.0,2026-09-03T19:34:26.821797+00:00
2024-08-29,1395.0,1431.0,1360.0,1361.0,8089,1361.0,2026-09-03T19:34:26.821797+00:00
2024-09-01,1388.0,1435.0,1345.0,1351.0,6397,1351.0,2026-09-03T19:34:26.821797+00:00
2024-09-02,1340.4,1397.4,1340.4,1397.4,2683,1397.4,2026-09-03T19:34:26.821797+00:00
2024-09-03,1410.1,1537.1,1410.1,1537.1,14487,1537.1,2026-09-03T19:34:26.821797+00:00
2024-09-04,1567.8,1690.8,1540.0,1551.0,35953,1551.0,2026-09-03T19:34:26.821797+00:00
2024-09-05,1520.0,1599.0,1490.0,1569.8,10501,1569.8,2026-09-03T19:34:26.821797+00:00
2024-09-08,1569.8,1600.0,1500.0,1500.0,13504,1500.0,2026-09-03T19:34:26.821797+00:00
2024-09-09,1500.0,1528.0,1412.0,1528.0,11398,1528.0,2026-09-03T19:34:26.821797+00:00
2024-09-10,1558.2,1558.2,1446.0,1490.0,7024,1490.0,2026-09-03T19:34:26.821797+00:00
2024-09-11,1460.2,1488.7,1431.0,1443.0,4818,1443.0,2026-09-03T19:34:26.821797+00:00
2024-09-12,1470.0,1587.0,1441.0,1500.0,8220,1500.0,2026-09-03T19:34:26.821797+00:00
2024-09-15,1499.0,1520.0,1460.0,1490.0,3912,1490.0,2026-09-03T19:34:26.821797+00:00
2024-09-16,1467.1,1475.0,1413.0,1475.0,7182,1475.0,2026-09-03T19:34:26.821797+00:00
2024-09-18,1500.0,1505.0,1421.0,1460.0,5873,1460.0,2026-09-03T19:34:26.821797+00:00
2024-09-22,1488.0,1517.0,1415.0,1466.0,2980,1466.0,2026-09-03T19:34:26.821797+00:00
2024-09-23,1436.7,1540.0,1410.0,1540.0,4487,1540.0,2026-09-03T19:34:26.821797+00:00
2024-09-24,1509.2,1509.2,1415.0,1458.0,3134,1458.0,2026-09-03T19:34:26.821797+00:00
2024-09-25,1428.9,1514.0,1400.4,1466.0,5774,1466.0,2026-09-03T19:34:26.821797+00:00
2024-09-26,1436.7,1523.0,1408.0,1449.4,3193,1449.4,2026-09-03T19:34:26.821797+00:00
2024-09-29,1420.5,1445.0,1401.0,1443.0,2980,1443.0,2026-09-03T19:34:26.821797+00:00
2024-09-30,1415.2,1451.0,1400.1,1450.0,1864,1450.0,2026-09-03T19:34:26.821797+00:00
2024-10-01,1421.0,1470.0,1402.0,1470.0,5359,1470.0,2026-09-03T19:34:26.821797+00:00
2024-10-02,1440.9,1478.0,1420.0,1454.0,3798,1454.0,2026-09-03T19:34:26.821797+00:00
2024-10-06,1425.0,1484.0,1425.0,1479.0,4714,1479.0,2026-09-03T19:34:26.821797+00:00
2024-10-07,1449.5,1505.0,1420.6,1449.0,4638,1449.0,2026-09-03T19:34:26.821797+00:00
2024-10-08,1420.1,1449.0,1420.1,1435.0,3312,1435.0,2026-09-03T19:34:26.821797+00:00
2024-10-09,1420.0,1446.5,1420.0,1440.0,2459,1440.0,2026-09-03T19:34:26.821797+00:00
2024-10-15,1458.9,1458.9,1425.0,1450.0,1201,1450.0,2026-09-03T19:34:26.821797+00:00
2024-10-16,1421.0,1460.0,1421.0,1459.0,2269,1459.0,2026-09-03T19:34:26.821797+00:00
2024-10-17,1451.0,1457.0,1431.1,1432.0,3110,1432.0,2026-09-03T19:34:26.821797+00:00
2024-10-20,1460.6,1460.6,1412.0,1412.0,5324,1412.0,2026-09-03T19:34:26.821797+00:00
2024-10-21,1393.0,1430.0,1390.0,1395.0,3567,1395.0,2026-09-03T19:34:26.821797+00:00
2024-10-22,1380.1,1415.0,1380.1,1413.0,2663,1413.0,2026-09-03T19:34:26.821797+00:00
2024-10-23,1390.0,1417.8,1390.0,1405.0,3625,1405.0,2026-09-03T19:34:26.821797+00:00
2024-10-24,1386.0,1409.0,1381.6,1400.0,1759,1400.0,2026-09-03T19:34:26.821797+00:00
2024-10-27,1385.0,1400.0,1381.1,1390.0,1395,1390.0,2026-09-03T19:34:26.821797+00:00
2024-10-28,1400.0,1412.0,1383.0,1412.0,2704,1412.0,2026-09-03T19:34:26.821797+00:00
2024-10-29,1400.0,1428.0,1400.0,1425.0,1963,1425.0,2026-09-03T19:34:26.821797+00:00
2024-10-30,1425.0,1425.0,1391.0,1395.0,1392,1395.0,2026-09-03T19:34:26.821797+00:00
2024-11-05,1367.1,1421.0,1367.1,1420.9,1033,1420.9,2026-09-03T19:34:26.821797+00:00
2024-11-06,1420.0,1425.0,1394.0,1405.0,976,1405.0,2026-09-03T19:34:26.821797+00:00
2024-11-10,1381.0,1450.0,1381.0,1450.0,5796,1450.0,2026-09-03T19:34:26.821797+00:00
2024-11-11,1425.0,1482.0,1425.0,1453.0,6669,1453.0,2026-09-03T19:34:26.821797+00:00
2024-11-12,1425.0,1479.8,1425.0,1432.1,2486,1432.1,2026-09-03T19:34:26.821797+00:00
2024-11-13,1415.0,1450.0,1410.0,1412.0,2929,1412.0,2026-09-03T19:34:26.821797+00:00
2024-11-14,1406.0,1438.0,1391.0,1405.0,4069,1405.0,2026-09-03T19:34:26.821797+00:00
2024-11-17,1401.0,1461.6,1401.0,1410.0,6549,1410.0,2026-09-03T19:34:26.821797+00:00
2024-11-19,1410.0,1430.0,1392.0,1400.0,3938,1400.0,2026-09-03T19:34:26.821797+00:00
2024-11-20,1393.0,1410.0,1391.0,1406.0,1907,1406.0,2026-09-03T19:34:26.821797+00:00
2024-11-21,1405.0,1420.0,1380.0,1380.0,4452,1380.0,2026-09-03T19:34:26.821797+00:00
2024-11-24,1385.0,1395.0,1370.0,1384.0,2915,1384.0,2026-09-03T19:34:26.821797+00:00
2024-11-25,1381.2,1397.0,1369.1,1375.0,1814,1375.0,2026-09-03T19:34:26.821797+00:00
2024-11-26,1348.6,1385.0,1348.6,1379.9,2353,1379.9,2026-09-03T19:34:26.821797+00:00
2024-11-27,1390.0,1400.0,1375.0,1388.0,3852,1388.0,2026-09-03T19:34:26.821797+00:00
2024-11-28,1391.0,1394.0,1370.0,1372.0,3348,1372.0,2026-09-03T19:34:26.821797+00:00
2024-12-01,1345.0,1360.0,1341.0,1343.0,2391,1343.0,2026-09-03T19:34:26.821797+00:00
2024-12-02,1343.0,1369.8,1340.0,1347.0,2783,1347.0,2026-09-03T19:34:26.821797+00:00
2024-12-03,1350.0,1360.0,1341.1,1342.0,1473,1342.0,2026-09-03T19:34:26.821797+00:00
2024-12-04,1345.0,1355.0,1335.0,1336.0,3991,1336.0,2026-09-03T19:34:26.821797+00:00
2024-12-05,1337.0,1337.0,1315.0,1315.0,3071,1315.0,2026-09-03T19:34:26.821797+00:00
2024-12-08,1315.5,1315.5,1295.0,1300.0,2719,1300.0,2026-09-03T19:34:26.821797+00:00
2024-12-09,1290.0,1301.0,1281.0,1292.0,1897,1292.0,2026-09-03T19:34:26.821797+00:00
2024-12-10,1317.0,1317.0,1275.0,1278.0,4118,1278.0,2026-09-03T19:34:26.821797+00:00
2024-12-11,1267.0,1290.0,1242.0,1282.5,2648,1282.5,2026-09-03T19:34:26.821797+00:00
2024-12-12,1282.5,1310.0,1274.1,1274.1,2389,1274.1,2026-09-03T19:34:26.821797+00:00
2024-12-16,1299.5,1299.5,1250.5,1254.0,2604,1254.0,2026-09-03T19:34:26.821797+00:00
2024-12-17,1254.0,1270.0,1245.0,1258.0,1501,1258.0,2026-09-03T19:34:26.821797+00:00
2024-12-18,1262.0,1283.0,1250.1,1265.0,3517,1265.0,2026-09-03T19:34:26.821797+00:00
2024-12-19,1250.0,1275.0,1245.0,1258.9,2708,1258.9,2026-09-03T19:34:26.821797+00:00
2024-12-22,1246.0,1255.0,1223.2,1244.6,4739,1244.6,2026-09-03T19:34:26.821797+00:00
2024-12-23,1269.4,1269.4,1235.0,1240.0,833,1240.0,2026-09-03T19:34:26.821797+00:00
2024-12-24,1240.0,1260.0,1240.0,1250.0,2082,1250.0,2026-09-03T19:34:26.821797+00:00
2024-12-26,1250.0,1257.0,1245.3,1255.0,1375,1255.0,2026-09-03T19:34:26.821797+00:00
2024-12-29,1255.0,1320.0,1247.1,1280.0,4833,1280.0,2026-09-03T19:34:26.821797+00:00
2024-12-31,1254.4,1289.0,1240.1,1260.0,2095,1260.0,2026-09-03T19:34:26.821797+00:00
2025-01-01,1260.0,1260.0,1235.0,1257.0,1750,1257.0,2026-09-03T19:34:26.821797+00:00
2025-01-02,1278.0,1278.0,1233.0,1256.0,2781,1256.0,2026-09-03T19:34:26.821797+00:00
2025-01-05,1232.5,1256.9,1232.3,1236.0,1732,1236.0,2026-09-03T19:34:26.821797+00:00
2025-01-06,1258.0,1260.0,1236.0,1237.3,2441,1237.3,2026-09-03T19:34:26.821797+00:00
2025-01-07,1231.0,1256.0,1231.0,1250.0,1637,1250.0,2026-09-03T19:34:26.821797+00:00
2025-01-08,1275.0,1290.0,1251.2,1264.9,2988,1264.9,2026-09-03T19:34:26.821797+00:00
2025-01-09,1244.1,1278.0,1242.0,1242.0,2179,1242.0,2026-09-03T19:34:26.821797+00:00
2025-01-12,1263.0,1263.0,1230.1,1230.1,605,1230.1,2026-09-03T19:34:26.821797+00:00
2025-01-13,1229.0,1245.0,1212.0,1212.0,1560,1212.0,2026-09-03T19:34:26.821797+00:00
2025-01-15,1212.0,1236.0,1195.2,1199.9,2374,1199.9,2026-09-03T19:34:26.821797+00:00
2025-01-16,1200.0,1200.0,1172.3,1172.4,2183,1172.4,2026-09-03T19:34:26.821797+00:00
2025-01-19,1150.0,1212.0,1150.0,1171.0,1417,1171.0,2026-09-03T19:34:26.821797+00:00
2025-01-20,1151.1,1190.5,1151.1,1170.0,1103,1170.0,2026-09-03T19:34:26.821797+00:00
2025-01-21,1170.0,1190.0,1165.0,1165.0,1686,1165.0,2026-09-03T19:34:26.821797+00:00
2025-01-22,1175.0,1185.0,1170.0,1175.6,2480,1175.6,2026-09-03T19:34:26.821797+00:00
2025-01-23,1161.0,1204.0,1161.0,1188.0,2530,1188.0,2026-09-03T19:34:26.821797+00:00
2025-01-26,1200.0,1207.0,1190.0,1192.0,2249,1192.0,2026-09-03T19:34:26.821797+00:00
2025-01-27,1200.0,1215.0,1180.0,1192.9,1596,1192.9,2026-09-03T19:34:26.821797+00:00
2025-01-28,1170.3,1214.9,1170.0,1189.5,2373,1189.5,2026-09-03T19:34:26.821797+00:00
2025-02-02,1213.0,1308.4,1190.1,1291.0,10406,1291.0,2026-09-03T19:34:26.821797+00:00
2025-02-03,1313.0,1339.0,1286.0,1287.0,4679,1287.0,2026-09-03T19:34:26.821797+00:00
2025-02-04,1262.1,1280.0,1260.0,1268.0,1877,1268.0,2026-09-03T19:34:26.821797+00:00
2025-02-05,1251.0,1258.0,1242.0,1256.0,2518,1256.0,2026-09-03T19:34:26.821797+00:00
2025-02-06,1257.0,1270.0,1233.0,1247.0,2552,1247.0,2026-09-03T19:34:26.821797+00:00
