date,open,high,low,close,volume,adj_close,fetched_at
2021-12-26,100.0,110.0,100.0,110.0,150,110.0,2026-09-03T19:35:48.733748+00:00
2021-12-27,112.2,121.0,112.2,121.0,184,121.0,2026-09-03T19:35:48.733748+00:00
2021-12-28,119.3,133.1,119.3,133.1,160,133.1,2026-09-03T19:35:48.733748+00:00
2021-12-29,135.7,146.4,135.7,146.4,137,146.4,2026-09-03T19:35:48.733748+00:00
2022-01-02,144.6,161.0,144.6,161.0,239,161.0,2026-09-03T19:35:48.733748+00:00
2022-01-03,164.2,177.1,164.2,177.1,217,177.1,2026-09-03T19:35:48.733748+00:00
2022-01-04,180.6,194.8,180.6,194.8,212,194.8,2026-09-03T19:35:48.733748+00:00
2022-01-05,198.6,214.2,198.6,214.2,315,214.2,2026-09-03T19:35:48.733748+00:00
2022-01-06,218.4,235.6,218.4,235.6,445,235.6,2026-09-03T19:35:48.733748+00:00
2022-01-09,240.3,259.1,240.3,259.1,609,259.1,2026-09-03T19:35:48.733748+00:00
2022-01-10,259.1,285.0,259.1,285.0,440,285.0,2026-09-03T19:35:48.733748+00:00
2022-01-11,290.7,313.5,290.7,313.5,556,313.5,2026-09-03T19:35:48.733748+00:00
2022-01-12,309.6,344.8,309.6,344.8,1630,344.8,2026-09-03T19:35:48.733748+00:00
2022-01-13,351.6,379.2,351.6,379.2,2675,379.2,2026-09-03T19:35:48.733748+00:00
2022-01-16,386.7,417.1,386.7,417.1,12392,417.1,2026-09-03T19:35:48.733748+00:00
2022-01-17,425.4,458.8,425.4,458.8,240409,458.8,2026-09-03T19:35:48.733748+00:00
2022-01-18,467.9,503.0,441.0,496.0,357427,496.0,2026-09-03T19:35:48.733748+00:00
2022-01-19,505.0,505.0,472.0,477.0,148537,477.0,2026-09-03T19:35:48.733748+00:00
2022-01-20,475.0,480.0,458.7,479.0,135601,479.0,2026-09-03T19:35:48.733748+00:00
2022-01-23,488.0,488.0,465.9,470.0,86480,470.0,2026-09-03T19:35:48.733748+00:00
2022-01-24,465.0,470.0,450.1,455.0,102924,455.0,2026-09-03T19:35:48.733748+00:00
2022-01-25,455.0,461.0,440.0,447.0,71995,447.0,2026-09-03T19:35:48.733748+00:00
2022-01-26,440.0,451.2,435.0,437.0,64379,437.0,2026-09-03T19:35:48.733748+00:00
2022-01-27,432.0,452.0,432.0,441.0,36998,441.0,2026-09-03T19:35:48.733748+00:00
2022-01-30,449.0,466.0,446.0,461.0,64363,461.0,2026-09-03T19:35:48.733748+00:00
2022-01-31,470.0,479.0,448.0,448.1,43054,448.1,2026-09-03T19:35:48.733748+00:00
