date,open,high,low,close,volume,adj_close,fetched_at
2012-09-20,107.0,117.0,109.0,117.0,50,117.0,2026-09-03T19:33:18.816245+00:00
2012-09-23,117.0,128.0,119.0,128.0,424,128.0,2026-09-03T19:33:18.816245+00:00
2012-09-24,128.0,140.0,130.0,140.0,680,140.0,2026-09-03T19:33:18.816245+00:00
2012-09-25,140.0,154.0,137.0,141.0,23525,141.0,2026-09-03T19:33:18.816245+00:00
2012-09-26,141.0,141.0,133.0,135.0,7492,135.0,2026-09-03T19:33:18.816245+00:00
2012-09-30,138.0,138.0,134.0,138.0,6767,138.0,2026-09-03T19:33:18.816245+00:00
2012-10-01,138.0,140.0,137.0,140.0,6043,140.0,2026-09-03T19:33:18.816245+00:00
2012-10-01,138.0,140.0,137.0,140.0,6043,140.0,2026-09-03T19:33:18.816245+00:00
2012-10-02,140.0,140.0,138.0,140.0,2251,140.0,2026-09-03T19:33:18.816245+00:00
2012-10-03,140.0,144.0,139.0,143.0,8229,143.0,2026-09-03T19:33:18.816245+00:00
2012-10-04,143.0,144.0,141.0,144.0,6753,144.0,2026-09-03T19:33:18.816245+00:00
2012-10-07,144.0,150.0,143.0,146.0,7385,146.0,2026-09-03T19:33:18.816245+00:00
2012-10-08,146.0,159.0,145.0,156.0,16611,156.0,2026-09-03T19:33:18.816245+00:00
2012-10-09,156.0,155.0,153.0,154.0,3600,154.0,2026-09-03T19:33:18.816245+00:00
2012-10-10,154.0,156.0,149.0,150.0,9473,150.0,2026-09-03T19:33:18.816245+00:00
2012-10-11,150.0,155.0,150.0,154.0,13811,154.0,2026-09-03T19:33:18.816245+00:00
2012-10-14,154.0,166.0,151.0,166.0,11944,166.0,2026-09-03T19:33:18.816245+00:00
2012-10-15,166.0,170.0,161.0,168.0,10712,168.0,2026-09-03T19:33:18.816245+00:00
2012-10-17,168.0,183.0,166.0,182.0,9818,182.0,2026-09-03T19:33:18.816245+00:00
2012-10-18,182.0,192.0,182.0,192.0,13045,192.0,2026-09-03T19:33:18.816245+00:00
2012-10-30,192.0,204.0,186.0,201.0,9489,201.0,2026-09-03T19:33:18.816245+00:00
2012-10-31,201.0,208.0,195.0,202.0,8134,202.0,2026-09-03T19:33:18.816245+00:00
2012-11-01,202.0,202.0,193.0,195.0,6371,195.0,2026-09-03T19:33:18.816245+00:00
2012-11-04,195.0,197.0,190.0,195.0,12667,195.0,2026-09-03T19:33:18.816245+00:00
2012-11-05,195.0,207.0,192.0,195.0,9272,195.0,2026-09-03T19:33:18.816245+00:00
2012-11-06,195.0,195.0,191.0,192.0,1627,192.0,2026-09-03T19:33:18.816245+00:00
2012-11-07,192.0,197.0,190.0,193.0,10139,193.0,2026-09-03T19:33:18.816245+00:00
2012-11-08,193.0,205.0,188.0,196.0,16030,196.0,2026-09-03T19:33:18.816245+00:00
2012-11-11,196.0,198.0,186.0,189.0,6706,189.0,2026-09-03T19:33:18.816245+00:00
2012-11-12,189.0,199.0,185.0,199.0,14935,199.0,2026-09-03T19:33:18.816245+00:00
2012-11-18,199.0,202.0,190.0,195.0,15326,195.0,2026-09-03T19:33:18.816245+00:00
2012-11-20,195.0,205.0,193.0,195.0,14402,195.0,2026-09-03T19:33:18.816245+00:00
2012-11-21,195.0,201.0,190.0,194.0,10222,194.0,2026-09-03T19:33:18.816245+00:00
2012-11-22,194.0,194.0,190.0,193.0,3370,193.0,2026-09-03T19:33:18.816245+00:00
2012-11-25,193.0,202.0,191.0,197.0,12425,197.0,2026-09-03T19:33:18.816245+00:00
2012-11-26,197.0,199.0,186.0,195.0,6582,195.0,2026-09-03T19:33:18.816245+00:00
2012-11-27,195.0,197.0,190.0,195.0,6415,195.0,2026-09-03T19:33:18.816245+00:00
2012-11-28,195.0,197.0,190.0,194.0,7881,194.0,2026-09-03T19:33:18.816245+00:00
