date,open,high,low,close,volume,adj_close,fetched_at
2023-11-08,1000.0,1000.0,1000.0,1000.0,10,1000.0,2026-09-03T19:35:39.795230+00:00
2023-12-14,980.0,980.0,960.4,960.4,20,960.4,2026-09-03T19:35:39.795230+00:00
2023-12-19,941.2,941.2,941.2,941.2,220,941.2,2026-09-03T19:35:39.795230+00:00
2024-01-28,922.4,922.4,922.4,922.4,20,922.4,2026-09-03T19:35:39.795230+00:00
2024-02-25,904.0,905.0,904.0,905.0,155,905.0,2026-09-03T19:35:39.795230+00:00
2024-02-26,900.0,900.0,900.0,900.0,75,900.0,2026-09-03T19:35:39.795230+00:00
2024-02-29,910.0,910.0,910.0,910.0,150,910.0,2026-09-03T19:35:39.795230+00:00
2024-03-03,902.0,902.0,902.0,902.0,25,902.0,2026-09-03T19:35:39.795230+00:00
2024-03-05,902.0,902.0,902.0,902.0,50,902.0,2026-09-03T19:35:39.795230+00:00
2024-03-06,902.0,902.0,902.0,902.0,55,902.0,2026-09-03T19:35:39.795230+00:00
2024-03-07,900.0,910.0,900.0,910.0,300,910.0,2026-09-03T19:35:39.795230+00:00
2024-03-12,903.0,903.0,903.0,903.0,30,903.0,2026-09-03T19:35:39.795230+00:00
2024-03-13,903.0,903.0,903.0,903.0,25,903.0,2026-09-03T19:35:39.795230+00:00
2024-03-14,902.1,902.1,902.1,902.1,25,902.1,2026-09-03T19:35:39.795230+00:00
2024-03-18,895.1,895.1,895.1,895.1,40,895.1,2026-09-03T19:35:39.795230+00:00
2024-03-20,900.3,900.3,900.2,900.2,50,900.2,2026-09-03T19:35:39.795230+00:00
2024-03-27,900.8,902.0,900.8,902.0,75,902.0,2026-09-03T19:35:39.795230+00:00
2024-03-28,895.0,895.0,895.0,895.0,25,895.0,2026-09-03T19:35:39.795230+00:00
2024-04-01,912.9,921.1,912.9,921.1,50,921.1,2026-09-03T19:35:39.795230+00:00
2024-04-02,927.0,927.0,925.0,925.0,110,925.0,2026-09-03T19:35:39.795230+00:00
2024-04-03,943.5,943.5,943.5,943.5,25,943.5,2026-09-03T19:35:39.795230+00:00
2024-04-04,935.0,939.0,935.0,939.0,45,939.0,2026-09-03T19:35:39.795230+00:00
2024-04-07,931.0,931.0,931.0,931.0,25,931.0,2026-09-03T19:35:39.795230+00:00
2024-04-15,968.5,997.0,968.5,997.0,85,997.0,2026-09-03T19:35:39.795230+00:00
2024-04-16,980.0,980.0,980.0,980.0,25,980.0,2026-09-03T19:35:39.795230+00:00
2024-04-18,998.0,999.0,998.0,998.0,250,998.0,2026-09-03T19:35:39.795230+00:00
2024-04-21,986.0,986.0,986.0,986.0,25,986.0,2026-09-03T19:35:39.795230+00:00
2024-04-28,987.0,987.0,987.0,987.0,50,987.0,2026-09-03T19:35:39.795230+00:00
2024-04-29,997.0,1000.0,997.0,1000.0,250,1000.0,2026-09-03T19:35:39.795230+00:00
2024-04-30,982.0,982.0,982.0,982.0,25,982.0,2026-09-03T19:35:39.795230+00:00
2024-05-07,963.0,963.0,963.0,963.0,25,963.0,2026-09-03T19:35:39.795230+00:00
2024-05-12,982.2,982.2,982.2,982.2,25,982.2,2026-09-03T19:35:39.795230+00:00
2024-05-14,992.0,1000.0,992.0,1000.0,50,1000.0,2026-09-03T19:35:39.795230+00:00
2024-05-16,990.2,990.2,990.2,990.2,25,990.2,2026-09-03T19:35:39.795230+00:00
2024-05-19,991.0,1000.0,990.2,1000.0,195,1000.0,2026-09-03T19:35:39.795230+00:00
2024-05-27,980.1,980.1,980.1,980.1,66,980.1,2026-09-03T19:35:39.795230+00:00
2024-06-02,981.0,981.0,981.0,981.0,25,981.0,2026-09-03T19:35:39.795230+00:00
2024-06-05,975.0,975.0,975.0,975.0,25,975.0,2026-09-03T19:35:39.795230+00:00
2024-06-06,981.0,981.0,981.0,981.0,25,981.0,2026-09-03T19:35:39.795230+00:00
2024-06-10,970.0,989.4,970.0,989.4,35,989.4,2026-09-03T19:35:39.795230+00:00
2024-06-13,972.0,980.1,972.0,980.1,45,980.1,2026-09-03T19:35:39.795230+00:00
2024-06-16,998.0,998.0,998.0,998.0,500,998.0,2026-09-03T19:35:39.795230+00:00
2024-06-18,983.1,983.2,983.1,983.2,40,983.2,2026-09-03T19:35:39.795230+00:00
2024-06-19,983.0,983.0,983.0,983.0,100,983.0,2026-09-03T19:35:39.795230+00:00
2024-06-20,986.0,1005.7,986.0,1005.7,75,1005.7,2026-09-03T19:35:39.795230+00:00
2024-06-27,988.0,1005.0,988.0,1005.0,230,1005.0,2026-09-03T19:35:39.795230+00:00
2024-07-01,1005.0,1005.0,1005.0,1005.0,25,1005.0,2026-09-03T19:35:39.795230+00:00
2024-07-02,1000.0,1000.0,986.0,986.0,75,986.0,2026-09-03T19:35:39.795230+00:00
2024-07-03,1000.0,1000.0,1000.0,1000.0,30,1000.0,2026-09-03T19:35:39.795230+00:00
2024-07-07,982.0,982.0,982.0,982.0,25,982.0,2026-09-03T19:35:39.795230+00:00
2024-07-08,981.0,995.0,981.0,995.0,50,995.0,2026-09-03T19:35:39.795230+00:00
2024-07-09,984.0,984.0,984.0,984.0,25,984.0,2026-09-03T19:35:39.795230+00:00
2024-07-11,1003.0,1003.0,1003.0,1003.0,25,1003.0,2026-09-03T19:35:39.795230+00:00
2024-07-16,983.0,983.0,983.0,983.0,915,983.0,2026-09-03T19:35:39.795230+00:00
2024-07-22,980.0,985.0,980.0,985.0,75,985.0,2026-09-03T19:35:39.795230+00:00
2024-07-23,965.3,965.3,931.0,948.7,205,948.7,2026-09-03T19:35:39.795230+00:00
2024-07-24,965.0,965.0,945.9,945.9,58,945.9,2026-09-03T19:35:39.795230+00:00
2024-07-25,960.0,960.0,960.0,960.0,22,960.0,2026-09-03T19:35:39.795230+00:00
2024-07-28,950.0,950.0,950.0,950.0,50,950.0,2026-09-03T19:35:39.795230+00:00
2024-07-30,969.0,969.0,969.0,969.0,43,969.0,2026-09-03T19:35:39.795230+00:00
2024-08-06,949.8,949.8,935.0,935.0,50,935.0,2026-09-03T19:35:39.795230+00:00
2024-08-07,952.0,971.0,952.0,970.0,128,970.0,2026-09-03T19:35:39.795230+00:00
2024-08-08,985.0,985.0,985.0,985.0,30,985.0,2026-09-03T19:35:39.795230+00:00
2024-08-11,976.0,976.0,976.0,976.0,25,976.0,2026-09-03T19:35:39.795230+00:00
2024-08-12,976.0,976.0,976.0,976.0,75,976.0,2026-09-03T19:35:39.795230+00:00
2024-08-13,976.1,976.1,976.1,976.1,25,976.1,2026-09-03T19:35:39.795230+00:00
2024-08-14,977.1,978.0,977.1,978.0,50,978.0,2026-09-03T19:35:39.795230+00:00
2024-08-15,981.0,996.6,981.0,996.6,175,996.6,2026-09-03T19:35:39.795230+00:00
2024-08-21,996.0,996.2,996.0,996.2,42,996.2,2026-09-03T19:35:39.795230+00:00
2024-08-22,990.1,1016.0,990.0,1016.0,531,1016.0,2026-09-03T19:35:39.795230+00:00
2024-08-25,1001.0,1001.0,981.0,981.0,38,981.0,2026-09-03T19:35:39.795230+00:00
2024-09-01,995.0,995.0,995.0,995.0,50,995.0,2026-09-03T19:35:39.795230+00:00
2024-09-02,995.0,1035.1,995.0,1035.1,1170,1035.1,2026-09-03T19:35:39.795230+00:00
2024-09-03,1015.0,1015.0,1005.0,1005.0,132,1005.0,2026-09-03T19:35:39.795230+00:00
2024-09-04,988.0,988.0,988.0,988.0,50,988.0,2026-09-03T19:35:39.795230+00:00
2024-09-08,988.0,988.0,988.0,988.0,1,988.0,2026-09-03T19:35:39.795230+00:00
2024-09-09,1043.0,1043.0,1023.0,1023.0,926,1023.0,2026-09-03T19:35:39.795230+00:00
