date,open,high,low,close,volume,adj_close,fetched_at
2025-05-22,10.0,10.19,9.06,9.1,253750,9.1,2026-09-03T19:37:02.432924+00:00
2025-05-25,8.92,9.28,8.92,9.2,7010,9.2,2026-09-03T19:37:02.432924+00:00
2025-05-26,9.03,9.38,9.03,9.26,249600,9.26,2026-09-03T19:37:02.432924+00:00
2025-05-27,9.08,9.4,8.93,9.33,6400,9.33,2026-09-03T19:37:02.432924+00:00
2025-05-28,9.15,9.51,8.98,9.31,8300,9.31,2026-09-03T19:37:02.432924+00:00
2025-06-02,9.2,9.3,9.0,9.14,235700,9.14,2026-09-03T19:37:02.432924+00:00
2025-06-03,8.96,9.2,8.96,9.07,13800,9.07,2026-09-03T19:37:02.432924+00:00
2025-06-04,9.07,9.07,8.92,8.97,1300,8.97,2026-09-03T19:37:02.432924+00:00
2025-06-05,8.8,9.1,8.8,9.1,4850,9.1,2026-09-03T19:37:02.432924+00:00
2025-06-08,9.0,9.27,8.94,9.01,17500,9.01,2026-09-03T19:37:02.432924+00:00
2025-06-09,8.85,9.05,8.85,8.96,3100,8.96,2026-09-03T19:37:02.432924+00:00
2025-06-10,8.83,9.03,8.83,8.89,1900,8.89,2026-09-03T19:37:02.432924+00:00
2025-06-11,8.73,9.13,8.73,9.13,2500,9.13,2026-09-03T19:37:02.432924+00:00
2025-06-12,8.95,9.1,8.81,9.0,14200,9.0,2026-09-03T19:37:02.432924+00:00
2025-06-15,8.86,9.18,8.86,9.0,3100,9.0,2026-09-03T19:37:02.432924+00:00
2025-06-16,8.91,9.18,8.83,9.17,54000,9.17,2026-09-03T19:37:02.432924+00:00
2025-06-17,9.0,9.08,8.85,8.92,33350,8.92,2026-09-03T19:37:02.432924+00:00
2025-06-18,8.75,9.0,8.75,9.0,2400,9.0,2026-09-03T19:37:02.432924+00:00
2025-06-19,8.86,9.18,8.86,9.18,193700,9.18,2026-09-03T19:37:02.432924+00:00
2025-06-22,9.0,9.04,8.85,8.88,11600,8.88,2026-09-03T19:37:02.432924+00:00
2025-06-23,8.88,9.0,8.8,8.8,4600,8.8,2026-09-03T19:37:02.432924+00:00
2025-06-24,8.65,8.83,8.65,8.77,2950,8.77,2026-09-03T19:37:02.432924+00:00
2025-06-25,8.8,8.81,8.8,8.8,2300,8.8,2026-09-03T19:37:02.432924+00:00
2025-06-26,8.66,8.76,8.66,8.76,1500,8.76,2026-09-03T19:37:02.432924+00:00
2025-06-29,8.59,8.93,8.59,8.8,4350,8.8,2026-09-03T19:37:02.432924+00:00
2025-06-30,8.67,9.18,8.67,9.13,10800,9.13,2026-09-03T19:37:02.432924+00:00
2025-07-01,9.0,9.13,8.96,9.01,1900,9.01,2026-09-03T19:37:02.432924+00:00
2025-07-02,8.85,9.0,8.71,8.98,2800,8.98,2026-09-03T19:37:02.432924+00:00
2025-07-03,8.81,9.28,8.81,9.24,11100,9.24,2026-09-03T19:37:02.432924+00:00
2025-07-06,9.24,9.42,8.8,8.95,4550,8.95,2026-09-03T19:37:02.432924+00:00
2025-07-07,8.85,9.1,8.85,9.08,2500,9.08,2026-09-03T19:37:02.432924+00:00
2025-07-08,8.92,9.09,8.92,9.06,2700,9.06,2026-09-03T19:37:02.432924+00:00
2025-07-09,8.97,9.1,8.97,9.1,3600,9.1,2026-09-03T19:37:02.432924+00:00
2025-07-10,9.02,9.1,8.94,9.1,1650,9.1,2026-09-03T19:37:02.432924+00:00
2025-07-13,9.02,9.28,9.02,9.23,16720,9.23,2026-09-03T19:37:02.432924+00:00
2025-07-14,9.41,9.59,9.06,9.3,7100,9.3,2026-09-03T19:37:02.432924+00:00
2025-07-15,9.3,9.94,9.12,9.6,27329,9.6,2026-09-03T19:37:02.432924+00:00
2025-07-16,9.78,9.97,9.71,9.93,317477,9.93,2026-09-03T19:37:02.432924+00:00
2025-07-17,9.74,9.74,9.55,9.56,1500,9.56,2026-09-03T19:37:02.432924+00:00
2025-07-20,9.37,9.4,9.2,9.21,32400,9.21,2026-09-03T19:37:02.432924+00:00
2025-07-21,9.04,9.28,9.03,9.2,3970,9.2,2026-09-03T19:37:02.432924+00:00
2025-07-22,9.05,9.24,9.05,9.11,10900,9.11,2026-09-03T19:37:02.432924+00:00
2025-07-23,9.0,9.3,9.0,9.27,3500,9.27,2026-09-03T19:37:02.432924+00:00
2025-07-24,9.09,9.38,9.09,9.36,5450,9.36,2026-09-03T19:37:02.432924+00:00
2025-07-27,9.18,9.89,9.18,9.83,137220,9.83,2026-09-03T19:37:02.432924+00:00
2025-07-28,9.64,9.83,9.11,9.72,4650,9.72,2026-09-03T19:37:02.432924+00:00
2025-07-29,9.53,9.73,9.36,9.54,11900,9.54,2026-09-03T19:37:02.432924+00:00
2025-07-30,9.36,9.4,9.2,9.21,55800,9.21,2026-09-03T19:37:02.432924+00:00
2025-07-31,9.05,9.08,9.05,9.08,3900,9.08,2026-09-03T19:37:02.432924+00:00
2025-08-03,8.9,9.13,8.9,9.01,2800,9.01,2026-09-03T19:37:02.432924+00:00
2025-08-04,9.19,9.19,9.0,9.09,4350,9.09,2026-09-03T19:37:02.432924+00:00
2025-08-05,9.27,9.3,8.92,9.12,3950,9.12,2026-09-03T19:37:02.432924+00:00
2025-08-06,9.3,9.3,9.01,9.1,6600,9.1,2026-09-03T19:37:02.432924+00:00
2025-08-07,9.28,9.28,9.1,9.1,1000,9.1,2026-09-03T19:37:02.432924+00:00
2025-08-11,8.92,9.18,8.92,9.05,2200,9.05,2026-09-03T19:37:02.432924+00:00
2025-08-12,9.18,9.2,8.9,9.0,6500,9.0,2026-09-03T19:37:02.432924+00:00
2025-08-13,8.85,9.0,8.85,8.96,3700,8.96,2026-09-03T19:37:02.432924+00:00
2025-08-14,8.85,9.0,8.85,8.91,4610,8.91,2026-09-03T19:37:02.432924+00:00
2025-08-17,8.85,9.02,8.71,8.93,3800,8.93,2026-09-03T19:37:02.432924+00:00
2025-08-18,8.77,9.1,8.77,8.94,2850,8.94,2026-09-03T19:37:02.432924+00:00
2025-08-19,8.78,9.0,8.78,9.0,2900,9.0,2026-09-03T19:37:02.432924+00:00
2025-08-20,8.83,9.35,8.83,9.31,3400,9.31,2026-09-03T19:37:02.432924+00:00
2025-08-21,9.15,9.33,9.0,9.24,13300,9.24,2026-09-03T19:37:02.432924+00:00
2025-08-24,9.06,9.33,8.9,8.92,6600,8.92,2026-09-03T19:37:02.432924+00:00
