date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,131.0,133.0,133.0,133.0,20,133.0,2026-09-03T19:34:01.822617+00:00
2012-09-10,133.0,131.0,129.0,131.0,590,131.0,2026-09-03T19:34:01.822617+00:00
2012-09-11,131.0,131.0,130.0,131.0,80,131.0,2026-09-03T19:34:01.822617+00:00
2012-09-12,131.0,130.0,129.0,130.0,220,130.0,2026-09-03T19:34:01.822617+00:00
2012-09-13,130.0,137.0,130.0,135.0,760,135.0,2026-09-03T19:34:01.822617+00:00
2012-09-16,135.0,148.0,137.0,148.0,2870,148.0,2026-09-03T19:34:01.822617+00:00
2012-09-17,148.0,148.0,144.0,144.0,170,144.0,2026-09-03T19:34:01.822617+00:00
2012-09-18,144.0,150.0,144.0,144.0,900,144.0,2026-09-03T19:34:01.822617+00:00
2012-09-19,144.0,144.0,141.0,141.0,920,141.0,2026-09-03T19:34:01.822617+00:00
2012-09-20,141.0,142.0,140.0,142.0,250,142.0,2026-09-03T19:34:01.822617+00:00
2012-09-23,142.0,140.0,140.0,140.0,210,140.0,2026-09-03T19:34:01.822617+00:00
2012-09-24,140.0,139.0,139.0,139.0,180,139.0,2026-09-03T19:34:01.822617+00:00
2012-09-26,139.0,137.0,135.0,135.0,180,135.0,2026-09-03T19:34:01.822617+00:00
2012-09-30,137.0,135.0,135.0,135.0,220,135.0,2026-09-03T19:34:01.822617+00:00
2012-10-01,135.0,137.0,136.0,137.0,100,137.0,2026-09-03T19:34:01.822617+00:00
2012-10-01,135.0,137.0,136.0,137.0,100,137.0,2026-09-03T19:34:01.822617+00:00
2012-10-03,137.0,139.0,137.0,139.0,140,139.0,2026-09-03T19:34:01.822617+00:00
2012-10-04,139.0,139.0,139.0,139.0,50,139.0,2026-09-03T19:34:01.822617+00:00
2012-10-08,139.0,137.0,135.0,135.0,100,135.0,2026-09-03T19:34:01.822617+00:00
2012-10-09,135.0,134.0,132.0,134.0,200,134.0,2026-09-03T19:34:01.822617+00:00
2012-10-10,134.0,135.0,133.0,135.0,340,135.0,2026-09-03T19:34:01.822617+00:00
2012-10-11,135.0,133.0,133.0,133.0,40,133.0,2026-09-03T19:34:01.822617+00:00
2012-10-14,133.0,137.0,135.0,137.0,220,137.0,2026-09-03T19:34:01.822617+00:00
2012-10-18,137.0,138.0,135.0,135.0,270,135.0,2026-09-03T19:34:01.822617+00:00
2012-10-30,135.0,133.0,133.0,133.0,190,133.0,2026-09-03T19:34:01.822617+00:00
2012-10-31,133.0,135.0,135.0,135.0,190,135.0,2026-09-03T19:34:01.822617+00:00
2012-11-04,135.0,139.0,137.0,139.0,240,139.0,2026-09-03T19:34:01.822617+00:00
2012-11-05,139.0,140.0,138.0,138.0,90,138.0,2026-09-03T19:34:01.822617+00:00
2012-11-06,138.0,138.0,137.0,138.0,660,138.0,2026-09-03T19:34:01.822617+00:00
2012-11-07,138.0,140.0,140.0,140.0,30,140.0,2026-09-03T19:34:01.822617+00:00
2012-11-08,140.0,153.0,142.0,153.0,770,153.0,2026-09-03T19:34:01.822617+00:00
2012-11-11,153.0,153.0,150.0,150.0,510,150.0,2026-09-03T19:34:01.822617+00:00
2012-11-12,150.0,147.0,147.0,147.0,220,147.0,2026-09-03T19:34:01.822617+00:00
2012-11-18,147.0,149.0,148.0,148.0,160,148.0,2026-09-03T19:34:01.822617+00:00
2012-11-20,148.0,152.0,147.0,152.0,2150,152.0,2026-09-03T19:34:01.822617+00:00
2012-11-22,152.0,149.0,149.0,149.0,50,149.0,2026-09-03T19:34:01.822617+00:00
2012-11-28,149.0,147.0,147.0,147.0,30,147.0,2026-09-03T19:34:01.822617+00:00
2012-12-05,147.0,145.0,145.0,145.0,30,145.0,2026-09-03T19:34:01.822617+00:00
2012-12-17,145.0,130.0,130.0,130.0,60,130.0,2026-09-03T19:34:01.822617+00:00
2012-12-19,130.0,128.0,128.0,128.0,60,128.0,2026-09-03T19:34:01.822617+00:00
2012-12-23,128.0,126.0,126.0,126.0,40,126.0,2026-09-03T19:34:01.822617+00:00
2012-12-24,126.0,128.0,128.0,128.0,180,128.0,2026-09-03T19:34:01.822617+00:00
2012-12-27,128.0,126.0,126.0,126.0,200,126.0,2026-09-03T19:34:01.822617+00:00
2012-12-31,126.0,124.0,124.0,124.0,20,124.0,2026-09-03T19:34:01.822617+00:00
2013-01-01,124.0,124.0,124.0,124.0,40,124.0,2026-09-03T19:34:01.822617+00:00
2013-01-02,124.0,122.0,122.0,122.0,40,122.0,2026-09-03T19:34:01.822617+00:00
2013-01-07,122.0,124.0,124.0,124.0,180,124.0,2026-09-03T19:34:01.822617+00:00
2013-01-13,124.0,126.0,126.0,126.0,80,126.0,2026-09-03T19:34:01.822617+00:00
2013-01-15,126.0,126.0,124.0,126.0,40,126.0,2026-09-03T19:34:01.822617+00:00
2013-01-16,126.0,130.0,128.0,130.0,70,130.0,2026-09-03T19:34:01.822617+00:00
2013-01-17,130.0,137.0,132.0,137.0,790,137.0,2026-09-03T19:34:01.822617+00:00
2013-01-20,137.0,135.0,133.0,133.0,100,133.0,2026-09-03T19:34:01.822617+00:00
2013-01-21,133.0,139.0,135.0,139.0,160,139.0,2026-09-03T19:34:01.822617+00:00
2013-01-22,139.0,141.0,137.0,141.0,700,141.0,2026-09-03T19:34:01.822617+00:00
2013-01-24,141.0,139.0,135.0,135.0,160,135.0,2026-09-03T19:34:01.822617+00:00
2013-01-27,135.0,135.0,133.0,133.0,410,133.0,2026-09-03T19:34:01.822617+00:00
2013-01-28,133.0,133.0,133.0,133.0,60,133.0,2026-09-03T19:34:01.822617+00:00
2013-02-03,133.0,137.0,135.0,137.0,680,137.0,2026-09-03T19:34:01.822617+00:00
2013-02-04,137.0,135.0,135.0,135.0,48,135.0,2026-09-03T19:34:01.822617+00:00
2013-02-05,135.0,133.0,133.0,133.0,60,133.0,2026-09-03T19:34:01.822617+00:00
2013-02-10,133.0,130.0,129.0,130.0,3110,130.0,2026-09-03T19:34:01.822617+00:00
2013-02-13,130.0,136.0,132.0,136.0,190,136.0,2026-09-03T19:34:01.822617+00:00
2013-02-14,136.0,135.0,135.0,135.0,20,135.0,2026-09-03T19:34:01.822617+00:00
2013-02-20,135.0,137.0,135.0,137.0,80,137.0,2026-09-03T19:34:01.822617+00:00
2013-02-27,137.0,135.0,135.0,135.0,390,135.0,2026-09-03T19:34:01.822617+00:00
2013-02-28,135.0,137.0,137.0,137.0,30,137.0,2026-09-03T19:34:01.822617+00:00
2013-03-03,137.0,135.0,135.0,135.0,120,135.0,2026-09-03T19:34:01.822617+00:00
2013-03-04,135.0,137.0,137.0,137.0,270,137.0,2026-09-03T19:34:01.822617+00:00
2013-03-05,137.0,140.0,138.0,140.0,288,140.0,2026-09-03T19:34:01.822617+00:00
2013-03-07,140.0,142.0,136.0,136.0,90,136.0,2026-09-03T19:34:01.822617+00:00
2013-03-11,136.0,136.0,134.0,136.0,2024,136.0,2026-09-03T19:34:01.822617+00:00
2013-03-17,136.0,142.0,138.0,142.0,110,142.0,2026-09-03T19:34:01.822617+00:00
2013-03-18,142.0,142.0,140.0,142.0,620,142.0,2026-09-03T19:34:01.822617+00:00
2013-03-20,142.0,140.0,139.0,139.0,520,139.0,2026-09-03T19:34:01.822617+00:00
2013-03-21,139.0,140.0,140.0,140.0,20,140.0,2026-09-03T19:34:01.822617+00:00
2013-03-28,140.0,139.0,139.0,139.0,970,139.0,2026-09-03T19:34:01.822617+00:00
2013-03-31,139.0,137.0,135.0,135.0,290,135.0,2026-09-03T19:34:01.822617+00:00
2013-04-02,135.0,133.0,131.0,131.0,50,131.0,2026-09-03T19:34:01.822617+00:00
2013-04-03,131.0,130.0,130.0,130.0,12,130.0,2026-09-03T19:34:01.822617+00:00
2013-04-07,130.0,128.0,128.0,128.0,120,128.0,2026-09-03T19:34:01.822617+00:00
2013-04-08,128.0,129.0,129.0,129.0,10,129.0,2026-09-03T19:34:01.822617+00:00
2013-04-09,129.0,128.0,128.0,128.0,120,128.0,2026-09-03T19:34:01.822617+00:00
2013-04-15,128.0,126.0,122.0,126.0,160,126.0,2026-09-03T19:34:01.822617+00:00
2013-04-16,126.0,126.0,124.0,126.0,220,126.0,2026-09-03T19:34:01.822617+00:00
2013-04-17,126.0,127.0,127.0,127.0,30,127.0,2026-09-03T19:34:01.822617+00:00
2013-04-21,127.0,129.0,129.0,129.0,20,129.0,2026-09-03T19:34:01.822617+00:00
2013-04-22,129.0,127.0,125.0,125.0,2100,125.0,2026-09-03T19:34:01.822617+00:00
2013-04-23,125.0,129.0,127.0,129.0,180,129.0,2026-09-03T19:34:01.822617+00:00
2013-04-25,129.0,127.0,127.0,127.0,100,127.0,2026-09-03T19:34:01.822617+00:00
2013-04-30,127.0,129.0,129.0,129.0,20,129.0,2026-09-03T19:34:01.822617+00:00
2013-05-02,129.0,132.0,129.0,130.0,594,130.0,2026-09-03T19:34:01.822617+00:00
2013-05-06,130.0,132.0,132.0,132.0,100,132.0,2026-09-03T19:34:01.822617+00:00
2013-05-07,132.0,132.0,130.0,132.0,200,132.0,2026-09-03T19:34:01.822617+00:00
2013-05-08,132.0,134.0,132.0,133.0,380,133.0,2026-09-03T19:34:01.822617+00:00
2013-05-12,133.0,132.0,130.0,130.0,580,130.0,2026-09-03T19:34:01.822617+00:00
2013-05-14,130.0,129.0,129.0,129.0,48,129.0,2026-09-03T19:34:01.822617+00:00
2013-05-15,129.0,131.0,131.0,131.0,60,131.0,2026-09-03T19:34:01.822617+00:00
2013-05-20,131.0,140.0,133.0,140.0,1128,140.0,2026-09-03T19:34:01.822617+00:00
2013-05-21,140.0,140.0,138.0,138.0,552,138.0,2026-09-03T19:34:01.822617+00:00
2013-05-23,138.0,136.0,134.0,134.0,1060,134.0,2026-09-03T19:34:01.822617+00:00
2013-05-26,134.0,134.0,134.0,134.0,72,134.0,2026-09-03T19:34:01.822617+00:00
2013-05-27,134.0,136.0,134.0,136.0,84,136.0,2026-09-03T19:34:01.822617+00:00
2013-05-28,136.0,137.0,135.0,135.0,372,135.0,2026-09-03T19:34:01.822617+00:00
2013-06-02,135.0,135.0,135.0,135.0,72,135.0,2026-09-03T19:34:01.822617+00:00
2013-06-03,135.0,139.0,137.0,139.0,100,139.0,2026-09-03T19:34:01.822617+00:00
2013-06-04,139.0,138.0,138.0,138.0,96,138.0,2026-09-03T19:34:01.822617+00:00
2013-06-05,138.0,140.0,138.0,140.0,180,140.0,2026-09-03T19:34:01.822617+00:00
2013-06-06,140.0,140.0,140.0,140.0,48,140.0,2026-09-03T19:34:01.822617+00:00
2013-06-09,140.0,142.0,140.0,142.0,238,142.0,2026-09-03T19:34:01.822617+00:00
2013-06-10,142.0,142.0,142.0,142.0,24,142.0,2026-09-03T19:34:01.822617+00:00
2013-06-11,142.0,145.0,139.0,139.0,160,139.0,2026-09-03T19:34:01.822617+00:00
2013-06-12,139.0,143.0,140.0,141.0,760,141.0,2026-09-03T19:34:01.822617+00:00
2013-06-13,141.0,142.0,138.0,142.0,344,142.0,2026-09-03T19:34:01.822617+00:00
2013-06-16,142.0,140.0,139.0,139.0,296,139.0,2026-09-03T19:34:01.822617+00:00
2013-06-17,139.0,139.0,139.0,139.0,12,139.0,2026-09-03T19:34:01.822617+00:00
2013-06-18,139.0,138.0,137.0,138.0,140,138.0,2026-09-03T19:34:01.822617+00:00
2013-06-20,138.0,145.0,136.0,145.0,2414,145.0,2026-09-03T19:34:01.822617+00:00
2013-06-23,145.0,143.0,141.0,141.0,1252,141.0,2026-09-03T19:34:01.822617+00:00
2013-06-24,141.0,139.0,139.0,139.0,24,139.0,2026-09-03T19:34:01.822617+00:00
2013-06-25,139.0,137.0,136.0,137.0,232,137.0,2026-09-03T19:34:01.822617+00:00
2013-06-26,137.0,140.0,138.0,138.0,264,138.0,2026-09-03T19:34:01.822617+00:00
2013-06-27,138.0,140.0,140.0,140.0,114,140.0,2026-09-03T19:34:01.822617+00:00
2013-06-30,140.0,139.0,139.0,139.0,24,139.0,2026-09-03T19:34:01.822617+00:00
2013-07-01,139.0,141.0,139.0,141.0,1370,141.0,2026-09-03T19:34:01.822617+00:00
2013-07-02,141.0,142.0,142.0,142.0,72,142.0,2026-09-03T19:34:01.822617+00:00
2013-07-03,142.0,140.0,138.0,138.0,1478,138.0,2026-09-03T19:34:01.822617+00:00
2013-07-04,138.0,139.0,136.0,139.0,528,139.0,2026-09-03T19:34:01.822617+00:00
2013-07-07,139.0,138.0,138.0,138.0,188,138.0,2026-09-03T19:34:01.822617+00:00
2013-07-08,138.0,138.0,138.0,138.0,216,138.0,2026-09-03T19:34:01.822617+00:00
2013-07-14,138.0,138.0,136.0,138.0,60,138.0,2026-09-03T19:34:01.822617+00:00
2013-07-15,138.0,137.0,137.0,137.0,96,137.0,2026-09-03T19:34:01.822617+00:00
2013-07-16,137.0,140.0,138.0,138.0,264,138.0,2026-09-03T19:34:01.822617+00:00
2013-07-17,138.0,138.0,138.0,138.0,72,138.0,2026-09-03T19:34:01.822617+00:00
2013-07-18,138.0,142.0,140.0,142.0,352,142.0,2026-09-03T19:34:01.822617+00:00
2013-07-22,142.0,144.0,144.0,144.0,290,144.0,2026-09-03T19:34:01.822617+00:00
2013-07-24,144.0,144.0,144.0,144.0,16,144.0,2026-09-03T19:34:01.822617+00:00
2013-07-25,144.0,145.0,143.0,143.0,152,143.0,2026-09-03T19:34:01.822617+00:00
2013-07-28,143.0,147.0,143.0,147.0,382,147.0,2026-09-03T19:34:01.822617+00:00
2013-07-29,147.0,150.0,149.0,150.0,2326,150.0,2026-09-03T19:34:01.822617+00:00
2013-08-01,150.0,153.0,153.0,153.0,24,153.0,2026-09-03T19:34:01.822617+00:00
2013-08-04,153.0,156.0,153.0,153.0,1162,153.0,2026-09-03T19:34:01.822617+00:00
2013-08-05,153.0,150.0,150.0,150.0,48,150.0,2026-09-03T19:34:01.822617+00:00
2013-08-07,150.0,147.0,147.0,147.0,112,147.0,2026-09-03T19:34:01.822617+00:00
2013-08-08,147.0,150.0,149.0,149.0,264,149.0,2026-09-03T19:34:01.822617+00:00
2013-08-11,149.0,151.0,149.0,151.0,192,151.0,2026-09-03T19:34:01.822617+00:00
2013-08-12,151.0,157.0,153.0,157.0,360,157.0,2026-09-03T19:34:01.822617+00:00
2013-08-13,157.0,158.0,154.0,157.0,484,157.0,2026-09-03T19:34:01.822617+00:00
2013-08-14,157.0,166.0,160.0,166.0,392,166.0,2026-09-03T19:34:01.822617+00:00
2013-08-15,166.0,168.0,163.0,168.0,392,168.0,2026-09-03T19:34:01.822617+00:00
2013-08-18,168.0,184.0,169.0,183.0,1148,183.0,2026-09-03T19:34:01.822617+00:00
2013-08-19,183.0,195.0,184.0,194.0,3396,194.0,2026-09-03T19:34:01.822617+00:00
2013-08-20,194.0,204.0,197.0,204.0,282,204.0,2026-09-03T19:34:01.822617+00:00
2013-08-25,204.0,205.0,200.0,204.0,426,204.0,2026-09-03T19:34:01.822617+00:00
2013-08-26,204.0,208.0,196.0,196.0,320,196.0,2026-09-03T19:34:01.822617+00:00
2013-08-27,196.0,193.0,188.0,191.0,1444,191.0,2026-09-03T19:34:01.822617+00:00
2013-08-29,191.0,195.0,191.0,191.0,312,191.0,2026-09-03T19:34:01.822617+00:00
2013-09-01,191.0,191.0,188.0,188.0,504,188.0,2026-09-03T19:34:01.822617+00:00
2013-09-02,188.0,189.0,189.0,189.0,48,189.0,2026-09-03T19:34:01.822617+00:00
2013-09-03,189.0,192.0,192.0,192.0,10,192.0,2026-09-03T19:34:01.822617+00:00
2013-09-04,192.0,195.0,195.0,195.0,10,195.0,2026-09-03T19:34:01.822617+00:00
2013-09-05,195.0,201.0,195.0,197.0,1336,197.0,2026-09-03T19:34:01.822617+00:00
2013-09-08,197.0,197.0,194.0,196.0,500,196.0,2026-09-03T19:34:01.822617+00:00
