date,open,high,low,close,volume,adj_close,fetched_at
2023-07-05,270.0,275.4,243.0,243.0,69350,243.0,2026-09-03T19:36:31.812228+00:00
2023-07-06,238.2,238.2,218.7,218.7,26946,218.7,2026-09-03T19:36:31.812228+00:00
2023-07-09,214.4,226.0,197.9,218.1,263768,218.1,2026-09-03T19:36:31.812228+00:00
2023-07-10,218.1,218.1,208.0,209.1,82952,209.1,2026-09-03T19:36:31.812228+00:00
2023-07-11,209.0,210.4,205.0,206.1,46920,206.1,2026-09-03T19:36:31.812228+00:00
2023-07-12,206.9,220.0,202.8,219.5,77758,219.5,2026-09-03T19:36:31.812228+00:00
2023-07-13,217.0,223.5,207.6,208.6,76665,208.6,2026-09-03T19:36:31.812228+00:00
2023-07-16,212.0,212.7,205.0,207.5,44573,207.5,2026-09-03T19:36:31.812228+00:00
2023-07-17,206.0,214.0,204.1,211.5,49975,211.5,2026-09-03T19:36:31.812228+00:00
2023-07-18,211.5,214.0,211.2,211.3,41978,211.3,2026-09-03T19:36:31.812228+00:00
2023-07-19,211.0,212.0,207.4,208.0,38450,208.0,2026-09-03T19:36:31.812228+00:00
2023-07-20,205.3,228.8,205.3,217.0,87926,217.0,2026-09-03T19:36:31.812228+00:00
2023-07-23,215.0,224.0,215.0,220.0,76728,220.0,2026-09-03T19:36:31.812228+00:00
2023-07-24,217.0,235.5,217.0,225.0,117096,225.0,2026-09-03T19:36:31.812228+00:00
2023-07-25,224.4,235.0,222.0,230.0,68437,230.0,2026-09-03T19:36:31.812228+00:00
2023-07-26,230.0,230.1,220.0,222.0,63411,222.0,2026-09-03T19:36:31.812228+00:00
2023-07-27,222.0,225.0,215.1,218.0,52702,218.0,2026-09-03T19:36:31.812228+00:00
2023-07-30,213.7,222.0,210.0,210.9,37013,210.9,2026-09-03T19:36:31.812228+00:00
2023-07-31,210.0,218.9,207.5,209.5,55013,209.5,2026-09-03T19:36:31.812228+00:00
2023-08-01,208.1,216.0,206.2,206.2,42913,206.2,2026-09-03T19:36:31.812228+00:00
2023-08-02,205.6,211.1,205.6,208.0,28714,208.0,2026-09-03T19:36:31.812228+00:00
2023-08-03,209.5,211.3,206.0,207.0,41739,207.0,2026-09-03T19:36:31.812228+00:00
2023-08-06,202.9,214.0,200.2,202.0,41679,202.0,2026-09-03T19:36:31.812228+00:00
2023-08-07,202.0,205.9,198.3,200.0,51751,200.0,2026-09-03T19:36:31.812228+00:00
2023-08-08,200.0,202.0,193.2,194.0,38481,194.0,2026-09-03T19:36:31.812228+00:00
2023-08-09,191.1,201.0,189.0,200.1,43607,200.1,2026-09-03T19:36:31.812228+00:00
2023-08-10,196.5,204.0,195.4,199.0,42298,199.0,2026-09-03T19:36:31.812228+00:00
2023-08-13,196.0,196.0,191.2,192.1,37934,192.1,2026-09-03T19:36:31.812228+00:00
2023-08-14,192.0,195.9,190.0,190.5,30083,190.5,2026-09-03T19:36:31.812228+00:00
2023-08-15,190.0,190.0,183.0,183.4,44990,183.4,2026-09-03T19:36:31.812228+00:00
2023-08-16,182.6,185.0,179.0,179.2,22557,179.2,2026-09-03T19:36:31.812228+00:00
2023-08-17,182.0,184.9,179.0,180.0,22438,180.0,2026-09-03T19:36:31.812228+00:00
2023-08-20,180.0,187.0,173.6,173.6,21024,173.6,2026-09-03T19:36:31.812228+00:00
2023-08-21,173.0,173.0,156.4,165.1,58531,165.1,2026-09-03T19:36:31.812228+00:00
2023-08-22,162.0,179.0,162.0,178.3,24115,178.3,2026-09-03T19:36:31.812228+00:00
2023-08-23,176.7,183.6,172.5,182.0,31189,182.0,2026-09-03T19:36:31.812228+00:00
2023-08-24,180.0,182.0,170.6,171.0,34492,171.0,2026-09-03T19:36:31.812228+00:00
