date,open,high,low,close,volume,adj_close,fetched_at
2021-02-07,665.0,726.0,656.0,694.0,25785,694.0,2026-09-03T19:35:23.866182+00:00
2021-02-08,685.0,701.0,660.0,675.0,26305,675.0,2026-09-03T19:35:23.866182+00:00
2021-02-09,707.0,707.0,634.0,645.0,31817,645.0,2026-09-03T19:35:23.866182+00:00
2021-02-10,677.0,677.0,622.0,640.0,26200,640.0,2026-09-03T19:35:23.866182+00:00
2021-02-11,628.0,640.0,618.0,620.0,15428,620.0,2026-09-03T19:35:23.866182+00:00
2021-02-14,615.0,630.0,604.0,613.0,20260,613.0,2026-09-03T19:35:23.866182+00:00
2021-02-15,610.0,650.0,610.0,643.0,40120,643.0,2026-09-03T19:35:23.866182+00:00
2021-02-16,643.0,650.0,627.0,650.0,28531,650.0,2026-09-03T19:35:23.866182+00:00
2021-02-17,637.0,648.0,629.0,635.0,34932,635.0,2026-09-03T19:35:23.866182+00:00
2021-02-18,630.0,659.0,630.0,650.0,21616,650.0,2026-09-03T19:35:23.866182+00:00
2021-02-21,661.0,670.0,634.0,650.0,41465,650.0,2026-09-03T19:35:23.866182+00:00
2021-02-22,660.0,663.0,637.0,647.0,18510,647.0,2026-09-03T19:35:23.866182+00:00
2021-02-23,635.0,647.0,635.0,645.0,17585,645.0,2026-09-03T19:35:23.866182+00:00
2021-02-24,645.0,655.0,635.0,646.0,20264,646.0,2026-09-03T19:35:23.866182+00:00
2021-02-25,650.0,650.0,636.0,643.0,13120,643.0,2026-09-03T19:35:23.866182+00:00
2021-02-28,632.0,633.0,615.0,622.0,14411,622.0,2026-09-03T19:35:23.866182+00:00
2021-03-01,612.0,635.0,600.0,625.0,14902,625.0,2026-09-03T19:35:23.866182+00:00
2021-03-02,656.0,656.0,617.0,618.0,8426,618.0,2026-09-03T19:35:23.866182+00:00
2021-03-03,608.0,642.0,608.0,624.0,16220,624.0,2026-09-03T19:35:23.866182+00:00
2021-03-04,624.0,646.0,624.0,643.0,12160,643.0,2026-09-03T19:35:23.866182+00:00
2021-03-07,635.0,643.0,635.0,637.0,7910,637.0,2026-09-03T19:35:23.866182+00:00
2021-03-09,625.0,641.0,625.0,640.0,14810,640.0,2026-09-03T19:35:23.866182+00:00
2021-03-10,635.0,663.0,631.0,657.0,13721,657.0,2026-09-03T19:35:23.866182+00:00
