date,open,high,low,close,volume,adj_close,fetched_at
2016-09-05,0.0,392.0,392.0,392.0,10,392.0,2026-09-03T19:34:33.728862+00:00
2016-09-08,392.0,411.0,411.0,411.0,10,411.0,2026-09-03T19:34:33.728862+00:00
2016-11-24,411.0,419.0,419.0,419.0,10,419.0,2026-09-03T19:34:33.728862+00:00
2016-12-06,419.0,451.0,427.0,451.0,50,451.0,2026-09-03T19:34:33.728862+00:00
2016-12-15,451.0,478.0,460.0,478.0,92,478.0,2026-09-03T19:34:33.728862+00:00
2016-12-18,478.0,496.0,487.0,496.0,20,496.0,2026-09-03T19:34:33.728862+00:00
2016-12-21,451.0,487.0,460.0,487.0,40,487.0,2026-09-03T19:34:33.728862+00:00
2016-12-26,487.0,535.0,496.0,535.0,50,535.0,2026-09-03T19:34:33.728862+00:00
2017-01-19,535.0,545.0,545.0,545.0,10,545.0,2026-09-03T19:34:33.728862+00:00
2017-01-23,545.0,566.0,555.0,566.0,41,566.0,2026-09-03T19:34:33.728862+00:00
2017-01-24,566.0,577.0,577.0,577.0,10,577.0,2026-09-03T19:34:33.728862+00:00
2017-02-09,577.0,610.0,588.0,610.0,30,610.0,2026-09-03T19:34:33.728862+00:00
2017-02-12,610.0,646.0,622.0,646.0,74,646.0,2026-09-03T19:34:33.728862+00:00
2017-02-13,646.0,671.0,658.0,671.0,20,671.0,2026-09-03T19:34:33.728862+00:00
2017-02-14,671.0,684.0,684.0,684.0,10,684.0,2026-09-03T19:34:33.728862+00:00
2017-02-26,684.0,710.0,697.0,710.0,20,710.0,2026-09-03T19:34:33.728862+00:00
2017-03-01,710.0,752.0,724.0,752.0,30,752.0,2026-09-03T19:34:33.728862+00:00
2017-03-02,752.0,782.0,767.0,782.0,41,782.0,2026-09-03T19:34:33.728862+00:00
2017-03-14,782.0,797.0,797.0,797.0,10,797.0,2026-09-03T19:34:33.728862+00:00
2017-03-20,797.0,812.0,812.0,812.0,4,812.0,2026-09-03T19:34:33.728862+00:00
2017-03-21,797.0,844.0,812.0,844.0,50,844.0,2026-09-03T19:34:33.728862+00:00
2017-03-22,844.0,877.0,860.0,877.0,27,877.0,2026-09-03T19:34:33.728862+00:00
2017-03-26,877.0,894.0,894.0,894.0,10,894.0,2026-09-03T19:34:33.728862+00:00
2017-04-06,894.0,975.0,938.0,975.0,61,975.0,2026-09-03T19:34:33.728862+00:00
2017-04-09,975.0,994.0,994.0,994.0,10,994.0,2026-09-03T19:34:33.728862+00:00
2017-04-11,975.0,1033.0,994.0,1033.0,35,1033.0,2026-09-03T19:34:33.728862+00:00
2017-04-12,1033.0,1053.0,1053.0,1053.0,20,1053.0,2026-09-03T19:34:33.728862+00:00
2017-04-13,1053.0,1074.0,1074.0,1074.0,10,1074.0,2026-09-03T19:34:33.728862+00:00
2017-04-20,1074.0,1160.0,1095.0,1160.0,40,1160.0,2026-09-03T19:34:33.728862+00:00
2017-04-24,1160.0,1183.0,1183.0,1183.0,20,1183.0,2026-09-03T19:34:33.728862+00:00
2017-04-26,1183.0,1206.0,1206.0,1206.0,10,1206.0,2026-09-03T19:34:33.728862+00:00
2017-04-27,1206.0,1326.0,1230.0,1326.0,312,1326.0,2026-09-03T19:34:33.728862+00:00
2017-04-30,1326.0,1379.0,1352.0,1379.0,22,1379.0,2026-09-03T19:34:33.728862+00:00
2017-05-04,1379.0,1434.0,1406.0,1434.0,28,1434.0,2026-09-03T19:34:33.728862+00:00
2017-05-07,1434.0,1550.0,1462.0,1550.0,43,1550.0,2026-09-03T19:34:33.728862+00:00
2017-05-08,1550.0,1705.0,1581.0,1705.0,75,1705.0,2026-09-03T19:34:33.728862+00:00
2017-05-09,1705.0,1844.0,1739.0,1844.0,54,1844.0,2026-09-03T19:34:33.728862+00:00
2017-05-11,1844.0,1880.88,1880.88,1880.88,10,1880.88,2026-09-03T19:34:33.728862+00:00
2017-05-15,1880.88,1918.0,1918.0,1918.0,10,1918.0,2026-09-03T19:34:33.728862+00:00
2017-05-17,1918.0,2109.0,1956.0,2109.0,72,2109.0,2026-09-03T19:34:33.728862+00:00
2017-05-18,2109.0,2319.0,2151.0,2319.0,575,2319.0,2026-09-03T19:34:33.728862+00:00
2017-05-21,2319.0,2550.9,2365.0,2550.0,478,2550.0,2026-09-03T19:34:33.728862+00:00
2017-05-22,2550.0,2805.0,2601.0,2805.0,1780,2805.0,2026-09-03T19:34:33.728862+00:00
2017-05-23,2805.0,3085.0,2690.0,2750.0,23569,2750.0,2026-09-03T19:34:33.728862+00:00
2017-05-24,2750.0,2800.0,2553.0,2723.0,9195,2723.0,2026-09-03T19:34:33.728862+00:00
2017-05-28,2723.0,2670.0,2598.0,2618.0,4617,2618.0,2026-09-03T19:34:33.728862+00:00
2017-05-30,2618.0,2610.0,2541.0,2585.0,3110,2585.0,2026-09-03T19:34:33.728862+00:00
2017-05-31,2585.0,2636.0,2473.0,2598.0,3194,2598.0,2026-09-03T19:34:33.728862+00:00
2017-06-01,2598.0,2547.0,2472.0,2512.0,3711,2512.0,2026-09-03T19:34:33.728862+00:00
2017-06-04,2512.0,2505.0,2382.0,2440.0,1476,2440.0,2026-09-03T19:34:33.728862+00:00
2017-06-05,2440.0,2487.0,2445.0,2476.0,3213,2476.0,2026-09-03T19:34:33.728862+00:00
2017-06-06,2476.0,2545.0,2476.0,2538.0,2535,2538.0,2026-09-03T19:34:33.728862+00:00
2017-06-07,2538.0,2599.0,2520.0,2525.0,5278,2525.0,2026-09-03T19:34:33.728862+00:00
2017-06-08,2525.0,2525.0,2480.0,2510.0,2104,2510.0,2026-09-03T19:34:33.728862+00:00
2017-06-11,2510.0,2475.0,2413.0,2431.0,2170,2431.0,2026-09-03T19:34:33.728862+00:00
2017-06-12,2431.0,2450.0,2375.0,2449.0,2655,2449.0,2026-09-03T19:34:33.728862+00:00
2017-06-13,2449.0,2500.0,2353.0,2397.0,936,2397.0,2026-09-03T19:34:33.728862+00:00
2017-06-14,2397.0,2419.0,2361.0,2419.0,900,2419.0,2026-09-03T19:34:33.728862+00:00
2017-06-15,2419.0,2449.0,2350.0,2400.0,2083,2400.0,2026-09-03T19:34:33.728862+00:00
2017-06-18,2400.0,2399.0,2338.0,2340.0,1179,2340.0,2026-09-03T19:34:33.728862+00:00
2017-06-19,2340.0,2369.0,2267.0,2280.0,1495,2280.0,2026-09-03T19:34:33.728862+00:00
2017-06-20,2280.0,2331.0,2250.0,2295.0,1178,2295.0,2026-09-03T19:34:33.728862+00:00
2017-06-21,2295.0,2315.0,2252.0,2272.0,777,2272.0,2026-09-03T19:34:33.728862+00:00
2017-06-22,2272.0,2290.0,2256.0,2290.0,597,2290.0,2026-09-03T19:34:33.728862+00:00
2017-06-25,2290.0,2301.0,2265.0,2285.0,605,2285.0,2026-09-03T19:34:33.728862+00:00
2017-06-27,2285.0,2330.0,2270.0,2277.0,1125,2277.0,2026-09-03T19:34:33.728862+00:00
2017-06-28,2277.0,2272.0,2232.0,2250.0,1418,2250.0,2026-09-03T19:34:33.728862+00:00
2017-07-02,2250.0,2290.0,2216.0,2218.0,925,2218.0,2026-09-03T19:34:33.728862+00:00
2017-07-03,2218.0,2244.0,2200.0,2240.0,1136,2240.0,2026-09-03T19:34:33.728862+00:00
2017-07-04,2240.0,2245.0,2202.0,2210.0,843,2210.0,2026-09-03T19:34:33.728862+00:00
2017-07-05,2210.0,2280.0,2190.0,2280.0,1061,2280.0,2026-09-03T19:34:33.728862+00:00
2017-07-06,2280.0,2350.0,2280.0,2325.0,859,2325.0,2026-09-03T19:34:33.728862+00:00
2017-07-09,2325.0,2345.0,2180.0,2205.0,629,2205.0,2026-09-03T19:34:33.728862+00:00
2017-07-10,2205.0,2248.0,2206.0,2210.0,1620,2210.0,2026-09-03T19:34:33.728862+00:00
2017-07-11,2210.0,2240.0,2200.0,2213.0,701,2213.0,2026-09-03T19:34:33.728862+00:00
2017-07-12,2213.0,2245.0,2210.0,2224.0,689,2224.0,2026-09-03T19:34:33.728862+00:00
2017-07-13,2224.0,2229.0,2200.0,2204.0,734,2204.0,2026-09-03T19:34:33.728862+00:00
2017-07-16,2204.0,2215.0,2185.0,2188.0,804,2188.0,2026-09-03T19:34:33.728862+00:00
2017-07-17,2188.0,2250.0,2156.0,2250.0,1941,2250.0,2026-09-03T19:34:33.728862+00:00
2017-07-18,2250.0,2320.0,2225.0,2305.0,3126,2305.0,2026-09-03T19:34:33.728862+00:00
2017-07-19,2305.0,2320.0,2215.0,2260.0,2192,2260.0,2026-09-03T19:34:33.728862+00:00
2017-07-20,2260.0,2274.0,2225.0,2260.0,879,2260.0,2026-09-03T19:34:33.728862+00:00
2017-07-23,2260.0,2280.0,2251.0,2253.0,1704,2253.0,2026-09-03T19:34:33.728862+00:00
2017-07-24,2253.0,2250.0,2214.0,2227.0,2418,2227.0,2026-09-03T19:34:33.728862+00:00
2017-07-25,2227.0,2245.0,2220.0,2230.0,791,2230.0,2026-09-03T19:34:33.728862+00:00
2017-07-26,2230.0,2251.0,2196.0,2196.0,779,2196.0,2026-09-03T19:34:33.728862+00:00
2017-07-27,2196.0,2415.0,2202.0,2375.0,3123,2375.0,2026-09-03T19:34:33.728862+00:00
