date,open,high,low,close,volume,adj_close,fetched_at
2022-08-17,237.3,261.0,237.3,261.0,150,261.0,2026-09-03T19:36:03.895061+00:00
2022-08-18,266.2,287.1,266.2,287.1,260,287.1,2026-09-03T19:36:03.895061+00:00
2022-08-21,292.8,315.8,292.8,315.8,650,315.8,2026-09-03T19:36:03.895061+00:00
2022-08-22,322.1,347.3,322.1,347.3,6530,347.3,2026-09-03T19:36:03.895061+00:00
2022-08-23,354.2,382.0,354.2,382.0,11400,382.0,2026-09-03T19:36:03.895061+00:00
2022-08-24,389.6,420.2,389.6,420.2,76612,420.2,2026-09-03T19:36:03.895061+00:00
2022-08-25,428.6,436.0,403.8,415.0,26490,415.0,2026-09-03T19:36:03.895061+00:00
2022-08-26,407.0,410.1,400.1,407.6,7780,407.6,2026-09-03T19:36:03.895061+00:00
2022-08-28,400.1,400.1,378.7,380.0,23769,380.0,2026-09-03T19:36:03.895061+00:00
2022-08-29,374.1,390.0,370.0,383.3,11390,383.3,2026-09-03T19:36:03.895061+00:00
2022-08-30,390.0,390.0,373.0,375.0,4255,375.0,2026-09-03T19:36:03.895061+00:00
2022-08-31,368.1,387.6,361.2,377.0,9980,377.0,2026-09-03T19:36:03.895061+00:00
2022-09-01,379.0,390.0,362.3,388.0,12030,388.0,2026-09-03T19:36:03.895061+00:00
2022-09-02,388.0,399.0,381.0,393.0,7310,393.0,2026-09-03T19:36:03.895061+00:00
2022-09-04,386.1,407.0,386.1,400.0,12667,400.0,2026-09-03T19:36:03.895061+00:00
2022-09-05,394.0,416.0,392.0,392.3,14357,392.3,2026-09-03T19:36:03.895061+00:00
2022-09-06,386.0,400.0,386.0,400.0,10888,400.0,2026-09-03T19:36:03.895061+00:00
2022-09-07,392.3,398.0,388.0,398.0,5436,398.0,2026-09-03T19:36:03.895061+00:00
2022-09-08,393.0,408.8,390.2,400.0,10950,400.0,2026-09-03T19:36:03.895061+00:00
2022-09-11,393.1,402.0,392.6,393.0,11457,393.0,2026-09-03T19:36:03.895061+00:00
2022-09-12,386.0,395.0,383.3,383.3,12660,383.3,2026-09-03T19:36:03.895061+00:00
2022-09-13,383.3,394.9,378.8,394.9,3740,394.9,2026-09-03T19:36:03.895061+00:00
2022-09-14,400.0,404.0,387.1,402.0,11227,402.0,2026-09-03T19:36:03.895061+00:00
2022-09-15,410.0,410.0,377.0,389.9,9427,389.9,2026-09-03T19:36:03.895061+00:00
2022-09-16,382.2,384.9,370.0,384.9,5590,384.9,2026-09-03T19:36:03.895061+00:00
2022-09-18,378.0,379.9,366.0,374.7,5330,374.7,2026-09-03T19:36:03.895061+00:00
2022-09-20,368.0,380.0,358.2,363.0,5377,363.0,2026-09-03T19:36:03.895061+00:00
2022-09-21,356.0,377.1,356.0,369.0,2920,369.0,2026-09-03T19:36:03.895061+00:00
2022-09-22,361.7,383.8,355.2,358.0,4700,358.0,2026-09-03T19:36:03.895061+00:00
2022-09-25,351.0,352.1,338.8,339.0,4236,339.0,2026-09-03T19:36:03.895061+00:00
2022-09-27,345.0,355.9,338.1,342.5,1215,342.5,2026-09-03T19:36:03.895061+00:00
2022-09-28,349.3,374.0,336.1,374.0,1241,374.0,2026-09-03T19:36:03.895061+00:00
2022-09-29,374.0,375.0,355.1,375.0,1859,375.0,2026-09-03T19:36:03.895061+00:00
2022-10-09,375.0,375.0,356.0,372.3,923,372.3,2026-09-03T19:36:03.895061+00:00
2022-10-10,368.0,368.0,350.0,359.8,2471,359.8,2026-09-03T19:36:03.895061+00:00
