date,open,high,low,close,volume,adj_close,fetched_at
2023-12-14,178.8,196.6,178.8,196.6,940,196.6,2026-09-03T19:36:50.778600+00:00
2023-12-17,200.0,216.2,200.0,216.2,1474,216.2,2026-09-03T19:36:50.778600+00:00
2023-12-18,220.5,237.8,220.5,237.8,1220,237.8,2026-09-03T19:36:50.778600+00:00
2023-12-19,242.5,261.5,242.5,261.5,1030,261.5,2026-09-03T19:36:50.778600+00:00
2023-12-20,266.7,287.6,266.7,287.6,1040,287.6,2026-09-03T19:36:50.778600+00:00
2023-12-21,288.1,316.3,288.1,316.3,1630,316.3,2026-09-03T19:36:50.778600+00:00
2023-12-24,322.6,347.9,322.6,347.9,2449,347.9,2026-09-03T19:36:50.778600+00:00
2023-12-27,354.8,382.6,354.8,382.6,2530,382.6,2026-09-03T19:36:50.778600+00:00
2023-12-28,390.0,420.8,390.0,420.8,3870,420.8,2026-09-03T19:36:50.778600+00:00
2024-01-01,429.2,462.8,429.2,462.8,3530,462.8,2026-09-03T19:36:50.778600+00:00
2024-01-02,472.0,509.0,472.0,509.0,4220,509.0,2026-09-03T19:36:50.778600+00:00
2024-01-03,519.1,559.9,519.1,559.9,4320,559.9,2026-09-03T19:36:50.778600+00:00
2024-01-04,571.0,615.8,571.0,615.8,6280,615.8,2026-09-03T19:36:50.778600+00:00
2024-01-07,628.1,677.3,628.1,677.3,3461,677.3,2026-09-03T19:36:50.778600+00:00
2024-01-08,690.0,745.0,690.0,745.0,3430,745.0,2026-09-03T19:36:50.778600+00:00
2024-01-09,759.9,819.5,759.9,819.5,4511,819.5,2026-09-03T19:36:50.778600+00:00
2024-01-10,835.0,901.4,835.0,901.4,3432,901.4,2026-09-03T19:36:50.778600+00:00
2024-01-11,910.0,991.5,910.0,991.5,5770,991.5,2026-09-03T19:36:50.778600+00:00
2024-01-14,1011.3,1090.6,1011.3,1090.6,4820,1090.6,2026-09-03T19:36:50.778600+00:00
2024-01-16,1112.4,1199.6,1112.4,1199.6,4820,1199.6,2026-09-03T19:36:50.778600+00:00
2024-01-17,1199.6,1319.5,1080.0,1080.2,211930,1080.2,2026-09-03T19:36:50.778600+00:00
2024-01-18,1100.0,1100.1,1010.0,1066.0,82176,1066.0,2026-09-03T19:36:50.778600+00:00
2024-01-21,1064.0,1112.0,1021.0,1065.0,43187,1065.0,2026-09-03T19:36:50.778600+00:00
2024-01-22,1046.0,1079.0,1020.0,1040.0,38398,1040.0,2026-09-03T19:36:50.778600+00:00
2024-01-23,1026.0,1060.8,1026.0,1035.0,32425,1035.0,2026-09-03T19:36:50.778600+00:00
2024-01-24,1023.0,1055.7,1015.0,1020.0,17945,1020.0,2026-09-03T19:36:50.778600+00:00
2024-01-25,1015.0,1025.0,973.3,990.0,34647,990.0,2026-09-03T19:36:50.778600+00:00
2024-01-28,977.0,1000.0,955.9,969.0,26989,969.0,2026-09-03T19:36:50.778600+00:00
2024-01-29,967.1,985.0,946.0,947.2,23030,947.2,2026-09-03T19:36:50.778600+00:00
2024-01-30,940.0,987.3,940.0,984.8,17107,984.8,2026-09-03T19:36:50.778600+00:00
2024-01-31,991.6,998.0,945.0,952.0,31185,952.0,2026-09-03T19:36:50.778600+00:00
2024-02-01,940.0,964.4,927.0,935.0,14994,935.0,2026-09-03T19:36:50.778600+00:00
2024-02-04,931.0,940.0,915.0,930.0,16689,930.0,2026-09-03T19:36:50.778600+00:00
2024-02-05,914.0,953.0,914.0,923.0,11925,923.0,2026-09-03T19:36:50.778600+00:00
2024-02-06,920.5,960.0,920.0,940.0,13720,940.0,2026-09-03T19:36:50.778600+00:00
2024-02-07,942.0,960.0,940.0,941.0,5035,941.0,2026-09-03T19:36:50.778600+00:00
2024-02-08,934.1,975.0,934.0,974.0,14010,974.0,2026-09-03T19:36:50.778600+00:00
2024-02-11,985.0,1008.0,985.0,986.5,25964,986.5,2026-09-03T19:36:50.778600+00:00
2024-02-12,980.0,996.0,971.3,990.0,12897,990.0,2026-09-03T19:36:50.778600+00:00
2024-02-13,970.2,980.0,942.0,944.1,16471,944.1,2026-09-03T19:36:50.778600+00:00
2024-02-14,934.0,964.9,928.1,961.0,11680,961.0,2026-09-03T19:36:50.778600+00:00
2024-02-15,943.0,975.0,943.0,947.3,7444,947.3,2026-09-03T19:36:50.778600+00:00
2024-02-18,930.0,946.0,921.2,930.0,18097,930.0,2026-09-03T19:36:50.778600+00:00
2024-02-20,922.0,960.0,921.3,940.0,16185,940.0,2026-09-03T19:36:50.778600+00:00
2024-02-21,935.0,958.8,928.0,935.7,11220,935.7,2026-09-03T19:36:50.778600+00:00
2024-02-22,930.0,970.0,930.0,940.0,17363,940.0,2026-09-03T19:36:50.778600+00:00
2024-02-25,950.0,955.0,923.2,924.0,10360,924.0,2026-09-03T19:36:50.778600+00:00
2024-02-26,924.0,948.0,920.0,948.0,11333,948.0,2026-09-03T19:36:50.778600+00:00
2024-02-27,940.1,966.0,940.0,956.0,12335,956.0,2026-09-03T19:36:50.778600+00:00
2024-02-28,952.0,976.0,944.1,959.0,12004,959.0,2026-09-03T19:36:50.778600+00:00
2024-02-29,960.0,968.0,932.1,934.0,9051,934.0,2026-09-03T19:36:50.778600+00:00
2024-03-03,920.0,957.0,911.0,937.0,9661,937.0,2026-09-03T19:36:50.778600+00:00
2024-03-04,950.0,989.0,950.0,989.0,740,989.0,2026-09-03T19:36:50.778600+00:00
2024-03-05,999.0,999.9,935.0,943.9,14687,943.9,2026-09-03T19:36:50.778600+00:00
2024-03-06,962.7,962.7,925.2,946.0,7751,946.0,2026-09-03T19:36:50.778600+00:00
2024-03-07,964.9,964.9,935.0,945.0,8733,945.0,2026-09-03T19:36:50.778600+00:00
2024-03-10,945.0,968.0,945.0,954.0,11925,954.0,2026-09-03T19:36:50.778600+00:00
