date,open,high,low,close,volume,adj_close,fetched_at
2023-03-22,265.5,292.0,265.5,292.0,680,292.0,2026-09-03T19:36:20.395382+00:00
2023-03-23,297.8,321.2,297.8,321.2,6317,321.2,2026-09-03T19:36:20.395382+00:00
2023-03-26,327.6,353.3,327.6,353.3,8740,353.3,2026-09-03T19:36:20.395382+00:00
2023-03-27,360.3,367.5,327.3,340.0,97727,340.0,2026-09-03T19:36:20.395382+00:00
2023-03-28,340.0,347.0,331.1,342.0,34239,342.0,2026-09-03T19:36:20.395382+00:00
2023-03-29,347.0,347.0,330.3,337.0,24389,337.0,2026-09-03T19:36:20.395382+00:00
2023-03-30,343.7,343.7,324.0,332.0,31298,332.0,2026-09-03T19:36:20.395382+00:00
2023-04-02,336.0,336.0,307.8,312.0,35279,312.0,2026-09-03T19:36:20.395382+00:00
2023-04-03,307.0,307.1,293.1,297.0,34267,297.0,2026-09-03T19:36:20.395382+00:00
2023-04-04,293.0,300.0,289.2,298.9,16077,298.9,2026-09-03T19:36:20.395382+00:00
2023-04-05,293.0,305.1,290.0,298.0,8585,298.0,2026-09-03T19:36:20.395382+00:00
2023-04-06,298.0,300.0,292.2,293.9,10773,293.9,2026-09-03T19:36:20.395382+00:00
2023-04-09,289.0,290.0,275.6,275.6,20584,275.6,2026-09-03T19:36:20.395382+00:00
2023-04-10,271.6,282.6,271.2,279.0,11394,279.0,2026-09-03T19:36:20.395382+00:00
2023-04-11,275.0,304.0,274.6,280.5,10110,280.5,2026-09-03T19:36:20.395382+00:00
2023-04-12,281.1,308.5,281.1,305.0,21164,305.0,2026-09-03T19:36:20.395382+00:00
2023-04-13,311.1,316.0,292.0,292.2,20822,292.2,2026-09-03T19:36:20.395382+00:00
2023-04-16,290.0,302.9,287.2,297.9,14280,297.9,2026-09-03T19:36:20.395382+00:00
2023-04-17,292.0,296.0,285.6,288.9,9551,288.9,2026-09-03T19:36:20.395382+00:00
2023-04-18,294.6,294.6,278.2,291.0,8861,291.0,2026-09-03T19:36:20.395382+00:00
2023-04-19,285.3,295.0,285.0,295.0,8620,295.0,2026-09-03T19:36:20.395382+00:00
2023-04-20,290.1,295.0,284.4,284.5,6531,284.5,2026-09-03T19:36:20.395382+00:00
2023-04-23,284.0,284.0,274.4,275.0,6952,275.0,2026-09-03T19:36:20.395382+00:00
2023-04-24,270.0,281.5,270.0,275.3,5315,275.3,2026-09-03T19:36:20.395382+00:00
2023-04-25,270.1,280.5,270.0,279.0,10429,279.0,2026-09-03T19:36:20.395382+00:00
2023-04-26,275.0,281.0,272.0,272.5,7107,272.5,2026-09-03T19:36:20.395382+00:00
2023-04-27,268.1,274.0,268.1,273.5,5596,273.5,2026-09-03T19:36:20.395382+00:00
2023-04-30,268.4,273.0,261.2,261.3,9439,261.3,2026-09-03T19:36:20.395382+00:00
2023-05-02,261.0,263.0,251.9,255.0,6600,255.0,2026-09-03T19:36:20.395382+00:00
2023-05-03,250.3,260.0,250.3,260.0,4928,260.0,2026-09-03T19:36:20.395382+00:00
2023-05-04,260.0,268.0,251.2,268.0,8253,268.0,2026-09-03T19:36:20.395382+00:00
2023-05-07,263.0,263.0,251.3,256.0,4850,256.0,2026-09-03T19:36:20.395382+00:00
2023-05-08,253.0,253.0,237.2,245.0,9444,245.0,2026-09-03T19:36:20.395382+00:00
2023-05-09,245.0,255.0,237.2,249.0,4036,249.0,2026-09-03T19:36:20.395382+00:00
2023-05-10,244.3,245.0,240.1,243.0,2265,243.0,2026-09-03T19:36:20.395382+00:00
2023-05-11,238.3,246.0,234.2,243.7,3890,243.7,2026-09-03T19:36:20.395382+00:00
2023-05-14,239.0,243.5,225.0,233.0,8232,233.0,2026-09-03T19:36:20.395382+00:00
2023-05-15,228.4,237.5,220.1,230.0,5092,230.0,2026-09-03T19:36:20.395382+00:00
2023-05-16,231.0,248.1,226.0,243.1,14843,243.1,2026-09-03T19:36:20.395382+00:00
2023-05-17,238.3,245.0,229.1,244.9,4381,244.9,2026-09-03T19:36:20.395382+00:00
2023-05-18,240.1,259.4,236.0,257.0,10888,257.0,2026-09-03T19:36:20.395382+00:00
2023-05-21,254.1,257.0,246.0,248.0,12133,248.0,2026-09-03T19:36:20.395382+00:00
2023-05-22,244.0,266.9,244.0,259.0,10207,259.0,2026-09-03T19:36:20.395382+00:00
2023-05-23,254.1,270.0,254.1,266.1,11880,266.1,2026-09-03T19:36:20.395382+00:00
