date,open,high,low,close,volume,adj_close,fetched_at
2021-12-08,517.5,538.0,500.0,538.0,5559,538.0,2026-09-03T19:35:41.042235+00:00
2021-12-09,527.3,530.0,507.0,520.0,3576,520.0,2026-09-03T19:35:41.042235+00:00
2021-12-12,509.6,509.6,470.1,506.0,6650,506.0,2026-09-03T19:35:41.042235+00:00
2021-12-13,495.9,495.9,458.0,477.0,5768,477.0,2026-09-03T19:35:41.042235+00:00
2021-12-14,485.0,518.5,458.2,518.5,9465,518.5,2026-09-03T19:35:41.042235+00:00
2021-12-15,519.0,528.8,490.1,519.0,14255,519.0,2026-09-03T19:35:41.042235+00:00
2021-12-16,508.7,508.7,480.0,480.0,4875,480.0,2026-09-03T19:35:41.042235+00:00
2021-12-20,470.4,471.2,441.1,452.0,7119,452.0,2026-09-03T19:35:41.042235+00:00
2021-12-21,457.0,459.0,436.4,443.0,8661,443.0,2026-09-03T19:35:41.042235+00:00
2021-12-22,451.8,470.0,444.0,447.0,4255,447.0,2026-09-03T19:35:41.042235+00:00
2021-12-23,455.0,468.0,444.9,448.0,6635,448.0,2026-09-03T19:35:41.042235+00:00
2021-12-26,456.0,463.0,442.1,445.9,4808,445.9,2026-09-03T19:35:41.042235+00:00
2021-12-27,453.9,453.9,416.5,430.0,4649,430.0,2026-09-03T19:35:41.042235+00:00
2021-12-28,434.0,434.0,409.0,409.0,5055,409.0,2026-09-03T19:35:41.042235+00:00
2021-12-29,417.1,430.0,409.0,416.8,4132,416.8,2026-09-03T19:35:41.042235+00:00
2022-01-02,425.0,425.0,410.0,420.0,1877,420.0,2026-09-03T19:35:41.042235+00:00
2022-01-03,411.6,436.0,411.6,423.3,2710,423.3,2026-09-03T19:35:41.042235+00:00
2022-01-04,422.0,428.0,415.1,428.0,3112,428.0,2026-09-03T19:35:41.042235+00:00
2022-01-05,428.0,462.7,427.8,445.0,10708,445.0,2026-09-03T19:35:41.042235+00:00
2022-01-06,445.0,474.3,428.0,474.3,7956,474.3,2026-09-03T19:35:41.042235+00:00
2022-01-09,475.0,503.8,466.1,503.7,12336,503.7,2026-09-03T19:35:41.042235+00:00
2022-01-10,493.7,525.0,484.0,518.8,4536,518.8,2026-09-03T19:35:41.042235+00:00
2022-01-11,510.0,525.0,498.0,520.0,5392,520.0,2026-09-03T19:35:41.042235+00:00
2022-01-12,530.4,542.0,490.0,542.0,23881,542.0,2026-09-03T19:35:41.042235+00:00
