date,open,high,low,close,volume,adj_close,fetched_at
2014-06-26,100.0,376.0,376.0,376.0,123,376.0,2026-09-03T19:34:21.622852+00:00
2014-07-03,376.0,386.0,383.0,386.0,49,386.0,2026-09-03T19:34:21.622852+00:00
2014-07-17,386.0,386.0,386.0,386.0,20,386.0,2026-09-03T19:34:21.622852+00:00
2014-07-23,386.0,393.0,393.0,393.0,10,393.0,2026-09-03T19:34:21.622852+00:00
2014-08-06,393.0,400.0,400.0,400.0,10,400.0,2026-09-03T19:34:21.622852+00:00
2014-08-18,400.0,416.0,408.0,416.0,20,416.0,2026-09-03T19:34:21.622852+00:00
2014-08-21,416.0,441.0,425.0,441.0,30,441.0,2026-09-03T19:34:21.622852+00:00
2014-08-24,441.0,457.0,449.0,457.0,20,457.0,2026-09-03T19:34:21.622852+00:00
2014-08-28,457.0,466.0,466.0,466.0,38,466.0,2026-09-03T19:34:21.622852+00:00
2014-08-31,466.0,484.0,475.0,484.0,20,484.0,2026-09-03T19:34:21.622852+00:00
2014-09-07,484.0,508.0,508.0,508.0,10,508.0,2026-09-03T19:34:21.622852+00:00
2014-09-09,508.0,518.0,518.0,518.0,10,518.0,2026-09-03T19:34:21.622852+00:00
2014-09-10,518.0,569.0,543.0,569.0,50,569.0,2026-09-03T19:34:21.622852+00:00
2014-09-11,569.0,597.0,597.0,597.0,10,597.0,2026-09-03T19:34:21.622852+00:00
2014-09-14,597.0,638.0,626.0,638.0,20,638.0,2026-09-03T19:34:21.622852+00:00
2014-09-15,638.0,663.0,650.0,663.0,20,663.0,2026-09-03T19:34:21.622852+00:00
2014-09-16,663.0,729.0,696.0,729.0,40,729.0,2026-09-03T19:34:21.622852+00:00
2014-09-17,729.0,801.0,743.0,801.0,412,801.0,2026-09-03T19:34:21.622852+00:00
2014-09-18,801.0,881.0,817.0,881.0,183,881.0,2026-09-03T19:34:21.622852+00:00
2014-09-21,881.0,969.0,898.0,969.0,681,969.0,2026-09-03T19:34:21.622852+00:00
2014-09-22,969.0,1007.0,873.0,873.0,2189,873.0,2026-09-03T19:34:21.622852+00:00
2014-09-23,873.0,856.0,801.0,805.0,959,805.0,2026-09-03T19:34:21.622852+00:00
2014-09-24,805.0,821.0,801.0,805.0,262,805.0,2026-09-03T19:34:21.622852+00:00
2014-09-28,805.0,805.0,777.0,790.0,288,790.0,2026-09-03T19:34:21.622852+00:00
2014-09-29,790.0,848.0,792.0,848.0,246,848.0,2026-09-03T19:34:21.622852+00:00
2014-09-30,848.0,864.0,840.0,845.0,519,845.0,2026-09-03T19:34:21.622852+00:00
2014-10-08,845.0,840.0,840.0,840.0,20,840.0,2026-09-03T19:34:21.622852+00:00
2014-10-09,840.0,856.0,840.0,845.0,94,845.0,2026-09-03T19:34:21.622852+00:00
2014-10-12,845.0,877.0,844.0,844.0,203,844.0,2026-09-03T19:34:21.622852+00:00
2014-10-13,844.0,860.0,844.0,854.0,266,854.0,2026-09-03T19:34:21.622852+00:00
2014-10-14,854.0,840.0,824.0,830.0,130,830.0,2026-09-03T19:34:21.622852+00:00
2014-10-15,830.0,841.0,820.0,830.0,113,830.0,2026-09-03T19:34:21.622852+00:00
2014-10-16,830.0,855.0,835.0,851.0,273,851.0,2026-09-03T19:34:21.622852+00:00
2014-10-19,851.0,860.0,850.0,850.0,124,850.0,2026-09-03T19:34:21.622852+00:00
2014-10-20,850.0,850.0,800.0,800.0,278,800.0,2026-09-03T19:34:21.622852+00:00
2014-10-21,800.0,816.0,801.0,803.0,208,803.0,2026-09-03T19:34:21.622852+00:00
2014-10-22,803.0,805.0,800.0,805.0,94,805.0,2026-09-03T19:34:21.622852+00:00
2014-10-26,805.0,885.0,800.0,885.0,89,885.0,2026-09-03T19:34:21.622852+00:00
2014-10-27,885.0,918.0,890.0,918.0,123,918.0,2026-09-03T19:34:21.622852+00:00
2014-10-28,918.0,905.0,888.0,905.0,264,905.0,2026-09-03T19:34:21.622852+00:00
2014-10-30,905.0,887.0,830.0,830.0,188,830.0,2026-09-03T19:34:21.622852+00:00
2014-11-02,830.0,846.0,829.0,845.0,252,845.0,2026-09-03T19:34:21.622852+00:00
2014-11-03,845.0,845.0,829.0,829.0,60,829.0,2026-09-03T19:34:21.622852+00:00
2014-11-04,829.0,830.0,830.0,830.0,40,830.0,2026-09-03T19:34:21.622852+00:00
2014-11-05,830.0,830.0,830.0,830.0,10,830.0,2026-09-03T19:34:21.622852+00:00
2014-11-06,830.0,860.0,830.0,860.0,126,860.0,2026-09-03T19:34:21.622852+00:00
2014-11-10,860.0,845.0,830.0,830.0,119,830.0,2026-09-03T19:34:21.622852+00:00
2014-11-11,830.0,835.0,787.0,791.0,66,791.0,2026-09-03T19:34:21.622852+00:00
2014-11-12,791.0,820.0,800.0,820.0,324,820.0,2026-09-03T19:34:21.622852+00:00
2014-11-13,820.0,825.0,804.0,804.0,171,804.0,2026-09-03T19:34:21.622852+00:00
2014-11-16,804.0,820.0,800.0,820.0,93,820.0,2026-09-03T19:34:21.622852+00:00
2014-11-17,820.0,820.0,805.0,820.0,51,820.0,2026-09-03T19:34:21.622852+00:00
2014-11-18,820.0,804.0,785.0,800.0,272,800.0,2026-09-03T19:34:21.622852+00:00
