date,open,high,low,close,volume,adj_close,fetched_at
2017-02-07,234.0,234.0,228.0,232.0,2431,232.0,2026-09-03T19:34:05.547109+00:00
2017-02-08,232.0,245.0,231.0,245.0,11204,245.0,2026-09-03T19:34:05.547109+00:00
2017-02-09,245.0,251.0,231.0,240.0,24264,240.0,2026-09-03T19:34:05.547109+00:00
2017-02-12,240.0,236.0,220.0,221.0,12830,221.0,2026-09-03T19:34:05.547109+00:00
2017-02-13,221.0,232.0,201.0,228.0,9848,228.0,2026-09-03T19:34:05.547109+00:00
2017-02-14,228.0,232.0,220.0,224.0,10215,224.0,2026-09-03T19:34:05.547109+00:00
2017-02-15,224.0,238.0,227.0,236.0,9269,236.0,2026-09-03T19:34:05.547109+00:00
2017-02-16,236.0,244.0,230.0,240.0,11339,240.0,2026-09-03T19:34:05.547109+00:00
2017-02-19,240.0,242.0,234.0,240.0,7194,240.0,2026-09-03T19:34:05.547109+00:00
2017-02-20,240.0,244.0,233.0,235.0,6048,235.0,2026-09-03T19:34:05.547109+00:00
2017-02-21,235.0,246.0,235.0,235.0,11285,235.0,2026-09-03T19:34:05.547109+00:00
2017-02-22,235.0,252.0,232.0,251.0,23669,251.0,2026-09-03T19:34:05.547109+00:00
2017-02-23,251.0,271.0,252.0,260.0,42316,260.0,2026-09-03T19:34:05.547109+00:00
2017-02-26,260.0,265.0,250.0,259.0,19321,259.0,2026-09-03T19:34:05.547109+00:00
2017-02-28,259.0,261.0,246.0,248.0,310966,248.0,2026-09-03T19:34:05.547109+00:00
2017-03-01,248.0,259.0,245.0,250.0,7707,250.0,2026-09-03T19:34:05.547109+00:00
2017-03-02,250.0,258.0,250.0,250.0,13144,250.0,2026-09-03T19:34:05.547109+00:00
2017-03-05,250.0,261.0,253.0,256.0,7909,256.0,2026-09-03T19:34:05.547109+00:00
2017-03-06,256.0,256.0,248.0,249.0,5126,249.0,2026-09-03T19:34:05.547109+00:00
2017-03-07,249.0,253.0,251.0,251.0,194,251.0,2026-09-03T19:34:05.547109+00:00
2017-03-09,251.0,248.0,248.0,248.0,122,248.0,2026-09-03T19:34:05.547109+00:00
2017-03-13,248.0,248.0,238.0,240.0,9135,240.0,2026-09-03T19:34:05.547109+00:00
2017-03-14,240.0,240.0,226.0,228.0,19713,228.0,2026-09-03T19:34:05.547109+00:00
2017-08-13,219.0,240.0,223.0,240.0,192,240.0,2026-09-03T19:34:05.547109+00:00
2017-08-15,240.0,264.0,244.0,264.0,112861,264.0,2026-09-03T19:34:05.547109+00:00
2017-08-16,264.0,274.0,250.0,253.0,61187,253.0,2026-09-03T19:34:05.547109+00:00
2017-08-17,253.0,258.0,250.0,255.0,18577,255.0,2026-09-03T19:34:05.547109+00:00
2017-08-20,255.0,256.0,245.0,249.0,12602,249.0,2026-09-03T19:34:05.547109+00:00
2017-08-21,249.0,251.0,241.0,246.0,4225,246.0,2026-09-03T19:34:05.547109+00:00
2017-08-22,246.0,255.0,244.0,248.0,8606,248.0,2026-09-03T19:34:05.547109+00:00
2017-08-23,248.0,252.0,244.0,245.0,6056,245.0,2026-09-03T19:34:05.547109+00:00
2017-08-24,245.0,249.0,245.0,248.0,14584,248.0,2026-09-03T19:34:05.547109+00:00
2017-08-27,248.0,252.0,242.0,245.0,25857,245.0,2026-09-03T19:34:05.547109+00:00
2017-08-28,245.0,245.0,234.0,238.0,20147,238.0,2026-09-03T19:34:05.547109+00:00
2017-08-30,238.0,242.0,229.0,234.0,32015,234.0,2026-09-03T19:34:05.547109+00:00
2017-08-31,234.0,238.0,228.0,230.0,32649,230.0,2026-09-03T19:34:05.547109+00:00
2017-09-04,230.0,239.0,225.0,230.0,124846,230.0,2026-09-03T19:34:05.547109+00:00
2017-09-06,230.0,235.0,226.0,233.0,18204,233.0,2026-09-03T19:34:05.547109+00:00
2017-09-07,233.0,233.0,224.0,227.0,26831,227.0,2026-09-03T19:34:05.547109+00:00
2017-09-10,227.0,225.0,218.0,220.0,23074,220.0,2026-09-03T19:34:05.547109+00:00
