date,open,high,low,close,volume,adj_close,fetched_at
2021-03-16,438.0,446.0,438.0,446.0,30,446.0,2026-09-03T19:35:28.879104+00:00
2021-03-17,140.0,446.0,446.0,446.0,4,446.0,2026-09-03T19:35:28.879104+00:00
2021-03-18,446.0,446.0,446.0,446.0,1,446.0,2026-09-03T19:35:28.879104+00:00
2021-03-22,440.0,463.0,440.0,463.0,31,463.0,2026-09-03T19:35:28.879104+00:00
2021-03-23,472.0,490.0,472.0,490.0,30,490.0,2026-09-03T19:35:28.879104+00:00
2021-03-24,499.0,508.0,499.0,508.0,20,508.0,2026-09-03T19:35:28.879104+00:00
2021-03-25,518.0,538.0,518.0,538.0,30,538.0,2026-09-03T19:35:28.879104+00:00
2021-03-29,564.0,591.0,564.0,591.0,50,591.0,2026-09-03T19:35:28.879104+00:00
2021-03-30,602.0,602.0,602.0,602.0,10,602.0,2026-09-03T19:35:28.879104+00:00
2021-03-31,614.0,662.0,614.0,662.0,50,662.0,2026-09-03T19:35:28.879104+00:00
2021-04-01,695.0,708.0,695.0,708.0,20,708.0,2026-09-03T19:35:28.879104+00:00
2021-04-04,722.0,736.0,722.0,736.0,20,736.0,2026-09-03T19:35:28.879104+00:00
2021-04-05,718.0,765.0,718.0,765.0,32,765.0,2026-09-03T19:35:28.879104+00:00
2021-04-06,780.0,841.0,780.0,841.0,50,841.0,2026-09-03T19:35:28.879104+00:00
2021-04-07,857.0,925.0,857.0,925.0,60,925.0,2026-09-03T19:35:28.879104+00:00
2021-04-12,943.0,1017.0,943.0,1017.0,90,1017.0,2026-09-03T19:35:28.879104+00:00
2021-04-13,1037.0,1099.0,1037.0,1099.0,50,1099.0,2026-09-03T19:35:28.879104+00:00
2021-04-15,1120.0,1208.0,1120.0,1208.0,70,1208.0,2026-09-03T19:35:28.879104+00:00
2021-04-18,1232.0,1328.0,1232.0,1328.0,80,1328.0,2026-09-03T19:35:28.879104+00:00
2021-04-19,1354.0,1460.0,1354.0,1460.0,120,1460.0,2026-09-03T19:35:28.879104+00:00
2021-04-20,1489.0,1606.0,1489.0,1606.0,120,1606.0,2026-09-03T19:35:28.879104+00:00
2021-04-21,1686.0,1766.0,1686.0,1766.0,270,1766.0,2026-09-03T19:35:28.879104+00:00
2021-04-22,1801.0,1942.0,1801.0,1942.0,370,1942.0,2026-09-03T19:35:28.879104+00:00
2021-04-25,1980.0,2136.0,1980.0,2136.0,1025,2136.0,2026-09-03T19:35:28.879104+00:00
2021-04-26,2178.0,2349.0,2178.0,2349.0,1231,2349.0,2026-09-03T19:35:28.879104+00:00
2021-04-27,2466.0,2583.0,2466.0,2583.0,1390,2583.0,2026-09-03T19:35:28.879104+00:00
2021-04-28,2712.0,2841.0,2712.0,2841.0,1280,2841.0,2026-09-03T19:35:28.879104+00:00
2021-04-29,2979.0,3125.0,2979.0,3125.0,1850,3125.0,2026-09-03T19:35:28.879104+00:00
2021-05-02,3281.0,3437.0,3281.0,3437.0,1810,3437.0,2026-09-03T19:35:28.879104+00:00
2021-05-03,3608.0,3780.0,3608.0,3780.0,2420,3780.0,2026-09-03T19:35:28.879104+00:00
2021-05-04,3969.0,4158.0,3969.0,4158.0,2430,4158.0,2026-09-03T19:35:28.879104+00:00
2021-05-05,4365.0,4573.0,4365.0,4573.0,2245,4573.0,2026-09-03T19:35:28.879104+00:00
2021-05-06,4801.0,5030.0,4801.0,5030.0,12843,5030.0,2026-09-03T19:35:28.879104+00:00
2021-05-09,5281.0,5493.0,4527.0,4527.0,51088,4527.0,2026-09-03T19:35:28.879104+00:00
2021-05-10,4400.0,4845.0,4263.0,4700.0,28160,4700.0,2026-09-03T19:35:28.879104+00:00
2021-05-11,4700.0,4800.0,4650.0,4725.0,6971,4725.0,2026-09-03T19:35:28.879104+00:00
2021-05-12,4700.0,4700.0,4651.0,4670.0,6316,4670.0,2026-09-03T19:35:28.879104+00:00
2021-05-13,4670.0,4670.0,4584.0,4585.0,9166,4585.0,2026-09-03T19:35:28.879104+00:00
2021-05-16,4570.0,4660.0,4560.0,4657.0,11595,4657.0,2026-09-03T19:35:28.879104+00:00
2021-05-17,4650.0,4664.0,4605.0,4638.0,7610,4638.0,2026-09-03T19:35:28.879104+00:00
2021-05-18,4620.0,4665.0,4620.0,4645.0,8135,4645.0,2026-09-03T19:35:28.879104+00:00
2021-05-19,4673.0,4674.0,4578.0,4600.0,6930,4600.0,2026-09-03T19:35:28.879104+00:00
2021-05-20,4530.0,4650.0,4530.0,4615.0,8460,4615.0,2026-09-03T19:35:28.879104+00:00
2021-05-23,4525.0,4618.0,4525.0,4590.0,4561,4590.0,2026-09-03T19:35:28.879104+00:00
2021-05-24,4565.0,4620.0,4565.0,4583.0,5060,4583.0,2026-09-03T19:35:28.879104+00:00
2021-05-25,4580.0,4600.0,4561.0,4571.0,3725,4571.0,2026-09-03T19:35:28.879104+00:00
2021-05-27,4500.0,4504.0,4388.0,4400.0,12727,4400.0,2026-09-03T19:35:28.879104+00:00
2021-05-30,4400.0,4484.0,4303.0,4339.0,5070,4339.0,2026-09-03T19:35:28.879104+00:00
