date,open,high,low,close,volume,adj_close,fetched_at
2021-11-18,10.0,10.0,9.5,9.66,62154,9.66,2026-09-03T19:35:44.600556+00:00
2021-11-21,9.5,9.85,9.34,9.7,53970,9.7,2026-09-03T19:35:44.600556+00:00
2021-11-22,9.89,10.28,9.6,9.61,39350,9.61,2026-09-03T19:35:44.600556+00:00
2021-11-23,9.61,9.67,9.46,9.67,23150,9.67,2026-09-03T19:35:44.600556+00:00
2021-11-24,9.48,9.64,9.45,9.64,29960,9.64,2026-09-03T19:35:44.600556+00:00
2021-11-25,9.45,9.71,9.3,9.7,38910,9.7,2026-09-03T19:35:44.600556+00:00
2021-11-28,9.51,9.55,9.32,9.55,22700,9.55,2026-09-03T19:35:44.600556+00:00
2021-11-29,9.36,9.5,9.11,9.36,27571,9.36,2026-09-03T19:35:44.600556+00:00
2021-11-30,9.21,9.48,9.21,9.4,11700,9.4,2026-09-03T19:35:44.600556+00:00
2021-12-01,9.4,9.58,9.2,9.3,30549,9.3,2026-09-03T19:35:44.600556+00:00
2021-12-02,9.2,9.38,9.2,9.23,35100,9.23,2026-09-03T19:35:44.600556+00:00
2021-12-05,9.15,9.25,9.1,9.15,45600,9.15,2026-09-03T19:35:44.600556+00:00
2021-12-06,9.1,9.2,8.95,9.1,32950,9.1,2026-09-03T19:35:44.600556+00:00
2021-12-07,9.0,9.18,9.0,9.15,35030,9.15,2026-09-03T19:35:44.600556+00:00
2021-12-08,9.15,9.3,9.0,9.0,43700,9.0,2026-09-03T19:35:44.600556+00:00
2021-12-09,8.91,9.3,8.91,9.03,9600,9.03,2026-09-03T19:35:44.600556+00:00
2021-12-12,9.01,9.19,8.9,8.97,13610,8.97,2026-09-03T19:35:44.600556+00:00
2021-12-13,8.8,8.9,8.7,8.8,24361,8.8,2026-09-03T19:35:44.600556+00:00
2021-12-14,8.65,8.97,8.65,8.95,17650,8.95,2026-09-03T19:35:44.600556+00:00
2021-12-15,8.8,9.0,8.8,8.96,32200,8.96,2026-09-03T19:35:44.600556+00:00
2021-12-16,9.0,9.07,8.86,8.9,19009,8.9,2026-09-03T19:35:44.600556+00:00
2021-12-20,8.73,8.97,8.63,8.72,10550,8.72,2026-09-03T19:35:44.600556+00:00
2021-12-21,8.7,9.0,8.58,8.9,11900,8.9,2026-09-03T19:35:44.600556+00:00
2021-12-22,8.8,9.25,8.74,9.0,34235,9.0,2026-09-03T19:35:44.600556+00:00
2021-12-23,8.88,9.18,8.88,9.0,5950,9.0,2026-09-03T19:35:44.600556+00:00
2021-12-26,8.95,9.1,8.91,9.05,12690,9.05,2026-09-03T19:35:44.600556+00:00
2021-12-27,8.87,9.3,8.87,9.25,62440,9.25,2026-09-03T19:35:44.600556+00:00
2021-12-28,9.07,9.19,8.96,8.96,17300,8.96,2026-09-03T19:35:44.600556+00:00
2021-12-29,9.13,9.13,8.95,8.96,10600,8.96,2026-09-03T19:35:44.600556+00:00
2022-01-02,8.9,9.18,8.82,8.9,16500,8.9,2026-09-03T19:35:44.600556+00:00
2022-01-03,8.78,9.0,8.78,8.95,23650,8.95,2026-09-03T19:35:44.600556+00:00
2022-01-04,8.78,9.02,8.65,9.0,29449,9.0,2026-09-03T19:35:44.600556+00:00
