date,open,high,low,close,volume,adj_close,fetched_at
2023-11-20,288.4,299.9,259.6,259.6,31379,259.6,2026-09-03T19:36:48.080867+00:00
2023-11-21,254.5,254.5,233.7,233.8,27890,233.8,2026-09-03T19:36:48.080867+00:00
2023-11-22,229.2,257.1,225.0,257.0,22578,257.0,2026-09-03T19:36:48.080867+00:00
2023-11-23,252.0,270.0,247.0,258.5,20520,258.5,2026-09-03T19:36:48.080867+00:00
2023-11-26,254.0,263.0,244.1,254.9,30077,254.9,2026-09-03T19:36:48.080867+00:00
2023-11-27,254.9,275.0,250.1,274.0,41342,274.0,2026-09-03T19:36:48.080867+00:00
2023-11-28,269.0,284.0,267.7,284.0,25969,284.0,2026-09-03T19:36:48.080867+00:00
2023-11-29,279.2,286.2,275.9,280.0,21359,280.0,2026-09-03T19:36:48.080867+00:00
2023-11-30,275.0,281.0,266.3,279.0,19130,279.0,2026-09-03T19:36:48.080867+00:00
2023-12-03,282.5,282.5,267.3,275.5,11169,275.5,2026-09-03T19:36:48.080867+00:00
2023-12-04,271.0,282.5,271.0,280.0,27938,280.0,2026-09-03T19:36:48.080867+00:00
2023-12-05,276.2,285.0,276.2,281.0,11359,281.0,2026-09-03T19:36:48.080867+00:00
2023-12-06,275.5,280.0,275.5,279.9,6695,279.9,2026-09-03T19:36:48.080867+00:00
2023-12-07,274.4,280.8,270.4,273.9,10464,273.9,2026-09-03T19:36:48.080867+00:00
2023-12-10,278.0,300.0,278.0,300.0,1090,300.0,2026-09-03T19:36:48.080867+00:00
2023-12-11,306.0,306.0,283.0,293.0,22849,293.0,2026-09-03T19:36:48.080867+00:00
2023-12-12,288.0,306.0,283.1,296.9,19737,296.9,2026-09-03T19:36:48.080867+00:00
2023-12-13,292.0,305.1,292.0,300.0,24639,300.0,2026-09-03T19:36:48.080867+00:00
2023-12-14,294.0,330.0,291.4,328.0,25585,328.0,2026-09-03T19:36:48.080867+00:00
2023-12-17,321.5,350.0,308.9,342.0,18918,342.0,2026-09-03T19:36:48.080867+00:00
2023-12-18,335.2,348.8,325.7,347.0,19375,347.0,2026-09-03T19:36:48.080867+00:00
2023-12-19,340.1,340.1,320.1,330.0,22170,330.0,2026-09-03T19:36:48.080867+00:00
2023-12-20,330.0,330.0,314.2,318.0,29531,318.0,2026-09-03T19:36:48.080867+00:00
2023-12-21,320.0,339.0,311.8,328.0,30996,328.0,2026-09-03T19:36:48.080867+00:00
2023-12-24,333.0,360.8,331.7,355.0,66828,355.0,2026-09-03T19:36:48.080867+00:00
2023-12-27,351.0,390.0,351.0,366.5,30497,366.5,2026-09-03T19:36:48.080867+00:00
2023-12-28,366.0,369.0,354.0,361.8,18434,361.8,2026-09-03T19:36:48.080867+00:00
2024-01-01,360.0,365.0,339.0,340.0,29543,340.0,2026-09-03T19:36:48.080867+00:00
2024-01-02,335.0,339.0,323.2,329.5,21885,329.5,2026-09-03T19:36:48.080867+00:00
2024-01-03,325.0,343.0,323.4,343.0,11460,343.0,2026-09-03T19:36:48.080867+00:00
2024-01-04,340.0,369.0,340.0,350.0,21250,350.0,2026-09-03T19:36:48.080867+00:00
2024-01-07,344.4,385.0,344.2,384.0,46818,384.0,2026-09-03T19:36:48.080867+00:00
2024-01-08,376.4,407.9,357.0,394.0,19742,394.0,2026-09-03T19:36:48.080867+00:00
2024-01-09,394.0,408.9,375.6,377.0,16245,377.0,2026-09-03T19:36:48.080867+00:00
