date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,326.0,320.0,315.0,316.0,1850,316.0,2026-09-03T19:34:12.215080+00:00
2012-09-10,316.0,321.0,319.0,320.0,1590,320.0,2026-09-03T19:34:12.215080+00:00
2012-09-11,320.0,326.0,321.0,326.0,800,326.0,2026-09-03T19:34:12.215080+00:00
2012-09-12,326.0,326.0,320.0,324.0,3750,324.0,2026-09-03T19:34:12.215080+00:00
2012-09-13,324.0,326.0,320.0,323.0,470,323.0,2026-09-03T19:34:12.215080+00:00
2012-09-16,323.0,325.0,320.0,324.0,3100,324.0,2026-09-03T19:34:12.215080+00:00
2012-09-17,324.0,320.0,315.0,318.0,2310,318.0,2026-09-03T19:34:12.215080+00:00
2012-09-18,318.0,334.0,320.0,334.0,500,334.0,2026-09-03T19:34:12.215080+00:00
2012-09-19,334.0,334.0,326.0,326.0,950,326.0,2026-09-03T19:34:12.215080+00:00
2012-09-20,326.0,324.0,323.0,324.0,1310,324.0,2026-09-03T19:34:12.215080+00:00
2012-09-23,324.0,331.0,323.0,326.0,2620,326.0,2026-09-03T19:34:12.215080+00:00
2012-09-24,326.0,324.0,322.0,324.0,540,324.0,2026-09-03T19:34:12.215080+00:00
2012-09-25,324.0,325.0,320.0,322.0,1320,322.0,2026-09-03T19:34:12.215080+00:00
2012-09-26,322.0,336.0,319.0,321.0,6870,321.0,2026-09-03T19:34:12.215080+00:00
2012-09-30,317.0,320.0,318.0,318.0,1630,318.0,2026-09-03T19:34:12.215080+00:00
2012-10-01,318.0,333.0,309.0,333.0,3980,333.0,2026-09-03T19:34:12.215080+00:00
2012-10-01,318.0,333.0,309.0,333.0,3980,333.0,2026-09-03T19:34:12.215080+00:00
2012-10-02,333.0,327.0,303.0,307.0,11280,307.0,2026-09-03T19:34:12.215080+00:00
2012-10-03,307.0,303.0,292.0,296.0,6880,296.0,2026-09-03T19:34:12.215080+00:00
2012-10-04,296.0,323.0,290.0,323.0,6330,323.0,2026-09-03T19:34:12.215080+00:00
2012-10-07,323.0,259.0,238.0,238.0,140,238.0,2026-09-03T19:34:12.215080+00:00
2012-10-08,238.0,234.0,218.0,218.0,470,218.0,2026-09-03T19:34:12.215080+00:00
2012-10-09,218.0,215.0,215.0,215.0,10,215.0,2026-09-03T19:34:12.215080+00:00
2012-10-11,215.0,211.0,211.0,211.0,10,211.0,2026-09-03T19:34:12.215080+00:00
2012-10-14,211.0,215.0,213.0,215.0,440,215.0,2026-09-03T19:34:12.215080+00:00
2012-10-15,215.0,213.0,213.0,213.0,40,213.0,2026-09-03T19:34:12.215080+00:00
2012-10-18,213.0,213.0,213.0,213.0,20,213.0,2026-09-03T19:34:12.215080+00:00
2012-10-30,213.0,215.0,215.0,215.0,180,215.0,2026-09-03T19:34:12.215080+00:00
2012-11-01,215.0,235.0,219.0,235.0,50,235.0,2026-09-03T19:34:12.215080+00:00
2012-11-04,235.0,256.0,239.0,256.0,100,256.0,2026-09-03T19:34:12.215080+00:00
2012-11-05,256.0,281.0,261.0,281.0,1770,281.0,2026-09-03T19:34:12.215080+00:00
2012-11-06,281.0,301.0,281.0,281.0,2220,281.0,2026-09-03T19:34:12.215080+00:00
2012-11-07,281.0,291.0,285.0,290.0,1350,290.0,2026-09-03T19:34:12.215080+00:00
2012-11-08,290.0,298.0,294.0,294.0,660,294.0,2026-09-03T19:34:12.215080+00:00
2012-11-11,294.0,290.0,290.0,290.0,100,290.0,2026-09-03T19:34:12.215080+00:00
2012-11-12,290.0,285.0,275.0,284.0,250,284.0,2026-09-03T19:34:12.215080+00:00
2012-11-18,284.0,284.0,284.0,284.0,50,284.0,2026-09-03T19:34:12.215080+00:00
2012-11-20,284.0,288.0,275.0,275.0,720,275.0,2026-09-03T19:34:12.215080+00:00
2012-11-21,275.0,272.0,272.0,272.0,60,272.0,2026-09-03T19:34:12.215080+00:00
2012-11-22,272.0,275.0,267.0,274.0,950,274.0,2026-09-03T19:34:12.215080+00:00
2012-11-25,274.0,269.0,264.0,264.0,30,264.0,2026-09-03T19:34:12.215080+00:00
2012-11-26,264.0,268.0,268.0,268.0,300,268.0,2026-09-03T19:34:12.215080+00:00
2012-11-27,268.0,263.0,258.0,263.0,120,263.0,2026-09-03T19:34:12.215080+00:00
2012-11-28,263.0,263.0,250.0,250.0,3230,250.0,2026-09-03T19:34:12.215080+00:00
2012-11-29,250.0,255.0,250.0,255.0,120,255.0,2026-09-03T19:34:12.215080+00:00
2012-12-02,255.0,250.0,250.0,250.0,110,250.0,2026-09-03T19:34:12.215080+00:00
2012-12-04,250.0,260.0,255.0,260.0,140,260.0,2026-09-03T19:34:12.215080+00:00
2012-12-05,260.0,265.0,260.0,260.0,610,260.0,2026-09-03T19:34:12.215080+00:00
2012-12-06,260.0,266.0,260.0,266.0,680,266.0,2026-09-03T19:34:12.215080+00:00
2012-12-09,266.0,266.0,265.0,266.0,510,266.0,2026-09-03T19:34:12.215080+00:00
2012-12-10,266.0,261.0,261.0,261.0,500,261.0,2026-09-03T19:34:12.215080+00:00
2012-12-11,261.0,271.0,266.0,266.0,1100,266.0,2026-09-03T19:34:12.215080+00:00
2012-12-12,266.0,261.0,256.0,256.0,150,256.0,2026-09-03T19:34:12.215080+00:00
2012-12-13,256.0,262.0,260.0,261.0,340,261.0,2026-09-03T19:34:12.215080+00:00
2012-12-16,261.0,271.0,266.0,271.0,760,271.0,2026-09-03T19:34:12.215080+00:00
2012-12-17,271.0,274.0,266.0,274.0,380,274.0,2026-09-03T19:34:12.215080+00:00
2012-12-18,274.0,269.0,254.0,259.0,560,259.0,2026-09-03T19:34:12.215080+00:00
2012-12-19,259.0,264.0,260.0,264.0,670,264.0,2026-09-03T19:34:12.215080+00:00
2012-12-20,264.0,270.0,268.0,270.0,1120,270.0,2026-09-03T19:34:12.215080+00:00
2012-12-23,270.0,270.0,270.0,270.0,180,270.0,2026-09-03T19:34:12.215080+00:00
2012-12-24,270.0,268.0,262.0,263.0,1620,263.0,2026-09-03T19:34:12.215080+00:00
2012-12-26,263.0,260.0,260.0,260.0,60,260.0,2026-09-03T19:34:12.215080+00:00
2012-12-27,260.0,265.0,264.0,264.0,340,264.0,2026-09-03T19:34:12.215080+00:00
2013-01-01,264.0,269.0,258.0,258.0,600,258.0,2026-09-03T19:34:12.215080+00:00
2013-01-02,258.0,263.0,253.0,253.0,1740,253.0,2026-09-03T19:34:12.215080+00:00
2013-01-03,253.0,263.0,258.0,259.0,1250,259.0,2026-09-03T19:34:12.215080+00:00
2013-01-06,259.0,263.0,263.0,263.0,50,263.0,2026-09-03T19:34:12.215080+00:00
2013-01-07,263.0,268.0,268.0,268.0,10,268.0,2026-09-03T19:34:12.215080+00:00
2013-01-08,268.0,272.0,270.0,270.0,1020,270.0,2026-09-03T19:34:12.215080+00:00
2013-01-10,270.0,265.0,265.0,265.0,20,265.0,2026-09-03T19:34:12.215080+00:00
2013-01-13,265.0,275.0,265.0,270.0,490,270.0,2026-09-03T19:34:12.215080+00:00
2013-01-15,270.0,270.0,265.0,267.0,650,267.0,2026-09-03T19:34:12.215080+00:00
2013-01-16,267.0,265.0,262.0,262.0,660,262.0,2026-09-03T19:34:12.215080+00:00
2013-01-17,262.0,277.0,265.0,270.0,4040,270.0,2026-09-03T19:34:12.215080+00:00
2013-01-20,270.0,265.0,261.0,261.0,830,261.0,2026-09-03T19:34:12.215080+00:00
2013-01-21,261.0,266.0,266.0,266.0,380,266.0,2026-09-03T19:34:12.215080+00:00
2013-01-22,266.0,271.0,271.0,271.0,40,271.0,2026-09-03T19:34:12.215080+00:00
2013-01-23,271.0,275.0,270.0,272.0,2170,272.0,2026-09-03T19:34:12.215080+00:00
2013-01-24,272.0,275.0,274.0,274.0,250,274.0,2026-09-03T19:34:12.215080+00:00
2013-01-27,274.0,274.0,269.0,269.0,3030,269.0,2026-09-03T19:34:12.215080+00:00
2013-01-28,269.0,270.0,270.0,270.0,800,270.0,2026-09-03T19:34:12.215080+00:00
2013-01-30,270.0,270.0,270.0,270.0,90,270.0,2026-09-03T19:34:12.215080+00:00
2013-01-31,270.0,271.0,266.0,271.0,770,271.0,2026-09-03T19:34:12.215080+00:00
2013-02-03,271.0,280.0,270.0,280.0,730,280.0,2026-09-03T19:34:12.215080+00:00
2013-02-04,280.0,290.0,276.0,279.0,1060,279.0,2026-09-03T19:34:12.215080+00:00
2013-02-05,279.0,275.0,269.0,275.0,240,275.0,2026-09-03T19:34:12.215080+00:00
2013-02-06,275.0,275.0,275.0,275.0,90,275.0,2026-09-03T19:34:12.215080+00:00
2013-02-10,275.0,275.0,275.0,275.0,450,275.0,2026-09-03T19:34:12.215080+00:00
2013-02-12,275.0,275.0,275.0,275.0,180,275.0,2026-09-03T19:34:12.215080+00:00
2013-02-13,275.0,280.0,280.0,280.0,54,280.0,2026-09-03T19:34:12.215080+00:00
2013-02-14,280.0,290.0,283.0,283.0,940,283.0,2026-09-03T19:34:12.215080+00:00
2013-02-17,283.0,300.0,285.0,300.0,550,300.0,2026-09-03T19:34:12.215080+00:00
2013-02-19,300.0,300.0,285.0,285.0,1200,285.0,2026-09-03T19:34:12.215080+00:00
2013-02-20,285.0,283.0,283.0,283.0,120,283.0,2026-09-03T19:34:12.215080+00:00
2013-02-21,283.0,281.0,278.0,280.0,250,280.0,2026-09-03T19:34:12.215080+00:00
2013-02-24,280.0,280.0,270.0,270.0,1620,270.0,2026-09-03T19:34:12.215080+00:00
2013-02-25,270.0,285.0,275.0,285.0,4970,285.0,2026-09-03T19:34:12.215080+00:00
2013-02-26,285.0,283.0,280.0,280.0,251,280.0,2026-09-03T19:34:12.215080+00:00
2013-02-27,280.0,288.0,277.0,288.0,1000,288.0,2026-09-03T19:34:12.215080+00:00
2013-02-28,288.0,290.0,287.0,290.0,700,290.0,2026-09-03T19:34:12.215080+00:00
