date,open,high,low,close,volume,adj_close,fetched_at
2025-01-16,9.45,10.42,9.34,9.45,41391,9.45,2026-09-03T19:36:56.497521+00:00
2025-01-19,9.31,9.63,8.97,9.63,85151,9.63,2026-09-03T19:36:56.497521+00:00
2025-01-20,9.44,10.21,9.11,9.25,24300,9.25,2026-09-03T19:36:56.497521+00:00
2025-01-21,9.25,9.43,9.08,9.25,13000,9.25,2026-09-03T19:36:56.497521+00:00
2025-01-22,9.13,9.43,9.07,9.12,94800,9.12,2026-09-03T19:36:56.497521+00:00
2025-01-23,9.0,9.48,9.0,9.3,79368,9.3,2026-09-03T19:36:56.497521+00:00
2025-01-26,9.12,9.48,8.9,9.15,169280,9.15,2026-09-03T19:36:56.497521+00:00
2025-01-27,9.15,9.29,8.93,9.09,98345,9.09,2026-09-03T19:36:56.497521+00:00
2025-01-28,8.92,9.4,8.75,9.14,81360,9.14,2026-09-03T19:36:56.497521+00:00
2025-02-02,9.0,9.48,8.9,9.18,121190,9.18,2026-09-03T19:36:56.497521+00:00
2025-02-03,9.18,9.18,8.96,9.18,53130,9.18,2026-09-03T19:36:56.497521+00:00
2025-02-04,9.0,9.28,8.83,9.05,29914,9.05,2026-09-03T19:36:56.497521+00:00
2025-02-05,9.0,9.22,8.91,9.02,31450,9.02,2026-09-03T19:36:56.497521+00:00
2025-02-06,8.85,9.18,8.85,9.0,10770,9.0,2026-09-03T19:36:56.497521+00:00
2025-02-09,9.0,9.05,8.8,9.05,60930,9.05,2026-09-03T19:36:56.497521+00:00
2025-02-10,8.87,9.1,8.7,9.0,18655,9.0,2026-09-03T19:36:56.497521+00:00
2025-02-11,8.82,9.11,8.82,8.97,22660,8.97,2026-09-03T19:36:56.497521+00:00
2025-02-12,8.87,9.0,8.87,9.0,5350,9.0,2026-09-03T19:36:56.497521+00:00
2025-02-13,8.9,9.25,8.87,8.87,24694,8.87,2026-09-03T19:36:56.497521+00:00
2025-02-16,8.87,9.0,8.8,9.0,39370,9.0,2026-09-03T19:36:56.497521+00:00
2025-02-17,8.83,9.1,8.83,9.03,25580,9.03,2026-09-03T19:36:56.497521+00:00
2025-02-18,9.02,9.07,8.9,9.0,43254,9.0,2026-09-03T19:36:56.497521+00:00
2025-02-20,8.83,9.18,8.83,8.9,24740,8.9,2026-09-03T19:36:56.497521+00:00
2025-02-23,8.74,9.05,8.74,8.9,14610,8.9,2026-09-03T19:36:56.497521+00:00
2025-02-24,8.86,9.0,8.85,8.87,7460,8.87,2026-09-03T19:36:56.497521+00:00
2025-02-25,8.7,9.04,8.7,8.9,19120,8.9,2026-09-03T19:36:56.497521+00:00
2025-02-27,8.9,9.0,8.67,8.87,4832,8.87,2026-09-03T19:36:56.497521+00:00
2025-03-02,8.75,9.27,8.75,9.27,186840,9.27,2026-09-03T19:36:56.497521+00:00
2025-03-03,9.2,10.0,8.85,9.87,258671,9.87,2026-09-03T19:36:56.497521+00:00
2025-03-04,9.85,9.94,9.68,9.71,74432,9.71,2026-09-03T19:36:56.497521+00:00
2025-03-05,9.87,9.95,9.61,9.76,217859,9.76,2026-09-03T19:36:56.497521+00:00
2025-03-06,9.76,10.1,9.57,9.57,443620,9.57,2026-09-03T19:36:56.497521+00:00
2025-03-09,9.38,9.38,9.16,9.2,30947,9.2,2026-09-03T19:36:56.497521+00:00
2025-03-10,9.06,9.2,9.06,9.1,9700,9.1,2026-09-03T19:36:56.497521+00:00
2025-03-11,8.92,9.2,8.8,9.08,6250,9.08,2026-09-03T19:36:56.497521+00:00
2025-03-12,9.0,9.1,8.96,9.06,34550,9.06,2026-09-03T19:36:56.497521+00:00
2025-03-16,8.92,9.12,8.92,9.01,24660,9.01,2026-09-03T19:36:56.497521+00:00
2025-03-17,9.02,9.22,9.02,9.07,11300,9.07,2026-09-03T19:36:56.497521+00:00
2025-03-18,9.0,9.1,9.0,9.03,3350,9.03,2026-09-03T19:36:56.497521+00:00
2025-03-19,9.04,9.1,9.04,9.06,17110,9.06,2026-09-03T19:36:56.497521+00:00
