date,open,high,low,close,volume,adj_close,fetched_at
2023-10-12,300.0,330.0,300.0,330.0,14178,330.0,2026-09-03T19:36:46.684497+00:00
2023-10-16,336.6,363.0,297.0,300.1,52207,300.1,2026-09-03T19:36:46.684497+00:00
2023-10-17,294.2,315.0,294.2,305.1,18476,305.1,2026-09-03T19:36:46.684497+00:00
2023-10-18,300.0,333.5,300.0,333.5,7823,333.5,2026-09-03T19:36:46.684497+00:00
2023-10-19,327.0,328.4,315.0,320.0,11866,320.0,2026-09-03T19:36:46.684497+00:00
2023-10-29,313.6,316.1,307.1,308.4,12158,308.4,2026-09-03T19:36:46.684497+00:00
2023-10-30,305.0,321.8,299.0,318.0,11557,318.0,2026-09-03T19:36:46.684497+00:00
2023-10-31,312.2,324.0,312.2,324.0,7370,324.0,2026-09-03T19:36:46.684497+00:00
2023-11-01,318.1,329.0,318.0,325.0,9290,325.0,2026-09-03T19:36:46.684497+00:00
2023-11-02,319.0,323.0,316.0,316.8,4440,316.8,2026-09-03T19:36:46.684497+00:00
2023-11-05,311.0,316.0,307.1,316.0,2000,316.0,2026-09-03T19:36:46.684497+00:00
2023-11-06,309.7,326.0,309.7,326.0,6766,326.0,2026-09-03T19:36:46.684497+00:00
2023-11-07,330.0,330.0,318.3,320.7,8533,320.7,2026-09-03T19:36:46.684497+00:00
2023-11-08,315.2,336.0,315.2,335.0,13354,335.0,2026-09-03T19:36:46.684497+00:00
2023-11-09,340.0,340.0,322.1,326.1,3680,326.1,2026-09-03T19:36:46.684497+00:00
2023-11-20,320.0,337.0,320.0,330.0,6868,330.0,2026-09-03T19:36:46.684497+00:00
2023-11-21,324.1,336.6,323.8,331.8,9730,331.8,2026-09-03T19:36:46.684497+00:00
2023-11-22,325.2,343.0,318.7,343.0,4150,343.0,2026-09-03T19:36:46.684497+00:00
2023-11-23,336.2,354.0,325.1,353.0,7041,353.0,2026-09-03T19:36:46.684497+00:00
2023-11-26,346.0,375.0,339.1,375.0,10751,375.0,2026-09-03T19:36:46.684497+00:00
2023-11-27,367.5,382.0,359.0,379.3,14845,379.3,2026-09-03T19:36:46.684497+00:00
2023-11-28,379.3,394.5,353.6,361.3,14462,361.3,2026-09-03T19:36:46.684497+00:00
2023-11-29,354.1,369.5,340.0,357.0,10227,357.0,2026-09-03T19:36:46.684497+00:00
2023-11-30,353.0,355.0,342.0,354.9,2796,354.9,2026-09-03T19:36:46.684497+00:00
2023-12-03,355.0,355.0,342.0,344.1,4270,344.1,2026-09-03T19:36:46.684497+00:00
2023-12-04,337.5,357.0,337.5,349.9,5885,349.9,2026-09-03T19:36:46.684497+00:00
2023-12-05,343.0,345.0,339.0,342.0,2860,342.0,2026-09-03T19:36:46.684497+00:00
2023-12-06,336.0,340.0,336.0,336.7,2510,336.7,2026-09-03T19:36:46.684497+00:00
2023-12-07,331.2,353.5,331.2,344.0,5330,344.0,2026-09-03T19:36:46.684497+00:00
2023-12-10,350.0,370.0,350.0,370.0,2230,370.0,2026-09-03T19:36:46.684497+00:00
2023-12-11,377.4,377.4,349.0,364.1,27060,364.1,2026-09-03T19:36:46.684497+00:00
2023-12-12,366.0,390.0,351.1,382.0,22129,382.0,2026-09-03T19:36:46.684497+00:00
2023-12-13,380.0,387.0,365.1,373.9,19821,373.9,2026-09-03T19:36:46.684497+00:00
2023-12-14,371.0,411.2,368.0,411.2,46523,411.2,2026-09-03T19:36:46.684497+00:00
2023-12-17,403.0,436.0,390.1,409.0,25470,409.0,2026-09-03T19:36:46.684497+00:00
2023-12-18,417.1,449.9,410.0,444.0,51612,444.0,2026-09-03T19:36:46.684497+00:00
2023-12-19,440.0,488.4,440.0,488.4,16147,488.4,2026-09-03T19:36:46.684497+00:00
2023-12-20,479.0,537.2,465.1,537.2,37328,537.2,2026-09-03T19:36:46.684497+00:00
2023-12-21,547.9,590.9,545.0,587.0,34980,587.0,2026-09-03T19:36:46.684497+00:00
2023-12-24,598.7,645.7,534.0,579.0,37227,579.0,2026-09-03T19:36:46.684497+00:00
2023-12-27,567.5,567.5,521.1,550.0,37104,550.0,2026-09-03T19:36:46.684497+00:00
2023-12-28,539.0,560.0,495.0,521.0,27772,521.0,2026-09-03T19:36:46.684497+00:00
2024-01-01,531.4,549.5,501.0,530.0,12985,530.0,2026-09-03T19:36:46.684497+00:00
2024-01-02,520.0,520.0,499.5,507.0,5827,507.0,2026-09-03T19:36:46.684497+00:00
2024-01-03,517.0,554.0,499.0,511.1,17189,511.1,2026-09-03T19:36:46.684497+00:00
2024-01-04,515.0,541.0,507.0,507.0,11620,507.0,2026-09-03T19:36:46.684497+00:00
2024-01-07,497.0,528.4,497.0,501.2,6514,501.2,2026-09-03T19:36:46.684497+00:00
2024-01-08,500.0,520.0,492.2,510.0,14257,510.0,2026-09-03T19:36:46.684497+00:00
2024-01-09,520.0,550.0,495.0,521.8,30693,521.8,2026-09-03T19:36:46.684497+00:00
2024-01-10,512.0,521.8,503.8,510.0,3100,510.0,2026-09-03T19:36:46.684497+00:00
2024-01-11,502.0,561.0,502.0,561.0,42995,561.0,2026-09-03T19:36:46.684497+00:00
2024-01-14,572.2,583.6,539.1,563.1,14941,563.1,2026-09-03T19:36:46.684497+00:00
2024-01-16,556.0,569.0,535.1,541.0,11748,541.0,2026-09-03T19:36:46.684497+00:00
2024-01-17,530.2,550.0,511.1,511.1,9982,511.1,2026-09-03T19:36:46.684497+00:00
2024-01-18,500.9,520.8,500.9,510.1,8329,510.1,2026-09-03T19:36:46.684497+00:00
2024-01-21,520.0,561.1,505.0,560.0,13125,560.0,2026-09-03T19:36:46.684497+00:00
2024-01-22,550.0,615.0,527.1,613.0,42579,613.0,2026-09-03T19:36:46.684497+00:00
2024-01-23,600.8,600.8,568.0,575.0,5516,575.0,2026-09-03T19:36:46.684497+00:00
2024-01-24,575.0,632.5,571.2,632.5,41502,632.5,2026-09-03T19:36:46.684497+00:00
2024-01-25,632.5,695.7,630.1,688.1,32523,688.1,2026-09-03T19:36:46.684497+00:00
2024-01-28,701.8,756.9,648.0,756.9,38613,756.9,2026-09-03T19:36:46.684497+00:00
2024-01-29,772.0,832.5,712.9,832.5,16110,832.5,2026-09-03T19:36:46.684497+00:00
2024-01-30,815.9,815.9,749.3,763.0,36797,763.0,2026-09-03T19:36:46.684497+00:00
