date,open,high,low,close,volume,adj_close,fetched_at
2017-08-31,1626.0,1658.0,1658.0,1658.0,100,1658.0,2026-09-03T19:34:47.834125+00:00
2017-10-08,1658.0,1724.0,1691.0,1724.0,110,1724.0,2026-09-03T19:34:47.834125+00:00
2017-10-29,1724.0,1758.0,1758.0,1758.0,10,1758.0,2026-09-03T19:34:47.834125+00:00
2017-11-05,1758.0,1828.0,1793.0,1828.0,30,1828.0,2026-09-03T19:34:47.834125+00:00
2017-11-06,1828.0,1977.0,1864.0,1977.0,40,1977.0,2026-09-03T19:34:47.834125+00:00
2017-11-08,1977.0,2056.0,2016.0,2056.0,20,2056.0,2026-09-03T19:34:47.834125+00:00
2017-11-19,1371.0,1398.0,1398.0,1398.0,10,1398.0,2026-09-03T19:34:47.834125+00:00
2017-12-06,1398.0,1453.0,1425.0,1453.0,20,1453.0,2026-09-03T19:34:47.834125+00:00
2017-12-10,1453.0,1511.0,1482.0,1511.0,20,1511.0,2026-09-03T19:34:47.834125+00:00
2017-12-11,1511.0,1571.0,1541.0,1571.0,20,1571.0,2026-09-03T19:34:47.834125+00:00
2017-12-12,1571.0,1634.0,1602.0,1634.0,20,1634.0,2026-09-03T19:34:47.834125+00:00
2017-12-13,1634.0,1732.0,1666.0,1732.0,30,1732.0,2026-09-03T19:34:47.834125+00:00
2017-12-14,1732.0,1801.0,1766.0,1801.0,20,1801.0,2026-09-03T19:34:47.834125+00:00
2017-12-17,1801.0,1910.0,1837.0,1910.0,30,1910.0,2026-09-03T19:34:47.834125+00:00
2017-12-18,1910.0,2005.0,2005.0,2005.0,10,2005.0,2026-09-03T19:34:47.834125+00:00
2017-12-20,2005.0,2085.0,2045.0,2085.0,120,2085.0,2026-09-03T19:34:47.834125+00:00
2017-12-21,2085.0,2211.0,2126.0,2211.0,35,2211.0,2026-09-03T19:34:47.834125+00:00
2017-12-24,2211.0,2414.0,2321.0,2414.0,30,2414.0,2026-09-03T19:34:47.834125+00:00
2017-12-26,2414.0,2655.0,2462.0,2655.0,60,2655.0,2026-09-03T19:34:47.834125+00:00
2017-12-27,2655.0,2920.0,2708.0,2920.0,170,2920.0,2026-09-03T19:34:47.834125+00:00
2017-12-28,2920.0,3212.0,2978.0,3212.0,880,3212.0,2026-09-03T19:34:47.834125+00:00
2017-12-31,3212.0,3341.0,3086.0,3150.0,5336,3150.0,2026-09-03T19:34:47.834125+00:00
2018-01-01,3150.0,3160.0,3103.0,3150.0,2071,3150.0,2026-09-03T19:34:47.834125+00:00
2018-01-02,3150.0,3105.0,3040.0,3100.0,1540,3100.0,2026-09-03T19:34:47.834125+00:00
2018-01-03,3100.0,3098.0,3002.0,3020.0,955,3020.0,2026-09-03T19:34:47.834125+00:00
2018-01-04,3020.0,3020.0,2973.0,2982.0,520,2982.0,2026-09-03T19:34:47.834125+00:00
2018-01-07,2982.0,3050.0,2935.0,2985.0,360,2985.0,2026-09-03T19:34:47.834125+00:00
2018-01-08,2985.0,3044.0,2998.0,3005.0,591,3005.0,2026-09-03T19:34:47.834125+00:00
