date,open,high,low,close,volume,adj_close,fetched_at
2018-08-30,626.0,650.0,626.0,650.0,30,650.0,2026-09-03T19:34:54.121593+00:00
2018-09-03,663.0,663.0,663.0,663.0,10,663.0,2026-09-03T19:34:54.121593+00:00
2018-09-04,676.0,689.0,676.0,689.0,20,689.0,2026-09-03T19:34:54.121593+00:00
2018-09-09,702.0,702.0,702.0,702.0,10,702.0,2026-09-03T19:34:54.121593+00:00
2018-09-13,716.0,716.0,716.0,716.0,10,716.0,2026-09-03T19:34:54.121593+00:00
2018-09-16,730.0,730.0,730.0,730.0,10,730.0,2026-09-03T19:34:54.121593+00:00
2018-09-18,766.0,766.0,766.0,766.0,10,766.0,2026-09-03T19:34:54.121593+00:00
2018-09-25,781.0,796.0,781.0,796.0,20,796.0,2026-09-03T19:34:54.121593+00:00
2018-09-27,811.0,827.0,811.0,827.0,20,827.0,2026-09-03T19:34:54.121593+00:00
2018-09-30,843.0,843.0,843.0,843.0,10,843.0,2026-09-03T19:34:54.121593+00:00
2018-10-01,859.0,927.0,859.0,927.0,60,927.0,2026-09-03T19:34:54.121593+00:00
2018-10-02,945.0,1019.0,945.0,1019.0,110,1019.0,2026-09-03T19:34:54.121593+00:00
2018-10-03,1039.0,1120.0,1039.0,1120.0,270,1120.0,2026-09-03T19:34:54.121593+00:00
2018-10-04,1142.0,1232.0,1142.0,1232.0,120,1232.0,2026-09-03T19:34:54.121593+00:00
2018-10-07,1256.0,1355.0,1256.0,1355.0,380,1355.0,2026-09-03T19:34:54.121593+00:00
2018-10-08,1382.0,1490.0,1382.0,1490.0,2640,1490.0,2026-09-03T19:34:54.121593+00:00
2018-10-09,1519.0,1639.0,1519.0,1542.0,24470,1542.0,2026-09-03T19:34:54.121593+00:00
2018-10-10,1540.0,1540.0,1490.0,1493.0,5250,1493.0,2026-09-03T19:34:54.121593+00:00
2018-10-11,1464.0,1486.0,1440.0,1483.0,3040,1483.0,2026-09-03T19:34:54.121593+00:00
2018-10-14,1490.0,1550.0,1490.0,1550.0,3020,1550.0,2026-09-03T19:34:54.121593+00:00
2018-10-15,1552.0,1590.0,1520.0,1555.0,3630,1555.0,2026-09-03T19:34:54.121593+00:00
2018-10-21,1525.0,1540.0,1525.0,1532.0,1160,1532.0,2026-09-03T19:34:54.121593+00:00
2018-10-22,1530.0,1550.0,1529.0,1535.0,1480,1535.0,2026-09-03T19:34:54.121593+00:00
2018-10-23,1530.0,1533.0,1491.0,1496.0,3890,1496.0,2026-09-03T19:34:54.121593+00:00
2018-10-24,1496.0,1510.0,1480.0,1487.0,2630,1487.0,2026-09-03T19:34:54.121593+00:00
2018-10-25,1468.0,1510.0,1468.0,1485.0,1870,1485.0,2026-09-03T19:34:54.121593+00:00
2018-10-28,1490.0,1500.0,1460.0,1460.0,2710,1460.0,2026-09-03T19:34:54.121593+00:00
2018-10-29,1431.0,1460.0,1423.0,1450.0,1290,1450.0,2026-09-03T19:34:54.121593+00:00
2018-10-30,1450.0,1465.0,1426.0,1445.0,1600,1445.0,2026-09-03T19:34:54.121593+00:00
2018-10-31,1427.0,1445.0,1427.0,1436.0,770,1436.0,2026-09-03T19:34:54.121593+00:00
2018-11-01,1408.0,1448.0,1390.0,1420.0,1110,1420.0,2026-09-03T19:34:54.121593+00:00
2018-11-04,1392.0,1430.0,1392.0,1409.0,1500,1409.0,2026-09-03T19:34:54.121593+00:00
2018-11-05,1401.0,1509.0,1400.0,1480.0,1120,1480.0,2026-09-03T19:34:54.121593+00:00
2018-11-06,1480.0,1470.0,1409.0,1460.0,90,1460.0,2026-09-03T19:34:54.121593+00:00
2018-11-11,1460.0,1460.0,1432.0,1434.0,590,1434.0,2026-09-03T19:34:54.121593+00:00
2018-11-12,1406.0,1434.0,1400.0,1400.0,940,1400.0,2026-09-03T19:34:54.121593+00:00
2018-11-13,1375.0,1420.0,1375.0,1407.0,860,1407.0,2026-09-03T19:34:54.121593+00:00
2018-11-14,1400.0,1415.0,1381.0,1405.0,1080,1405.0,2026-09-03T19:34:54.121593+00:00
2018-11-15,1405.0,1416.0,1402.0,1402.0,1380,1402.0,2026-09-03T19:34:54.121593+00:00
2018-11-18,1433.0,1433.0,1390.0,1392.0,1430,1392.0,2026-09-03T19:34:54.121593+00:00
2018-11-19,1390.0,1395.0,1365.0,1373.0,1060,1373.0,2026-09-03T19:34:54.121593+00:00
2018-11-20,1351.0,1380.0,1350.0,1355.0,3450,1355.0,2026-09-03T19:34:54.121593+00:00
2018-11-21,1330.0,1360.0,1330.0,1352.0,3550,1352.0,2026-09-03T19:34:54.121593+00:00
2018-11-22,1356.0,1370.0,1350.0,1355.0,6155,1355.0,2026-09-03T19:34:54.121593+00:00
2018-11-25,740.0,740.0,716.0,730.0,1105,730.0,2026-09-03T19:34:54.121593+00:00
2018-11-26,743.0,765.0,739.0,758.0,1620,758.0,2026-09-03T19:34:54.121593+00:00
2018-11-27,744.0,765.0,744.0,755.0,2446,755.0,2026-09-03T19:34:54.121593+00:00
