date,open,high,low,close,volume,adj_close,fetched_at
2020-02-09,10.0,10.0,10.0,10.0,500,10.0,2026-09-03T19:35:10.009330+00:00
2020-02-11,9.89,9.89,9.89,9.89,100,9.89,2026-09-03T19:35:10.009330+00:00
2020-02-16,9.7,9.7,9.23,9.23,4010,9.23,2026-09-03T19:35:10.009330+00:00
2020-02-17,9.05,9.41,8.92,9.29,35450,9.29,2026-09-03T19:35:10.009330+00:00
2020-02-18,9.16,9.48,9.16,9.35,24500,9.35,2026-09-03T19:35:10.009330+00:00
2020-02-19,9.22,9.48,9.22,9.48,6660,9.48,2026-09-03T19:35:10.009330+00:00
2020-02-20,9.5,9.64,9.4,9.58,9100,9.58,2026-09-03T19:35:10.009330+00:00
2020-02-23,9.39,9.39,9.39,9.39,100,9.39,2026-09-03T19:35:10.009330+00:00
2020-02-24,9.25,9.6,9.25,9.43,8800,9.43,2026-09-03T19:35:10.009330+00:00
2020-02-25,9.43,9.48,9.43,9.43,4350,9.43,2026-09-03T19:35:10.009330+00:00
2020-02-26,9.43,9.69,9.41,9.69,26500,9.69,2026-09-03T19:35:10.009330+00:00
2020-02-27,9.75,9.94,9.75,9.76,6250,9.76,2026-09-03T19:35:10.009330+00:00
2020-03-01,9.8,9.8,9.48,9.48,4800,9.48,2026-09-03T19:35:10.009330+00:00
2020-03-02,9.5,9.69,9.4,9.4,15990,9.4,2026-09-03T19:35:10.009330+00:00
2020-03-03,9.3,9.3,9.12,9.23,13710,9.23,2026-09-03T19:35:10.009330+00:00
2020-03-04,9.2,9.2,8.98,8.98,28000,8.98,2026-09-03T19:35:10.009330+00:00
2020-03-05,8.81,8.86,8.81,8.86,11200,8.86,2026-09-03T19:35:10.009330+00:00
2020-03-11,8.69,8.69,8.69,8.69,3100,8.69,2026-09-03T19:35:10.009330+00:00
2020-03-12,8.63,8.86,8.63,8.86,8700,8.86,2026-09-03T19:35:10.009330+00:00
2020-03-15,8.69,8.72,8.21,8.21,6600,8.21,2026-09-03T19:35:10.009330+00:00
2020-03-16,8.05,8.25,8.05,8.18,15000,8.18,2026-09-03T19:35:10.009330+00:00
2020-03-17,8.19,8.36,8.14,8.26,11800,8.26,2026-09-03T19:35:10.009330+00:00
2020-03-18,8.27,8.27,8.2,8.2,8300,8.2,2026-09-03T19:35:10.009330+00:00
2020-03-19,8.05,8.21,8.05,8.21,1600,8.21,2026-09-03T19:35:10.009330+00:00
2020-07-14,8.37,9.03,8.37,9.03,9100,9.03,2026-09-03T19:35:10.009330+00:00
2020-07-15,9.21,9.93,9.21,9.9,47000,9.9,2026-09-03T19:35:10.009330+00:00
2020-07-16,9.71,9.71,9.52,9.52,21600,9.52,2026-09-03T19:35:10.009330+00:00
2020-07-20,9.53,9.6,9.53,9.54,13700,9.54,2026-09-03T19:35:10.009330+00:00
2020-07-21,9.6,9.62,9.56,9.6,17000,9.6,2026-09-03T19:35:10.009330+00:00
2020-07-22,9.55,9.56,9.55,9.55,16150,9.55,2026-09-03T19:35:10.009330+00:00
2020-07-23,9.55,9.55,9.03,9.55,61100,9.55,2026-09-03T19:35:10.009330+00:00
2020-07-26,9.57,9.7,9.5,9.5,21550,9.5,2026-09-03T19:35:10.009330+00:00
2020-07-27,9.39,9.5,9.38,9.49,133700,9.49,2026-09-03T19:35:10.009330+00:00
2020-07-28,9.49,9.51,9.46,9.51,19500,9.51,2026-09-03T19:35:10.009330+00:00
2020-07-29,9.47,9.48,9.4,9.42,5440,9.42,2026-09-03T19:35:10.009330+00:00
2020-07-30,9.31,9.5,9.31,9.5,4800,9.5,2026-09-03T19:35:10.009330+00:00
2020-08-02,9.31,9.45,9.31,9.37,50010,9.37,2026-09-03T19:35:10.009330+00:00
2020-08-03,9.25,9.35,9.23,9.31,9300,9.31,2026-09-03T19:35:10.009330+00:00
2020-08-05,9.13,9.3,9.13,9.2,69100,9.2,2026-09-03T19:35:10.009330+00:00
2020-08-06,9.11,9.2,9.11,9.15,1400,9.15,2026-09-03T19:35:10.009330+00:00
2020-08-09,9.15,9.4,9.15,9.4,12970,9.4,2026-09-03T19:35:10.009330+00:00
2020-08-10,9.58,9.58,9.23,9.35,25410,9.35,2026-09-03T19:35:10.009330+00:00
2020-08-11,9.35,9.53,9.35,9.4,21900,9.4,2026-09-03T19:35:10.009330+00:00
2020-08-12,9.3,9.48,9.3,9.48,15900,9.48,2026-09-03T19:35:10.009330+00:00
2020-08-13,9.41,9.45,9.39,9.41,26200,9.41,2026-09-03T19:35:10.009330+00:00
2020-08-16,9.36,9.41,9.36,9.39,12800,9.39,2026-09-03T19:35:10.009330+00:00
2020-08-17,9.33,9.5,9.33,9.5,43880,9.5,2026-09-03T19:35:10.009330+00:00
2020-08-18,9.5,9.5,9.37,9.41,16620,9.41,2026-09-03T19:35:10.009330+00:00
2020-08-19,9.3,9.4,9.3,9.36,5500,9.36,2026-09-03T19:35:10.009330+00:00
2020-08-20,9.35,9.45,9.34,9.36,3100,9.36,2026-09-03T19:35:10.009330+00:00
2020-08-23,9.35,9.53,9.34,9.5,7100,9.5,2026-09-03T19:35:10.009330+00:00
2020-08-24,9.42,9.5,9.42,9.5,59250,9.5,2026-09-03T19:35:10.009330+00:00
2020-08-25,9.46,9.5,9.46,9.48,23100,9.48,2026-09-03T19:35:10.009330+00:00
2020-08-26,9.44,9.55,9.44,9.47,88300,9.47,2026-09-03T19:35:10.009330+00:00
2020-08-27,9.6,9.99,9.47,9.89,157400,9.89,2026-09-03T19:35:10.009330+00:00
2020-08-30,9.89,9.9,9.89,9.9,10000,9.9,2026-09-03T19:35:10.009330+00:00
2020-08-31,9.9,10.0,9.71,9.86,11000,9.86,2026-09-03T19:35:10.009330+00:00
2020-09-02,9.67,9.85,9.6,9.8,21650,9.8,2026-09-03T19:35:10.009330+00:00
2020-09-03,9.65,10.19,9.65,10.19,43850,10.19,2026-09-03T19:35:10.009330+00:00
2020-09-06,10.39,10.39,10.02,10.17,32500,10.17,2026-09-03T19:35:10.009330+00:00
2020-09-07,10.2,10.27,10.2,10.25,47510,10.25,2026-09-03T19:35:10.009330+00:00
2020-09-08,10.25,10.38,10.11,10.12,130800,10.12,2026-09-03T19:35:10.009330+00:00
2020-09-09,9.62,10.35,9.62,10.25,72550,10.25,2026-09-03T19:35:10.009330+00:00
2020-09-13,10.05,10.05,9.3,9.3,21300,9.3,2026-09-03T19:35:10.009330+00:00
2020-09-14,9.25,9.26,9.16,9.2,28800,9.2,2026-09-03T19:35:10.009330+00:00
2020-09-15,9.07,9.2,9.0,9.2,277810,9.2,2026-09-03T19:35:10.009330+00:00
2020-09-16,9.02,9.02,8.91,9.0,7800,9.0,2026-09-03T19:35:10.009330+00:00
2020-09-17,8.89,9.0,8.83,8.88,26000,8.88,2026-09-03T19:35:10.009330+00:00
2020-09-20,8.72,8.9,8.71,8.9,11800,8.9,2026-09-03T19:35:10.009330+00:00
2020-09-21,8.76,9.0,8.76,8.85,160960,8.85,2026-09-03T19:35:10.009330+00:00
2020-09-22,8.85,8.9,8.7,8.81,14000,8.81,2026-09-03T19:35:10.009330+00:00
2020-09-23,8.68,8.97,8.68,8.85,99820,8.85,2026-09-03T19:35:10.009330+00:00
2020-09-24,8.71,9.02,8.62,8.7,129550,8.7,2026-09-03T19:35:10.009330+00:00
2020-09-27,8.71,8.84,8.59,8.84,161290,8.84,2026-09-03T19:35:10.009330+00:00
2020-09-28,8.7,9.0,8.67,8.85,4800,8.85,2026-09-03T19:35:10.009330+00:00
2020-09-29,9.01,9.01,8.85,9.0,9700,9.0,2026-09-03T19:35:10.009330+00:00
2020-09-30,8.85,9.05,8.85,8.9,6800,8.9,2026-09-03T19:35:10.009330+00:00
2020-10-01,8.88,8.97,8.77,8.97,40950,8.97,2026-09-03T19:35:10.009330+00:00
2020-10-04,8.83,9.0,8.66,8.91,53100,8.91,2026-09-03T19:35:10.009330+00:00
2020-10-05,9.01,9.08,8.77,8.9,61000,8.9,2026-09-03T19:35:10.009330+00:00
2020-10-06,8.9,9.14,8.89,9.14,6900,9.14,2026-09-03T19:35:10.009330+00:00
