date,open,high,low,close,volume,adj_close,fetched_at
2013-02-12,900.0,912.0,880.0,880.0,4393,880.0,2026-09-03T19:34:14.771647+00:00
2013-02-13,880.0,905.0,840.0,897.0,21258,897.0,2026-09-03T19:34:14.771647+00:00
2013-02-14,897.0,880.0,808.0,808.0,13260,808.0,2026-09-03T19:34:14.771647+00:00
2013-02-19,808.0,825.0,797.0,800.0,3313,800.0,2026-09-03T19:34:14.771647+00:00
2013-02-20,800.0,816.0,784.0,791.0,3091,791.0,2026-09-03T19:34:14.771647+00:00
2013-02-21,791.0,805.0,780.0,780.0,2252,780.0,2026-09-03T19:34:14.771647+00:00
2013-02-24,780.0,779.0,736.0,762.0,3195,762.0,2026-09-03T19:34:14.771647+00:00
2013-02-25,762.0,770.0,717.0,725.0,2420,725.0,2026-09-03T19:34:14.771647+00:00
2013-02-26,725.0,714.0,695.0,700.0,1765,700.0,2026-09-03T19:34:14.771647+00:00
2013-02-27,700.0,700.0,685.0,687.0,1607,687.0,2026-09-03T19:34:14.771647+00:00
2013-02-28,687.0,702.0,685.0,686.0,1121,686.0,2026-09-03T19:34:14.771647+00:00
2013-03-03,686.0,714.0,680.0,680.0,1388,680.0,2026-09-03T19:34:14.771647+00:00
2013-03-04,680.0,683.0,667.0,683.0,1069,683.0,2026-09-03T19:34:14.771647+00:00
2013-03-05,683.0,696.0,670.0,670.0,1618,670.0,2026-09-03T19:34:14.771647+00:00
2013-03-06,670.0,683.0,657.0,660.0,3071,660.0,2026-09-03T19:34:14.771647+00:00
2013-03-07,660.0,673.0,632.0,632.0,4218,632.0,2026-09-03T19:34:14.771647+00:00
2013-03-11,632.0,652.0,630.0,645.0,3483,645.0,2026-09-03T19:34:14.771647+00:00
2013-03-13,645.0,660.0,650.0,660.0,523,660.0,2026-09-03T19:34:14.771647+00:00
2013-03-14,660.0,680.0,653.0,680.0,2852,680.0,2026-09-03T19:34:14.771647+00:00
2013-03-17,680.0,688.0,673.0,680.0,1952,680.0,2026-09-03T19:34:14.771647+00:00
2013-03-18,680.0,680.0,670.0,680.0,819,680.0,2026-09-03T19:34:14.771647+00:00
2013-03-19,680.0,694.0,680.0,686.0,474,686.0,2026-09-03T19:34:14.771647+00:00
2013-03-20,686.0,673.0,673.0,673.0,781,673.0,2026-09-03T19:34:14.771647+00:00
2013-03-21,673.0,693.0,666.0,666.0,924,666.0,2026-09-03T19:34:14.771647+00:00
2013-03-24,666.0,670.0,640.0,652.0,1488,652.0,2026-09-03T19:34:14.771647+00:00
2013-03-25,652.0,665.0,647.0,665.0,520,665.0,2026-09-03T19:34:14.771647+00:00
2013-03-27,665.0,675.0,656.0,665.0,596,665.0,2026-09-03T19:34:14.771647+00:00
2013-03-28,665.0,675.0,652.0,652.0,1635,652.0,2026-09-03T19:34:14.771647+00:00
2013-03-31,652.0,659.0,648.0,650.0,597,650.0,2026-09-03T19:34:14.771647+00:00
2013-04-01,650.0,645.0,637.0,640.0,2200,640.0,2026-09-03T19:34:14.771647+00:00
2013-04-02,640.0,645.0,635.0,641.0,1725,641.0,2026-09-03T19:34:14.771647+00:00
2013-04-03,641.0,652.0,636.0,640.0,2128,640.0,2026-09-03T19:34:14.771647+00:00
2013-04-04,640.0,641.0,631.0,638.0,926,638.0,2026-09-03T19:34:14.771647+00:00
2013-04-07,638.0,645.0,636.0,639.0,1254,639.0,2026-09-03T19:34:14.771647+00:00
2013-04-08,639.0,650.0,638.0,641.0,963,641.0,2026-09-03T19:34:14.771647+00:00
2013-04-09,641.0,703.0,640.0,685.0,5896,685.0,2026-09-03T19:34:14.771647+00:00
2013-04-11,685.0,744.0,685.0,727.0,6685,727.0,2026-09-03T19:34:14.771647+00:00
2013-04-15,727.0,760.0,720.0,758.0,3605,758.0,2026-09-03T19:34:14.771647+00:00
2013-04-16,758.0,753.0,739.0,753.0,2554,753.0,2026-09-03T19:34:14.771647+00:00
2013-04-17,753.0,751.0,738.0,738.0,738,738.0,2026-09-03T19:34:14.771647+00:00
2013-04-18,738.0,733.0,701.0,710.0,1677,710.0,2026-09-03T19:34:14.771647+00:00
2013-04-21,710.0,710.0,697.0,705.0,741,705.0,2026-09-03T19:34:14.771647+00:00
2013-04-22,705.0,703.0,689.0,702.0,560,702.0,2026-09-03T19:34:14.771647+00:00
2013-04-23,702.0,715.0,686.0,700.0,7895,700.0,2026-09-03T19:34:14.771647+00:00
2013-04-25,700.0,706.0,686.0,705.0,2462,705.0,2026-09-03T19:34:14.771647+00:00
2013-04-28,705.0,719.0,695.0,699.0,1420,699.0,2026-09-03T19:34:14.771647+00:00
2013-04-29,699.0,708.0,678.0,695.0,2872,695.0,2026-09-03T19:34:14.771647+00:00
2013-04-30,695.0,695.0,626.0,626.0,13940,626.0,2026-09-03T19:34:14.771647+00:00
2013-05-02,626.0,615.0,564.0,564.0,8316,564.0,2026-09-03T19:34:14.771647+00:00
2013-05-05,564.0,555.0,508.0,508.0,11463,508.0,2026-09-03T19:34:14.771647+00:00
2013-05-06,508.0,521.0,458.0,521.0,293777,521.0,2026-09-03T19:34:14.771647+00:00
2013-05-07,521.0,558.0,496.0,530.0,29919,530.0,2026-09-03T19:34:14.771647+00:00
2013-05-08,530.0,543.0,490.0,532.0,140540,532.0,2026-09-03T19:34:14.771647+00:00
2013-05-09,532.0,145.0,143.0,145.0,135,145.0,2026-09-03T19:34:14.771647+00:00
2013-05-22,145.0,159.0,152.0,159.0,40,159.0,2026-09-03T19:34:14.771647+00:00
2013-05-23,159.0,174.0,162.0,174.0,60,174.0,2026-09-03T19:34:14.771647+00:00
2013-05-26,174.0,191.0,177.0,191.0,120,191.0,2026-09-03T19:34:14.771647+00:00
2013-05-27,191.0,204.0,185.0,185.0,3065,185.0,2026-09-03T19:34:14.771647+00:00
2013-05-28,185.0,182.0,170.0,170.0,3812,170.0,2026-09-03T19:34:14.771647+00:00
2013-05-30,170.0,177.0,170.0,177.0,1153,177.0,2026-09-03T19:34:14.771647+00:00
2013-06-02,177.0,176.0,173.0,176.0,1170,176.0,2026-09-03T19:34:14.771647+00:00
2013-06-03,176.0,174.0,172.0,173.0,2302,173.0,2026-09-03T19:34:14.771647+00:00
2013-06-04,173.0,170.0,170.0,170.0,20,170.0,2026-09-03T19:34:14.771647+00:00
2013-06-05,170.0,173.0,168.0,168.0,937,168.0,2026-09-03T19:34:14.771647+00:00
2013-06-06,168.0,168.0,165.0,166.0,1250,166.0,2026-09-03T19:34:14.771647+00:00
2013-06-09,166.0,166.0,164.0,164.0,425,164.0,2026-09-03T19:34:14.771647+00:00
2013-06-10,164.0,168.0,163.0,168.0,3093,168.0,2026-09-03T19:34:14.771647+00:00
2013-06-11,168.0,165.0,165.0,165.0,240,165.0,2026-09-03T19:34:14.771647+00:00
2013-06-12,165.0,165.0,161.0,162.0,3937,162.0,2026-09-03T19:34:14.771647+00:00
2013-06-13,162.0,162.0,162.0,162.0,602,162.0,2026-09-03T19:34:14.771647+00:00
2013-06-16,162.0,162.0,159.0,162.0,252,162.0,2026-09-03T19:34:14.771647+00:00
2013-06-18,162.0,163.0,161.0,163.0,696,163.0,2026-09-03T19:34:14.771647+00:00
2013-06-19,163.0,165.0,162.0,162.0,271,162.0,2026-09-03T19:34:14.771647+00:00
2013-06-20,162.0,162.0,159.0,162.0,200,162.0,2026-09-03T19:34:14.771647+00:00
2013-06-23,162.0,159.0,156.0,156.0,200,156.0,2026-09-03T19:34:14.771647+00:00
2013-06-24,156.0,155.0,150.0,150.0,1088,150.0,2026-09-03T19:34:14.771647+00:00
2013-06-25,150.0,152.0,146.0,149.0,4291,149.0,2026-09-03T19:34:14.771647+00:00
2013-06-26,149.0,156.0,150.0,153.0,2618,153.0,2026-09-03T19:34:14.771647+00:00
2013-06-27,153.0,160.0,153.0,157.0,1660,157.0,2026-09-03T19:34:14.771647+00:00
2013-06-30,157.0,161.0,157.0,161.0,1507,161.0,2026-09-03T19:34:14.771647+00:00
2013-07-01,161.0,160.0,158.0,158.0,3204,158.0,2026-09-03T19:34:14.771647+00:00
2013-07-02,158.0,158.0,152.0,155.0,2012,155.0,2026-09-03T19:34:14.771647+00:00
2013-07-03,155.0,159.0,156.0,159.0,1080,159.0,2026-09-03T19:34:14.771647+00:00
2013-07-04,159.0,162.0,158.0,159.0,641,159.0,2026-09-03T19:34:14.771647+00:00
2013-07-07,159.0,157.0,157.0,157.0,15,157.0,2026-09-03T19:34:14.771647+00:00
2013-07-08,157.0,155.0,151.0,154.0,425,154.0,2026-09-03T19:34:14.771647+00:00
2013-07-09,154.0,159.0,157.0,157.0,940,157.0,2026-09-03T19:34:14.771647+00:00
2013-07-10,157.0,160.0,160.0,160.0,1169,160.0,2026-09-03T19:34:14.771647+00:00
