date,open,high,low,close,volume,adj_close,fetched_at
2022-04-24,1000.0,1000.0,1000.0,1000.0,10,1000.0,2026-09-03T19:35:36.170258+00:00
2022-04-25,1000.0,1000.0,1000.0,1000.0,12500,1000.0,2026-09-03T19:35:36.170258+00:00
2022-06-01,1020.0,1020.0,1020.0,1020.0,50,1020.0,2026-09-03T19:35:36.170258+00:00
2022-09-13,999.6,999.6,922.2,922.2,50,922.2,2026-09-03T19:35:36.170258+00:00
2022-09-15,903.8,903.8,903.8,903.8,25,903.8,2026-09-03T19:35:36.170258+00:00
2022-09-22,885.8,885.8,880.0,880.0,109,880.0,2026-09-03T19:35:36.170258+00:00
2022-12-07,862.4,862.4,862.4,862.4,50,862.4,2026-09-03T19:35:36.170258+00:00
2022-12-11,845.2,845.2,845.2,845.2,20,845.2,2026-09-03T19:35:36.170258+00:00
2022-12-29,828.3,828.3,811.8,811.8,32,811.8,2026-09-03T19:35:36.170258+00:00
2023-01-01,795.6,795.6,780.0,780.0,425,780.0,2026-09-03T19:35:36.170258+00:00
2023-01-02,764.4,770.0,750.7,760.0,505,760.0,2026-09-03T19:35:36.170258+00:00
2023-01-03,750.1,761.0,750.1,760.0,217,760.0,2026-09-03T19:35:36.170258+00:00
2023-01-04,760.0,775.2,760.0,775.2,75,775.2,2026-09-03T19:35:36.170258+00:00
2023-01-05,770.0,770.0,770.0,770.0,25,770.0,2026-09-03T19:35:36.170258+00:00
2023-01-08,785.0,785.0,754.1,754.1,75,754.1,2026-09-03T19:35:36.170258+00:00
2023-01-09,754.0,770.0,750.0,770.0,150,770.0,2026-09-03T19:35:36.170258+00:00
2023-01-10,755.0,770.1,750.2,750.2,176,750.2,2026-09-03T19:35:36.170258+00:00
2023-01-12,741.0,745.1,736.0,745.1,130,745.1,2026-09-03T19:35:36.170258+00:00
2023-01-17,735.0,735.0,725.3,725.3,50,725.3,2026-09-03T19:35:36.170258+00:00
2023-01-18,725.2,725.2,725.2,725.2,30,725.2,2026-09-03T19:35:36.170258+00:00
2023-01-23,711.0,725.0,711.0,725.0,150,725.0,2026-09-03T19:35:36.170258+00:00
2023-01-25,724.0,729.5,722.4,722.4,125,722.4,2026-09-03T19:35:36.170258+00:00
2023-01-26,720.0,739.5,720.0,739.5,100,739.5,2026-09-03T19:35:36.170258+00:00
2023-01-29,754.2,754.2,740.0,740.0,80,740.0,2026-09-03T19:35:36.170258+00:00
2023-01-30,740.0,740.0,733.0,733.0,250,733.0,2026-09-03T19:35:36.170258+00:00
2023-01-31,722.1,722.1,722.0,722.0,40,722.0,2026-09-03T19:35:36.170258+00:00
2023-02-01,729.0,729.0,729.0,729.0,25,729.0,2026-09-03T19:35:36.170258+00:00
2023-02-02,730.0,730.0,730.0,730.0,70,730.0,2026-09-03T19:35:36.170258+00:00
2023-02-05,717.1,731.0,717.1,731.0,50,731.0,2026-09-03T19:35:36.170258+00:00
2023-02-06,730.0,730.0,730.0,730.0,44,730.0,2026-09-03T19:35:36.170258+00:00
2023-02-07,738.0,738.0,738.0,738.0,25,738.0,2026-09-03T19:35:36.170258+00:00
2023-02-08,735.0,749.0,735.0,749.0,55,749.0,2026-09-03T19:35:36.170258+00:00
2023-02-09,740.0,740.0,740.0,740.0,25,740.0,2026-09-03T19:35:36.170258+00:00
2023-02-12,745.0,754.8,745.0,754.8,69,754.8,2026-09-03T19:35:36.170258+00:00
2023-02-14,754.0,754.8,754.0,754.8,45,754.8,2026-09-03T19:35:36.170258+00:00
2023-02-15,750.0,750.0,745.0,745.0,90,745.0,2026-09-03T19:35:36.170258+00:00
2023-02-16,745.0,746.0,745.0,745.5,50,745.5,2026-09-03T19:35:36.170258+00:00
2023-02-20,735.0,749.7,735.0,749.7,50,749.7,2026-09-03T19:35:36.170258+00:00
2023-02-22,745.0,745.0,736.1,736.1,55,736.1,2026-09-03T19:35:36.170258+00:00
2023-02-23,736.1,750.0,736.1,750.0,130,750.0,2026-09-03T19:35:36.170258+00:00
2023-02-26,740.0,760.0,740.0,760.0,75,760.0,2026-09-03T19:35:36.170258+00:00
2023-02-28,750.0,750.0,750.0,750.0,25,750.0,2026-09-03T19:35:36.170258+00:00
2023-03-02,750.0,750.0,750.0,750.0,25,750.0,2026-09-03T19:35:36.170258+00:00
2023-03-05,740.0,740.0,740.0,740.0,25,740.0,2026-09-03T19:35:36.170258+00:00
2023-03-07,754.0,764.9,754.0,764.9,320,764.9,2026-09-03T19:35:36.170258+00:00
2023-03-09,757.0,757.0,755.0,755.0,150,755.0,2026-09-03T19:35:36.170258+00:00
2023-03-12,740.0,740.0,740.0,740.0,10,740.0,2026-09-03T19:35:36.170258+00:00
2023-03-13,750.0,750.0,750.0,750.0,55,750.0,2026-09-03T19:35:36.170258+00:00
2023-03-14,750.2,764.0,750.2,764.0,40,764.0,2026-09-03T19:35:36.170258+00:00
2023-03-15,756.1,756.1,756.1,756.1,75,756.1,2026-09-03T19:35:36.170258+00:00
2023-03-16,752.0,752.0,752.0,752.0,25,752.0,2026-09-03T19:35:36.170258+00:00
2023-03-19,747.0,747.0,742.0,742.0,55,742.0,2026-09-03T19:35:36.170258+00:00
2023-03-20,732.0,746.0,732.0,746.0,50,746.0,2026-09-03T19:35:36.170258+00:00
2023-03-23,745.0,745.0,741.1,741.1,80,741.1,2026-09-03T19:35:36.170258+00:00
2023-03-27,755.9,755.9,755.9,755.9,20,755.9,2026-09-03T19:35:36.170258+00:00
2023-03-28,755.9,755.9,755.9,755.9,25,755.9,2026-09-03T19:35:36.170258+00:00
2023-03-29,741.5,741.5,741.5,741.5,25,741.5,2026-09-03T19:35:36.170258+00:00
2023-04-02,750.0,756.3,742.0,747.0,105,747.0,2026-09-03T19:35:36.170258+00:00
2023-04-03,745.0,755.0,745.0,755.0,50,755.0,2026-09-03T19:35:36.170258+00:00
2023-04-06,755.0,755.0,755.0,755.0,25,755.0,2026-09-03T19:35:36.170258+00:00
2023-04-09,740.1,740.1,740.0,740.0,50,740.0,2026-09-03T19:35:36.170258+00:00
2023-04-10,753.0,754.0,749.9,750.0,130,750.0,2026-09-03T19:35:36.170258+00:00
2023-04-11,750.0,760.0,741.1,760.0,75,760.0,2026-09-03T19:35:36.170258+00:00
2023-04-12,761.2,775.0,761.2,775.0,85,775.0,2026-09-03T19:35:36.170258+00:00
2023-04-13,780.0,790.5,780.0,790.5,449,790.5,2026-09-03T19:35:36.170258+00:00
2023-04-16,790.0,790.0,790.0,790.0,94,790.0,2026-09-03T19:35:36.170258+00:00
2023-04-17,775.0,775.0,775.0,775.0,25,775.0,2026-09-03T19:35:36.170258+00:00
2023-04-19,760.1,775.0,760.1,775.0,50,775.0,2026-09-03T19:35:36.170258+00:00
2023-04-25,775.0,775.0,770.1,770.1,50,770.1,2026-09-03T19:35:36.170258+00:00
2023-04-26,770.0,770.0,765.1,765.1,35,765.1,2026-09-03T19:35:36.170258+00:00
2023-04-27,780.4,780.4,766.1,766.1,150,766.1,2026-09-03T19:35:36.170258+00:00
2023-04-30,766.0,766.0,766.0,766.0,25,766.0,2026-09-03T19:35:36.170258+00:00
2023-05-04,761.2,762.7,761.2,762.0,125,762.0,2026-09-03T19:35:36.170258+00:00
2023-05-08,770.0,770.0,760.3,760.3,55,760.3,2026-09-03T19:35:36.170258+00:00
2023-05-09,775.5,775.5,775.5,775.5,25,775.5,2026-09-03T19:35:36.170258+00:00
2023-05-15,785.0,785.0,785.0,785.0,23,785.0,2026-09-03T19:35:36.170258+00:00
2023-05-16,790.0,790.0,790.0,790.0,25,790.0,2026-09-03T19:35:36.170258+00:00
2023-05-17,791.0,791.0,770.0,770.0,150,770.0,2026-09-03T19:35:36.170258+00:00
2023-05-22,765.2,765.2,765.2,765.2,25,765.2,2026-09-03T19:35:36.170258+00:00
2023-05-28,765.0,765.0,765.0,765.0,75,765.0,2026-09-03T19:35:36.170258+00:00
2023-06-01,765.0,765.0,765.0,765.0,25,765.0,2026-09-03T19:35:36.170258+00:00
2023-06-04,765.0,765.0,765.0,765.0,25,765.0,2026-09-03T19:35:36.170258+00:00
2023-06-05,760.7,760.7,760.7,760.7,25,760.7,2026-09-03T19:35:36.170258+00:00
2023-06-06,765.0,765.0,765.0,765.0,25,765.0,2026-09-03T19:35:36.170258+00:00
2023-06-11,766.1,766.1,766.1,766.1,25,766.1,2026-09-03T19:35:36.170258+00:00
2023-06-12,781.4,781.4,781.4,781.4,10,781.4,2026-09-03T19:35:36.170258+00:00
2023-06-13,785.0,785.0,785.0,785.0,25,785.0,2026-09-03T19:35:36.170258+00:00
2023-06-14,780.0,780.0,780.0,780.0,50,780.0,2026-09-03T19:35:36.170258+00:00
2023-06-15,780.0,780.0,780.0,780.0,25,780.0,2026-09-03T19:35:36.170258+00:00
2023-06-18,795.6,795.6,795.6,795.6,25,795.6,2026-09-03T19:35:36.170258+00:00
2023-06-19,779.7,785.0,771.0,771.0,75,771.0,2026-09-03T19:35:36.170258+00:00
2023-06-20,775.0,775.0,775.0,775.0,25,775.0,2026-09-03T19:35:36.170258+00:00
2023-06-21,764.0,770.0,764.0,770.0,125,770.0,2026-09-03T19:35:36.170258+00:00
2023-06-25,775.0,786.0,775.0,786.0,50,786.0,2026-09-03T19:35:36.170258+00:00
2023-07-02,794.0,794.0,794.0,794.0,25,794.0,2026-09-03T19:35:36.170258+00:00
2023-07-03,800.0,800.0,794.0,794.0,100,794.0,2026-09-03T19:35:36.170258+00:00
2023-07-04,809.8,809.8,803.0,805.0,175,805.0,2026-09-03T19:35:36.170258+00:00
2023-07-05,806.0,806.0,800.0,800.0,320,800.0,2026-09-03T19:35:36.170258+00:00
2023-07-06,798.1,805.0,798.1,805.0,60,805.0,2026-09-03T19:35:36.170258+00:00
2023-07-09,800.0,821.1,800.0,821.1,110,821.1,2026-09-03T19:35:36.170258+00:00
2023-07-10,804.9,804.9,804.9,804.9,20,804.9,2026-09-03T19:35:36.170258+00:00
2023-07-12,810.0,820.9,810.0,820.9,75,820.9,2026-09-03T19:35:36.170258+00:00
2023-07-13,830.0,869.0,830.0,869.0,165,869.0,2026-09-03T19:35:36.170258+00:00
2023-07-23,851.7,851.7,818.1,818.1,30,818.1,2026-09-03T19:35:36.170258+00:00
2023-07-24,801.8,801.8,785.8,785.8,30,785.8,2026-09-03T19:35:36.170258+00:00
2023-07-25,786.0,786.0,781.0,781.0,50,781.0,2026-09-03T19:35:36.170258+00:00
2023-07-27,780.0,780.0,780.0,780.0,85,780.0,2026-09-03T19:35:36.170258+00:00
2023-07-30,775.5,780.0,775.5,780.0,100,780.0,2026-09-03T19:35:36.170258+00:00
2023-07-31,780.0,785.0,780.0,785.0,40,785.0,2026-09-03T19:35:36.170258+00:00
2023-08-01,785.0,785.0,785.0,785.0,75,785.0,2026-09-03T19:35:36.170258+00:00
2023-08-02,780.0,780.0,780.0,780.0,25,780.0,2026-09-03T19:35:36.170258+00:00
2023-08-08,780.0,780.0,768.0,768.0,75,768.0,2026-09-03T19:35:36.170258+00:00
2023-08-10,783.0,783.0,783.0,783.0,50,783.0,2026-09-03T19:35:36.170258+00:00
2023-08-13,790.0,790.0,775.0,775.0,175,775.0,2026-09-03T19:35:36.170258+00:00
2023-08-14,775.0,775.0,770.2,770.2,75,770.2,2026-09-03T19:35:36.170258+00:00
2023-08-15,785.6,800.0,785.6,800.0,175,800.0,2026-09-03T19:35:36.170258+00:00
2023-08-16,790.0,790.0,790.0,790.0,100,790.0,2026-09-03T19:35:36.170258+00:00
2023-08-22,780.1,780.1,780.1,780.1,25,780.1,2026-09-03T19:35:36.170258+00:00
2023-08-24,780.0,780.0,769.0,769.0,75,769.0,2026-09-03T19:35:36.170258+00:00
2023-08-27,784.3,784.3,784.3,784.3,20,784.3,2026-09-03T19:35:36.170258+00:00
2023-08-29,799.9,799.9,799.9,799.9,18,799.9,2026-09-03T19:35:36.170258+00:00
2023-09-07,814.0,815.8,814.0,815.8,50,815.8,2026-09-03T19:35:36.170258+00:00
2023-09-11,800.0,800.0,785.0,785.0,125,785.0,2026-09-03T19:35:36.170258+00:00
2023-09-12,778.0,778.0,776.0,776.0,35,776.0,2026-09-03T19:35:36.170258+00:00
2023-09-13,781.0,781.0,781.0,781.0,50,781.0,2026-09-03T19:35:36.170258+00:00
2023-09-17,775.0,775.0,770.1,770.1,160,770.1,2026-09-03T19:35:36.170258+00:00
2023-09-19,771.0,771.0,770.0,770.1,125,770.1,2026-09-03T19:35:36.170258+00:00
2023-09-24,775.0,775.0,770.0,770.0,140,770.0,2026-09-03T19:35:36.170258+00:00
2023-09-25,785.0,785.0,785.0,785.0,25,785.0,2026-09-03T19:35:36.170258+00:00
2023-09-26,770.0,770.1,770.0,770.1,70,770.1,2026-09-03T19:35:36.170258+00:00
2023-09-27,770.3,770.3,770.3,770.3,10,770.3,2026-09-03T19:35:36.170258+00:00
2023-10-02,780.0,780.0,780.0,780.0,20,780.0,2026-09-03T19:35:36.170258+00:00
2023-10-04,795.6,804.0,795.6,804.0,27,804.0,2026-09-03T19:35:36.170258+00:00
2023-10-08,788.0,788.0,788.0,788.0,50,788.0,2026-09-03T19:35:36.170258+00:00
2023-10-10,786.0,793.0,786.0,793.0,420,793.0,2026-09-03T19:35:36.170258+00:00
2023-10-16,808.8,808.8,793.0,793.0,70,793.0,2026-09-03T19:35:36.170258+00:00
2023-10-17,800.0,800.0,800.0,800.0,100,800.0,2026-09-03T19:35:36.170258+00:00
2023-10-18,785.0,785.0,785.0,785.0,30,785.0,2026-09-03T19:35:36.170258+00:00
2023-10-19,799.0,800.0,799.0,800.0,50,800.0,2026-09-03T19:35:36.170258+00:00
2023-10-30,795.0,795.0,791.0,791.0,50,791.0,2026-09-03T19:35:36.170258+00:00
2023-11-05,790.0,800.0,790.0,800.0,45,800.0,2026-09-03T19:35:36.170258+00:00
2023-11-09,800.0,800.0,790.0,790.0,75,790.0,2026-09-03T19:35:36.170258+00:00
2023-11-21,805.8,805.8,805.8,805.8,25,805.8,2026-09-03T19:35:36.170258+00:00
2023-11-22,806.0,806.0,806.0,806.0,55,806.0,2026-09-03T19:35:36.170258+00:00
2023-11-27,806.0,822.1,806.0,822.1,85,822.1,2026-09-03T19:35:36.170258+00:00
2023-12-03,837.0,837.0,837.0,837.0,25,837.0,2026-09-03T19:35:36.170258+00:00
2023-12-04,821.0,821.0,815.0,817.0,150,817.0,2026-09-03T19:35:36.170258+00:00
2023-12-05,831.0,832.0,831.0,832.0,100,832.0,2026-09-03T19:35:36.170258+00:00
2023-12-06,816.0,832.3,816.0,832.3,50,832.3,2026-09-03T19:35:36.170258+00:00
2023-12-07,816.0,816.0,816.0,816.0,25,816.0,2026-09-03T19:35:36.170258+00:00
