date,open,high,low,close,volume,adj_close,fetched_at
2022-03-28,747.7,793.3,747.7,793.3,110,793.3,2026-09-03T19:35:52.389104+00:00
2022-03-29,809.1,872.6,809.1,872.6,104,872.6,2026-09-03T19:35:52.389104+00:00
2022-03-30,890.0,959.8,890.0,959.8,112,959.8,2026-09-03T19:35:52.389104+00:00
2022-03-31,978.9,1055.7,978.9,1055.7,96,1055.7,2026-09-03T19:35:52.389104+00:00
2022-04-03,1047.7,1161.2,1047.7,1161.2,148,1161.2,2026-09-03T19:35:52.389104+00:00
2022-04-04,1160.7,1277.3,1160.7,1277.3,146,1277.3,2026-09-03T19:35:52.389104+00:00
2022-04-05,1277.3,1405.0,1277.3,1405.0,145,1405.0,2026-09-03T19:35:52.389104+00:00
2022-04-06,1400.7,1545.5,1400.7,1545.5,204,1545.5,2026-09-03T19:35:52.389104+00:00
2022-04-07,1545.5,1700.0,1545.5,1700.0,353,1700.0,2026-09-03T19:35:52.389104+00:00
2022-04-11,1734.0,1870.0,1734.0,1870.0,471,1870.0,2026-09-03T19:35:52.389104+00:00
2022-04-12,1849.7,2057.0,1849.7,2057.0,724,2057.0,2026-09-03T19:35:52.389104+00:00
2022-04-13,2023.7,2262.7,2023.7,2262.7,765,2262.7,2026-09-03T19:35:52.389104+00:00
2022-04-17,2307.9,2488.9,2307.9,2488.9,1300,2488.9,2026-09-03T19:35:52.389104+00:00
2022-04-18,2538.6,2737.7,2538.6,2737.7,1428,2737.7,2026-09-03T19:35:52.389104+00:00
2022-04-19,2792.4,3011.4,2792.4,3011.4,3871,3011.4,2026-09-03T19:35:52.389104+00:00
2022-04-20,3071.6,3312.5,2710.3,2710.3,50565,2710.3,2026-09-03T19:35:52.389104+00:00
2022-04-21,2656.1,2850.0,2452.0,2800.0,41189,2800.0,2026-09-03T19:35:52.389104+00:00
2022-04-24,2800.0,2814.0,2695.0,2720.1,18523,2720.1,2026-09-03T19:35:52.389104+00:00
2022-04-25,2700.0,2740.0,2642.0,2651.0,18085,2651.0,2026-09-03T19:35:52.389104+00:00
2022-04-26,2620.0,2719.0,2610.1,2670.1,11409,2670.1,2026-09-03T19:35:52.389104+00:00
2022-04-27,2648.0,2700.0,2648.0,2667.1,5666,2667.1,2026-09-03T19:35:52.389104+00:00
2022-04-28,2665.0,2710.0,2650.0,2655.0,10171,2655.0,2026-09-03T19:35:52.389104+00:00
2022-05-02,2630.0,2650.0,2550.0,2561.1,8862,2561.1,2026-09-03T19:35:52.389104+00:00
2022-05-04,2522.0,2572.6,2512.0,2517.0,7040,2517.0,2026-09-03T19:35:52.389104+00:00
2022-05-05,2500.0,2516.0,2480.0,2482.1,8502,2482.1,2026-09-03T19:35:52.389104+00:00
2022-05-08,2450.0,2528.0,2450.0,2528.0,7185,2528.0,2026-09-03T19:35:52.389104+00:00
2022-05-09,2528.0,2600.0,2525.0,2530.0,7140,2530.0,2026-09-03T19:35:52.389104+00:00
2022-05-10,2538.0,2649.0,2530.1,2638.0,6983,2638.0,2026-09-03T19:35:52.389104+00:00
2022-05-11,2650.0,2689.9,2587.0,2611.0,5825,2611.0,2026-09-03T19:35:52.389104+00:00
2022-05-12,2611.0,2611.0,2560.0,2575.0,8371,2575.0,2026-09-03T19:35:52.389104+00:00
2022-05-17,2599.0,2599.0,2499.0,2500.0,5327,2500.0,2026-09-03T19:35:52.389104+00:00
2022-05-18,2550.0,2601.0,2431.0,2456.0,7601,2456.0,2026-09-03T19:35:52.389104+00:00
2022-05-19,2450.0,2498.0,2425.0,2425.0,4008,2425.0,2026-09-03T19:35:52.389104+00:00
2022-05-20,2400.1,2448.0,2400.0,2406.0,3249,2406.0,2026-09-03T19:35:52.389104+00:00
2022-05-23,2383.0,2383.0,2325.0,2335.0,8576,2335.0,2026-09-03T19:35:52.389104+00:00
2022-05-24,2302.0,2370.0,2301.0,2305.0,4027,2305.0,2026-09-03T19:35:52.389104+00:00
2022-05-25,2305.0,2367.0,2305.0,2333.0,3154,2333.0,2026-09-03T19:35:52.389104+00:00
2022-05-26,2301.2,2379.0,2301.2,2360.0,2585,2360.0,2026-09-03T19:35:52.389104+00:00
2022-05-27,2360.0,2370.0,2327.0,2340.0,2306,2340.0,2026-09-03T19:35:52.389104+00:00
2022-05-30,2330.0,2345.0,2290.0,2295.0,3059,2295.0,2026-09-03T19:35:52.389104+00:00
2022-05-31,2255.0,2341.0,2230.0,2262.0,4393,2262.0,2026-09-03T19:35:52.389104+00:00
2022-06-01,2251.1,2290.0,2251.1,2260.0,2840,2260.0,2026-09-03T19:35:52.389104+00:00
2022-06-02,2280.0,2310.0,2205.0,2215.0,4530,2215.0,2026-09-03T19:35:52.389104+00:00
