date,open,high,low,close,volume,adj_close,fetched_at
2012-09-17,89.0,88.0,88.0,88.0,100,88.0,2026-09-03T19:33:43.126372+00:00
2012-09-18,88.0,90.0,89.0,90.0,357,90.0,2026-09-03T19:33:43.126372+00:00
2012-09-19,90.0,91.0,91.0,91.0,12,91.0,2026-09-03T19:33:43.126372+00:00
2012-09-20,91.0,92.0,91.0,92.0,40,92.0,2026-09-03T19:33:43.126372+00:00
2012-09-30,92.0,92.0,92.0,92.0,200,92.0,2026-09-03T19:33:43.126372+00:00
2012-10-01,92.0,91.0,91.0,91.0,68,91.0,2026-09-03T19:33:43.126372+00:00
2012-10-01,92.0,91.0,91.0,91.0,68,91.0,2026-09-03T19:33:43.126372+00:00
2012-10-02,91.0,90.0,90.0,90.0,111,90.0,2026-09-03T19:33:43.126372+00:00
2012-10-03,90.0,89.0,89.0,89.0,171,89.0,2026-09-03T19:33:43.126372+00:00
2012-10-07,89.0,90.0,90.0,90.0,200,90.0,2026-09-03T19:33:43.126372+00:00
2012-12-09,90.0,89.0,88.0,88.0,260,88.0,2026-09-03T19:33:43.126372+00:00
2013-04-09,88.0,90.0,89.0,90.0,1125,90.0,2026-09-03T19:33:43.126372+00:00
2013-06-30,90.0,90.0,90.0,90.0,111,90.0,2026-09-03T19:33:43.126372+00:00
2013-12-31,90.0,91.0,91.0,91.0,1114,91.0,2026-09-03T19:33:43.126372+00:00
2014-01-01,91.0,90.0,90.0,90.0,148,90.0,2026-09-03T19:33:43.126372+00:00
2014-03-06,90.0,89.0,89.0,89.0,91,89.0,2026-09-03T19:33:43.126372+00:00
2014-06-09,89.0,90.0,90.0,90.0,11641,90.0,2026-09-03T19:33:43.126372+00:00
2014-07-17,90.0,99.0,91.0,99.0,1160,99.0,2026-09-03T19:33:43.126372+00:00
2014-07-20,99.0,100.0,100.0,100.0,10,100.0,2026-09-03T19:33:43.126372+00:00
2014-07-21,100.0,110.0,102.0,110.0,2043,110.0,2026-09-03T19:33:43.126372+00:00
2014-07-22,110.0,121.0,112.0,121.0,1188,121.0,2026-09-03T19:33:43.126372+00:00
2014-07-23,121.0,133.0,123.0,133.0,12048,133.0,2026-09-03T19:33:43.126372+00:00
2014-07-24,133.0,146.0,135.0,146.0,10860,146.0,2026-09-03T19:33:43.126372+00:00
2014-07-27,146.0,160.0,148.0,160.0,6232,160.0,2026-09-03T19:33:43.126372+00:00
2014-07-28,160.0,175.0,163.0,175.0,763,175.0,2026-09-03T19:33:43.126372+00:00
2014-07-30,175.0,188.0,172.0,172.0,8803,172.0,2026-09-03T19:33:43.126372+00:00
2014-08-03,172.0,169.0,169.0,169.0,50,169.0,2026-09-03T19:33:43.126372+00:00
2014-08-05,169.0,166.0,163.0,163.0,261,163.0,2026-09-03T19:33:43.126372+00:00
2014-08-13,163.0,160.0,157.0,157.0,684,157.0,2026-09-03T19:33:43.126372+00:00
2014-08-18,157.0,154.0,151.0,154.0,616,154.0,2026-09-03T19:33:43.126372+00:00
2014-08-19,154.0,151.0,148.0,148.0,469,148.0,2026-09-03T19:33:43.126372+00:00
2014-08-20,148.0,146.0,134.0,134.0,850,134.0,2026-09-03T19:33:43.126372+00:00
2014-08-21,134.0,132.0,130.0,130.0,109,130.0,2026-09-03T19:33:43.126372+00:00
2014-09-11,130.0,128.0,126.0,126.0,991,126.0,2026-09-03T19:33:43.126372+00:00
2014-09-24,126.0,124.0,124.0,124.0,567,124.0,2026-09-03T19:33:43.126372+00:00
2019-12-17,124.0,136.0,122.0,136.0,865,136.0,2026-09-03T19:33:43.126372+00:00
2019-12-18,138.0,149.0,138.0,149.0,5155,149.0,2026-09-03T19:33:43.126372+00:00
2019-12-19,151.0,163.0,151.0,163.0,2934,163.0,2026-09-03T19:33:43.126372+00:00
2019-12-22,166.0,179.0,147.0,147.0,13863,147.0,2026-09-03T19:33:43.126372+00:00
2019-12-23,145.0,154.0,141.0,151.0,5539,151.0,2026-09-03T19:33:43.126372+00:00
2019-12-25,148.0,148.0,136.0,136.0,1210,136.0,2026-09-03T19:33:43.126372+00:00
2019-12-26,135.0,135.0,123.0,132.0,3835,132.0,2026-09-03T19:33:43.126372+00:00
2019-12-29,134.0,140.0,134.0,140.0,455,140.0,2026-09-03T19:33:43.126372+00:00
2019-12-31,142.0,144.0,130.0,144.0,5397,144.0,2026-09-03T19:33:43.126372+00:00
2020-01-01,146.0,146.0,140.0,140.0,1060,140.0,2026-09-03T19:33:43.126372+00:00
2020-01-02,142.0,144.0,142.0,142.0,1510,142.0,2026-09-03T19:33:43.126372+00:00
2020-01-05,140.0,140.0,130.0,134.0,815,134.0,2026-09-03T19:33:43.126372+00:00
2020-01-06,132.0,135.0,128.0,135.0,2220,135.0,2026-09-03T19:33:43.126372+00:00
2020-01-07,133.0,133.0,130.0,130.0,1005,130.0,2026-09-03T19:33:43.126372+00:00
2020-01-08,129.0,129.0,128.0,128.0,510,128.0,2026-09-03T19:33:43.126372+00:00
2020-01-09,128.0,128.0,126.0,126.0,940,126.0,2026-09-03T19:33:43.126372+00:00
2020-01-12,125.0,130.0,124.0,128.0,1398,128.0,2026-09-03T19:33:43.126372+00:00
2020-01-13,128.0,128.0,124.0,124.0,2930,124.0,2026-09-03T19:33:43.126372+00:00
2020-01-14,125.0,136.0,125.0,133.0,1875,133.0,2026-09-03T19:33:43.126372+00:00
2020-01-15,135.0,135.0,134.0,134.0,564,134.0,2026-09-03T19:33:43.126372+00:00
2020-01-16,136.0,142.0,136.0,141.0,740,141.0,2026-09-03T19:33:43.126372+00:00
2020-01-19,143.0,145.0,141.0,141.0,170,141.0,2026-09-03T19:33:43.126372+00:00
2020-01-20,143.0,143.0,143.0,143.0,135,143.0,2026-09-03T19:33:43.126372+00:00
2020-01-21,143.0,143.0,143.0,143.0,50,143.0,2026-09-03T19:33:43.126372+00:00
2020-01-26,145.0,145.0,143.0,143.0,3510,143.0,2026-09-03T19:33:43.126372+00:00
2020-01-27,145.0,147.0,145.0,147.0,20,147.0,2026-09-03T19:33:43.126372+00:00
2020-01-28,154.0,154.0,149.0,149.0,20,149.0,2026-09-03T19:33:43.126372+00:00
2020-01-29,156.0,156.0,153.0,153.0,110,153.0,2026-09-03T19:33:43.126372+00:00
2020-01-30,153.0,153.0,150.0,150.0,1500,150.0,2026-09-03T19:33:43.126372+00:00
2020-02-04,157.0,157.0,157.0,157.0,10,157.0,2026-09-03T19:33:43.126372+00:00
2020-02-06,154.0,154.0,142.0,142.0,2400,142.0,2026-09-03T19:33:43.126372+00:00
2020-02-09,140.0,140.0,129.0,134.0,3077,134.0,2026-09-03T19:33:43.126372+00:00
