date,open,high,low,close,volume,adj_close,fetched_at
2023-04-27,10.0,10.0,9.0,9.0,6800,9.0,2026-09-03T19:36:16.413431+00:00
2023-04-30,8.83,8.83,8.1,8.2,14350,8.2,2026-09-03T19:36:16.413431+00:00
2023-05-02,8.04,8.19,7.61,8.04,7100,8.04,2026-09-03T19:36:16.413431+00:00
2023-05-03,8.0,8.0,7.45,7.61,2450,7.61,2026-09-03T19:36:16.413431+00:00
2023-05-04,7.6,8.37,7.19,8.36,8587,8.36,2026-09-03T19:36:16.413431+00:00
2023-05-07,8.2,8.2,7.88,7.98,2500,7.98,2026-09-03T19:36:16.413431+00:00
2023-05-08,7.87,8.37,7.59,8.37,4450,8.37,2026-09-03T19:36:16.413431+00:00
2023-05-09,8.21,8.21,7.9,8.14,4225,8.14,2026-09-03T19:36:16.413431+00:00
2023-05-10,7.98,8.0,7.68,7.93,3050,7.93,2026-09-03T19:36:16.413431+00:00
2023-05-11,7.78,7.89,7.63,7.89,3400,7.89,2026-09-03T19:36:16.413431+00:00
2023-05-14,7.89,7.89,7.4,7.59,3975,7.59,2026-09-03T19:36:16.413431+00:00
2023-05-15,7.74,8.34,7.74,8.34,6250,8.34,2026-09-03T19:36:16.413431+00:00
2023-05-16,8.49,8.65,7.87,7.87,6345,7.87,2026-09-03T19:36:16.413431+00:00
2023-05-17,7.8,8.29,7.45,8.29,2675,8.29,2026-09-03T19:36:16.413431+00:00
2023-05-18,8.14,8.15,7.99,8.03,12000,8.03,2026-09-03T19:36:16.413431+00:00
2023-05-21,8.18,8.45,8.18,8.19,3800,8.19,2026-09-03T19:36:16.413431+00:00
2023-05-22,8.04,8.18,8.04,8.04,1600,8.04,2026-09-03T19:36:16.413431+00:00
2023-05-23,8.04,8.52,7.9,8.33,4100,8.33,2026-09-03T19:36:16.413431+00:00
2023-05-24,8.17,8.17,8.04,8.14,1200,8.14,2026-09-03T19:36:16.413431+00:00
2023-05-28,7.98,8.29,7.94,8.29,3600,8.29,2026-09-03T19:36:16.413431+00:00
2023-05-30,8.13,8.29,7.99,8.0,10200,8.0,2026-09-03T19:36:16.413431+00:00
2023-05-31,8.0,8.16,7.9,8.16,2350,8.16,2026-09-03T19:36:16.413431+00:00
2023-06-01,8.0,8.17,8.0,8.17,500,8.17,2026-09-03T19:36:16.413431+00:00
2023-06-04,8.2,8.32,8.0,8.32,3825,8.32,2026-09-03T19:36:16.413431+00:00
2023-06-05,8.47,8.79,8.43,8.43,2025,8.43,2026-09-03T19:36:16.413431+00:00
2023-06-06,8.27,8.51,7.8,8.51,5050,8.51,2026-09-03T19:36:16.413431+00:00
2023-06-07,8.35,8.35,8.05,8.21,1000,8.21,2026-09-03T19:36:16.413431+00:00
2023-06-08,8.1,8.15,8.1,8.11,1700,8.11,2026-09-03T19:36:16.413431+00:00
2023-06-11,7.95,8.43,7.67,8.25,5500,8.25,2026-09-03T19:36:16.413431+00:00
2023-06-12,8.2,8.46,7.91,8.0,14950,8.0,2026-09-03T19:36:16.413431+00:00
