date,open,high,low,close,volume,adj_close,fetched_at
2024-06-03,10.0,10.0,9.0,9.0,4980,9.0,2026-09-03T19:36:55.851297+00:00
2024-06-04,8.82,8.82,8.67,8.8,16490,8.8,2026-09-03T19:36:55.851297+00:00
2024-06-05,8.64,8.7,8.64,8.7,4250,8.7,2026-09-03T19:36:55.851297+00:00
2024-06-06,8.53,8.7,8.44,8.53,5681,8.53,2026-09-03T19:36:55.851297+00:00
2024-06-09,8.38,8.5,8.38,8.41,8250,8.41,2026-09-03T19:36:55.851297+00:00
2024-06-10,8.41,8.45,8.25,8.4,1900,8.4,2026-09-03T19:36:55.851297+00:00
2024-06-11,8.25,8.5,8.25,8.5,3750,8.5,2026-09-03T19:36:55.851297+00:00
2024-06-12,8.45,8.84,8.45,8.84,3700,8.84,2026-09-03T19:36:55.851297+00:00
2024-06-13,8.9,8.91,8.54,8.54,1810,8.54,2026-09-03T19:36:55.851297+00:00
2024-06-16,8.37,8.37,8.21,8.25,2400,8.25,2026-09-03T19:36:55.851297+00:00
2024-06-18,8.09,8.25,8.01,8.11,2830,8.11,2026-09-03T19:36:55.851297+00:00
2024-06-19,7.95,8.13,7.95,8.13,1220,8.13,2026-09-03T19:36:55.851297+00:00
2024-06-20,8.13,8.3,7.97,8.3,7760,8.3,2026-09-03T19:36:55.851297+00:00
2024-06-23,8.14,8.24,8.14,8.15,2880,8.15,2026-09-03T19:36:55.851297+00:00
2024-06-24,8.15,8.65,8.15,8.65,3715,8.65,2026-09-03T19:36:55.851297+00:00
2024-06-25,8.75,8.75,8.3,8.3,2500,8.3,2026-09-03T19:36:55.851297+00:00
2024-06-26,8.4,8.56,8.31,8.56,6800,8.56,2026-09-03T19:36:55.851297+00:00
2024-06-27,8.6,8.89,8.55,8.89,11380,8.89,2026-09-03T19:36:55.851297+00:00
2024-06-30,8.72,8.89,8.55,8.55,1950,8.55,2026-09-03T19:36:55.851297+00:00
2024-07-01,8.5,8.5,8.33,8.38,2720,8.38,2026-09-03T19:36:55.851297+00:00
2024-07-02,8.22,8.38,8.22,8.38,5000,8.38,2026-09-03T19:36:55.851297+00:00
2024-07-03,8.4,8.4,8.36,8.36,600,8.36,2026-09-03T19:36:55.851297+00:00
2024-07-04,8.35,8.51,8.35,8.36,2650,8.36,2026-09-03T19:36:55.851297+00:00
2024-07-07,8.36,8.56,8.36,8.5,3450,8.5,2026-09-03T19:36:55.851297+00:00
2024-07-08,8.5,8.5,8.35,8.5,4450,8.5,2026-09-03T19:36:55.851297+00:00
2024-07-09,8.35,8.7,8.35,8.65,10900,8.65,2026-09-03T19:36:55.851297+00:00
