date,open,high,low,close,volume,adj_close,fetched_at
2021-06-27,10.0,10.65,10.0,10.17,47600,10.17,2026-09-03T19:35:34.353551+00:00
2021-06-28,10.1,10.2,10.0,10.1,26700,10.1,2026-09-03T19:35:34.353551+00:00
2021-06-29,10.1,10.15,10.05,10.06,8880,10.06,2026-09-03T19:35:34.353551+00:00
2021-06-30,10.01,10.05,10.01,10.05,9600,10.05,2026-09-03T19:35:34.353551+00:00
2021-07-01,10.03,10.1,9.95,10.0,36300,10.0,2026-09-03T19:35:34.353551+00:00
2021-07-04,10.0,10.04,9.91,9.99,18800,9.99,2026-09-03T19:35:34.353551+00:00
2021-07-05,9.98,10.1,9.98,10.1,127750,10.1,2026-09-03T19:35:34.353551+00:00
2021-07-06,10.0,10.0,9.91,10.0,13700,10.0,2026-09-03T19:35:34.353551+00:00
2021-07-07,10.0,10.0,9.89,10.0,14890,10.0,2026-09-03T19:35:34.353551+00:00
2021-07-08,9.9,10.0,9.9,10.0,5750,10.0,2026-09-03T19:35:34.353551+00:00
2021-07-11,9.9,10.01,9.9,10.01,8320,10.01,2026-09-03T19:35:34.353551+00:00
2021-07-12,10.01,10.05,9.86,9.94,28550,9.94,2026-09-03T19:35:34.353551+00:00
2021-07-13,9.75,10.1,9.75,10.03,13900,10.03,2026-09-03T19:35:34.353551+00:00
2021-07-14,9.83,10.13,9.83,10.03,25300,10.03,2026-09-03T19:35:34.353551+00:00
2021-07-15,10.1,10.81,10.0,10.81,64070,10.81,2026-09-03T19:35:34.353551+00:00
2021-07-18,10.6,10.6,10.04,10.23,58796,10.23,2026-09-03T19:35:34.353551+00:00
2021-07-19,10.03,10.15,10.03,10.15,39660,10.15,2026-09-03T19:35:34.353551+00:00
2021-07-20,10.02,10.8,10.02,10.5,524915,10.5,2026-09-03T19:35:34.353551+00:00
2021-07-22,10.71,11.42,10.7,11.09,1328165,11.09,2026-09-03T19:35:34.353551+00:00
2021-07-25,10.87,11.02,10.65,10.97,189640,10.97,2026-09-03T19:35:34.353551+00:00
2021-07-26,11.0,11.18,10.65,10.99,220287,10.99,2026-09-03T19:35:34.353551+00:00
2021-07-27,10.78,10.9,10.5,10.66,41586,10.66,2026-09-03T19:35:34.353551+00:00
2021-07-28,10.45,11.2,10.45,11.13,93034,11.13,2026-09-03T19:35:34.353551+00:00
2021-07-29,10.91,11.12,10.8,11.09,188908,11.09,2026-09-03T19:35:34.353551+00:00
2021-08-01,11.31,11.53,10.75,10.75,213880,10.75,2026-09-03T19:35:34.353551+00:00
2021-08-02,10.6,10.83,10.6,10.75,44800,10.75,2026-09-03T19:35:34.353551+00:00
2021-08-03,10.54,10.8,10.54,10.61,41600,10.61,2026-09-03T19:35:34.353551+00:00
2021-08-04,10.61,10.66,10.5,10.66,77470,10.66,2026-09-03T19:35:34.353551+00:00
2021-08-05,10.81,10.81,10.5,10.81,22750,10.81,2026-09-03T19:35:34.353551+00:00
2021-08-08,11.02,11.02,10.39,10.79,49565,10.79,2026-09-03T19:35:34.353551+00:00
2021-08-09,10.59,10.78,10.29,10.6,160850,10.6,2026-09-03T19:35:34.353551+00:00
2021-08-10,10.8,10.81,10.5,10.63,128810,10.63,2026-09-03T19:35:34.353551+00:00
2021-08-11,10.5,10.8,10.38,10.65,76250,10.65,2026-09-03T19:35:34.353551+00:00
2021-08-12,10.55,10.85,10.55,10.8,80250,10.8,2026-09-03T19:35:34.353551+00:00
2021-08-15,10.78,10.78,10.5,10.69,37650,10.69,2026-09-03T19:35:34.353551+00:00
2021-08-16,10.5,10.8,10.39,10.47,28600,10.47,2026-09-03T19:35:34.353551+00:00
2021-08-17,10.4,10.5,10.25,10.3,44990,10.3,2026-09-03T19:35:34.353551+00:00
2021-08-18,10.25,10.35,10.16,10.32,48260,10.32,2026-09-03T19:35:34.353551+00:00
2021-08-19,10.2,10.32,10.12,10.3,70500,10.3,2026-09-03T19:35:34.353551+00:00
2021-08-24,10.2,10.25,10.1,10.25,14550,10.25,2026-09-03T19:35:34.353551+00:00
2021-08-25,10.25,10.25,10.04,10.2,53290,10.2,2026-09-03T19:35:34.353551+00:00
2021-08-26,10.2,10.24,10.12,10.15,44160,10.15,2026-09-03T19:35:34.353551+00:00
2021-08-29,10.05,10.35,10.04,10.15,46850,10.15,2026-09-03T19:35:34.353551+00:00
2021-08-31,10.02,10.22,10.02,10.15,62700,10.15,2026-09-03T19:35:34.353551+00:00
2021-09-01,10.02,10.25,10.02,10.1,31400,10.1,2026-09-03T19:35:34.353551+00:00
2021-09-02,10.0,10.29,9.99,10.11,35640,10.11,2026-09-03T19:35:34.353551+00:00
2021-09-05,10.0,10.25,9.82,10.25,40000,10.25,2026-09-03T19:35:34.353551+00:00
2021-09-06,10.1,10.45,10.0,10.45,38530,10.45,2026-09-03T19:35:34.353551+00:00
2021-09-07,10.45,10.45,10.05,10.05,56780,10.05,2026-09-03T19:35:34.353551+00:00
2021-09-08,10.05,10.06,10.05,10.05,3400,10.05,2026-09-03T19:35:34.353551+00:00
2021-09-09,10.0,10.05,9.9,9.96,21640,9.96,2026-09-03T19:35:34.353551+00:00
2021-09-12,10.0,10.01,9.77,9.89,21448,9.89,2026-09-03T19:35:34.353551+00:00
2021-09-13,9.9,10.02,9.89,9.89,29937,9.89,2026-09-03T19:35:34.353551+00:00
2021-09-14,9.81,10.05,9.81,10.0,10290,10.0,2026-09-03T19:35:34.353551+00:00
2021-09-15,9.81,10.0,9.81,10.0,13850,10.0,2026-09-03T19:35:34.353551+00:00
2021-09-16,9.81,9.9,9.81,9.9,71700,9.9,2026-09-03T19:35:34.353551+00:00
2021-09-20,9.9,9.9,9.72,9.75,18670,9.75,2026-09-03T19:35:34.353551+00:00
2021-09-21,9.57,9.9,9.57,9.71,28360,9.71,2026-09-03T19:35:34.353551+00:00
2021-09-22,9.9,10.0,9.71,9.89,35650,9.89,2026-09-03T19:35:34.353551+00:00
2021-09-23,9.89,10.05,9.89,9.9,14050,9.9,2026-09-03T19:35:34.353551+00:00
2021-09-26,9.83,10.09,9.7,9.71,4190,9.71,2026-09-03T19:35:34.353551+00:00
2021-09-27,9.58,9.71,9.5,9.6,18480,9.6,2026-09-03T19:35:34.353551+00:00
2021-09-28,9.41,9.6,9.41,9.5,4300,9.5,2026-09-03T19:35:34.353551+00:00
2021-09-29,9.39,9.5,9.3,9.41,15350,9.41,2026-09-03T19:35:34.353551+00:00
2021-09-30,9.59,9.6,9.27,9.3,52010,9.3,2026-09-03T19:35:34.353551+00:00
2021-10-03,9.12,9.51,9.12,9.25,11000,9.25,2026-09-03T19:35:34.353551+00:00
2021-10-04,9.1,9.24,9.1,9.2,5000,9.2,2026-09-03T19:35:34.353551+00:00
2021-10-05,9.02,9.56,9.02,9.56,14640,9.56,2026-09-03T19:35:34.353551+00:00
2021-10-06,9.69,9.74,9.5,9.5,27235,9.5,2026-09-03T19:35:34.353551+00:00
2021-10-10,9.39,9.42,9.35,9.35,25765,9.35,2026-09-03T19:35:34.353551+00:00
2021-10-11,9.4,9.72,9.4,9.5,40175,9.5,2026-09-03T19:35:34.353551+00:00
2021-10-17,9.5,9.55,9.11,9.54,22300,9.54,2026-09-03T19:35:34.353551+00:00
2021-10-18,9.4,9.59,9.3,9.41,22800,9.41,2026-09-03T19:35:34.353551+00:00
2021-10-19,9.27,9.56,9.2,9.56,30096,9.56,2026-09-03T19:35:34.353551+00:00
2021-10-20,9.6,9.75,9.5,9.75,20695,9.75,2026-09-03T19:35:34.353551+00:00
2021-10-21,9.6,9.8,9.6,9.8,7500,9.8,2026-09-03T19:35:34.353551+00:00
2021-10-24,9.85,9.85,9.61,9.62,6413,9.62,2026-09-03T19:35:34.353551+00:00
2021-10-25,9.45,9.76,9.29,9.76,5012,9.76,2026-09-03T19:35:34.353551+00:00
2021-10-26,9.76,9.8,9.7,9.76,12400,9.76,2026-09-03T19:35:34.353551+00:00
2021-10-27,9.6,9.76,9.42,9.68,12020,9.68,2026-09-03T19:35:34.353551+00:00
2021-10-28,9.49,9.83,9.49,9.5,36400,9.5,2026-09-03T19:35:34.353551+00:00
2021-10-31,9.5,9.6,9.34,9.6,4200,9.6,2026-09-03T19:35:34.353551+00:00
2021-11-01,9.6,9.79,9.55,9.79,17100,9.79,2026-09-03T19:35:34.353551+00:00
2021-11-02,9.6,9.89,9.6,9.7,8540,9.7,2026-09-03T19:35:34.353551+00:00
2021-11-03,9.51,10.08,9.51,9.9,20070,9.9,2026-09-03T19:35:34.353551+00:00
2021-11-08,9.71,9.89,9.36,9.72,26450,9.72,2026-09-03T19:35:34.353551+00:00
2021-11-09,9.55,10.18,9.55,9.61,12700,9.61,2026-09-03T19:35:34.353551+00:00
2021-11-11,9.8,9.8,9.59,9.78,28950,9.78,2026-09-03T19:35:34.353551+00:00
2021-11-14,9.6,9.7,9.42,9.61,5500,9.61,2026-09-03T19:35:34.353551+00:00
2021-11-15,9.6,9.7,9.3,9.5,40230,9.5,2026-09-03T19:35:34.353551+00:00
2021-11-16,9.5,9.7,9.4,9.55,22769,9.55,2026-09-03T19:35:34.353551+00:00
2021-11-17,9.55,9.74,9.55,9.55,5161,9.55,2026-09-03T19:35:34.353551+00:00
2021-11-18,9.5,9.69,9.36,9.56,6070,9.56,2026-09-03T19:35:34.353551+00:00
2021-11-21,9.56,9.75,9.42,9.46,4400,9.46,2026-09-03T19:35:34.353551+00:00
2021-11-22,9.4,9.58,9.4,9.58,6820,9.58,2026-09-03T19:35:34.353551+00:00
2021-11-23,9.39,9.46,9.39,9.46,3420,9.46,2026-09-03T19:35:34.353551+00:00
2021-11-24,9.31,9.53,9.31,9.37,11050,9.37,2026-09-03T19:35:34.353551+00:00
2021-11-25,9.37,9.59,9.31,9.5,12100,9.5,2026-09-03T19:35:34.353551+00:00
2021-11-28,9.5,9.5,9.31,9.33,9665,9.33,2026-09-03T19:35:34.353551+00:00
2021-11-29,9.51,9.51,9.31,9.37,9880,9.37,2026-09-03T19:35:34.353551+00:00
2021-11-30,9.3,9.35,9.2,9.35,28450,9.35,2026-09-03T19:35:34.353551+00:00
2021-12-01,9.17,9.44,9.17,9.3,4300,9.3,2026-09-03T19:35:34.353551+00:00
2021-12-02,9.2,9.48,9.2,9.26,32100,9.26,2026-09-03T19:35:34.353551+00:00
2021-12-05,9.09,9.2,8.72,8.72,39300,8.72,2026-09-03T19:35:34.353551+00:00
2021-12-06,8.56,9.2,8.56,9.1,9833,9.1,2026-09-03T19:35:34.353551+00:00
2021-12-07,9.1,9.2,9.02,9.11,9860,9.11,2026-09-03T19:35:34.353551+00:00
2021-12-08,8.96,9.05,8.96,8.98,21140,8.98,2026-09-03T19:35:34.353551+00:00
2021-12-09,8.83,9.03,8.83,9.03,12450,9.03,2026-09-03T19:35:34.353551+00:00
2021-12-12,9.0,9.28,9.0,9.0,24100,9.0,2026-09-03T19:35:34.353551+00:00
2021-12-13,9.0,9.0,8.67,8.8,13265,8.8,2026-09-03T19:35:34.353551+00:00
2021-12-14,8.8,8.97,8.8,8.97,9500,8.97,2026-09-03T19:35:34.353551+00:00
2021-12-15,9.0,9.0,8.82,8.9,5070,8.9,2026-09-03T19:35:34.353551+00:00
2021-12-16,9.06,9.06,8.74,8.82,2290,8.82,2026-09-03T19:35:34.353551+00:00
2021-12-20,8.73,8.9,8.73,8.86,10090,8.86,2026-09-03T19:35:34.353551+00:00
2021-12-21,8.86,9.0,8.86,8.88,4070,8.88,2026-09-03T19:35:34.353551+00:00
2021-12-22,8.74,9.59,8.74,9.45,23142,9.45,2026-09-03T19:35:34.353551+00:00
2021-12-23,9.27,9.28,9.11,9.25,4800,9.25,2026-09-03T19:35:34.353551+00:00
2021-12-26,9.11,9.25,8.95,9.1,6900,9.1,2026-09-03T19:35:34.353551+00:00
2021-12-27,8.95,9.2,8.95,9.1,47965,9.1,2026-09-03T19:35:34.353551+00:00
2021-12-28,8.98,9.1,8.93,9.0,11690,9.0,2026-09-03T19:35:34.353551+00:00
2021-12-29,8.85,9.07,8.84,9.0,2800,9.0,2026-09-03T19:35:34.353551+00:00
2022-01-02,8.82,9.1,8.82,8.91,5450,8.91,2026-09-03T19:35:34.353551+00:00
2022-01-03,8.91,9.2,8.91,9.08,3700,9.08,2026-09-03T19:35:34.353551+00:00
2022-01-04,8.94,9.2,8.94,9.2,13858,9.2,2026-09-03T19:35:34.353551+00:00
2022-01-05,9.1,9.17,9.0,9.17,11496,9.17,2026-09-03T19:35:34.353551+00:00
2022-01-06,8.99,9.36,8.91,9.36,28000,9.36,2026-09-03T19:35:34.353551+00:00
2022-01-09,9.18,9.43,9.18,9.35,30600,9.35,2026-09-03T19:35:34.353551+00:00
2022-01-10,9.51,9.7,9.02,9.2,41100,9.2,2026-09-03T19:35:34.353551+00:00
2022-01-11,9.19,9.3,9.15,9.15,5800,9.15,2026-09-03T19:35:34.353551+00:00
2022-01-12,9.11,9.53,9.11,9.33,28552,9.33,2026-09-03T19:35:34.353551+00:00
2022-01-13,9.3,9.39,9.16,9.32,36450,9.32,2026-09-03T19:35:34.353551+00:00
2022-01-16,9.18,9.63,9.05,9.55,27170,9.55,2026-09-03T19:35:34.353551+00:00
2022-01-17,9.4,9.74,9.25,9.6,40091,9.6,2026-09-03T19:35:34.353551+00:00
2022-01-18,9.49,9.6,9.3,9.46,16370,9.46,2026-09-03T19:35:34.353551+00:00
2022-01-19,9.49,10.19,9.49,9.69,67850,9.69,2026-09-03T19:35:34.353551+00:00
2022-01-20,9.55,9.8,9.42,9.8,9550,9.8,2026-09-03T19:35:34.353551+00:00
2022-01-23,9.61,9.64,9.42,9.64,28400,9.64,2026-09-03T19:35:34.353551+00:00
2022-01-24,9.46,9.56,9.31,9.56,16920,9.56,2026-09-03T19:35:34.353551+00:00
2022-01-25,9.37,9.63,9.37,9.63,24745,9.63,2026-09-03T19:35:34.353551+00:00
2022-01-26,9.45,9.45,9.31,9.31,15880,9.31,2026-09-03T19:35:34.353551+00:00
2022-01-27,9.14,9.61,9.14,9.58,33260,9.58,2026-09-03T19:35:34.353551+00:00
2022-01-30,9.4,9.77,9.32,9.45,38710,9.45,2026-09-03T19:35:34.353551+00:00
2022-01-31,9.28,9.37,9.15,9.3,80540,9.3,2026-09-03T19:35:34.353551+00:00
2022-02-01,9.12,9.56,9.12,9.37,12100,9.37,2026-09-03T19:35:34.353551+00:00
2022-02-03,9.37,9.42,9.19,9.42,23860,9.42,2026-09-03T19:35:34.353551+00:00
2022-02-06,9.24,9.42,9.06,9.42,21700,9.42,2026-09-03T19:35:34.353551+00:00
2022-02-07,9.25,9.5,9.12,9.45,9107,9.45,2026-09-03T19:35:34.353551+00:00
2022-02-08,9.27,9.39,9.09,9.39,28020,9.39,2026-09-03T19:35:34.353551+00:00
2022-02-09,9.21,9.38,9.2,9.38,5960,9.38,2026-09-03T19:35:34.353551+00:00
2022-02-10,9.2,9.56,9.2,9.3,8000,9.3,2026-09-03T19:35:34.353551+00:00
2022-02-13,9.12,9.48,8.95,9.48,62100,9.48,2026-09-03T19:35:34.353551+00:00
2022-02-14,9.3,9.3,9.0,9.28,35964,9.28,2026-09-03T19:35:34.353551+00:00
2022-02-15,9.15,9.16,9.15,9.15,6000,9.15,2026-09-03T19:35:34.353551+00:00
2022-02-16,9.02,9.21,9.01,9.21,3670,9.21,2026-09-03T19:35:34.353551+00:00
2022-02-17,9.04,9.24,9.04,9.21,9440,9.21,2026-09-03T19:35:34.353551+00:00
2022-02-20,9.03,9.2,9.02,9.04,7330,9.04,2026-09-03T19:35:34.353551+00:00
2022-02-21,8.99,9.04,8.92,9.0,10700,9.0,2026-09-03T19:35:34.353551+00:00
2022-02-22,8.85,9.1,8.85,9.04,5050,9.04,2026-09-03T19:35:34.353551+00:00
2022-02-23,8.88,9.2,8.88,9.07,1510,9.07,2026-09-03T19:35:34.353551+00:00
2022-02-24,8.89,9.25,8.89,9.23,12605,9.23,2026-09-03T19:35:34.353551+00:00
2022-02-27,9.1,9.2,9.06,9.2,13920,9.2,2026-09-03T19:35:34.353551+00:00
2022-02-28,9.2,9.2,9.02,9.15,10000,9.15,2026-09-03T19:35:34.353551+00:00
2022-03-02,9.0,9.0,8.82,8.89,34950,8.89,2026-09-03T19:35:34.353551+00:00
2022-03-06,8.73,9.13,8.73,9.13,5700,9.13,2026-09-03T19:35:34.353551+00:00
2022-03-07,9.0,9.0,8.82,8.92,1500,8.92,2026-09-03T19:35:34.353551+00:00
2022-03-09,8.8,8.97,8.8,8.9,1400,8.9,2026-09-03T19:35:34.353551+00:00
2022-03-10,8.73,9.03,8.56,9.03,4950,9.03,2026-09-03T19:35:34.353551+00:00
2022-03-13,8.85,9.37,8.85,9.02,12140,9.02,2026-09-03T19:35:34.353551+00:00
2022-03-14,9.1,9.28,8.92,9.28,4100,9.28,2026-09-03T19:35:34.353551+00:00
2022-03-15,9.28,9.28,8.8,9.1,10655,9.1,2026-09-03T19:35:34.353551+00:00
2022-03-16,8.94,9.18,8.94,9.18,17100,9.18,2026-09-03T19:35:34.353551+00:00
2022-03-20,9.0,9.18,8.9,9.18,6200,9.18,2026-09-03T19:35:34.353551+00:00
2022-03-21,9.01,9.1,9.0,9.0,4600,9.0,2026-09-03T19:35:34.353551+00:00
2022-03-22,9.0,9.15,8.97,9.05,8900,9.05,2026-09-03T19:35:34.353551+00:00
2022-03-23,9.0,9.12,8.89,9.05,10800,9.05,2026-09-03T19:35:34.353551+00:00
2022-03-24,9.05,9.49,8.91,9.49,14610,9.49,2026-09-03T19:35:34.353551+00:00
2022-03-27,9.31,9.31,8.82,9.3,36625,9.3,2026-09-03T19:35:34.353551+00:00
2022-03-28,9.12,9.3,9.01,9.3,4100,9.3,2026-09-03T19:35:34.353551+00:00
2022-03-29,9.3,9.3,8.86,8.86,23500,8.86,2026-09-03T19:35:34.353551+00:00
2022-03-30,8.86,9.08,8.85,8.95,5950,8.95,2026-09-03T19:35:34.353551+00:00
2022-03-31,8.91,8.91,8.78,8.83,2450,8.83,2026-09-03T19:35:34.353551+00:00
2022-04-03,8.83,9.14,8.83,9.05,24280,9.05,2026-09-03T19:35:34.353551+00:00
2022-04-04,9.23,9.23,9.05,9.12,18450,9.12,2026-09-03T19:35:34.353551+00:00
2022-04-05,8.96,9.0,8.77,8.79,43200,8.79,2026-09-03T19:35:34.353551+00:00
2022-04-06,8.75,8.9,8.45,8.9,6100,8.9,2026-09-03T19:35:34.353551+00:00
2022-04-07,8.73,9.06,8.7,8.87,54993,8.87,2026-09-03T19:35:34.353551+00:00
2022-04-11,8.85,9.05,8.65,8.87,17830,8.87,2026-09-03T19:35:34.353551+00:00
2022-04-12,8.7,9.04,8.55,9.04,20500,9.04,2026-09-03T19:35:34.353551+00:00
2022-04-13,8.9,9.14,8.76,9.1,15739,9.1,2026-09-03T19:35:34.353551+00:00
2022-04-17,8.92,9.0,8.66,8.82,58889,8.82,2026-09-03T19:35:34.353551+00:00
2022-04-18,8.65,8.66,8.48,8.48,19750,8.48,2026-09-03T19:35:34.353551+00:00
2022-04-19,8.48,8.84,8.48,8.67,3130,8.67,2026-09-03T19:35:34.353551+00:00
2022-04-20,8.56,8.89,8.51,8.6,5900,8.6,2026-09-03T19:35:34.353551+00:00
2022-04-21,8.43,8.5,8.3,8.4,7450,8.4,2026-09-03T19:35:34.353551+00:00
2022-04-24,8.4,8.73,8.4,8.73,5500,8.73,2026-09-03T19:35:34.353551+00:00
2022-04-25,8.57,8.8,8.51,8.7,8200,8.7,2026-09-03T19:35:34.353551+00:00
2022-04-26,8.8,9.14,8.8,9.14,25400,9.14,2026-09-03T19:35:34.353551+00:00
2022-04-27,9.0,9.12,8.83,9.0,11560,9.0,2026-09-03T19:35:34.353551+00:00
2022-04-28,8.82,8.82,8.8,8.8,5600,8.8,2026-09-03T19:35:34.353551+00:00
2022-05-02,8.8,8.8,8.63,8.63,800,8.63,2026-09-03T19:35:34.353551+00:00
2022-05-04,8.5,8.67,8.5,8.6,3650,8.6,2026-09-03T19:35:34.353551+00:00
2022-05-05,8.5,8.51,8.33,8.5,17151,8.5,2026-09-03T19:35:34.353551+00:00
2022-05-08,8.65,8.65,8.5,8.64,3100,8.64,2026-09-03T19:35:34.353551+00:00
2022-05-09,8.5,8.98,8.5,8.93,11150,8.93,2026-09-03T19:35:34.353551+00:00
2022-05-10,8.76,8.76,8.5,8.5,19600,8.5,2026-09-03T19:35:34.353551+00:00
2022-05-11,8.5,8.52,8.49,8.52,1400,8.52,2026-09-03T19:35:34.353551+00:00
2022-05-12,8.5,8.65,8.4,8.42,13275,8.42,2026-09-03T19:35:34.353551+00:00
2022-05-17,8.4,8.56,8.36,8.56,4050,8.56,2026-09-03T19:35:34.353551+00:00
2022-05-18,8.5,8.63,8.5,8.5,3000,8.5,2026-09-03T19:35:34.353551+00:00
2022-05-19,8.4,8.56,8.4,8.46,2900,8.46,2026-09-03T19:35:34.353551+00:00
2022-05-20,8.4,8.5,8.35,8.35,25350,8.35,2026-09-03T19:35:34.353551+00:00
2022-05-23,8.5,8.5,8.25,8.46,1500,8.46,2026-09-03T19:35:34.353551+00:00
2022-05-24,8.6,8.6,8.5,8.5,2100,8.5,2026-09-03T19:35:34.353551+00:00
2022-05-25,8.45,8.51,8.45,8.5,9200,8.5,2026-09-03T19:35:34.353551+00:00
2022-05-26,8.6,8.84,8.5,8.8,5200,8.8,2026-09-03T19:35:34.353551+00:00
2022-05-27,8.63,8.67,8.47,8.67,1960,8.67,2026-09-03T19:35:34.353551+00:00
2022-05-30,8.5,8.5,8.2,8.4,3280,8.4,2026-09-03T19:35:34.353551+00:00
2022-05-31,8.3,8.3,8.28,8.28,4850,8.28,2026-09-03T19:35:34.353551+00:00
2022-06-01,8.28,8.29,8.24,8.28,6700,8.28,2026-09-03T19:35:34.353551+00:00
2022-06-02,8.28,8.35,8.16,8.3,6600,8.3,2026-09-03T19:35:34.353551+00:00
2022-06-03,8.15,8.33,8.15,8.26,3950,8.26,2026-09-03T19:35:34.353551+00:00
2022-06-06,8.3,8.3,8.3,8.3,570,8.3,2026-09-03T19:35:34.353551+00:00
2022-06-07,8.2,8.36,8.2,8.2,1890,8.2,2026-09-03T19:35:34.353551+00:00
