date,open,high,low,close,volume,adj_close,fetched_at
2013-07-29,700.0,714.0,700.0,713.0,12604,713.0,2026-09-03T19:33:18.066165+00:00
2013-07-30,713.0,739.0,710.0,733.0,11888,733.0,2026-09-03T19:33:18.066165+00:00
2013-07-31,733.0,743.0,720.0,732.0,16045,732.0,2026-09-03T19:33:18.066165+00:00
2013-08-01,732.0,746.0,722.0,726.0,16832,726.0,2026-09-03T19:33:18.066165+00:00
2013-08-04,726.0,730.0,710.0,710.0,13593,710.0,2026-09-03T19:33:18.066165+00:00
2013-08-05,710.0,710.0,690.0,702.0,10674,702.0,2026-09-03T19:33:18.066165+00:00
2013-08-06,702.0,707.0,662.0,700.0,10700,700.0,2026-09-03T19:33:18.066165+00:00
2013-08-07,700.0,707.0,686.0,690.0,9805,690.0,2026-09-03T19:33:18.066165+00:00
2013-08-08,690.0,690.0,670.0,670.0,21368,670.0,2026-09-03T19:33:18.066165+00:00
2013-08-11,670.0,670.0,660.0,663.0,6558,663.0,2026-09-03T19:33:18.066165+00:00
2013-08-12,663.0,664.0,655.0,657.0,5132,657.0,2026-09-03T19:33:18.066165+00:00
2013-08-13,657.0,665.0,650.0,658.0,4580,658.0,2026-09-03T19:33:18.066165+00:00
2013-08-14,658.0,655.0,628.0,628.0,10225,628.0,2026-09-03T19:33:18.066165+00:00
2013-08-15,628.0,628.0,604.0,614.0,10293,614.0,2026-09-03T19:33:18.066165+00:00
2013-08-18,614.0,642.0,614.0,638.0,8933,638.0,2026-09-03T19:33:18.066165+00:00
2013-08-19,638.0,649.0,632.0,640.0,4023,640.0,2026-09-03T19:33:18.066165+00:00
2013-08-20,640.0,652.0,635.0,647.0,11568,647.0,2026-09-03T19:33:18.066165+00:00
2013-08-25,647.0,647.0,638.0,644.0,6208,644.0,2026-09-03T19:33:18.066165+00:00
2013-08-26,644.0,645.0,628.0,631.0,6237,631.0,2026-09-03T19:33:18.066165+00:00
2013-08-27,631.0,650.0,626.0,640.0,11433,640.0,2026-09-03T19:33:18.066165+00:00
2013-08-29,640.0,645.0,631.0,638.0,23136,638.0,2026-09-03T19:33:18.066165+00:00
2013-09-01,638.0,638.0,630.0,635.0,7678,635.0,2026-09-03T19:33:18.066165+00:00
2013-09-02,635.0,641.0,626.0,635.0,10758,635.0,2026-09-03T19:33:18.066165+00:00
2013-09-03,635.0,638.0,629.0,630.0,20263,630.0,2026-09-03T19:33:18.066165+00:00
2013-09-04,630.0,642.0,622.0,625.0,3978,625.0,2026-09-03T19:33:18.066165+00:00
2013-09-05,625.0,625.0,621.0,625.0,4271,625.0,2026-09-03T19:33:18.066165+00:00
2013-09-08,625.0,634.0,620.0,621.0,21774,621.0,2026-09-03T19:33:18.066165+00:00
2013-09-09,621.0,634.0,620.0,633.0,8818,633.0,2026-09-03T19:33:18.066165+00:00
2013-09-10,633.0,638.0,620.0,620.0,5479,620.0,2026-09-03T19:33:18.066165+00:00
2013-09-11,620.0,625.0,616.0,625.0,8212,625.0,2026-09-03T19:33:18.066165+00:00
