date,open,high,low,close,volume,adj_close,fetched_at
2019-11-11,10.0,10.3,10.0,10.3,50000,10.3,2026-09-03T19:35:12.866396+00:00
2019-11-17,10.1,10.1,10.1,10.1,200,10.1,2026-09-03T19:35:12.866396+00:00
2019-11-28,9.9,9.9,9.9,9.9,2100,9.9,2026-09-03T19:35:12.866396+00:00
2019-12-09,9.71,9.71,9.71,9.71,500,9.71,2026-09-03T19:35:12.866396+00:00
2019-12-10,9.52,9.52,9.52,9.52,100,9.52,2026-09-03T19:35:12.866396+00:00
2019-12-15,9.5,9.5,9.5,9.5,500,9.5,2026-09-03T19:35:12.866396+00:00
2019-12-16,9.4,9.4,9.4,9.4,1000,9.4,2026-09-03T19:35:12.866396+00:00
2019-12-19,9.35,9.35,9.35,9.35,100,9.35,2026-09-03T19:35:12.866396+00:00
2019-12-22,9.2,9.2,9.2,9.2,200,9.2,2026-09-03T19:35:12.866396+00:00
2019-12-24,9.02,9.02,9.02,9.02,100,9.02,2026-09-03T19:35:12.866396+00:00
2019-12-25,8.9,8.9,8.9,8.9,100,8.9,2026-09-03T19:35:12.866396+00:00
2019-12-26,8.85,8.85,8.85,8.85,250,8.85,2026-09-03T19:35:12.866396+00:00
2019-12-29,8.84,8.84,8.84,8.84,500,8.84,2026-09-03T19:35:12.866396+00:00
2019-12-31,8.69,9.01,8.69,9.01,1300,9.01,2026-09-03T19:35:12.866396+00:00
2020-01-08,9.0,9.0,9.0,9.0,200,9.0,2026-09-03T19:35:12.866396+00:00
2020-01-14,8.85,8.85,8.85,8.85,2000,8.85,2026-09-03T19:35:12.866396+00:00
2020-01-16,9.02,9.02,9.0,9.0,500,9.0,2026-09-03T19:35:12.866396+00:00
2020-01-20,9.03,9.21,9.03,9.21,150500,9.21,2026-09-03T19:35:12.866396+00:00
2020-01-21,9.1,9.1,9.1,9.1,200,9.1,2026-09-03T19:35:12.866396+00:00
2020-01-30,9.0,9.0,9.0,9.0,1000,9.0,2026-09-03T19:35:12.866396+00:00
2020-02-02,8.94,9.1,8.94,9.1,1100,9.1,2026-09-03T19:35:12.866396+00:00
2020-02-03,9.2,9.2,9.2,9.2,2500,9.2,2026-09-03T19:35:12.866396+00:00
2020-02-05,9.05,9.05,9.05,9.05,1100,9.05,2026-09-03T19:35:12.866396+00:00
2020-02-06,8.92,9.0,8.92,8.93,1200,8.93,2026-09-03T19:35:12.866396+00:00
2020-02-09,9.0,9.0,9.0,9.0,2000,9.0,2026-09-03T19:35:12.866396+00:00
2020-02-10,9.18,9.18,9.18,9.18,400,9.18,2026-09-03T19:35:12.866396+00:00
2020-02-11,9.2,9.2,9.05,9.05,900,9.05,2026-09-03T19:35:12.866396+00:00
2020-02-13,9.06,9.06,9.06,9.06,200,9.06,2026-09-03T19:35:12.866396+00:00
2020-02-16,9.24,9.24,9.24,9.24,5000,9.24,2026-09-03T19:35:12.866396+00:00
2020-02-17,9.27,9.27,9.27,9.27,10000,9.27,2026-09-03T19:35:12.866396+00:00
2020-02-18,9.17,9.17,9.17,9.17,1100,9.17,2026-09-03T19:35:12.866396+00:00
2020-02-19,8.99,9.16,8.99,9.16,2400,9.16,2026-09-03T19:35:12.866396+00:00
2020-02-20,9.16,9.2,9.16,9.2,2700,9.2,2026-09-03T19:35:12.866396+00:00
2020-02-23,9.2,9.2,9.15,9.15,600,9.15,2026-09-03T19:35:12.866396+00:00
2020-02-24,9.01,9.19,9.01,9.19,20500,9.19,2026-09-03T19:35:12.866396+00:00
2020-02-25,9.05,9.25,9.05,9.25,700,9.25,2026-09-03T19:35:12.866396+00:00
2020-02-26,9.43,9.43,9.35,9.35,4400,9.35,2026-09-03T19:35:12.866396+00:00
2020-02-27,9.2,9.2,9.2,9.2,1000,9.2,2026-09-03T19:35:12.866396+00:00
2020-03-01,9.3,9.3,9.3,9.3,550,9.3,2026-09-03T19:35:12.866396+00:00
2020-03-02,9.48,9.48,9.48,9.48,500,9.48,2026-09-03T19:35:12.866396+00:00
2020-03-03,9.4,9.66,9.4,9.66,10400,9.66,2026-09-03T19:35:12.866396+00:00
2020-03-04,9.47,9.47,9.4,9.4,4300,9.4,2026-09-03T19:35:12.866396+00:00
2020-03-11,9.22,9.22,9.04,9.14,1000,9.14,2026-09-03T19:35:12.866396+00:00
2020-03-12,9.01,9.01,9.01,9.01,100,9.01,2026-09-03T19:35:12.866396+00:00
2020-03-18,9.0,9.0,9.0,9.0,100,9.0,2026-09-03T19:35:12.866396+00:00
2020-07-05,8.82,8.82,8.82,8.82,100,8.82,2026-09-03T19:35:12.866396+00:00
2020-07-06,8.65,8.65,8.65,8.65,100,8.65,2026-09-03T19:35:12.866396+00:00
2020-07-07,8.5,8.6,8.5,8.6,3800,8.6,2026-09-03T19:35:12.866396+00:00
2020-07-08,8.6,8.6,8.6,8.6,500,8.6,2026-09-03T19:35:12.866396+00:00
2020-07-09,8.5,8.52,8.5,8.52,1750,8.52,2026-09-03T19:35:12.866396+00:00
2020-07-12,8.5,8.67,8.5,8.67,3700,8.67,2026-09-03T19:35:12.866396+00:00
2020-07-13,8.59,8.8,8.59,8.8,500,8.8,2026-09-03T19:35:12.866396+00:00
2020-07-14,8.97,9.68,8.97,9.68,4750,9.68,2026-09-03T19:35:12.866396+00:00
2020-07-15,9.68,10.38,9.68,10.38,4800,10.38,2026-09-03T19:35:12.866396+00:00
2020-07-21,10.18,10.18,10.18,10.18,1300,10.18,2026-09-03T19:35:12.866396+00:00
2020-07-23,9.98,9.98,9.85,9.85,10100,9.85,2026-09-03T19:35:12.866396+00:00
2020-07-26,9.85,9.85,9.66,9.7,9000,9.7,2026-09-03T19:35:12.866396+00:00
2020-07-27,9.51,9.6,9.51,9.59,2650,9.59,2026-09-03T19:35:12.866396+00:00
2020-07-28,9.78,9.97,10.0,10.0,39400,10.0,2026-09-03T19:35:12.866396+00:00
2020-07-29,9.81,9.81,9.81,9.81,1000,9.81,2026-09-03T19:35:12.866396+00:00
2020-07-30,9.99,9.99,10.0,9.8,7550,9.8,2026-09-03T19:35:12.866396+00:00
2020-08-02,9.61,9.61,9.43,9.46,15750,9.46,2026-09-03T19:35:12.866396+00:00
2020-08-03,9.64,9.64,9.28,9.3,3800,9.3,2026-09-03T19:35:12.866396+00:00
2020-08-05,9.13,9.31,9.13,9.31,11300,9.31,2026-09-03T19:35:12.866396+00:00
2020-08-06,9.16,9.2,9.16,9.2,1400,9.2,2026-09-03T19:35:12.866396+00:00
2020-08-09,9.38,9.42,9.38,9.42,3700,9.42,2026-09-03T19:35:12.866396+00:00
2020-08-10,9.5,9.6,9.5,9.6,2000,9.6,2026-09-03T19:35:12.866396+00:00
2020-08-11,9.79,9.9,9.79,9.9,12500,9.9,2026-09-03T19:35:12.866396+00:00
2020-08-12,9.73,9.73,9.72,9.72,1400,9.72,2026-09-03T19:35:12.866396+00:00
2020-08-13,9.59,9.72,9.59,9.64,6000,9.64,2026-09-03T19:35:12.866396+00:00
2020-08-16,9.65,9.65,9.65,9.65,1200,9.65,2026-09-03T19:35:12.866396+00:00
2020-08-18,9.6,9.61,9.6,9.6,4600,9.6,2026-09-03T19:35:12.866396+00:00
2020-08-19,9.42,9.6,9.42,9.6,1400,9.6,2026-09-03T19:35:12.866396+00:00
2020-08-20,9.5,9.5,9.48,9.5,700,9.5,2026-09-03T19:35:12.866396+00:00
2020-08-23,9.44,9.5,9.44,9.45,6000,9.45,2026-09-03T19:35:12.866396+00:00
2020-08-24,9.5,9.55,9.5,9.5,12600,9.5,2026-09-03T19:35:12.866396+00:00
2020-08-25,9.4,9.45,9.4,9.45,15100,9.45,2026-09-03T19:35:12.866396+00:00
2020-08-26,9.46,9.49,9.46,9.49,700,9.49,2026-09-03T19:35:12.866396+00:00
2020-08-27,9.45,9.5,9.45,9.5,400,9.5,2026-09-03T19:35:12.866396+00:00
2020-08-30,9.44,9.46,9.44,9.46,300,9.46,2026-09-03T19:35:12.866396+00:00
2020-08-31,9.64,9.64,9.6,9.6,200,9.6,2026-09-03T19:35:12.866396+00:00
2020-09-02,9.79,10.0,9.79,10.0,4800,10.0,2026-09-03T19:35:12.866396+00:00
2020-09-03,10.0,10.05,10.0,10.01,25850,10.01,2026-09-03T19:35:12.866396+00:00
2020-09-06,10.02,10.05,10.02,10.03,4800,10.03,2026-09-03T19:35:12.866396+00:00
2020-09-07,9.84,10.0,9.84,9.96,2800,9.96,2026-09-03T19:35:12.866396+00:00
2020-09-08,9.81,10.0,9.81,10.0,900,10.0,2026-09-03T19:35:12.866396+00:00
2020-09-09,10.0,10.04,10.0,10.04,69750,10.04,2026-09-03T19:35:12.866396+00:00
2020-09-10,9.84,10.03,9.83,9.83,5650,9.83,2026-09-03T19:35:12.866396+00:00
2020-09-16,9.64,9.64,9.45,9.45,600,9.45,2026-09-03T19:35:12.866396+00:00
2020-09-17,9.27,9.27,9.09,9.1,6350,9.1,2026-09-03T19:35:12.866396+00:00
2020-09-20,9.1,9.1,9.1,9.1,5100,9.1,2026-09-03T19:35:12.866396+00:00
2020-09-21,8.99,9.0,8.93,8.95,3000,8.95,2026-09-03T19:35:12.866396+00:00
2020-09-22,8.95,8.95,8.8,8.82,3800,8.82,2026-09-03T19:35:12.866396+00:00
2020-09-23,8.99,8.99,8.82,8.84,2500,8.84,2026-09-03T19:35:12.866396+00:00
2020-09-24,8.7,8.99,8.7,8.99,18000,8.99,2026-09-03T19:35:12.866396+00:00
2020-09-27,8.82,9.0,8.82,9.0,2800,9.0,2026-09-03T19:35:12.866396+00:00
2020-09-28,8.82,8.92,8.72,8.92,1950,8.92,2026-09-03T19:35:12.866396+00:00
2020-09-29,9.0,9.0,8.9,8.9,1100,8.9,2026-09-03T19:35:12.866396+00:00
2020-09-30,8.75,8.92,8.75,8.8,700,8.8,2026-09-03T19:35:12.866396+00:00
2020-10-01,8.8,8.9,8.78,8.9,3500,8.9,2026-09-03T19:35:12.866396+00:00
2020-10-04,8.75,8.91,8.75,8.91,1900,8.91,2026-09-03T19:35:12.866396+00:00
2020-10-05,8.76,8.97,8.76,8.97,2300,8.97,2026-09-03T19:35:12.866396+00:00
2020-10-06,8.81,8.86,8.81,8.85,1700,8.85,2026-09-03T19:35:12.866396+00:00
2020-10-07,8.89,9.0,8.85,8.92,3600,8.92,2026-09-03T19:35:12.866396+00:00
2020-10-08,8.93,9.17,8.93,9.1,15300,9.1,2026-09-03T19:35:12.866396+00:00
2020-10-11,8.97,8.98,8.97,8.98,2300,8.98,2026-09-03T19:35:12.866396+00:00
2020-10-12,9.15,9.17,9.0,9.17,2700,9.17,2026-09-03T19:35:12.866396+00:00
2020-10-13,9.15,9.15,9.0,9.1,3100,9.1,2026-09-03T19:35:12.866396+00:00
2020-10-14,9.0,9.28,9.0,9.25,1950,9.25,2026-09-03T19:35:12.866396+00:00
2020-10-15,9.1,9.1,9.1,9.1,1120,9.1,2026-09-03T19:35:12.866396+00:00
2020-10-18,8.92,9.1,8.92,9.0,2700,9.0,2026-09-03T19:35:12.866396+00:00
2020-10-19,9.18,9.18,9.0,9.0,2350,9.0,2026-09-03T19:35:12.866396+00:00
2020-10-20,8.84,8.89,8.83,8.89,1700,8.89,2026-09-03T19:35:12.866396+00:00
2020-10-21,8.91,9.06,8.91,9.06,4750,9.06,2026-09-03T19:35:12.866396+00:00
2020-10-22,9.0,9.06,9.0,9.05,2200,9.05,2026-09-03T19:35:12.866396+00:00
2020-10-28,9.1,9.28,9.1,9.28,4430,9.28,2026-09-03T19:35:12.866396+00:00
2020-10-29,9.21,9.31,9.21,9.25,12300,9.25,2026-09-03T19:35:12.866396+00:00
2020-11-01,9.2,9.21,9.18,9.21,2750,9.21,2026-09-03T19:35:12.866396+00:00
2020-11-02,9.15,9.21,9.15,9.21,6000,9.21,2026-09-03T19:35:12.866396+00:00
2020-11-03,9.39,9.76,9.21,9.76,25200,9.76,2026-09-03T19:35:12.866396+00:00
2020-11-04,9.57,9.79,9.57,9.62,31800,9.62,2026-09-03T19:35:12.866396+00:00
2020-11-05,9.6,9.74,9.55,9.74,3500,9.74,2026-09-03T19:35:12.866396+00:00
2020-11-08,9.7,9.8,9.68,9.8,7650,9.8,2026-09-03T19:35:12.866396+00:00
2020-11-09,9.62,9.8,9.62,9.7,5900,9.7,2026-09-03T19:35:12.866396+00:00
2020-11-10,9.65,9.65,9.53,9.56,5100,9.56,2026-09-03T19:35:12.866396+00:00
2020-11-11,9.41,10.17,9.41,10.17,8930,10.17,2026-09-03T19:35:12.866396+00:00
2020-11-12,10.01,10.15,10.01,10.1,186850,10.1,2026-09-03T19:35:12.866396+00:00
2020-11-18,10.0,10.3,10.0,10.22,27300,10.22,2026-09-03T19:35:12.866396+00:00
2020-11-19,10.22,10.42,10.22,10.38,20400,10.38,2026-09-03T19:35:12.866396+00:00
2020-11-22,10.18,10.18,10.13,10.14,5900,10.14,2026-09-03T19:35:12.866396+00:00
2020-11-23,10.0,10.0,9.65,9.68,102400,9.68,2026-09-03T19:35:12.866396+00:00
2020-11-24,9.7,9.8,9.55,9.8,1750,9.8,2026-09-03T19:35:12.866396+00:00
2020-11-25,9.75,10.0,9.75,10.0,7400,10.0,2026-09-03T19:35:12.866396+00:00
2020-11-26,9.9,10.39,9.9,10.19,13450,10.19,2026-09-03T19:35:12.866396+00:00
2020-11-29,9.99,10.39,9.99,10.2,104250,10.2,2026-09-03T19:35:12.866396+00:00
2020-11-30,10.3,10.3,10.0,10.01,12800,10.01,2026-09-03T19:35:12.866396+00:00
2020-12-01,10.0,10.04,9.71,9.85,5960,9.85,2026-09-03T19:35:12.866396+00:00
2020-12-02,10.02,10.23,10.0,10.0,43600,10.0,2026-09-03T19:35:12.866396+00:00
2020-12-03,10.0,10.1,9.9,9.9,6300,9.9,2026-09-03T19:35:12.866396+00:00
2020-12-06,9.71,9.91,9.71,9.82,3500,9.82,2026-09-03T19:35:12.866396+00:00
2020-12-07,9.7,9.86,9.67,9.75,1600,9.75,2026-09-03T19:35:12.866396+00:00
2020-12-08,9.65,10.0,9.65,10.0,23900,10.0,2026-09-03T19:35:12.866396+00:00
2020-12-09,9.81,9.81,9.63,9.7,1600,9.7,2026-09-03T19:35:12.866396+00:00
2020-12-10,9.55,9.7,9.55,9.7,15850,9.7,2026-09-03T19:35:12.866396+00:00
2020-12-13,9.6,9.68,9.6,9.68,3400,9.68,2026-09-03T19:35:12.866396+00:00
2020-12-14,9.68,10.06,9.68,10.0,9000,10.0,2026-09-03T19:35:12.866396+00:00
2020-12-15,9.82,9.88,9.81,9.82,23300,9.82,2026-09-03T19:35:12.866396+00:00
2020-12-16,9.66,9.85,9.66,9.71,95800,9.71,2026-09-03T19:35:12.866396+00:00
2020-12-17,9.7,10.0,9.7,10.0,16350,10.0,2026-09-03T19:35:12.866396+00:00
2020-12-20,10.0,10.0,10.0,10.0,10300,10.0,2026-09-03T19:35:12.866396+00:00
2020-12-21,9.82,10.0,9.82,10.0,87700,10.0,2026-09-03T19:35:12.866396+00:00
2020-12-22,10.19,10.31,10.05,10.15,58400,10.15,2026-09-03T19:35:12.866396+00:00
2020-12-23,10.03,10.2,10.03,10.11,125900,10.11,2026-09-03T19:35:12.866396+00:00
2020-12-24,10.0,10.03,10.0,10.03,8700,10.03,2026-09-03T19:35:12.866396+00:00
2020-12-27,9.85,9.9,9.85,9.85,1500,9.85,2026-09-03T19:35:12.866396+00:00
2020-12-28,9.76,9.82,9.76,9.82,800,9.82,2026-09-03T19:35:12.866396+00:00
2020-12-29,9.65,10.01,9.65,9.81,3500,9.81,2026-09-03T19:35:12.866396+00:00
2020-12-30,9.81,9.89,9.81,9.86,1260,9.86,2026-09-03T19:35:12.866396+00:00
2020-12-31,9.69,10.06,9.69,9.9,11200,9.9,2026-09-03T19:35:12.866396+00:00
2021-01-03,9.95,10.17,9.95,10.17,5100,10.17,2026-09-03T19:35:12.866396+00:00
2021-01-04,10.0,10.17,9.98,10.17,13250,10.17,2026-09-03T19:35:12.866396+00:00
2021-01-05,9.98,10.25,9.98,10.13,119500,10.13,2026-09-03T19:35:12.866396+00:00
2021-01-06,10.0,10.33,10.0,10.2,15500,10.2,2026-09-03T19:35:12.866396+00:00
2021-01-07,10.1,10.4,10.1,10.2,4600,10.2,2026-09-03T19:35:12.866396+00:00
2021-01-10,10.2,10.27,10.2,10.27,4250,10.27,2026-09-03T19:35:12.866396+00:00
2021-01-11,10.25,10.35,10.25,10.35,3450,10.35,2026-09-03T19:35:12.866396+00:00
2021-01-12,10.27,10.3,10.18,10.3,201900,10.3,2026-09-03T19:35:12.866396+00:00
2021-01-13,10.15,10.5,10.15,10.33,236800,10.33,2026-09-03T19:35:12.866396+00:00
2021-01-17,10.25,10.56,10.25,10.5,128300,10.5,2026-09-03T19:35:12.866396+00:00
2021-01-18,10.3,10.55,10.3,10.44,11400,10.44,2026-09-03T19:35:12.866396+00:00
2021-01-19,10.27,10.5,10.27,10.41,214050,10.41,2026-09-03T19:35:12.866396+00:00
2021-01-20,10.22,10.42,10.22,10.41,2000,10.41,2026-09-03T19:35:12.866396+00:00
2021-01-21,10.36,10.7,10.36,10.7,17450,10.7,2026-09-03T19:35:12.866396+00:00
2021-01-24,10.5,10.5,10.25,10.38,369570,10.38,2026-09-03T19:35:12.866396+00:00
2021-01-25,10.22,10.3,10.2,10.3,205400,10.3,2026-09-03T19:35:12.866396+00:00
2021-01-26,10.4,10.89,10.3,10.89,22650,10.89,2026-09-03T19:35:12.866396+00:00
2021-01-27,10.68,10.68,10.13,10.47,236700,10.47,2026-09-03T19:35:12.866396+00:00
2021-01-28,10.28,10.42,10.1,10.3,331839,10.3,2026-09-03T19:35:12.866396+00:00
2021-01-31,10.22,10.3,10.22,10.28,124400,10.28,2026-09-03T19:35:12.866396+00:00
2021-02-01,10.48,10.48,10.24,10.26,2900,10.26,2026-09-03T19:35:12.866396+00:00
2021-02-02,10.25,10.4,10.23,10.4,207200,10.4,2026-09-03T19:35:12.866396+00:00
2021-02-03,10.23,10.32,10.23,10.32,232600,10.32,2026-09-03T19:35:12.866396+00:00
2021-02-04,10.18,10.52,10.18,10.5,708350,10.5,2026-09-03T19:35:12.866396+00:00
2021-02-07,10.5,10.5,10.25,10.3,65800,10.3,2026-09-03T19:35:12.866396+00:00
2021-02-08,10.18,10.48,10.18,10.2,188900,10.2,2026-09-03T19:35:12.866396+00:00
2021-02-09,10.2,10.45,10.2,10.4,48100,10.4,2026-09-03T19:35:12.866396+00:00
