date,open,high,low,close,volume,adj_close,fetched_at
2022-09-12,10.0,10.0,9.81,10.0,2100,10.0,2026-09-03T19:35:59.600780+00:00
2022-09-14,9.81,9.81,9.0,9.0,16900,9.0,2026-09-03T19:35:59.600780+00:00
2022-09-15,8.82,8.82,8.1,8.28,14670,8.28,2026-09-03T19:35:59.600780+00:00
2022-09-16,8.12,8.24,7.97,8.1,15500,8.1,2026-09-03T19:35:59.600780+00:00
2022-09-18,8.1,8.16,8.1,8.1,5160,8.1,2026-09-03T19:35:59.600780+00:00
2022-09-20,7.95,8.26,7.95,8.0,3300,8.0,2026-09-03T19:35:59.600780+00:00
2022-09-21,7.84,8.58,7.84,7.98,5400,7.98,2026-09-03T19:35:59.600780+00:00
2022-09-22,7.83,8.0,7.83,8.0,3020,8.0,2026-09-03T19:35:59.600780+00:00
2022-09-25,8.02,8.02,7.77,7.8,2800,7.8,2026-09-03T19:35:59.600780+00:00
2022-09-27,7.65,7.86,7.65,7.74,2975,7.74,2026-09-03T19:35:59.600780+00:00
2022-09-28,7.59,7.73,7.3,7.6,2100,7.6,2026-09-03T19:35:59.600780+00:00
2022-09-29,7.59,7.71,7.59,7.7,800,7.7,2026-09-03T19:35:59.600780+00:00
2022-10-09,7.59,7.77,7.59,7.65,3100,7.65,2026-09-03T19:35:59.600780+00:00
2022-10-10,7.65,7.9,7.65,7.9,1800,7.9,2026-09-03T19:35:59.600780+00:00
2022-10-11,7.76,8.21,7.76,8.19,3800,8.19,2026-09-03T19:35:59.600780+00:00
2022-10-12,8.03,8.19,7.89,8.0,6475,8.0,2026-09-03T19:35:59.600780+00:00
2022-10-13,7.85,8.22,7.85,8.06,2775,8.06,2026-09-03T19:35:59.600780+00:00
2022-10-16,7.9,7.91,7.9,7.91,750,7.91,2026-09-03T19:35:59.600780+00:00
2022-10-17,7.8,8.01,7.8,7.9,2900,7.9,2026-09-03T19:35:59.600780+00:00
2022-10-19,7.8,8.05,7.8,7.9,2600,7.9,2026-09-03T19:35:59.600780+00:00
2022-10-20,7.9,8.0,7.86,8.0,1700,8.0,2026-09-03T19:35:59.600780+00:00
2022-10-23,7.86,8.0,7.86,7.9,1300,7.9,2026-09-03T19:35:59.600780+00:00
2022-10-31,8.0,8.1,8.0,8.1,2900,8.1,2026-09-03T19:35:59.600780+00:00
2022-11-01,7.94,8.06,7.94,8.0,2200,8.0,2026-09-03T19:35:59.600780+00:00
2022-11-02,8.0,8.1,8.0,8.0,2000,8.0,2026-09-03T19:35:59.600780+00:00
2022-11-03,7.99,8.0,7.85,7.85,3775,7.85,2026-09-03T19:35:59.600780+00:00
2022-11-06,7.85,7.9,7.82,7.87,1700,7.87,2026-09-03T19:35:59.600780+00:00
2022-11-07,7.8,8.16,7.8,8.16,8475,8.16,2026-09-03T19:35:59.600780+00:00
2022-11-08,8.06,8.25,8.06,8.1,1000,8.1,2026-09-03T19:35:59.600780+00:00
2022-11-09,8.0,8.1,7.95,7.97,4600,7.97,2026-09-03T19:35:59.600780+00:00
2022-11-10,7.97,7.97,7.83,7.86,1800,7.86,2026-09-03T19:35:59.600780+00:00
2022-11-13,7.71,7.86,7.71,7.86,1950,7.86,2026-09-03T19:35:59.600780+00:00
2022-11-14,7.85,7.9,7.76,7.79,600,7.79,2026-09-03T19:35:59.600780+00:00
2022-11-15,7.67,7.9,7.67,7.9,1300,7.9,2026-09-03T19:35:59.600780+00:00
2022-11-16,7.9,8.0,7.9,8.0,500,8.0,2026-09-03T19:35:59.600780+00:00
2022-11-17,7.85,8.2,7.85,8.0,1825,8.0,2026-09-03T19:35:59.600780+00:00
2022-11-22,7.86,7.87,7.86,7.87,2900,7.87,2026-09-03T19:35:59.600780+00:00
2022-11-23,7.87,7.9,7.85,7.9,2855,7.9,2026-09-03T19:35:59.600780+00:00
2022-11-24,7.86,7.94,7.86,7.94,2300,7.94,2026-09-03T19:35:59.600780+00:00
2022-11-27,7.85,8.09,7.85,7.93,1500,7.93,2026-09-03T19:35:59.600780+00:00
2022-11-28,7.85,7.9,7.85,7.9,700,7.9,2026-09-03T19:35:59.600780+00:00
2022-11-29,7.86,7.88,7.86,7.88,1850,7.88,2026-09-03T19:35:59.600780+00:00
2022-11-30,7.85,7.9,7.85,7.88,1600,7.88,2026-09-03T19:35:59.600780+00:00
2022-12-01,7.88,8.03,7.87,8.03,3600,8.03,2026-09-03T19:35:59.600780+00:00
2022-12-04,7.89,8.03,7.89,8.03,1800,8.03,2026-09-03T19:35:59.600780+00:00
2022-12-05,7.87,8.02,7.77,7.9,2600,7.9,2026-09-03T19:35:59.600780+00:00
2022-12-06,7.75,7.9,7.75,7.8,1600,7.8,2026-09-03T19:35:59.600780+00:00
2022-12-07,7.7,7.95,7.7,7.86,2420,7.86,2026-09-03T19:35:59.600780+00:00
2022-12-11,7.75,7.93,7.75,7.78,52690,7.78,2026-09-03T19:35:59.600780+00:00
2022-12-12,7.75,7.81,7.75,7.79,1500,7.79,2026-09-03T19:35:59.600780+00:00
2022-12-13,7.67,7.82,7.67,7.75,1800,7.75,2026-09-03T19:35:59.600780+00:00
2022-12-14,7.71,7.73,7.71,7.73,4300,7.73,2026-09-03T19:35:59.600780+00:00
2022-12-15,7.73,7.73,7.65,7.68,1300,7.68,2026-09-03T19:35:59.600780+00:00
2022-12-18,7.67,7.69,7.66,7.69,1000,7.69,2026-09-03T19:35:59.600780+00:00
2022-12-19,7.69,7.75,7.63,7.63,1500,7.63,2026-09-03T19:35:59.600780+00:00
2022-12-20,7.63,7.7,7.63,7.7,6120,7.7,2026-09-03T19:35:59.600780+00:00
2022-12-21,7.63,7.8,7.63,7.8,2310,7.8,2026-09-03T19:35:59.600780+00:00
2022-12-22,7.66,7.82,7.66,7.82,1800,7.82,2026-09-03T19:35:59.600780+00:00
2022-12-26,7.82,7.9,7.68,7.9,4050,7.9,2026-09-03T19:35:59.600780+00:00
2022-12-27,7.9,8.06,7.9,7.9,2050,7.9,2026-09-03T19:35:59.600780+00:00
2022-12-28,8.0,8.0,7.77,8.0,3750,8.0,2026-09-03T19:35:59.600780+00:00
2022-12-29,7.84,8.1,7.6,8.01,3200,8.01,2026-09-03T19:35:59.600780+00:00
2023-01-01,8.0,8.1,8.0,8.1,4700,8.1,2026-09-03T19:35:59.600780+00:00
2023-01-02,7.94,8.06,7.9,8.05,1600,8.05,2026-09-03T19:35:59.600780+00:00
2023-01-03,8.0,8.01,7.8,7.95,4900,7.95,2026-09-03T19:35:59.600780+00:00
2023-01-04,7.9,8.26,7.9,8.25,4200,8.25,2026-09-03T19:35:59.600780+00:00
2023-01-05,8.41,8.57,8.25,8.57,5900,8.57,2026-09-03T19:35:59.600780+00:00
2023-01-08,8.74,8.9,8.27,8.38,2600,8.38,2026-09-03T19:35:59.600780+00:00
2023-01-09,8.22,8.83,8.2,8.67,6600,8.67,2026-09-03T19:35:59.600780+00:00
2023-01-10,8.5,9.01,8.5,9.01,26950,9.01,2026-09-03T19:35:59.600780+00:00
2023-01-12,8.83,8.83,8.49,8.49,1900,8.49,2026-09-03T19:35:59.600780+00:00
2023-01-17,8.33,8.57,8.2,8.57,6470,8.57,2026-09-03T19:35:59.600780+00:00
2023-01-18,8.57,8.73,8.41,8.73,6800,8.73,2026-09-03T19:35:59.600780+00:00
2023-01-19,8.9,8.9,8.27,8.43,7700,8.43,2026-09-03T19:35:59.600780+00:00
2023-01-23,8.27,8.5,8.17,8.5,2805,8.5,2026-09-03T19:35:59.600780+00:00
2023-01-24,8.33,8.67,8.18,8.5,10094,8.5,2026-09-03T19:35:59.600780+00:00
2023-01-25,8.33,8.65,8.29,8.65,4100,8.65,2026-09-03T19:35:59.600780+00:00
2023-01-26,8.48,8.62,8.35,8.5,7000,8.5,2026-09-03T19:35:59.600780+00:00
2023-01-29,8.33,8.42,8.25,8.42,3100,8.42,2026-09-03T19:35:59.600780+00:00
2023-01-30,8.26,8.42,8.21,8.42,5150,8.42,2026-09-03T19:35:59.600780+00:00
2023-01-31,8.4,8.4,8.24,8.24,11100,8.24,2026-09-03T19:35:59.600780+00:00
2023-02-01,8.09,8.73,8.09,8.2,6075,8.2,2026-09-03T19:35:59.600780+00:00
2023-02-02,8.06,8.22,8.06,8.09,1000,8.09,2026-09-03T19:35:59.600780+00:00
2023-02-05,7.93,8.0,7.81,7.93,3550,7.93,2026-09-03T19:35:59.600780+00:00
2023-02-06,7.9,8.0,7.9,7.91,3100,7.91,2026-09-03T19:35:59.600780+00:00
2023-02-07,7.8,8.04,7.8,8.04,2300,8.04,2026-09-03T19:35:59.600780+00:00
2023-02-08,8.2,8.54,8.06,8.23,9750,8.23,2026-09-03T19:35:59.600780+00:00
2023-02-09,8.11,8.13,8.11,8.13,2720,8.13,2026-09-03T19:35:59.600780+00:00
2023-02-12,8.0,8.15,8.0,8.1,2400,8.1,2026-09-03T19:35:59.600780+00:00
2023-02-14,8.0,8.06,8.0,8.06,1810,8.06,2026-09-03T19:35:59.600780+00:00
2023-02-15,8.06,8.26,8.06,8.06,12600,8.06,2026-09-03T19:35:59.600780+00:00
2023-02-16,7.97,8.16,7.97,8.01,2300,8.01,2026-09-03T19:35:59.600780+00:00
2023-02-20,8.01,8.12,7.97,8.0,2450,8.0,2026-09-03T19:35:59.600780+00:00
2023-02-22,7.97,8.11,7.97,8.0,2920,8.0,2026-09-03T19:35:59.600780+00:00
2023-02-23,7.97,8.15,7.7,8.0,1900,8.0,2026-09-03T19:35:59.600780+00:00
2023-02-26,7.9,7.9,7.81,7.82,1350,7.82,2026-09-03T19:35:59.600780+00:00
2023-02-27,7.82,7.82,7.67,7.8,2800,7.8,2026-09-03T19:35:59.600780+00:00
2023-02-28,7.8,7.9,7.68,7.9,1700,7.9,2026-09-03T19:35:59.600780+00:00
2023-03-01,7.75,8.0,7.75,7.77,1300,7.77,2026-09-03T19:35:59.600780+00:00
2023-03-02,7.65,7.8,7.65,7.77,900,7.77,2026-09-03T19:35:59.600780+00:00
2023-03-05,7.8,7.85,7.78,7.85,2500,7.85,2026-09-03T19:35:59.600780+00:00
2023-03-07,7.75,7.85,7.75,7.85,700,7.85,2026-09-03T19:35:59.600780+00:00
2023-03-09,7.8,8.0,7.8,8.0,2600,8.0,2026-09-03T19:35:59.600780+00:00
2023-03-12,7.95,7.95,7.85,7.85,1100,7.85,2026-09-03T19:35:59.600780+00:00
2023-03-13,7.85,7.85,7.85,7.85,2000,7.85,2026-09-03T19:35:59.600780+00:00
2023-03-14,7.81,7.85,7.81,7.84,3330,7.84,2026-09-03T19:35:59.600780+00:00
2023-03-15,7.8,7.95,7.8,7.8,1100,7.8,2026-09-03T19:35:59.600780+00:00
2023-03-16,7.77,7.9,7.77,7.85,1800,7.85,2026-09-03T19:35:59.600780+00:00
2023-03-19,7.8,7.8,7.66,7.68,6000,7.68,2026-09-03T19:35:59.600780+00:00
2023-03-20,7.66,7.88,7.66,7.8,2900,7.8,2026-09-03T19:35:59.600780+00:00
2023-03-22,7.66,7.96,7.66,7.81,2500,7.81,2026-09-03T19:35:59.600780+00:00
2023-03-23,7.81,7.89,7.71,7.74,2200,7.74,2026-09-03T19:35:59.600780+00:00
2023-03-26,7.66,7.82,7.66,7.7,3275,7.7,2026-09-03T19:35:59.600780+00:00
2023-03-27,7.67,7.7,7.52,7.6,5963,7.6,2026-09-03T19:35:59.600780+00:00
2023-03-28,7.5,7.75,7.5,7.63,2200,7.63,2026-09-03T19:35:59.600780+00:00
2023-03-29,7.63,7.78,7.63,7.63,1800,7.63,2026-09-03T19:35:59.600780+00:00
2023-03-30,7.51,7.57,7.51,7.56,800,7.56,2026-09-03T19:35:59.600780+00:00
2023-04-02,7.46,7.75,7.46,7.75,4700,7.75,2026-09-03T19:35:59.600780+00:00
2023-04-03,7.75,7.77,7.6,7.77,2500,7.77,2026-09-03T19:35:59.600780+00:00
2023-04-04,7.7,7.7,7.58,7.6,1000,7.6,2026-09-03T19:35:59.600780+00:00
2023-04-05,7.45,7.9,7.45,7.62,1950,7.62,2026-09-03T19:35:59.600780+00:00
2023-04-06,7.6,7.82,7.6,7.82,1600,7.82,2026-09-03T19:35:59.600780+00:00
2023-04-09,7.7,7.7,7.56,7.57,600,7.57,2026-09-03T19:35:59.600780+00:00
2023-04-10,7.57,7.75,7.57,7.61,2300,7.61,2026-09-03T19:35:59.600780+00:00
2023-04-11,7.5,7.8,7.5,7.8,3525,7.8,2026-09-03T19:35:59.600780+00:00
2023-04-12,7.8,7.9,7.66,7.9,2400,7.9,2026-09-03T19:35:59.600780+00:00
2023-04-13,7.81,8.05,7.81,7.91,2350,7.91,2026-09-03T19:35:59.600780+00:00
2023-04-16,7.76,7.91,7.76,7.82,1800,7.82,2026-09-03T19:35:59.600780+00:00
2023-04-17,7.67,7.8,7.55,7.74,2200,7.74,2026-09-03T19:35:59.600780+00:00
2023-04-18,7.71,7.83,7.7,7.83,2700,7.83,2026-09-03T19:35:59.600780+00:00
2023-04-19,7.85,7.9,7.81,7.82,1600,7.82,2026-09-03T19:35:59.600780+00:00
2023-04-20,7.71,8.2,7.71,7.88,1700,7.88,2026-09-03T19:35:59.600780+00:00
2023-04-23,7.73,8.0,7.73,8.0,4500,8.0,2026-09-03T19:35:59.600780+00:00
2023-04-24,7.84,7.84,7.54,7.71,1800,7.71,2026-09-03T19:35:59.600780+00:00
2023-04-25,7.57,7.86,7.57,7.74,2600,7.74,2026-09-03T19:35:59.600780+00:00
2023-04-26,7.74,7.8,7.69,7.77,2500,7.77,2026-09-03T19:35:59.600780+00:00
2023-04-27,7.77,8.07,7.66,8.0,4650,8.0,2026-09-03T19:35:59.600780+00:00
2023-04-30,7.85,8.1,7.85,8.1,2510,8.1,2026-09-03T19:35:59.600780+00:00
2023-05-02,7.94,7.94,7.79,7.9,900,7.9,2026-09-03T19:35:59.600780+00:00
2023-05-03,7.9,7.91,7.75,7.84,2800,7.84,2026-09-03T19:35:59.600780+00:00
2023-05-04,7.75,7.82,7.75,7.82,1800,7.82,2026-09-03T19:35:59.600780+00:00
2023-05-07,7.67,7.72,7.67,7.72,1350,7.72,2026-09-03T19:35:59.600780+00:00
2023-05-08,7.72,7.72,7.64,7.64,1200,7.64,2026-09-03T19:35:59.600780+00:00
2023-05-09,7.5,7.81,7.5,7.81,2520,7.81,2026-09-03T19:35:59.600780+00:00
2023-05-10,7.66,7.82,7.66,7.82,1400,7.82,2026-09-03T19:35:59.600780+00:00
2023-05-11,7.68,7.95,7.68,7.8,5200,7.8,2026-09-03T19:35:59.600780+00:00
2023-05-14,7.79,7.94,7.7,7.7,1450,7.7,2026-09-03T19:35:59.600780+00:00
2023-05-15,7.7,7.8,7.7,7.8,1200,7.8,2026-09-03T19:35:59.600780+00:00
2023-05-16,7.8,7.95,7.7,7.95,3050,7.95,2026-09-03T19:35:59.600780+00:00
2023-05-17,7.95,8.0,7.84,7.85,1650,7.85,2026-09-03T19:35:59.600780+00:00
2023-05-18,7.85,7.95,7.71,7.8,2300,7.8,2026-09-03T19:35:59.600780+00:00
2023-05-21,7.66,8.05,7.66,8.05,6000,8.05,2026-09-03T19:35:59.600780+00:00
2023-05-22,7.9,8.0,7.9,8.0,1400,8.0,2026-09-03T19:35:59.600780+00:00
2023-05-23,7.84,8.18,7.84,8.18,3000,8.18,2026-09-03T19:35:59.600780+00:00
2023-05-24,8.07,8.3,8.07,8.3,2900,8.3,2026-09-03T19:35:59.600780+00:00
2023-05-28,8.14,8.46,7.98,8.4,2710,8.4,2026-09-03T19:35:59.600780+00:00
2023-05-30,8.3,8.35,8.05,8.05,10320,8.05,2026-09-03T19:35:59.600780+00:00
2023-05-31,7.89,7.95,7.75,7.91,2200,7.91,2026-09-03T19:35:59.600780+00:00
2023-06-01,7.76,7.8,7.76,7.77,1650,7.77,2026-09-03T19:35:59.600780+00:00
2023-06-04,7.71,7.92,7.71,7.9,6800,7.9,2026-09-03T19:35:59.600780+00:00
2023-06-05,7.75,7.91,7.75,7.76,1300,7.76,2026-09-03T19:35:59.600780+00:00
2023-06-06,7.75,7.92,7.62,7.79,3600,7.79,2026-09-03T19:35:59.600780+00:00
2023-06-07,7.69,7.82,7.69,7.82,2400,7.82,2026-09-03T19:35:59.600780+00:00
2023-06-08,7.71,7.85,7.71,7.85,2250,7.85,2026-09-03T19:35:59.600780+00:00
2023-06-11,8.0,8.06,7.91,7.95,2400,7.95,2026-09-03T19:35:59.600780+00:00
2023-06-12,7.9,8.05,7.9,8.05,3500,8.05,2026-09-03T19:35:59.600780+00:00
2023-06-13,7.91,8.09,7.9,8.0,14400,8.0,2026-09-03T19:35:59.600780+00:00
2023-06-14,7.88,8.18,7.88,8.07,3500,8.07,2026-09-03T19:35:59.600780+00:00
2023-06-15,7.94,8.0,7.94,8.0,4100,8.0,2026-09-03T19:35:59.600780+00:00
2023-06-18,8.0,8.19,8.0,8.19,6400,8.19,2026-09-03T19:35:59.600780+00:00
2023-06-19,8.03,8.68,8.03,8.08,2900,8.08,2026-09-03T19:35:59.600780+00:00
2023-06-20,8.0,8.12,8.0,8.12,3100,8.12,2026-09-03T19:35:59.600780+00:00
2023-06-21,8.0,8.1,8.0,8.09,7100,8.09,2026-09-03T19:35:59.600780+00:00
2023-06-22,7.94,8.02,7.94,8.02,730,8.02,2026-09-03T19:35:59.600780+00:00
2023-06-25,8.1,8.2,7.97,8.2,5650,8.2,2026-09-03T19:35:59.600780+00:00
2023-06-26,8.2,8.5,8.2,8.5,5460,8.5,2026-09-03T19:35:59.600780+00:00
2023-06-27,8.33,8.67,8.33,8.67,4800,8.67,2026-09-03T19:35:59.600780+00:00
